Open,High,Low,Close,Volume
90.75,90.75,88.550003,90.300003,19140
91.099998,91.5,90.294998,91.5,30900
91.800003,91.800003,90.349998,91.305,16300
91.800003,91.800003,87,89.099998,71670
89.800003,89.800003,87.849998,88.5,20190
87.699997,88.800003,87.699997,88.800003,12330
88.400002,91.400002,88.400002,91.029999,25990
91.794998,92.495003,91,91.695,25290
91.800003,94,88.510002,93,27080
94,94.5,91,91.470001,25740
91.644997,93,91,92.684998,16520
94.5,94.5,91.559998,93,5790
92.290001,94,92.019997,92.5,8010
92.050003,92.889999,89.5,90.385002,21190
89.900002,93.5,89,92.260002,452380
90.199997,90.300003,79.510002,80.550003,508210
80.519997,81.449997,76.480003,78.035004,143960
76.010002,77.379997,70,74.964996,4431710
74.400002,80.5,72.125,78.504997,1378680
78.985001,78.995003,77,77.75,55110
79.5,79.5,76.300003,76.849998,59700
76.800003,77.940002,75.699997,77.800003,48290
77.309998,78.699997,76.599998,78.400002,16840
79.5,80.099998,77.5,79.135002,23070
79.5,79.900002,78.525002,79.400002,17560
79,84.489998,77.699997,82.82,57350
81,81.400002,79.599998,80.275002,23720
80.599998,81.349998,79.735001,80.199997,16350
81.800003,83.400002,80.800003,83.205002,77200
82.014999,83.010002,80.099998,80.5,30810
80.504997,80.900002,78.300003,79.714996,40420
79.599998,81.294998,78.599998,79.5,16660
80,81,79.199997,80.050003,15450
79.300003,80,79,79.699997,609520
78.699997,79.900002,78.699997,79.050003,6900
79.5,79.695,78.699997,78.769997,76760
83.5,83.5,77.709999,78.529999,12410
77.800003,78.900002,77.504997,78.5,31750
78.099998,78.5,77.400002,77.514999,17740
77.5,77.504997,73.5,74.154999,33180
74,74.5,73.099998,74,12700
74.400002,74.440002,71.620003,72.470001,23160
76.5,76.5,69.300003,73.5,13360
73.550003,74,71.5,71.855003,11270
72.099998,72.599998,70.199997,70.199997,20320
68.089996,72.800003,68.089996,72.095001,21580
72.25,72.989998,72,72.610001,110460
73.800003,74.400002,72.5,74.400002,16550
73.5,76.199997,73.5,75.900002,20680
76,76,73.900002,74.985001,3890
74.004997,75.480003,73.5,74.610001,7870
73.349998,75.480003,73.324997,75.029999,6050
74.75,77,74.75,75.809998,187570
69.235001,79,69.235001,76.339996,61390
76.974998,77.489998,74.599998,77.489998,260220
77.004997,79.5,76,76,45140
76.199997,80.699997,76.199997,79.230003,42160
79.199997,80.199997,76,78.5,52600
80.900002,80.900002,78,78.105003,19880
78.355003,80.099998,78.324997,79.739998,28810
81,81.5,77.510002,78.385002,52490
78.5,78.5,77,78,35710
79.699997,80,78.5,78.5,9410
80.394997,82.599998,79.489998,81.639999,23260
82.440002,88.099998,79.209999,87.199997,105820
88,91.495003,86.300003,90.5,77980
91,92,90.5,91.43,22720
92,95,89.800003,92.599998,470080
91.995003,92,87.599998,87.599998,26270
89.07,90.5,88.5,88.739998,110590
88.199997,90,87.415001,88.504997,812390
89.5,90,88,88.599998,15200
90,92.599998,86,87.855003,211050
88.305,89.5,87.199997,87.605003,360470
87,89.489998,86.105003,88.705002,23900
88.705002,88.705002,88.705002,88.705002,0
88.699997,89.5,87.300003,88.415001,47420
89.099998,90,87.800003,89.349998,203830
88.650002,89.900002,88.620003,89.099998,17550
86.300003,90.199997,86.300003,90,23560
90.779999,90.980003,89.800003,90.510002,51960
90.800003,92.199997,90.029999,91.404999,41800
91,91.790001,88.5,89.839996,32420
90.089996,95.199997,90.089996,94.974998,141500
93,96,91.599998,95.224998,71770
94,96.449997,94,95.510002,406380
95.510002,95.510002,95.510002,95.510002,100
99.900002,101.5,95.5,100.18,1619120
101.300003,103,99.5,101.959999,41500
104.650002,112.5,102.504997,109.775002,47530
109.400002,109.5,105,106.555,25370
96,119,91.5,104.440002,240020
106.480003,107.5,102,105.525002,332450
104.599998,109.5,104.529999,108.639999,33690
109,109,106.224998,106.544998,26500
106.300003,109,105,108.105003,51530
106.860001,114.699997,106.860001,113.014999,693750
115.300003,116,110,111.699997,36530
115.5,116.059998,110.404999,114.5,228630
115.5,115.5,110.199997,112.364998,65590
113.5,115,111.894997,112,164130
113,115.019997,110.510002,112.514999,528360
114.5,115,112,114.974998,589290
114.900002,115.970001,112.099998,113.989998,64860
115.019997,118.695,115,117.904999,90090
116.5,119.995003,114.599998,115.43,112320
115,117.989998,113.5,117,17570
117,117.800003,114.400002,116,10280
115.400002,115.5,110.309998,110.5,14110
112.5,112.5,105.059998,105.059998,17020
109.379997,111.790001,109,110.860001,32380
111.5,112.800003,107.629997,108.224998,10820
108,110.400002,107,108.495003,344120
109.900002,113.714996,108.099998,112.584999,167100
112,113,112,112.574997,59770
112.5,115.900002,112.5,115.285004,32500
115.25,118,115.199997,117.650002,57160
117.75,119.489998,116.5,117.745003,147020
119.5,119.5,117.5,118.485001,61260
118,119,118,119,32320
119,119.699997,118.199997,119.290001,38400
119,120,118.150002,119.345001,64680
119.5,121,118.529999,120.724998,45380
117.5,119.879997,117.5,119.099998,239920
118.900002,119.464996,116.309998,117.555,31990
117.050003,118.5,116.699997,117.050003,112920
117,117,111,112.989998,29050
113.800003,117.239998,113.75,115.555,14970
117.199997,119.5,111.110001,116.355003,45720
119.5,119.800003,117.760002,118.720001,34030
117.699997,119.489998,117.699997,118.5,38710
120.800003,120.900002,117.5,120.510002,85050
120.300003,125.794998,119.925003,125,104320
125,129.710007,125,129.309998,87260
129.994995,131,127.099998,128.600006,734230
130.199997,133,128.5,130.785004,264280
128,137.300003,128,134.949997,411010
135.5,140.005005,134.300003,138.5,91740
139.899994,142,134.619995,139.175003,414570
140,141,138,139.735001,33990
140,141.5,138.75,141.5,279670
140.5,142,138.600006,141.5,35470
142.119995,142.990005,140.210007,141.179993,569780
140.5,144.800003,140.5,143.399994,50600
144.100006,144.100006,135.550003,138.360001,38390
139,141.699997,133.300003,134,71710
139.399994,139.404999,129.625,132.460007,60420
136,139.005005,131.100006,134.100006,38180
134.100006,134.945007,132.600006,134.945007,14630
134.100006,140,134.100006,136.949997,4750000
139,139,136.509995,136.929993,12450
133.110001,136.5,133.110001,135.800003,11310
135.5,135.5,133.740005,134.654999,7050
133.904999,133.914993,130,130.5,39690
130.800003,132.5,130.235001,131.440002,18010
131.5,131.899994,129.899994,130.619995,127520
131.399994,134.5,131.399994,133.199997,17600
134,136.5,132.104996,135.850006,19060
136.5,137.5,135.119995,137.014999,20010
137,137.5,134.904999,136.934998,8160
134.600006,140.199997,134.600006,139.570007,1902350
141.5,141.5,137.610001,139.139999,15130
139.979996,139.979996,136.899994,137.835007,11160
138.5,139.350006,135.199997,136.214996,14850
136.600006,137,134.300003,134.910004,39190
137.699997,138.395004,133.509995,136.339996,15190
139.399994,139.5,137.5,137.929993,19970
141.5,144,136.699997,137.570007,14100
140,140,135.399994,136.630005,24110
135,138,135,137.029999,25040
136.5,137.5,135.5,136.509995,12110
134.300003,136.889999,134.300003,136.059998,24610
135.199997,137.5,135.199997,137.160004,23080
139.475006,139.475006,136.020004,137.169998,16840
138.975006,142.399994,134.5,136.395004,91560
136,138.445007,135.699997,137.210007,32760
139.5,139.975006,135.399994,135.835007,39570
138.449997,139.789993,134.309998,136.190002,20730
135.190002,136.800003,135.190002,136.529999,18060
137.550003,138.5,136.445007,137.764999,37900
138.009995,142.380005,137.585007,139.539993,105110
140,141.5,139.169998,140.559998,263220
141,141.479996,138,141.139999,51100
141.199997,141.770004,138.5,140.490005,44210
141,142.259995,137.5,141.664993,34970
142.509995,151.5,142.100006,148.529999,519990
151.5,153,148.014999,149.369995,55860
149.600006,150.895004,147.899994,150.024994,40720
150,155.195007,150,154.645004,123370
154.645004,154.645004,154.645004,154.645004,0
159.899994,162,157.5,158.149994,154260
159,159.875,155,156.014999,28390
157.899994,158.5,155.300003,156.070007,45590
159.490005,159.5,157,157.789993,20360
157.100006,157.389999,152.559998,153.615005,23550
157.800003,157.994995,152.199997,153.020004,42150
158,170.699997,157.699997,167.615005,866940
169,171.5,165.100006,166.649994,223980
161.115005,164.5,161.115005,163.835007,61790
163.5,163.5,159.505005,162.190002,43250
160.110001,163.399994,157.5,159.429993,29770
165,169,160.994995,164.479996,95890
164.399994,168.300003,163,166,80440
168.5,169.199997,167,168.899994,651640
169.899994,170.990005,167.199997,167.964996,614590
169.899994,172,167,168.529999,43720
168.104996,169.440002,168.104996,168.979996,59610
168.5,173.380005,166.154999,167.630005,97810
169,170.5,162.899994,168.164993,85100
170,170,165,165.854996,22650
166,168.600006,165.600006,165.949997,41120
167.899994,168,166,167.149994,14350
167.5,168.695007,165.199997,167.354996,22090
166.649994,170.699997,166.565002,167.539993,42620
168,171.199997,167.199997,168.345001,67920
169.794998,169.794998,166.5,169.404999,38930
170,170.785004,168.399994,170.029999,62610
167.009995,171.490005,167.009995,170.139999,41670
169.020004,170.869995,168,168.25,12510
169.600006,170,167,168.289993,15660
166.800003,168.600006,161.5,163.940002,52080
165.399994,168.470001,165.399994,167.509995,24640
167.699997,171,167.039993,170.300003,22960
171,171.199997,168.509995,169.705002,21000
169,170,168,168.429993,23400
166.054993,169.470001,166.054993,167.309998,8300
167.800003,169.475006,166.630005,167.625,174120
168,169.5,166.854996,168.740005,7780
168.5,171.445007,168.009995,169.485001,28940
166.199997,171.884995,166.199997,169.625,45520
169.800003,171.5,169,170.375,35990
171.179993,172,170.5,171.684998,39040
167,175.595001,167,173.255005,272430
172.899994,177.399994,171.994995,176.595001,158400
178.449997,178.889999,176.300003,177.214996,63370
175.220001,181.100006,175.220001,179.964996,167330
178.199997,180,173,174.429993,162400
174.389999,177,172.649994,173.550003,25590
174.490005,176.610001,173.065002,175.024994,87990
175.509995,176.5,173.054993,175.024994,18800
175.699997,179,172.600006,176.490005,31070
174,177.199997,172.5,176.524994,38000
178.365005,180,176.210007,179.625,53130
173.800003,179.990005,173.800003,178.964996,26700
179.100006,179.919998,178.5,179.039993,30190
180.679993,180.679993,177.604996,178.039993,18160
178,179.5,177.024994,177.649994,280410
173,182.899994,173,179.570007,149190
177.5,182,176.5,180.205002,48690
179.5,187.5,179.205002,184.645004,138670
184,187.410004,183.024994,186.470001,102040
187.5,190.380005,186.669998,188.050003,57760
189,192.600006,186.214996,187.294998,74730
187.100006,191.5,186.199997,186.729996,56770
187.600006,188.485001,183.5,184.610001,40190
186.669998,186.669998,182,183.020004,19650
183.645004,184.050003,179.509995,181.160004,48580
180,184.899994,174.009995,176.690002,91540
