,Predicted Values,,,,Actual Values,,,
Date,Open,High,Low,Close,Open,High,Low,Close
17/07/19,1181.1061,1191.3322,1171.5472,1182.034,1141.73999,1147.60498,1132.72998,1146.329956
18/07/19,1181.954,1192.2253,1172.3522,1182.8555,1148.189941,1151.140015,1129.619995,1130.099976
19/07/19,1179.8796,1190.188,1170.2339,1180.7357,1133.449951,1139.25,1124.23999,1138.069946
22/07/19,1175.9316,1186.2733,1166.2421,1176.7313,1144,1146.900024,1131.800049,1146.209961
23/07/19,1172.7937,1183.1357,1163.1023,1173.5885,1131.900024,1144,1126.98999,1137.810059
24/07/19,1174.7886,1185.12,1165.1016,1175.6093,1137.819946,1141.699951,1120.920044,1132.119995
25/07/19,1175.4991,1185.8445,1165.7778,1176.2881,1224.040039,1265.550049,1224,1250.410034
26/07/19,1173.5165,1183.9017,1163.7417,1174.2363,1241.050049,1247.369995,1228.22998,1239.410034
29/07/19,1204.7654,1215.3892,1194.7897,1205.4282,1225.410034,1234.869995,1223.300049,1225.140015
30/07/19,1235.45,1246.2554,1225.4148,1236.2303,1223,1234,1207.764038,1216.680054
31/07/19,1246.0415,1256.9956,1235.8911,1246.7505,1214.030029,1234.109985,1205.719971,1209.01001
01/08/19,1241.9042,1252.9701,1231.6532,1242.4995,1200.73999,1206.900024,1188.939941,1193.98999
02/08/19,1234.6562,1245.8,1224.34,1235.1802,1170.040039,1175.23999,1140.140015,1152.319946
05/08/19,1226.2429,1237.4114,1215.8925,1226.7253,1163.310059,1179.959961,1160,1169.949951
06/08/19,1209.1438,1220.3118,1198.7312,1209.4902,1156,1178.444946,1149.624023,1173.98999
07/08/19,1201.7908,1212.9026,1191.4288,1202.1964,1182.829956,1205.01001,1173.02002,1204.800049
08/08/19,1202.4253,1213.4701,1192.1013,1202.8954,1197.98999,1203.880005,1183.603027,1188.01001
09/08/19,1214.3918,1225.411,1204.0869,1214.9589,1179.209961,1184.959961,1167.671997,1174.709961
12/08/19,1225.0546,1236.0704,1214.7465,1225.6771,1171.459961,1204.780029,1171.459961,1197.27002
13/08/19,1224.5332,1235.543,1214.2003,1225.1213,1176.310059,1182.300049,1160.540039,1164.290039
14/08/19,1223.2303,1234.2549,1212.8762,1223.793,1163.5,1175.839966,1162.109985,1167.26001
15/08/19,1217.0687,1228.0913,1206.695,1217.5778,1179.550049,1182.719971,1171.810059,1177.599976
16/08/19,1211.7201,1222.7123,1201.37,1212.2357,1190.089966,1206.98999,1190.089966,1198.449951
19/08/19,1212.5823,1223.5521,1202.2516,1213.129,1195.25,1196.060059,1182.109985,1182.689941
20/08/19,1221.4572,1232.4281,1211.1394,1222.069,1193.150024,1199,1187.430054,1191.25
21/08/19,1226.2977,1237.2668,1215.9767,1226.9261,1194.069946,1198.011963,1178.579956,1189.530029
22/08/19,1228.3606,1239.3328,1218.0343,1228.9941,1181.98999,1194.079956,1147.75,1151.290039
23/08/19,1227.3087,1238.288,1216.9668,1227.9183,1157.26001,1169.469971,1152.959961,1168.890015
26/08/19,1216.9229,1227.9026,1206.5431,1217.4268,1180.530029,1182.400024,1161.449951,1167.839966
27/08/19,1208.1359,1219.0801,1197.7896,1208.6388,1161.709961,1176.420044,1157.300049,1171.02002
28/08/19,1207.4214,1218.3236,1197.1184,1207.973,1181.119995,1196.060059,1181.119995,1192.849976
29/08/19,1209.2284,1220.0789,1198.9695,1209.8363,1198.5,1198.5,1183.802979,1188.099976
30/08/19,1217.1945,1228.045,1206.9404,1217.845,1177.030029,1186.890015,1163.199951,1168.390015
03/09/19,1224.2823,1235.1569,1214.0135,1224.9457,1176.709961,1183.47998,1171,1181.410034
04/09/19,1220.851,1231.7496,1210.54,1221.4329,1191.530029,1213.040039,1191.530029,1211.380005
05/09/19,1217.2874,1228.1892,1206.9866,1217.864,1208.130005,1212.015015,1202.521973,1204.930054
06/09/19,1223.2354,1234.174,1212.9255,1223.8375,1204,1220,1192.619995,1204.410034
09/09/19,1231.6942,1242.6654,1221.3793,1232.3398,1195.150024,1210,1194.579956,1206
10/09/19,1235.267,1246.2902,1224.8992,1235.8665,1203.410034,1222.599976,1202.199951,1220.170044
11/09/19,1234.7942,1245.8529,1224.3983,1235.3636,"1,203.41","1,222.60","1,202.20","1,220.17"
