Open,High,Low,Close,Volume
1644.150024,1682,1644.150024,1669.050049,39278
1625,1670,1621.199951,1645.349976,23165
1650,1650,1609.099976,1630.550049,66188
1629,1660.25,1629,1644.949951,96827
1655,1665,1634,1651.449951,26750
1665,1667,1635.050049,1643.900024,27324
1656,1685,1644.5,1661.050049,47689
1664.699951,1680,1605.25,1612.900024,70175
1612.849976,1650,1595,1605.650024,102814
1615,1618.849976,1579,1586.400024,36350
1605,1614,1545.199951,1594.099976,52802
1600,1614.900024,1580,1591.050049,66816
1550,1587.949951,1550,1572.75,28251
1555,1575,1534,1544.349976,23298
1575,1581.900024,1551.199951,1565.800049,26149
1550,1575,1480,1510.949951,61069
1525,1535,1452,1525.550049,41771
1527.949951,1565.050049,1492,1560.849976,23815
1575,1583,1522,1529.900024,26898
1543,1564.949951,1532.050049,1551.150024,25855
1556,1556,1489,1500.400024,104771
1509.900024,1519,1477,1514.550049,36728
1515,1534.800049,1504,1518.650024,26867
1521.099976,1592,1511.300049,1579.199951,66145
1593,1647,1593,1639.5,77636
1646.900024,1700,1637.099976,1679.050049,114660
1675,1689.800049,1655.5,1666.449951,29346
1699,1699,1631,1641,53179
1620,1676.400024,1620,1651.550049,49229
1660,1696,1645,1652.550049,49764
1659,1695,1655,1688.099976,77261
1695,1734,1689,1725.949951,77231
1727,1797.800049,1719.900024,1736.5,141184
1677,1764,1677,1745.699951,55219
1769,1775,1708,1720.900024,62540
1740,1752,1682.099976,1725.900024,50799
1765.349976,1765.349976,1703.099976,1710.150024,47132
1705,1720,1681.050049,1693.849976,41180
1690,1697,1651.25,1666.5,139226
1663.900024,1684,1655,1674.099976,36376
1674.099976,1684,1652,1671.800049,22240
1660,1712,1660,1700.949951,41942
1695,1700,1669,1674.75,53742
1695,1704,1661,1670.800049,32712
1650,1695.699951,1650,1685.449951,34068
1687.449951,1695,1658,1666.199951,37323
1656.25,1685,1644,1658.650024,18522
1663,1683,1645.199951,1665.050049,316806
1669,1695,1666.150024,1675.400024,497729
1674,1685,1655,1670.099976,55754
1698.699951,1701,1672.5,1690.099976,220567
1704,1719.800049,1692,1703.449951,28828
1709,1715,1707,1710.050049,790
1735,1776,1733,1743.599976,52620
1740,1750,1704,1707.25,45391
1716,1727.900024,1707.400024,1716.449951,27842
1739,1739,1705,1713.300049,64897
1730,1730,1710,1715.599976,180624
1720.050049,1729,1685,1695.849976,323502
1708.800049,1708.800049,1633.300049,1653.349976,605949
1655,1667.300049,1616,1646.949951,70469
1653,1688,1653,1674.75,58770
1690,1690,1640,1654.599976,66462
1654.599976,1663.800049,1616,1637.150024,94719
1630,1647,1617,1628.300049,218669
1627.800049,1645,1617,1623.150024,33807
1624,1698.5,1601,1694.699951,64287
1690.400024,1700,1658.099976,1671.449951,32986
1667,1688.099976,1650.050049,1678.550049,29396
1675,1692.800049,1641.300049,1646.800049,16046
1640,1665,1598.199951,1642.25,54362
1642,1652,1611.050049,1618,62941
1625,1640.550049,1542.199951,1549.349976,112307
1570,1570,1527,1537.5,165379
1525,1574,1497,1558.699951,33846
1560,1583.949951,1535,1579.949951,38189
1595,1605,1550,1568.449951,44511
1580,1631.900024,1575.050049,1600.550049,80257
1596,1610,1587.300049,1601.099976,72769
1541.199951,1595,1541.199951,1586.150024,98390
1588,1617.949951,1570,1583.650024,19902
1565,1621,1564,1609.949951,34535
1619,1628,1592.199951,1623.099976,31521
1632,1700,1620.199951,1690.199951,56413
1695,1715,1685.599976,1700.349976,35994
1709.699951,1710,1678,1696.650024,21883
