Date,Open,High,Low,Close,Volume
08/10/09,81.666702,84.533302,81.666702,83.466698,1859322
09/10/09,84.266701,85,81.5,82.933296,952413
12/10/09,83.333298,86.699997,81.949997,86.033302,2380863
14/10/09,86.666702,87.633301,85.733299,86.183296,1823073
15/10/09,86.666702,86.666702,83.233299,85.283302,1027947
16/10/09,85.666702,85.666702,83.416702,84.066704,606942
20/10/09,83.699997,84.566704,82.733299,83.5,1296093
21/10/09,83.666702,83.866699,80.666702,81.233299,788652
22/10/09,81.316704,83.333298,81,82.516701,687693
23/10/09,83.833298,86.866699,83.416702,86.616699,4523490
26/10/09,87.183296,88.766701,87,88.166702,2469798
27/10/09,88,89.300003,85.366699,86.683296,1828725
28/10/09,86.683296,87.616699,83.933296,86.283302,2893866
29/10/09,85.333298,87.75,84.966698,86.5,1606383
30/10/09,87.666702,87.666702,84.466698,85.050003,1709367
03/11/09,85,86.5,81.333298,82.800003,822909
04/11/09,83.333298,85.283302,81.333298,84.900002,1408122
05/11/09,85,85,82,84.133301,1909701
06/11/09,85.216698,85.216698,82.449997,82.849998,995097
09/11/09,82.849998,86.5,82.849998,86.083298,1095228
10/11/09,87.300003,87.300003,85.166702,85.800003,1407405
11/11/09,86.233299,86.5,85.233299,85.849998,3583743
12/11/09,85.849998,86.599998,84.016701,84.5,769338
13/11/09,85,85.599998,84,84.949997,748086
16/11/09,85.166702,86.316704,84.283302,85.333298,775035
17/11/09,85.333298,85.333298,84.083298,84.866699,498975
18/11/09,85,86.400002,84,86.233299,1309737
19/11/09,86.5,86.766701,85.050003,85.466698,1921533
20/11/09,85,86.966698,85,86.650002,1124277
23/11/09,87,90.066704,86.666702,89.716698,4293456
24/11/09,90.433296,90.433296,87.516701,87.883301,2152854
25/11/09,87.666702,89.833298,87.666702,89.583298,1427055
26/11/09,90,90.333298,86.300003,87.033302,1852560
27/11/09,84.366699,86.800003,84,85.400002,1002639
30/11/09,86.466698,87.300003,85.033302,85.933296,900303
01/12/09,86.333298,86.666702,85.333298,86.150002,540519
02/12/09,86.800003,86.800003,85.050003,85.583298,790080
03/12/09,85.800003,86.616699,84.849998,85.133301,988080
04/12/09,84.966698,86.5,84.633301,85.466698,1072587
07/12/09,86.199997,86.25,84.949997,85.199997,744336
08/12/09,85,86.383301,84.900002,86.116699,887610
09/12/09,86,86.166702,85.166702,85.483299,1689090
10/12/09,85.616699,86.216698,84.416702,84.916702,1838310
11/12/09,85.333298,85.333298,83.633301,84.150002,721272
14/12/09,83.766701,84.949997,77.333298,82.900002,736284
15/12/09,84.900002,84.900002,83,83.949997,776925
16/12/09,83.833298,84,82.650002,83.099998,497424
17/12/09,83.333298,83.933296,82.800003,83.166702,1029783
18/12/09,83.199997,83.449997,82.033302,82.383301,921318
21/12/09,82.383301,82.566704,81.216698,81.383301,2448534
22/12/09,81,82.916702,81,82.283302,635706
23/12/09,82.333298,84.916702,81.616699,84.550003,3107649
24/12/09,85,85.583298,85,85,10443
29/12/09,85.333298,85.766701,84.666702,85.433296,556677
30/12/09,85.633301,85.633301,83.366699,83.599998,723003
31/12/09,84.533302,84.633301,83.333298,83.616699,1186044
04/01/10,83.666702,84.766701,83.533302,84.533302,1478355
05/01/10,85.166702,85.566704,84.266701,85.349998,1146687
06/01/10,85.666702,86.166702,84.533302,85.466698,940980
07/01/10,85.666702,85.849998,84.616699,85.300003,1156950
08/01/10,85.433296,86.166702,85.166702,85.483299,779208
11/01/10,86.533302,86.533302,85.183296,85.349998,1232994
12/01/10,85.333298,85.333298,83.016701,83.383301,1393353
13/01/10,83.25,83.949997,82.416702,82.966698,2613504
14/01/10,83.583298,83.666702,82.283302,82.716698,3359793
15/01/10,83.033302,84.433296,82.449997,84.183296,1367133
18/01/10,84.516701,84.766701,83.383301,83.633301,672885
19/01/10,83.333298,83.949997,82.833298,83.300003,906015
20/01/10,83.616699,83.833298,82.366699,82.666702,947616
21/01/10,82.666702,83.333298,81,81.383301,1031184
22/01/10,81.666702,84.333298,80.5,83.116699,2807679
25/01/10,83.333298,85.333298,82.666702,84.949997,2079231
27/01/10,84.666702,86.400002,84.566704,85.283302,3639123
28/01/10,86,86,82.966698,84.833298,1581555
29/01/10,85,85.633301,83.066704,83.416702,816330
01/02/10,83.416702,84.066704,81.900002,82.133301,1036257
02/02/10,83.166702,83.333298,81.216698,81.550003,1318239
03/02/10,81.550003,84.683296,81.400002,84.183296,1287912
04/02/10,84,84.883301,83.166702,84.449997,1473042
05/02/10,82.716698,84.25,82.333298,82.583298,896607
08/02/10,82.650002,82.650002,78.716698,81.733299,826938
09/02/10,82,82.333298,81.183296,81.5,1031484
10/02/10,81.583298,82,80.666702,81.266701,489519
11/02/10,82.233299,82.666702,81.699997,82.383301,489978
15/02/10,82.949997,83.133301,81.716698,82.816704,387810
16/02/10,82.933296,83.666702,82.883301,83.316704,482517
17/02/10,84,84.150002,83.183296,83.616699,455445
18/02/10,84,84.233299,82.183296,82.849998,355563
19/02/10,82.849998,83.366699,81.783302,82.683296,312174
22/02/10,83.033302,83.650002,82.083298,82.416702,951192
23/02/10,82.5,83.050003,81.883301,82.800003,1634745
24/02/10,82.383301,83.416702,82.233299,82.5,723234
25/02/10,82.683296,82.949997,81.866699,82.433296,366336
26/02/10,82.666702,84.116699,76.333298,77.349998,8663499
02/03/10,77.75,81.449997,77.333298,80.650002,5013921
03/03/10,80.949997,82.083298,79.333298,81.533302,1343742
04/03/10,81.900002,82.333298,81.016701,81.866699,1935729
05/03/10,82,82.166702,81,81.516701,1365996
08/03/10,81.949997,83.933296,81.833298,83.5,2195184
09/03/10,83.766701,84.533302,83.266701,83.683296,1096062
10/03/10,83.683296,84.983299,83.683296,84.699997,2877657
11/03/10,84.5,85.449997,83.900002,85.099998,874857
12/03/10,85.099998,86.666702,85.099998,86.133301,1489191
15/03/10,86.666702,87.233299,86.166702,86.533302,1150371
16/03/10,86.633301,87,84.766701,86.550003,463155
17/03/10,86.666702,87.916702,86.333298,87.616699,1855896
18/03/10,87.599998,88,86.116699,86.833298,630504
19/03/10,87.566704,87.733299,86.416702,86.816704,840714
22/03/10,86.050003,87.183296,86,87.016701,561741
23/03/10,87.166702,87.266701,85.716698,86.916702,1859055
25/03/10,87.099998,88.5,86.666702,87.949997,1064031
26/03/10,88.083298,88.533302,87.266701,88.099998,744306
29/03/10,87.699997,90.333298,87.666702,89.650002,7224483
30/03/10,89.533302,90.900002,89.083298,89.633301,667566
31/03/10,90.666702,90.666702,87.166702,87.716698,749991
01/04/10,88.183296,88.966698,87.683296,88.116699,357804
05/04/10,88.449997,89.333298,87.783302,88.016701,516297
06/04/10,88.333298,88.933296,87.766701,88.666702,800808
07/04/10,89.233299,90.066704,87.833298,89.816704,1586418
08/04/10,89.516701,89.666702,88.550003,89.216698,804597
09/04/10,89.566704,90.050003,88.599998,89.533302,837723
12/04/10,89.933296,90.866699,89.116699,90.383301,855408
13/04/10,90.5,90.583298,89.266701,89.583298,411084
15/04/10,89.833298,90,87.166702,87.583298,545658
16/04/10,87.666702,89.933296,87.233299,89.75,791088
19/04/10,88.733299,89.133301,87.5,88.283302,644631
20/04/10,88.633301,88.800003,87,87.666702,425910
21/04/10,87.866699,88.316704,87.050003,87.349998,438375
22/04/10,87.666702,89,86.866699,87.916702,868401
23/04/10,88,89.166702,87.366699,88.949997,1746021
26/04/10,89.400002,90.033302,88.300003,88.816704,360912
27/04/10,88.75,90.300003,88.75,89.883301,1039512
28/04/10,89.333298,90.616699,88.666702,89.800003,1311996
29/04/10,90,90,88.449997,88.916702,783975
30/04/10,89.166702,89.166702,88.033302,88.349998,585864
03/05/10,88.349998,88.483299,87.333298,88.066704,399078
04/05/10,88.666702,88.833298,87,87.216698,2017830
05/05/10,86.666702,88,86.550003,87.550003,633420
06/05/10,87.199997,87.5,85.199997,86.316704,577479
07/05/10,85.666702,86.966698,84.616699,86.316704,467331
10/05/10,86.666702,87.550003,85.833298,87.283302,400680
11/05/10,87.666702,88.300003,86.116699,86.333298,1399473
12/05/10,86.666702,88.550003,86.333298,88.333298,542229
13/05/10,89,89.25,87.866699,88.783302,631857
14/05/10,89,90.933296,88.849998,89.383301,1259133
17/05/10,89.266701,89.666702,88.233299,88.566704,636693
18/05/10,88.666702,89.800003,87.633301,89.516701,378792
19/05/10,89.199997,89.333298,86,86.400002,512109
20/05/10,87.900002,88.416702,85.75,87.516701,2174337
21/05/10,87.666702,91.366699,85.699997,90.5,8624916
24/05/10,91.166702,93.983299,88.866699,89.433296,3489987
25/05/10,88.833298,90.066704,86.233299,86.933296,2751462
26/05/10,87.533302,89.666702,87.083298,89.449997,1210212
27/05/10,89.333298,92.566704,89.316704,91.716698,1608132
28/05/10,90.599998,94.366699,90.599998,94.033302,1674396
31/05/10,95,95.300003,93.599998,94.383301,925155
01/06/10,94.383301,95.233299,93.900002,94.25,789417
02/06/10,94.666702,94.900002,93.116699,93.916702,649425
03/06/10,94.133301,95.5,94.133301,94.949997,995178
04/06/10,95.133301,97.333298,95.016701,96.916702,1201860
07/06/10,96,96.333298,95.333298,95.816704,957123
08/06/10,95.599998,97.483299,95.599998,96.566704,1462929
09/06/10,94.933296,94.933296,92.050003,92.516701,3731091
10/06/10,92.516701,93.599998,92.033302,93.316704,922056
11/06/10,93.900002,94.300003,93.416702,93.633301,748929
14/06/10,93.75,95.633301,93.666702,95.333298,1052265
15/06/10,95.366699,97.466698,95.333298,97.183296,2658639
16/06/10,97.849998,98.666702,96.050003,96.916702,1761825
17/06/10,96.916702,98.916702,96.433296,97.949997,1548840
18/06/10,98.633301,99.900002,97.550003,98.066704,3724500
21/06/10,98.666702,100,97.983299,99.616699,2008431
22/06/10,99.616699,101.217003,99.300003,100.650002,1476120
23/06/10,100.583,101.300003,99.716698,100.949997,1208325
24/06/10,101.167,102.5,100.5,101.75,1451799
25/06/10,102.167,102.599998,100.333,100.717003,830643
28/06/10,100.782997,101.266998,99,99.183296,960486
29/06/10,99.183296,99.633301,98.400002,99.183296,1119477
30/06/10,98.550003,101.833,98.116699,101.583,1191996
01/07/10,101.667,101.667,100.182999,100.967003,566799
02/07/10,101,102,100.633003,100.883003,641097
05/07/10,101,101.25,100.432999,100.650002,683496
