,Predicted Values,,,,Acutal Values,,,,,,,,,,,,,,,
Date,Open,High,Low,Close,Open,High,Low,Close,,,,,,,,,,,,
07/08/19,263.647,266.32083,260.71774,263.42105,258.850006,259.450012,253.050003,253.75,,-1.853194471,-2.648224198,-3.030127212,-3.811251232,,1.21393,1,-0.5,0,,0
08/08/19,262.20712,264.84756,259.2858,261.98715,254.25,258.700012,252.949997,257.75,,-3.129644051,-2.376323044,-2.504765003,-1.643899127,,3.63012,1,-1.25,0,,0
09/08/19,258.35703,260.99905,255.51617,258.18823,259,259,253.600006,254.25,,0.248250965,-0.771833977,-0.755585156,-1.548959685,,-0.38755,0,-0.149994,0,,1
13/08/19,258.57578,261.1523,255.6828,258.3717,254.399994,254.399994,244.199997,246.100006,,-1.641425353,-2.654208396,-4.702212588,-4.986466355,,0.6827,1,0.5,1,,1
14/08/19,257.689,260.23956,254.79146,257.47742,245.600006,253.550003,244.199997,248.850006,,-4.922228707,-2.638358084,-4.337208489,-3.466913318,,6.55396,1,0,0,,0
16/08/19,250.92346,253.53232,248.19783,250.82509,248.850006,253.399994,247.399994,252.899994,,-0.833214366,-0.052220206,-0.322488286,0.820444464,,0.53008,1,-0.400009,0,,0
19/08/19,250.29501,252.83551,247.52922,250.16954,253.300003,257.450012,251,251.600006,,1.18633753,1.792387565,1.382780876,0.568547681,,-2.94923,0,-0.399994,0,,1
20/08/19,253.11877,255.56946,250.22601,252.90172,252,252.149994,245.550003,246.550003,,-0.443956349,-1.356123768,-1.904299305,-2.576238865,,-1.57539,0,-2.149994,0,,1
21/08/19,254.47711,256.90707,251.53145,254.21739,248.699997,248.699997,240.850006,241.600006,,-2.322924435,-3.299989183,-4.434894637,-5.222427023,,4.12034,1,-0.399994,0,,0
22/08/19,250.09705,252.59831,247.27864,249.91978,242,246,238.949997,240.100006,,-3.34588843,-2.682239837,-3.485517098,-4.089868286,,3.81791,1,0.650009,1,,1
23/08/19,246.10187,248.62903,243.37506,245.98631,239.449997,241.149994,234.699997,236,,-2.777979989,-3.101404182,-3.696234815,-4.231487288,,1.7048,1,-8,0,,0
26/08/19,244.28151,246.77988,241.56728,244.17128,244,244,234.949997,242.550003,,-0.115372951,-1.139295082,-2.81646439,-0.668430006,,3.47549,1,-1.949997,0,,0
27/08/19,240.69579,243.19315,238.04832,240.62607,244.5,246.350006,242.699997,245.550003,,1.55591411,1.281451562,1.916636612,2.005266927,,-1.67209,0,-1.449997,0,,1
28/08/19,242.29816,244.71248,239.55632,242.15889,247,247.550003,243.100006,245.800003,,1.903578947,1.146242361,1.45770708,1.481331552,,-4.09926,0,1.300003,1,,0
29/08/19,246.25815,248.59941,243.37828,246.01747,244.5,245.449997,240.350006,241.399994,,-0.719079755,-1.283117962,-1.259943384,-1.912790437,,-0.97928,0,-0.300003,0,,1
30/08/19,246.99675,249.35484,244.10252,246.74263,241.699997,247.050003,239.149994,245.550003,,-2.191457619,-0.932943522,-2.070886943,-0.485696186,,2.39398,1,0.699997,1,,1
03/09/19,244.34865,246.76736,241.54002,244.15454,244.850006,244.850006,240.649994,241.5,,0.204760461,-0.783072883,-0.369842519,-1.099188406,,-1.30298,0,-0.5,0,,1
04/09/19,245.45752,247.85547,242.60725,245.23694,242,244.5,241.25,243.149994,,-1.428727273,-1.372380368,-0.562590674,-0.858295723,,0.40834,1,0.849991,1,,1
05/09/19,244.8286,247.24023,241.9968,244.6207,242.300003,246.850006,242.149994,244.350006,,-1.043581085,-0.158081422,0.063264094,-0.110781254,,-0.46249,0,-1.449997,0,,1
06/09/19,245.08319,247.4901,242.24063,244.8698,245.800003,245.800003,243.300003,243.949997,,0.291624488,-0.687590309,0.435418408,-0.377045711,,-1.35965,0,-0.300003,0,,1
09/09/19,246.22945,248.62303,243.35306,245.9944,244.25,246.550003,243.25,245.5,,-0.810419652,-0.840814023,-0.042367934,-0.201384929,,-0.46236,0,0,0,,1
11/09/19,246.45676,248.859,243.58032,246.22353,245.5,245.550003,243,243.649994,,-0.389718941,-1.347585811,-0.238814815,-1.056242997,,-0.80517,0,-1.300003,0,,1
12/09/19,247.0287,249.43362,244.14215,246.79086,244.949997,244.949997,240.050003,240.800003,,-0.848623403,-1.830423782,-1.704706082,-2.487897394,,0.36453,1,-1.199997,0,,0
13/09/19,246.42633,248.85274,243.56801,246.20695,242,242.350006,238.600006,239.949997,,-1.829061983,-2.683199438,-2.082147475,-2.607607034,,1.85865,1,-0.75,0,,0
16/09/19,244.3483,246.80681,241.55711,244.17249,240.699997,241.050003,238.300003,239.350006,,-1.515705461,-2.388221086,-1.366809467,-2.014825101,,1.25469,1,-0.549988,0,,0
17/09/19,242.9178,245.37964,240.16226,242.7632,239.899994,240.050003,236.850006,237.149994,,-1.257943341,-2.22021951,-1.398460594,-2.366943345,,0.58507,1,-0.850006,0,,0
18/09/19,242.17813,244.62555,239.43166,242.02602,238,242.300003,234.100006,239.600006,,-1.755516807,-0.959780013,-2.277511262,-1.012526686,,1.43975,1,-0.799988,0,,0
19/09/19,240.58627,243.03197,237.87308,240.45328,240.399994,240.399994,236.149994,236.75,,-0.077485859,-1.094831974,-0.72965744,-1.564215417,,0.08942,1,-0.25,0,,0
20/09/19,240.36386,242.78482,237.64003,240.21823,237,248.399994,234.399994,238.149994,,-1.419350211,2.260537092,-1.382267953,-0.868459396,,0.6781,1,-10.950012,0,,0
23/09/19,239.54013,241.95274,236.82722,239.39638,249.100006,260.299988,249.100006,254.699997,,3.837766266,7.048501285,4.926850945,6.008487311,,-1.10493,0,-0.699997,0,,1
24/09/19,240.50131,242.88454,237.74886,240.3223,255.399994,258,253.899994,256,,5.833470771,5.858705426,6.36121874,6.124101562,,-12.16766,0,0.199997,1,,0
25/09/19,252.48996,254.72578,249.39423,252.06161,255.800003,256.200012,242.75,248.800003,,1.293996466,0.575422299,-2.737066941,-1.310935274,,-3.96943,0,0.949997,1,,0
26/09/19,256.03104,258.33823,252.90714,255.5678,247.850006,251.300003,246,250.350006,,-3.300800404,-2.800726986,-2.807780488,-2.08419967,,5.26381,1,-0.25,0,,0
27/09/19,250.30399,252.79109,247.41888,249.9985,250.600006,258.100006,250.100006,252.899994,,0.118122902,2.056922075,1.072021566,1.147289074,,-0.54996,0,-2.5,0,,1
30/09/19,250.54846,253.04552,247.67068,250.2513,255.399994,260.75,249.5,259.700012,,1.89958266,2.954738255,0.733194389,3.638317891,,-4.35147,0,0,0,,1
01/10/19,254.60277,257.0504,251.61607,254.23163,259.700012,262.450012,254.949997,255.899994,,1.962742304,2.057386837,1.307678776,0.651959374,,-3.04214,0,-1.100006,0,,1
03/10/19,257.27377,259.7203,254.23705,256.8699,257,262.100006,256.200012,261.600006,,-0.106525292,0.907938171,0.766183415,1.808144454,,-0.6972,0,-1.5,0,,1
04/10/19,257.5671,260.05032,254.55383,257.18457,263.100006,264,255.100006,257.25,,2.102966885,1.496090909,0.2141027,0.025434402,,-2.92087,0,-0.25,0,,1
07/10/19,260.10544,262.58,257.03836,259.6967,257.5,258.200012,250.800003,251.649994,,-1.011821359,-1.696354685,-2.487383144,-3.197578459,,0.43007,1,0.349994,1,,1
09/10/19,259.26663,261.78186,256.24957,258.90018,251.3,252.2,246.3,247.1,,-3.170167131,-3.799310071,-4.039614292,-4.775467422,,,,,,,21
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-0.545567498,-0.504063749,-0.97276477,-0.958967433,,,,,,,
