Open,High,Low,Close,Volume
231.25,231.712006,225.287994,226.938004,1306424
228,233.113007,226.261993,229.837006,2049720
228.75,233.225006,228.5,231.149994,1011484
235.5,235.811996,231.25,233.386993,1346400
235.475006,236.75,229.675003,232.311996,2326708
233.5,238.287994,231.5,237.5,2136712
235.75,240.125,233.761993,235.399994,2365860
237.5,239.75,234.5,235.824997,2661964
235.5,237.363007,233.75,234.675003,1487880
237.261993,237.5,233.824997,234.761993,895500
235.5,236.675003,232,234.837006,1019168
233.75,238.449997,232.511993,234.011993,1935340
232.625,236.824997,228.125,235.761993,938252
234.25,235.162994,228.886993,232.274994,1798492
236,239,229,233.587006,1917820
232.25,233.738007,221.75,224.162994,1262492
225,231.449997,218.25,229.475006,1212312
228.649994,233.738007,224.274994,232.600006,753448
229.600006,236,226.5,233.511993,495164
235,259.388,232.5,257.375,6869916
260.5,262.25,247.037994,249.899994,4429816
250,266,247.5,263.562012,4443720
269.75,269.75,250.850006,262.162994,2743344
255.75,264.138,249.162994,250.5,2184792
252.25,254.75,248.050003,251.375,2393840
252.5,257.475006,251.011993,255.087006,1597896
253.5,260.225006,251.561996,254.125,1153256
251.5,254.725006,241.287994,243.511993,1566716
242.5,248.238007,231.850006,246,1220064
245.300003,249.625,244.274994,246.636993,994072
243,248.5,241.399994,242.988007,1188332
242.5,244.675003,226,231.011993,3721488
228,233.600006,220.324997,227.311996,7326916
223.225006,231.238007,220.125,229.136993,3755384
234.225006,234.225006,227.800003,232.162994,1474564
233.75,236.774994,231.675003,234.574997,861096
237,242.25,231,232.261993,1057620
233.75,242.925003,233.75,239.574997,2346120
239,245.774994,238.800003,242.011993,1780952
244.975006,247.5,242.375,244.625,1654988
242.587006,249.050003,240.837006,247.324997,1241108
246.274994,253.725006,245.712006,248.912994,1639624
253.550003,259.200012,251.25,254.375,2143292
255,256.888,248.800003,250.5,723572
250.5,253.675003,246.511993,250.800003,1020372
248.787994,252.550003,245.287994,247.162994,761756
247.5,249.75,245.662994,247.938004,530668
249.024994,253.5,247,251.488007,923244
287.174988,287.174988,246.600006,248,754816
252.5,252.5,247.75,249.037994,636332
250,251.25,247.5,248.587006,372556
249.25,254.011993,248.074997,252.212006,954956
253.774994,255.188004,249.363007,250.712006,767824
252.5,253.412994,249.024994,249.649994,311792
250,252.449997,246.25,247.649994,730524
246.25,252.5,246.25,247.800003,843908
249.199997,258.25,248,255.75,1268756
258.5,263,257.274994,259.024994,1706608
258.549988,262.25,257.937988,260.299988,840360
260.75,261.25,252.488007,254.574997,734988
254.5,263.200012,252.524994,261.274994,2080960
262.5,266.174988,258.024994,259.625,1319720
262.25,265.975006,260,261.388,1315112
258.75,272.737,257.5,271.774994,2910448
276,276,267.75,270.362,1362068
275,286,271.5,284.287994,3870856
282.75,288.5,281.450012,284.263,1208876
269.125,287.475006,269.125,279.350006,629720
280.5,286,276.612,280.024994,657428
278.75,283.75,270.337006,276.850006,787508
272.75,289.5,269.325012,284.412994,2176368
282.5,282.5,256.399994,262.274994,4302320
260,260,231.774994,236.113007,2686004
239.625,252.625,237.25,249.212006,2997204
244,248.25,234.425003,243.125,1312588
241.25,247.725006,238.175003,242.149994,1158824
243.475006,249.449997,235.561996,237.199997,1183620
242.5,246.5,239.811996,240.975006,1286516
239.975006,241.949997,233.949997,235.912994,944008
232.524994,238.75,226.5,234.175003,854112
236.25,240.311996,231.25,235.761993,625648
230.524994,238.600006,230.524994,235.5,539220
237,241,232.037994,233.238007,588020
238,239.024994,234,235.175003,437160
235.5,239.050003,235.024994,236.988007,392224
239,239,235.25,237.475006,416352
239.5,242.75,238.5,239.949997,827240
241.225006,243.649994,237.912994,239.725006,509164
238.25,239.162994,233,235.037994,440920
238.787994,239.363007,233.475006,235.136993,418120
232.75,234.25,230,232.125,489340
230.261993,235.100006,228.311996,229.488007,695924
230.5,232.75,224.587006,226.863007,876132
231.050003,231.050003,220.561996,222.712006,1618956
225.25,226.824997,222.649994,224.287994,826260
226,228,224.75,227.25,532760
227.811996,230.662994,226.25,229.625,1261860
231.238007,236.225006,229.712006,232.925003,2210240
237.25,239.5,227.25,227.899994,1649728
227.75,230.475006,226,226.811996,1981948
226.899994,230.225006,222,224.837006,1105076
217.75,227.087006,217.75,225.875,813940
226.25,229,225.100006,226.761993,1007880
227,227.5,224.287994,225.625,1071648
226.25,229.875,226.25,228.363007,779820
230,233.561996,229.061996,229.636993,2117624
231.25,231.25,226.261993,226.688004,1542284
228.037994,229.25,225.837006,226.613007,900384
225,228.375,223.75,227.912994,1089636
228.5,229.550003,225.899994,227.537994,609348
229.050003,229.925003,222.524994,223.574997,1958456
226,227.738007,224.524994,226.761993,839664
227.625,228.699997,225.274994,226.074997,532008
226.074997,227.488007,220,220.636993,1669316
220,220.324997,212.25,213.274994,2644436
213.5,216.850006,208.25,214.875,1565996
217.5,217.5,212.274994,215.188004,955572
216.074997,216.725006,212.886993,215.287994,1375288
213.75,216.761993,210.274994,212.761993,1228660
213.25,215.25,211.350006,212.625,1376664
213,214.561996,211.75,212.511993,882352
212.75,214.25,211.300003,212.113007,691664
211.975006,213.975006,209.625,211.5,1933240
212.5,214.511993,210.261993,211.649994,1022648
211.261993,212.100006,209.261993,210.125,552336
208.75,209.350006,206.25,207.149994,620632
207.5,208.324997,205.274994,205.524994,347808
206.25,209.587006,205.625,207.488007,1021080
206.25,210,206.25,207.561996,733136
207.75,209,205.274994,206.024994,428176
206.5,208.5,205,205.561996,591428
209.699997,209.699997,198.712006,200.975006,786588
196.524994,199.449997,190.5,192.5,23668384
195.25,197,191.324997,192.061996,2988676
195.25,195.375,192,193.550003,1097208
192.524994,197,192.524994,193.811996,1248088
195,195.988007,185,185.938004,1596644
185.938004,185.938004,179.761993,184.087006,945024
185.5,189,181.5,183.550003,2001200
181.449997,181.925003,175,178.25,1411576
181.25,183.725006,178.75,182.962006,1148164
183.25,183.25,176.25,177.136993,852496
178,185.475006,175.5,183.5,1567912
185.75,186.5,181.787994,182.712006,1344628
181.912994,183,176.5,178.488007,623376
177.5,181,170.5,179.75,817556
180,181.5,177.25,178.350006,560720
177.25,180,167.800003,169.675003,791096
171.25,172.25,163.761993,165.462006,814540
164.25,164.5,158.149994,163.25,835992
165,169.25,164.399994,165.938004,521860
166.25,166.25,159,160.125,590360
161.25,163.725006,156.287994,158.636993,1242216
159.949997,159.949997,154.136993,155.136993,2230468
161.75,161.949997,156.511993,161,989088
161.75,162.675003,157.524994,159.050003,1053348
159,163.738007,158.037994,159.537994,1571440
160.5,168.375,159.25,167.300003,2078856
171.25,179.725006,168.75,178.675003,5799960
179.5,180.261993,175.386993,176.324997,2433356
174.75,179.113007,168.524994,176.863007,3452772
178.25,180.225006,173.761993,175.311996,2088724
175.875,178.688004,174.625,175.363007,1212552
176.25,179.375,175.625,178.837006,1266304
180.636993,183.600006,179.274994,181.875,3005120
182.524994,186.125,181.75,184.850006,1187176
185.050003,186.25,181.350006,183.261993,1014080
185,185,180.75,181.738007,582796
181.25,187,181.25,185.988007,1318752
186,188.975006,182.574997,183.949997,2335284
185,187.350006,181.774994,182.824997,1216260
181.25,183.25,170.425003,179.261993,1715960
178,188.475006,178,187.662994,5043080
188.5,188.774994,183.75,184.850006,2669468
185,187.175003,184,184.662994,651340
187.5,187.5,185.25,186,460220
186.5,190.5,182.962006,184.462006,2216816
182.550003,186.925003,182.550003,183.550003,1340440
182,186.600006,182,184.074997,1188184
184.649994,186,182.5,183.149994,466924
185.524994,191.050003,185.524994,188.412994,2071516
189.988007,191.75,188.787994,190.375,1573668
190.5,191.75,186.688004,189.100006,1323724
191.25,192,189.199997,190.613007,1012116
191.25,195.5,190.75,194.175003,2505016
194.524994,195.324997,191.537994,193.688004,705276
193.688004,193.688004,189.5,191.238007,754488
192,194.587006,190.074997,191.113007,777852
191.25,193,190.399994,191.975006,459036
190,193.912994,190,192.725006,466800
192.475006,192.725006,190,190.462006,533892
192.449997,192.449997,188.75,189.561996,531596
189.962006,190.863007,188.25,188.600006,475020
188.675003,188.899994,186.699997,187.425003,473424
188.75,189.962006,185.5,186.675003,679196
187.75,188.125,183.125,184.386993,873552
182.636993,182.636993,175.75,177.613007,2596700
177.5,182.425003,176.561996,179.162994,1735408
179.425003,180.475006,175.037994,175.662994,918160
176.25,178.475006,174.425003,175.050003,593852
176.25,176.875,175.074997,175.636993,470024
176,181.488007,175.875,180.636993,1320432
181.261993,184.738007,181.261993,184.311996,1581656
