Date,Open,Close,Label
02-01-2009,7.354,7.673,
05-01-2009,7.589,7.39,__label__1
06-01-2009,7.58,7.52,__label__2
07-01-2009,6.947,6.741,__label__1
08-01-2009,6.687,6.753,__label__1
09-01-2009,6.898,6.82,__label__2
12-01-2009,6.765,6.476,__label__1
13-01-2009,6.425,6.648,__label__1
14-01-2009,6.451,6.29,__label__1
15-01-2009,6.14,6.12,__label__1
16-01-2009,6.485,6.196,__label__2
20-01-2009,5.9,5.506,__label__1
21-01-2009,5.62,5.773,__label__2
22-01-2009,5.57,5.636,__label__1
23-01-2009,5.461,5.628,__label__1
26-01-2009,5.635,5.69,__label__2
27-01-2009,5.758,5.774,__label__2
28-01-2009,5.95,6.264,__label__2
29-01-2009,6.1,5.879,__label__1
30-01-2009,6.023,5.766,__label__2
02-02-2009,5.651,5.702,__label__1
03-02-2009,5.795,5.79,__label__2
04-02-2009,5.785,5.743,__label__1
05-02-2009,5.822,5.903,__label__2
06-02-2009,5.887,6.21,__label__1
09-02-2009,6.052,6.294,__label__1
10-02-2009,6.119,5.823,__label__1
11-02-2009,5.942,6.043,__label__2
12-02-2009,5.957,6.205,__label__1
13-02-2009,6.082,6.05,__label__1
17-02-2009,5.762,5.583,__label__1
18-02-2009,5.641,5.431,__label__2
19-02-2009,5.635,5.417,__label__2
20-02-2009,5.204,5.427,__label__1
23-02-2009,5.492,5.193,__label__2
24-02-2009,5.279,5.569,__label__2
25-02-2009,5.44,5.279,__label__1
26-02-2009,5.36,5.177,__label__2
27-02-2009,5.16,5.1,__label__1
02-03-2009,4.975,4.738,__label__1
03-03-2009,4.818,4.873,__label__2
04-03-2009,5.01,5.061,__label__2
05-03-2009,4.726,4.673,__label__1
06-03-2009,4.775,4.771,__label__2
09-03-2009,4.635,4.595,__label__1
10-03-2009,4.753,5.099,__label__2
11-03-2009,5.137,5.017,__label__2
12-03-2009,4.899,5.131,__label__1
13-03-2009,5.232,5.319,__label__2
16-03-2009,5.35,5.234,__label__2
