Headlines,Labels
"buy hdfc bank, oil india, ncc: sandeep wagle",1
deutsche's 10 pick to play the rural demand theme,1
more bank cut rate by up to 0.9%,1
here be a few stock ideas from ajay bodke,1
yes bank cut base lend rate by 25 bps to 10.5%,1
keki mistry on hdfc's mega fund-raise drive,0
hold hdfc bank; target of rs 513: unicon investment,1
hdfc bank q1 net may rise 31% at rs 1862cr: motilal oswal,0
here be top 10 stock to keep an eye on january 9,0
buy hdfc bank; target of rs 2251: prabhudas lilladher,0
pick kotak mahindra bank: ashwani gujral,1
"bank of baroda valuation pick, say vineet bhatnagar",1
retail credit add to 23% loan book expansion: hdfc bank,0
consumer loan become cheaper as bank adopt new rate formula,0
"hdfc bank's q2 result on oct 21, 2015",1
"sell bajaj auto, hdfc, pidilite; buy hdfc bank, sbi: thacker",0
hdfc bank q4 nii see up 20% to rs 2824cr,0
"hold hdfc bank, say prakash gaba",0
india inc q4 advance tax nos a mix bag,0
"pick hdfc bank, icici bank, axis bank: sukhani",0
"buy hero motocorp, indusind bank on dips: sudarshan sukhani",0
"icici bank, hdfc bank good picks: siddharth bhamre",0
"buy state bank of india, hdfc bank: sudarshan sukhani",0
"prefer infosys, tcs, axis bank, hdfc bank: gaurang shah",0
hdfc bank q2 earn preview: watch out for these 5 key factor,1
will appoint external agency to probe scams: new bob chief,0
bank may further cut interest rat by end of week: hdfc,1
"hdfc bank fpi trade: rbi, sebi to tighten norms on trigger point",0
"fidelity tip india infrastructure, consumer firm",0
"sbi, hdfc bank, icici bank have upside potential: sukhani",1
"tcs biggest wealth creator in 2012-17, ajanta pharma the fastest: wealth creation study",1
remain invest in hdfc bank: vijay chopra,0
motilal oswal neutral on hdfc bank,0
top diwali stock pick by r sreeshankar,0
obc cut rat on select term deposit by 0.10%,0
"hdfc bank cut base rate by 10 bps, stock down",0
hdfc bank have target of rs 1850-1900: mohindar,0
buy hdfc bank; target of rs 2288: krchoksey,1
uday & uday: matchmakers of kotak moment,1
"avoid hdfc bank, say sudarshan sukhani",1
"buy ril, hdfc bank, lic house finance: sudarshan sukhani",1
12 budget measure to expect; stock likely to benefit: db,0
hdfc bank q3 pat may rise 25.3% at rs 2329.8cr: icicidirect,0
"buy hdfc bank, tata steel, interglobe aviation, v-guard industries, bombay dyeing: ashwani gujral",1
"buy hdfc bank, hindustan zinc; sell jet air, cummins: sukhani",0
hdfc bank may test rs 1100-1120: devang mehta,1
news highlight for the day: centre to table triple talaq bill in parliament tomorrow,1
"short axis bank, hdfc bank: sukhani",0
"hdfc bank trim workforce by 11,000 in 9 months",0
hdfc bank appoint umesh chandra sarangi as additional director,1
analysts see limit impact on banks' earn after rbi move,0
retail credit to grow 40% on back of rate cut: vijaya bank,0
"buy hdfc bank, future consumer, krbl: ashwani gujral",1
hdfc bank launch credit card with no pre-set limit,0
punjab national bank cut fix deposit rat by 0.25%,0
"buy hdfc bank, advise sudarshan sukhani",1
hdfc bank sign mou with government e-marketplace,1
cobrapost expose: rbi initiate action against bank,0
see pick up in credit growth by quarter-end: hdfc bank,1
angel broking neutral on hdfc bank,0
super six intraday pick for the day,0
book profit in axis bank: sp tulsian,1
hdfc bank can test rs 2000: bhambwani,0
why psbs may bridge valuation gap with private bank,1
indusind bank may slip to rs 426: sp tulsian,0
here be some stock ideas from sp tulsian,0
hdfc bank may slip to rs 495: harchekar,0
super six intraday pick for may 15,0
here be top 10 stock to focus on april 8,1
"enter axis bank, hdfc bank, icici bank: sp tulsian",0
govt spend to help boost credit growth: hdfc bank chair,0
hdfc bank revise lend rat base on marginal cost,0
"buy, sell, hold: 4 key stock to watch out post q3 result",1
"buy hdfc bank, vedanta; ambuja cement may test rs 212: taparia",0
cobrapost expose: axis bank: systems robust; to probe money launder claim,1
hold hdfc bank; target of rs 650: icicidirect.com,1
"buy hdfc bank, target of rs 1,139: sharekhan",1
"hold hdfc bank, target rs 1738: indiabulls securities",0
"hdfc bank q2 meet estimates, profit and nii increase 21%",1
axis bank have support at rs 930-940: amit gupta,0
hdfc bank q4 pat see up 31% at rs 1099 cr,0
"hdfc bank q3 profit rise 20%; loan growth strong, but have asset quality hiccup",1
ncmsl enter into strategic alliance with corporation bank,0
buy hdfc bank; target of rs 1387: geojit bnp paribas,0
psu bank employees go on two-day strike,1
hdfc bank allot 1988635 equity share under esop,1
see 10-15% upside in axis bank: ts harihar,1
hdfc bank: outcome of committee meet,1
prefer hdfc bank over icici bank: ramki ramakrishnan,0
manish chowdhary positive on private sector bank,0
"buy yes bank, indusind bank, hdfc bank on dips: ashwani gujral",0
"hdfc bank mop up rs 1,405 cr from bond",0
hdfc bank: outcome of agm,0
buy hdfc bank; target of rs 925: plilladher,1
"icici bk rule out money laundering, see transaction error",0
"hdfc bank q1 loan book grow 22% to rs 7.08 lakh crore, deposit growth at 20%",1
buy hdfc bank: sudarshan sukhani,0
"banks' credit rise over 16% y-o-y, deposit up at 14%",1
sbi launch contactless debit and credit card,1
loan growth to be impact by economic slowdown: hdfc bank,1
hdfc bank: re-appointment of chairman,1
hdfc bank q2 nii see up 18% at rs 2981 cr,0
"pick axis bank, federal bank, hdfc bank: ambareesh baliga",0
hdfc bank to outperform amongst banks: mohindar,1
"look at axis bank, icici bank, hdfc bank: mayuresh joshi",0
"hdfc bank to train 25,000 people in cashless transactions",1
"sell hdfc bank, voltas; buy adani transmission: ashwani gujral",1
buy hdfc bank; target of rs 2050: icici direct,1
"buy hdfc bank, reliance industries: mitesh thacker",1
"hdfc bank raise rs 8,000 crore in largest issue of perpetual debt fund",0
"buy hdfc bank, yes bank: tirthankar patnaik",0
"sell icici bank, hdfc bank, bhel; buy cadila health: gujral",0
look at reform positively: aditya puri,0
"buy axis bank, hdfc bank, icici bank: mayuresh joshi",0
"motilal oswal neutral on hdfc bank, target of rs 515",0
"hdfc bank may hit rs 1405, bata india rs 515: rajat bose",0
"buy, sell, hold: how to trade bank & auto stocks?",0
reliance ind pay rs 850 crore oct-dec advance tax,0
"hdfc bank's agm on july 21, 2016",1
finmin set up panel to iron out insurance broking issue,0
"hdfc bank q3 profit up 30%, challenge ahead",1
"rakesh jhunjhunwala's rare enterprises, hdfc bank, icici bank interest in il&fs securities: report",1
"prefer axis bank, icici bank and hdfc bank: baliga",1
here be how bad loan affect bank in jan-march quarter,1
"buy hdfc bank, mrf, adani ports, fortis health: mitesh thacker",1
hdfc bank recommend 343% dividend,0
"hdfc bank, icici bank good bets: kulkarni",1
hdfc bank cut lend rate by 0.15%,1
prabhat awasthi bullish on bank,1
"hdfc, hdfc bank should outperform nifty: sudarshan sukhani",1
"sp tulsian negative on bank nifty, may touch 12300",0
