text,label
"HDFC Bank to have 200 branches in north-east, hire 2,000 people",__label__1
"Marcellus Investment€™s Saurabh Mukherjea: Economic revival won't happen this year, it's a next fiscal story",__label__1
"Foreign brokerages raise target of these 10 stocks post Q2 earnings, do you own any?",__label__1
Happy to sacrifice margins in lieu of deposits: HDFC Bank,__label__2
HDFC Bank emerges as India's most valuable brand,__label__2
"Podcast | Stock picks of the day: Nifty likely to trade in the range of 10,740€“11,100",__label__2
HDFC Bank doubles mid-corporate loan book in 3 years; may cross Rs 1L cr mark by Sept-end,__label__2
HDFC Bank to offer 2 mn credit/debit cards to millennials in next 2 years,__label__2
HDFC Banks CSR spend rises 20% to Rs 444 cr in FY19,__label__1
"MFs flocked to IndusInd, Kotak Mahindra Bank and Infosys in July",__label__1
"Buy HDFC Bank, target Rs 2,820: Anand Rathi",__label__1
"Podcast | Stock picks of the day: Nifty likely to hover within 11,100-11,500 levels this week",__label__1
Friendship and banking are not co-related: Aditya Puri,__label__2
"Buy HDFC Bank, target Rs 2,820: Anand Rathi",__label__1
"HDFC Bank plans to list NBFC arm, raise $1 bn",__label__2
"Buy HDFC Bank, target Rs 2820: Anand Rathi",__label__2
HDFC: The new buyout brother in insurance,__label__2
Canara Bank revives plan to sell stake in Can Fin Homes,__label__2
Buy HDFC Bank; target of Rs 2780: Motilal Oswal,__label__1
HDFC Bank launches global search for Aditya Puri's successor,__label__2
Here are the mutual fund favourites in April,__label__1
HDFC Bank to mull 2-for-1 stock split on May 22,__label__1
Buy HDFC Bank; target of Rs 2683: KR Choksey,__label__1
Buy HDFC Bank; target of Rs 2700: ICICI Direct,__label__1
Buy HDFC Bank; target of Rs 2635: Nalanda Securities,__label__1
Buy HDFC Bank; target of Rs 2750: Sharekhan,__label__1
Buy HDFC Bank; target of Rs 2700: Prabhudas Lilladher,__label__1
Buy HDFC Bank; target of Rs 2700: Prabhudas Lilladher,__label__1
Accumulate HDFC Bank; target of Rs 2550: Dolat Capital,__label__1
HDFC Bank reports healthy numbers in Q4; what should investors do now?,__label__1
Ideas for Profit | HDFC Bank Q4 review: Steady show aided by robust loan growth; must buy,__label__1
