text,label
Two-wheeler sales down 13.5% in November,__label__2
Hero MotoCorp sets up interim council to oversee sales division after senior official quits,__label__1
"Hero Moto puts brakes on BS IV Splendor, other models, forms team to oversee BS VI transition",__label__1
Slowdown impact: China beats India in monthly two-wheeler sales to reclaim top spot,__label__1
"Hero-backed Ather Energy looks to set up new factory, introduce electric motorcycle & cheaper scooters",__label__2
Chinese company CFMoto plans to storm Indian market; to go head-to-head with Bajaj and Honda,__label__2
"Hero sets sights on Africa to challenge Bajaj, TVS; targets five-fold rise in sales from exports",__label__2
Hero MotoCorp sales dip 18% in October,__label__2
Hero MotoCorp crosses 25 mn cumulative production milestone at Haridwar plant,__label__2
Hero MotoCorp shuts down US company after failing to launch bikes,__label__2
Activa back in numero uno position; Honda doubles output,__label__1
Festive season may boost auto sales in 2HFY20; analyst bet on these auto stocks,__label__2
"Hero MotoCorp sales dip 20% in September to 6,12,204 units",__label__2
Hero MotoCorp comes out with voluntary retirement scheme for employees,__label__1
"After Ratan Tata, Pawan Munjal boards Ola Electric; investment delinked from Hero MotoCorp",__label__1
Ather uses real-time data generated by its electric bikes to solve drivability problems,__label__2
"Auto sector tracker: Despite production cuts, stock inventory remains high with dealers",__label__2
Hero MotoCorp manufacturing plants to remain shut for 4 days till August 18,__label__1
"Podcast | Stock picks of the day: Nifty likely to face resistance around 11,080-11,120 levels",__label__2
Family pact may not allow Pawan Munjal to use Hero brand name for EVs,__label__2
"Car, two-wheeler prices head north despite weak demand",__label__2
Hero Motocorp Q1 PAT may dip 10.9% YoY to Rs. 809.8 cr: Kotak,__label__2
Hero Motocorp Q1 PAT may dip 15.7% YoY to Rs. 766.3 cr: Prabhudas Lilladher,__label__2
Hero MotoCorp increases prices of motorcycles & scooters by up to 1%,__label__1
Buyers find no Karizma in Hero MotoCorp€™s earliest rival to the Bajaj Pulsar,__label__2
"Hero MotoCorp sales dip 12% in June to 6,16,526 units",__label__2
Accumulate Hero MotoCorp; target of Rs 2784: Prabhudas Lilladher,__label__1
Honda joins the tribe to oppose govt€™s diktat on compulsory transition to electric by 2025,__label__1
"Honda unveils BS-VI Activa 125, sales to start in September quarter",__label__1
"Hero MotoCorp lines up Rs 1,500 cr capex for current fiscal",__label__1
Buy Hero Motocorp; target of Rs 3080: HDFC Securities,__label__2
Hero MotoCorp sales dip 17% in April,__label__2
"Hero MotoCorp to nearly double FY20 capex to Rs 1,500 crore for Andhra plant, BS-VI lines",__label__2
Accumulate Hero Motocorp; target of Rs 2784: Prabhudas Lilladher,__label__1
Hold Hero Motocorp; target of Rs 2700: ICICI Direct,__label__1
Ideas for Profit | Hero MotoCorp: Q4 earnings dismal; long-term valuations attractive,__label__1
"Hero Motocorp Standalone March 2019 Net Sales at Rs 7,884.96 crore, down 7.93% Y-o-Y",__label__1
Hero Motocorp Q4 profit tanks 25% to Rs 730 crore on weak sales volume,__label__1
"Hero Moto Q4 preview: Profit, operating income may tank on lower volume",__label__1
"Yamaha looks to revamp India play with new scooters, sports bikes",__label__2
Hero Motocorp Q4 PAT may dip 27.8% YoY to Rs. 698.3 cr: Sharekhan,__label__2
Hero Motocorp Q4 PAT may dip 25.3% YoY to Rs. 722.8 cr: Prabhudas Lilladher,__label__1
Hero MotoCorp sales down 1.96% in February,__label__2
Hold Hero Motocorp; target of Rs 3120: Arihant Capital,__label__2
Buy Hero MotoCorp; target of Rs 3000: ICICI Direct,__label__2
Feb auto sales data expected to be mixed on weak retail demand,__label__2
"Growth slowdown: Two-wheeler companies, dealers struggle to liquidate stock; inventories rise by 4 weeks",__label__2
Accumulate Hero Motocorp; target of Rs 2947: Prabhudas Lilladher,__label__1
Honda in favour of two GST slabs for two-wheelers,__label__1
Accumulate Hero MotoCorp; target of Rs 3066: Dolat Capital,__label__1
Union Budget 2019-20 brings cheers to companies in the two-wheeler space,__label__2
Budget 2019: Govt disappoints two-wheeler companies with no GST relief,__label__2
Ideas for Profit | Hero MotoCorp: Raw material prices weigh on Q3 margin; near-term outlook weak,__label__2
"First cut | Hero MotoCorp Q3FY19: Margin under pressure, subdued demand outlook near term",__label__2
"Hero Motocorp Standalone December 2018 Net Sales at Rs 7,864.82 crore, up 7.66% Y-o-Y",__label__2
Hero MotoCorp Q3 PAT dips 4.5% to Rs 769.1 cr,__label__2
Hero Moto Q3 preview: Profitability may take a hit on weak operating performance,__label__2
Hero MotoCorp sets up R&D centre in Germany,__label__2
"Technical View | Top buy and sell ideas by Ashwani Gujral, Sudarshan Sukhani, Prakash Gaba for short term",__label__2
Hero Motocorp Q3 PAT may dip 6.5% YoY to Rs. 753.4 cr: Motilal Oswal,__label__2
"No year-end joy for automobile sector due to slump in bike, scooter demand in December",__label__1
Transcript| Hero MotoCorp Q2 FY €˜19 Earnings Conference Call,__label__1
Hero MotoCorp pitches for 18% GST on two-wheelers,__label__1
Hold Hero MotoCorp; target of Rs 3675: Sharekhan,__label__1
Eight years after split Honda leads India race while Hero lags,__label__2
"Buy Hero Motocorp with target Rs 3,650: Hadrien Mendonca",__label__2
"Hero Electric raises Rs 160 crore, sells minority stake to Alpha Capital Advisors",__label__1
Citi sees 23% upside in Hero MotoCorp after November sales data,__label__2
"Buy Hero MotoCorp, target Rs 3250: Vinay Rajani",__label__2
"Buy Hero Motocorp with target Rs 3,350: Shabbir Kayyumi",__label__2
"Hero MotoCorp, Tiger Woods extend association by four years",__label__2
Buy or sell: Top stock trading ideas by market experts which are good short-term bets,__label__2
Honda could consider launching more powerful scooters after 2020,__label__2
"Hero MotoCorp sales rise 16% to 7,34,668  units in October",__label__1
Buy Hero MotoCorp; target of Rs 3810: Centrum,__label__2
Entry-level bikes put Bajaj Auto on growth lane; market share at 4-year high,__label__2
Buy Hero MotoCorp; target of Rs 3810: Centrum,__label__1
Hold Hero MotoCorp; target of Rs 3036: Nalanda Securities,__label__1
"Hero Motocorp Standalone September 2018 Net Sales at Rs 9,090.94 crore, up 8.72% Q-o-Q",__label__2
Honda Activa crosses 2 crore volume mark,__label__2
"CLSA, Credit Suisse, BofAML slash Hero MotoCorp target price post Q2 results",__label__2
"Hero Motocorp Standalone September 2018 Net Sales at Rs 9,090.94 crore, up 8.72% Q-o-Q",__label__1
"Hero Motocorp Standalone September 2018 Net Sales at Rs 9,090.94 crore, up 8.72% Q-o-Q",__label__1
"Hero MotoCorp Q2 profit falls 3% to Rs 976 cr, volume growth lifts revenue 9%",__label__1
Hero Moto Q2 preview: Brokerages see fall in profit on slow revenue growth,__label__1
"Discounting not a good long term strategy, says Honda Motor's chief on Bajaj€™s price war",__label__2
Short-covering rally may extend this week; 5 stocks for double-digit returns,__label__2
Hero Motocorp Q2 PAT may dip 9% YoY to Rs. 919.1 cr: Prabhudas Lilladher,__label__2
Here€™s why Hero MotoCorp is a long term buy,__label__1
Hero Motocorp Q2 PAT may dip 9.8% YoY to Rs. 911.6 cr: Motilal Oswal,__label__2
"Ideas For Profit: Strong outlook, attractive valuation make Minda Corp a long-term buy",__label__1
Hero MotoCorp to hikes prices by up to Rs 900 from October 3,__label__2
Accumulate Hero Motocorp; target of Rs 3824: Prabhudas Lilladher,__label__2
Hero MotoCorp may launch 4 new 200-300cc bikes over the next 18 months,__label__1
"Hero MotoCorp sales rise to 685,047 units in August",__label__2
Insurance premium hike to hit bike demand more than car,__label__1
"Hero launches Xtreme 200R at Rs 89,900, to take on Bajaj Pulsar 200NS",__label__1
Accumulate Hero MotoCorp; target of Rs 3473: Kotak Securities,__label__1
Honda India two-wheeler business crosses five lakh mark in sales,__label__2
Accumulate Hero Motocorp; target of Rs 3824: Prabhudas Lilladher,__label__2
