Time,Dates,Sources,Headlines
5.28 pm , 27 Dec 2006,@,Prefer Bajaj Auto to Hero Honda Motors
5.00 pm , 27 Dec 2006,@,Margin pressure to stay for 2-3 quarters: Hero Honda
11.45 am , 22 Dec 2006,@,Driving into 2007: Where is the auto sector headed?
2.53 pm , 15 Dec 2006,@,Avoid Hero Honda
2.49 pm , 15 Dec 2006,@,Stay away from Hero Honda
8.20 am , 12 Dec 2006,@,Bike makers line up 60 new models for launch next year
3.33 pm , 07 Dec 2006,@,Hero Honda will continue to underperform in next month
10.19 am , 04 Dec 2006,@,Hero Honda a market performer: Karvy 
11.38 am , 02 Dec 2006,@,Hero Honda to stay with 100CC bikes
6.54 pm , 01 Dec 2006,@,Prefer Bajaj Auto over Hero Honda
4.00 pm , 01 Dec 2006,@,Bajaj Auto a great pick
2.55 pm , 01 Dec 2006,@,"November, a weak month for auto sales"
2.53 pm , 01 Dec 2006,@,Not considering any price hike now: Hero Honda
12.29 pm , 01 Dec 2006,@,Buy M&M at every decline
10.34 am , 01 Dec 2006,@,Buy Hero Honda Motors: P-Sec
4.34 pm , 29 Nov 2006,@,Damania bullish on four-wheelers stock
2.15 pm , 29 Nov 2006,@,How will auto sales numbers show this time?
4.14 pm , 24 Nov 2006,@,Bajaj Auto can touch Rs 2900-3000
5.30 pm , 23 Nov 2006,@,Tata Motors looks stronger than Maruti Udyog
4.28 pm , 22 Nov 2006,@,Exit Hero Honda Motors on upside
11.12 am , 21 Nov 2006,@,FY07 EPS seen at Rs 16: Shivam Autotech
5.00 pm , 20 Nov 2006,@,Hero Honda looks good
3.31 pm , 20 Nov 2006,@,Hero Honda has resistance at Rs 740-760
8.49 am , 20 Nov 2006,@,Xenitis in JV with China's Guangzhou Motors 
2.29 pm , 11 Nov 2006,@,Hero Honda & IAF announced �Sadbhavna Yatra�
8.22 am , 10 Nov 2006,@,TVS Motor to come back with new products in bike segment 
5.05 pm , 09 Nov 2006,@,Bajaj Auto can touch Rs 2900-3000
5.52 pm , 08 Nov 2006,@,Don't exit Hero Honda Motors
5.00 pm , 08 Nov 2006,@,Buy Hero Honda at lower levels
4.25 pm , 08 Nov 2006,@,Bajaj Auto can test Rs 2500
2.32 pm , 08 Nov 2006,@,Stay invested in Hero Honda
2.21 pm , 08 Nov 2006,@,"Don't buy Hero Honda, Bajaj Auto"
5.56 pm , 02 Nov 2006,@,Hero Honda reports record sales in October 2006
3.39 pm , 02 Nov 2006,@,Stay away from auto sector
3.11 pm , 02 Nov 2006,@,Buy TVS Motor
