Headlines,Labels
"cement company drill rs 350cr hole in indusind, yes bank profit",1
use dip to enter indusind bank: rahul mohindar,0
"add yes bank, indusind bank: nitin jain",1
go long in indusind bank; short biocon: rahul shah,1
"indiabulls house finance look good, say prakash gaba",0
baliga bullish on private sector bank,0
limit upside in indusind bank: p sekhar,1
"top 10 stocks: focus on ril, hcl, bajaj auto, usl",1
"indusind bank inaugurate new branch in bhinder, rajasthan",1
"short indusind bank, say aashish tater",0
"buy dlf, tata motors, dabur, aurobindo pharma: ashwani gujral",1
comment- be bharat financial a worthy inclusion for indusind?,1
"buy, sell, hold: 9 stock and 7 sectors be on the radar of analysts۪ today",0
indusind bank q3 net profit at rs 45.06 cr,0
sell indusind bank mar fut below rs 423; tgt rs 409: iifl,0
like dcb bank; axis bank can outperform: rahul mohindar,1
yes bank may test rs 440-450: sp tulsian,1
indusind bank secure $200 mn loan from adb for microlending,0
book partial profit in indusind bank: sanjeev agarwal,1
"buy indusind bank, upl, lic house finance: kunal saraogi",0
iifl's technical and f&o strategy for 4 popular stock,1
indusind bank receive rbi approval to set up ifsc bank unit,1
go long on indusind bank with target of rs 460: thukral,1
"yes bank, indusind bank good investment bets: prime broking",0
"buy financial tech, havells, indusind bank: parag doctor",1
"buy psu banks, tata steel, hindalco: sudarshan sukhani",1
"short bhel, indusind bank: ashish chaturmohta",1
buy indusind bank; target of rs 1914: anand rathi,1
"yes bank, indusind bank look good: gopi suvanam",1
look at hdfc bank: anand tandon,1
buy indusind bank; target of rs 419: motilal oswal,1
"buy yes bank, indusind bank on dips, gail may hit rs 425: gujral",1
analysts stay bullish on indusind despite one-off provision restrict q4 profit growth,1
"indusind bank q4 profit see up 26% at rs 783 cr, loan growth may be 25%",0
indusind bank to raise rs 10 billion by dec,1
npas improve drastically in fy09; now at 1%: indusind bank,0
no exposure to stress out aviation space: indusind bank,0
"hdfc bank, indusind better play in bank space: sabharwal",0
"buy indusind bank, hdfc bank, bharat financial inclusion: ashwani gujral",1
indusind bank can test rs 240-250: gujral,1
buy indusind bank; target of rs 470: firstcall research,1
indusind bank q3 profit see up 27% to rs 443 cr: poll,0
indusind bank raise $500 mn from overseas lenders,0
"buy indusind bk, bajaj holdings, m&m; sell auro pharma: thakkar",0
downward pressure may see indusind bank: jain,1
"prefer hdfc bank, icici bank: bnp paribas securities",1
"indusind bank q4 result review: brokerages give a thumb up, see up to 20% upside",1
"sell cipla, tata global beverage: rajat bose",0
indusind bank may buy rbs' indian operations,0
super six: top chart pick for february 25,1
"prefer axis bank, pnb: harendra kumar",0
"sell indusind bank, target rs 760: shubham agarwal",0
"hold indusind bank, advise kunal bothra",0
"bull's eye: buy bajaj finserv, kingfisher, short hdil",1
"indusind bank q3 profit rise 25%, nii miss estimates; asset quality weaken a bite",1
"buy m&m financial, indusind bank, exide: sudarshan sukhani",1
"bank past npa crisis, normalisation 3-4 qtrs away: exide life",1
short indusind bank; target rs 810-815: hemant thukral,0
exit idfc bank at around rs 48: vishal malkan,1
book profit in indusind bank at current level: sukhani,1
indusind bank dec '10 profit at rs 914.91 crore,1
"induslnd bank, american express announce strategic partnership",0
"buy indusind bank, escorts, motherson sumi: ashwani gujral",1
short bank of india; buy indusind bank: sukhani,1
indusind bank trade in range of rs 120-145: thacker,1
"indusind bank relocate branch in valsad, gujarat",1
indusind bank inaugurate new branch in faridkot,1
buy indusind bank at rs 170: salil sharma,0
