Dates,Headlines
01 Nov 2019,IndusInd Bank finalises Sumant Kathpalia as new MD & CEO
31 Oct 2019,IndusInd Bank board finalises appointment of next MD & CEO
14 Oct 2019,IndusInd Bank €“ At what price do potential negatives get priced in?
11 Oct 2019,"Podcast | Stock picks of the day: See immediate support for Nifty at 11,100 levels"
10 Oct 2019,"Board to finalise successor in next meeting: Romesh Sobti, Indusind Bank"
10 Oct 2019,IndusInd Bank may appoint Sumant Kathpalia as CEO Romesh Sobti's successor
23 Jul 2019,"IndusInd Bank plans to raise up to Rs 20,000 cr by issuing bonds on pvt placement basis"
20 Jul 2019,Bet on these four stocks for double-digit returns
15 Jul 2019,IndusInd Bank: Strong possibility of a medium term rally in the stock
12 Jul 2019,Double digit growth in Q1 NII on cards for IndusInd Bank; Bharat Financial merger may hit profit
19 Jun 2019,lnduslnd Bank-Bharat Financial merger to be effective from July 4
19 Jun 2019,Buy IndusInd Bank; target of Rs 1861: KR Choksey
14 Jun 2019,"Positive on Cholamandalam Finance, M&M Finance and Shriram Transport Finance: Prabhudas Lilladher"
14 Jun 2019,"IndusInd Bank, Bharat Financial boards likely to meet next week to finalise merger, says Romesh Sobti"
12 Jun 2019,Buy IndusInd Bank; target of Rs 1900: Motilal Oswal
06 Jun 2019,Buy IndusInd Bank; target of Rs 1964: HDFC Securities
29 May 2019,Buy IndusInd Bank; target of Rs 1860: ICICI Direct
26 May 2019,Buy IndusInd Bank; target of Rs 1832 Prabhudas Lilladher
24 May 2019,Ideas for Profit | Add IndusInd Bank after soft Q4 on IL&FS recognition
22 May 2019,RBI may not increase age limit for bank CEOs over 70 years: Report
22 May 2019,"IndusInd Bank Standalone March 2019 Net Interest Income (NII) at Rs 2,232.38 crore, up  11.2% Y-o-Y"
22 May 2019,IndusInd Bank Q4 PAT falls 62% to Rs 360 crore
22 May 2019,IndusInd Bank to post its Q4 numbers today; here's is what brokerages expect
09 Apr 2019,Indusind Bank Q4 Net Profit may dip 44.8% YoY to Rs. 526.1 cr: Motilal Oswal
08 Apr 2019,"IndusInd Bank plans to raise Rs 2,700 crore via bonds"
08 Apr 2019,Indusind Bank Q4 Net Profit may dip 37.1% YoY to Rs. 599.5 cr: Kotak
28 Mar 2019,Moody's keeps stable outlook on Indusind on maiden rating
19 Feb 2019,"Top buy and sell ideas by Ashwani Gujral, Sudarshan Sukhani, Mitessh Thakkar for short term"
28 Jan 2019,"Buy IndusInd Bank, says Mazhar Mohammad"
11 Jan 2019,Buy IndusInd Bank; target of Rs 1935: HDFC Securities
11 Jan 2019,Hold IndusInd Bank; target of Rs 1720: Arihant Capital
10 Jan 2019,Buy IndusInd Bank; target of Rs 1900: Motilal Oswal
09 Jan 2019,"IndusInd Bank Standalone December 2018 Net Interest Income (NII) at Rs 2,288.09 crore, up  20.76% Y-o-Y"
09 Jan 2019,IndusInd Bank Q3 FY19: Expect elevated provision and muted stock performance near term
09 Jan 2019,IndusInd Bank Q3FY19 Review €“ in line except for IL&FS exposure
09 Jan 2019,"IndusInd Bank Q3 profit rises 5% at Rs 985 cr, IL&FS-linked provisions total Rs 600 cr so far"
09 Jan 2019,Indusind Bank Q3 Net Profit seen up 6.5% YoY to Rs. 996.9 cr: Prabhudas Lilladher
09 Jan 2019,Indusind Bank Q3 Net Profit seen up 2% YoY to Rs. 954.9 cr: ICICI Direct
08 Jan 2019,IndusInd Bank Q3: Brokerages say profit may take a hit on IL&FS exposure
16 Nov 2018,"In tough year for finance, Moneycontrol Wealth Creator Awards honours India's best"
13 Nov 2018,IndusInd Bank calls off deal to acquire IL&FS Securities Services
24 Oct 2018,Accumulate IndusInd Bank; target of Rs 1743: Arihant Capital
22 Oct 2018,India Inc Q2FY19 review €“ predictable start with visible margin pressure
18 Oct 2018,Buy IndusInd Bank; target of Rs 1954: HDFC Securities
18 Oct 2018,Buy IndusInd Bank; target of Rs 2100: Motilal Oswal
18 Oct 2018,Buy IndusInd Bank; target of Rs 2097: KR Choksey
18 Oct 2018,Buy Indusind Bank; target of Rs 2270: LKP Research
18 Oct 2018,Buy IndusInd Bank; target of Rs 2000: Prabhudas Lilladher
17 Oct 2018,Buy IndusInd Bank; target of Rs 1916: Nalanda Securities
17 Oct 2018,Buy IndusInd Bank; target of Rs 2075: JM Financial
17 Oct 2018,Buy IndusInd Bank; target of Rs 1900: ICICI Direct
17 Oct 2018,Accumulate IndusInd Bank; target of Rs 1800: Dolat Capital
17 Oct 2018,Buy IndusInd Bank; target of Rs 1914: Anand Rathi
16 Oct 2018,"What should investors do with IndusInd Bank post Q2 results? Buy, sell or hold"
15 Oct 2018,Ideas For Profit |IndusInd Bank Q2 €“ steady show except for the shadow of IL&FS
15 Oct 2018,"IndusInd Bank Standalone September 2018 Net Interest Income (NII) at Rs 2,203.28 crore, up  20.99% Q-o-Q"
15 Oct 2018,"IndusInd Bank Q2 profit rises 4.6% to Rs 920 cr; asset quality improves, loan growth at 32%"
14 Oct 2018,"IndusInd Bank Q2 preview: PAT may grow 23%, but analysts watch out for IL&FS impact"
12 Oct 2018,"After recent drubbing, here€™s how you could trade your banking, NBFC stocks"
09 Oct 2018,"Buy IndusInd Bank, target Rs 1740: Jayant Manglik"
10 Sep 2018,"Buy IndusInd Bank with target Rs 2,248: AnandRathi"
13 Aug 2018,"Buy IndusInd Bank, target Rs 2248: AnandRathi"
11 Aug 2018,IndusInd Bank board approves appointment of 2 additional directors
24 Jul 2018,"RBI must allow microfinance firms to lend to small, mid-sized segments: MFIN President"
13 Jul 2018,Buy IndusInd Bank; target of Rs 2120: JM Financial
13 Jul 2018,Buy IndusInd Bank; target of Rs 2080: Edelweiss
13 Jul 2018,Buy IndusInd Bank; target of Rs 2248: Anand Rathi
13 Jul 2018,Accumulate IndusInd Bank; target of Rs 2033: KR Choksey
13 Jul 2018,Buy IndusInd Bank; target of Rs 1971: HDFC Securities
11 Jul 2018,Buy IndusInd Bank; target of Rs 2075: Prabhudas Lilladher
11 Jul 2018,Buy IndusInd Bank; target of Rs 2250: Motilal Oswal
11 Jul 2018,"Analysts retain positive stance on IndusInd Bank, expect stock to return up to 21% post stable Q1"
11 Jul 2018,IndusInd Bank €“ as steady as it gets
10 Jul 2018,"IndusInd Bank posts 23% rise in Q1FY19 net profit at Rs 1,035.7 crore"
10 Jul 2018,IndusInd Bank to kick off bank results today; may post over 21% YoY rise in net profit
26 Jun 2018,IndusInd Bank to acquire IL&FS' brokerage business
18 Jun 2018,"IndusInd bank to maintain stable asset quality over FY19-20, stock may give 14% return: Anandrathi"
07 Jun 2018,"Buy IndusInd Bank, target Rs 2248: Siddharth Sedani"
23 Apr 2018,Buy IndusInd Bank; target of Rs 1966: HDFC Securities
23 Apr 2018,Buy IndusInd Bank; target of Rs 2050: ICICI Direct
23 Apr 2018,Accumulate IndusInd Bank; target of Rs 2033: KRChoksey
23 Apr 2018,"Buy IndusInd Bank, target Rs 2250: Yogesh Mehta"
20 Apr 2018,Buy IndusInd Bank; target of Rs 2075: Prabhudas Lilladher
20 Apr 2018,Buy IndusInd Bank; target of Rs 2020: Edelweiss
20 Apr 2018,Buy Indusind Bank; target of Rs 2150: Motilal Oswal
20 Apr 2018,"IndusInd Bank Q4 result review: Brokerages give a thumbs up, see up to 20% upside"
19 Apr 2018,IndusInd Bank €” no derailment but divergence points to higher scrutiny from RBI
19 Apr 2018,"IndusInd Bank's Q4 net profit rises 27% YoY, divergence in NPAs stood at Rs 1,350 cr"
19 Apr 2018,"IndusInd Bank Q4 profit seen up 20%, provisions and exposure to gems, jewellery in focus"
17 Apr 2018,Deutsche Bank ends talks over sale of India business: Sources
04 Apr 2018,IndusInd Bank gets RBI nod to acquire IL&FS arm
03 Apr 2018,IndusInd Bank customers will soon see transactions on WhatsApp
22 Mar 2018,IDFC may put its AMC biz on sale: Here's what makes it an attractive buy
21 Mar 2018,"Buy, Sell, Hold: 5 stocks are on analysts€™ radar on March 21, 2018"
28 Feb 2018,"Sell PNB, IndusInd Bank, Hindalco Industries, Yes Bank; buy Jubilant Foodworks, Tata Elxsi: Ashwani Gujral"
27 Feb 2018,IndusInd Bank and Ripple tie-up for cross border remittances
26 Feb 2018,"Buy Interglobe Aviation, PC Jeweller, Ahluwalia Contracts, IndusInd Bank: Ashwani Gujral"
20 Feb 2018,"News highlights of the day: ArcelorMittal, Numetal bids for Essar Steel recommended for rejection"
20 Feb 2018,IndusInd Bank exposure to Gitanjali Gems in 'small' 2-digits
17 Jan 2018,Buy IndusInd Bank; target of Rs 2060: Axis Direct
17 Jan 2018,"News highlights of the day: Bitcoin slumps to under $10,000 after regulatory fears grow"
15 Jan 2018,Accumulate IndusInd Bank; target of Rs 1900: Dolat Capital
12 Jan 2018,Hold IndusInd Bank; target of Rs 1875: Arihant Capital
12 Jan 2018,"Buy Cera Sanitaryware, IndusInd Bank, Reliance Industries: Ashwani Gujral"
12 Jan 2018,IndusInd Bank €“ Long-term strategy intact; stock fully priced
12 Jan 2018,Seeing good credit growth in vehicle finance: IndusInd Bank
12 Jan 2018,IndusInd Bank rises 1% post Q3 show; brokerages remain upbeat
11 Jan 2018,"News highlights of the day: Fingerprint, iris data in Aadhaar are safe, secure: Ravi Shankar Prasad"
11 Jan 2018,Buy IndusInd Bank; target of Rs 2076: Motilal Oswal
11 Jan 2018,Buy IndusInd Bank; target of Rs 2020: Edelweiss
11 Jan 2018,Buy IndusInd Bank; target of Rs 1889: HDFC Securities
11 Jan 2018,Buy IndusInd Bank; target of Rs 2120: JM Financial
11 Jan 2018,"IndusInd Bank Q3 profit rises 25%, NII misses estimates; asset quality weakens a bit"
11 Jan 2018,"IndusInd Bank may post more than 22% growth in Q3 profit, net interest income"
06 Jan 2018,"Paytm Payments Bank, IndusInd tie-up for fixed deposit facility"
01 Jan 2018,IndusInd Bank raises $500 mn from overseas lenders
01 Jan 2018,IndusInd Bank concludes USD 500mn Syndicated Term  Loan Facility from overseas investors
01 Jan 2018,"News highlights of the day: After Trump tweet, Pakistan says made 'unmatched sacrifices' in war on terror"
18 Dec 2017,"Buy IndusInd Bank, JSW Steel, Sun Pharmaceutical Industries: Rahul Shah"
11 Dec 2017,"Prefer IndusInd Bank, Yes Bank: Ashwani Gujral"
24 Nov 2017,"Buy IndusInd Bank, M&M Finance: Mitessh Thakkar"
20 Nov 2017,"News highlights of the day: Shia Waqf Board calls for temple in Ayodhya, mosque in Lucknow"
03 Nov 2017,"Buy Indusind Bank, Nalco, Kolte-Patil Developers: Ashwani Gujral"
02 Nov 2017,Buy IndusInd Bank; target of Rs 1920: Axis Direct
30 Oct 2017,"Will move out of villages where there is no recovery, says Bharat Financial"
18 Oct 2017,India Inc's first quarter post GST: Here's a sector-wise review of early results
18 Oct 2017,Buy IndusInd Bank; target of Rs 1952: Prabhudas Lilladher
18 Oct 2017,Buy IndusInd Bank; target of Rs 1920: ICICI Direct
18 Oct 2017,Buy IndusInd Bank; target of Rs 2120: JM Financial
16 Oct 2017,Buy IndusInd Bank; target of Rs 1920: ICICI Direct
16 Oct 2017,Accumulate IndusInd Bank; target of Rs 1889: KR Choksey
16 Oct 2017,Buy IndusInd Bank; target of Rs 1650: JM Financial
16 Oct 2017,"Analysts remain positive on IndusInd Bank, expect up to 14% return post Bharat Financial merger"
16 Oct 2017,IndusInd-Bharat Financial deal: Here's how experts are looking at it
16 Oct 2017,Merger will enable us to give higher ticket size loans: Bharat Financial
14 Oct 2017,"IndusInd, Bharat Fin merger: Premium paid for cost reduction, synergies and rural reach"
14 Oct 2017,IndusInd Bank: Outcome of board meeting
14 Oct 2017,IndusInd Bank announces merger with Bharat Financial
14 Oct 2017,Banking sector wrap: Banks kickstart results season amid insolvency struggles
13 Oct 2017,Buy IndusInd Bank; target of Rs 1920: Edelweiss
12 Oct 2017,IndusInd reports a picture-perfect result even as buzz builds around Bharat Financial buy
12 Oct 2017,Book profits in IndusInd Bank: Sandeep Wagle
12 Oct 2017,Sell IndusInd Bank at around Rs 1800: Vijay Chopra
12 Oct 2017,IndusInd Bank Q1 net up 25% at Rs 880.1 crore; net NPAs rise to Rs 537 cr
12 Oct 2017,IndusInd Bank: Outcome of board meeting
12 Oct 2017,FIFA Under 17 World Cup: India knocked-out after losing 4-0 to Ghana
11 Oct 2017,"IndusInd Bank Q2 profit, net interest income may increase over 25%"
11 Oct 2017,Banks set to report grim September quarter financial results
09 Oct 2017,"Buy IndusInd Bank, PVR; Trident may test Rs 135: Ashwani Gujral"
03 Oct 2017,"IndusInd Bank's board meeting on October 12, 2017"
27 Sep 2017,"Sell IndusInd Bank, SBI; buy Tech Mahindra: Ashwani Gujral"
25 Sep 2017,"Hold IndusInd Bank, says Gaurang Shah"
25 Sep 2017,Stay invested in IndusInd Bank: Prakash Gaba
21 Sep 2017,"Buy IndusInd Bank, HDFC, Ajanta Pharma: Ashwani Gujral"
18 Sep 2017,"Buy IndusInd Bank, Raymond, CESC; hold Yes Bank: Ashwani Gujral"
16 Sep 2017,"This week in banking: IndusInd-Bharat Fin merger on cards, Bandhan Bank announces IPO plans"
15 Sep 2017,IndusInd Bank secures $200 mn loan from ADB for microlending
14 Sep 2017,Buy IndusInd Bank; target of Rs 1650: JM Financial
13 Sep 2017,"Buy HDFC Bank, IndusInd Bank, Chambal Fertilisers: Ashwani Gujral"
11 Sep 2017,Bharat Financial deal - IndusInd Bank unlikely to overpay
11 Sep 2017,"Buy IndusInd Bank, Muthoot Finance, M&M Financial Services: Ashwani Gujral"
11 Sep 2017,IndusInd Bank Limited
11 Sep 2017,"IndusInd Bank, Bharat Financial enter agreement to evaluate strategic share swap deal"
11 Sep 2017,IndusInd Bank enters into agreement with Bharat Financial Inclusion
08 Sep 2017,A move above 10K required for breakout; 5 stocks which can give nearly 10% return
07 Sep 2017,"Buy IndusInd Bank, National Aluminium Company: Sandeep Wagle"
07 Sep 2017,"Expect Indusind & Bharat Financial to rally post deal, if it happens: Investec Capital"
01 Sep 2017,"Buy IndusInd Bank, Escorts, Motherson Sumi: Ashwani Gujral"
31 Aug 2017,IndusInd Bank inaugurates new branch in Faridkot
23 Aug 2017,"Buy IndusInd Bank, Bharat Financial Inclusion: Mitessh Thakkar"
23 Aug 2017,"Buy IndusInd Bank, HDFC Bank, Bharat Financial Inclusion: Ashwani Gujral"
23 Aug 2017,"Sell Dabur, Apollo Tyres; buy CONCOR, Aptech, Future Consumer: Mitessh Thakkar"
20 Jul 2017,Buy IndusInd Bank; target of Rs 1720: Axis Direct
15 Jul 2017,"This week in banking: RBI Guv talks on demonetisation, 2 pvt banks post results; insolvency hiccups continue"
12 Jul 2017,Buy IndusInd Bank; target of Rs 1734: Edelweiss
12 Jul 2017,Buy IndusInd Bank; target of Rs 1663: HDFC Securities
12 Jul 2017,Accumulate IndusInd Bank; target of Rs 1681: KR Choksey
12 Jul 2017,"IndusInd Bank Q1 review: Brokerages highlight steady results, see slight risks to asset quality"
12 Jul 2017,"Valuation key in Bharat Financial deal; CV space to do well in Q3, Q4: IndusInd Bank"
