text,label
IndusInd Bank finalises Sumant Kathpalia as new MD & CEO,__label__2
IndusInd Bank board finalises appointment of next MD & CEO,__label__2
IndusInd Bank €“ At what price do potential negatives get priced in?,__label__2
"Podcast | Stock picks of the day: See immediate support for Nifty at 11,100 levels",__label__2
"Board to finalise successor in next meeting: Romesh Sobti, Indusind Bank",__label__2
IndusInd Bank may appoint Sumant Kathpalia as CEO Romesh Sobti's successor,__label__2
"IndusInd Bank plans to raise up to Rs 20,000 cr by issuing bonds on pvt placement basis",__label__2
IndusInd Bank: Strong possibility of a medium term rally in the stock,__label__2
Double digit growth in Q1 NII on cards for IndusInd Bank; Bharat Financial merger may hit profit,__label__2
lnduslnd Bank-Bharat Financial merger to be effective from July 4,__label__2
Buy IndusInd Bank; target of Rs 1861: KR Choksey,__label__2
"Positive on Cholamandalam Finance, M&M Finance and Shriram Transport Finance: Prabhudas Lilladher",__label__2
"IndusInd Bank, Bharat Financial boards likely to meet next week to finalise merger, says Romesh Sobti",__label__2
Buy IndusInd Bank; target of Rs 1900: Motilal Oswal,__label__2
Buy IndusInd Bank; target of Rs 1964: HDFC Securities,__label__1
Buy IndusInd Bank; target of Rs 1860: ICICI Direct,__label__1
Ideas for Profit | Add IndusInd Bank after soft Q4 on IL&FS recognition,__label__2
RBI may not increase age limit for bank CEOs over 70 years: Report,__label__2
"IndusInd Bank Standalone March 2019 Net Interest Income (NII) at Rs 2,232.38 crore, up  11.2% Y-o-Y",__label__2
IndusInd Bank Q4 PAT falls 62% to Rs 360 crore,__label__2
IndusInd Bank to post its Q4 numbers today; here's is what brokerages expect,__label__2
Indusind Bank Q4 Net Profit may dip 44.8% YoY to Rs. 526.1 cr: Motilal Oswal,__label__2
"IndusInd Bank plans to raise Rs 2,700 crore via bonds",__label__2
Indusind Bank Q4 Net Profit may dip 37.1% YoY to Rs. 599.5 cr: Kotak,__label__2
Moody's keeps stable outlook on Indusind on maiden rating,__label__2
"Top buy and sell ideas by Ashwani Gujral, Sudarshan Sukhani, Mitessh Thakkar for short term",__label__1
"Buy IndusInd Bank, says Mazhar Mohammad",__label__1
Buy IndusInd Bank; target of Rs 1935: HDFC Securities,__label__2
Hold IndusInd Bank; target of Rs 1720: Arihant Capital,__label__2
Buy IndusInd Bank; target of Rs 1900: Motilal Oswal,__label__2
"IndusInd Bank Standalone December 2018 Net Interest Income (NII) at Rs 2,288.09 crore, up  20.76% Y-o-Y",__label__1
IndusInd Bank Q3 FY19: Expect elevated provision and muted stock performance near term,__label__1
IndusInd Bank Q3FY19 Review €“ in line except for IL&FS exposure,__label__1
"IndusInd Bank Q3 profit rises 5% at Rs 985 cr, IL&FS-linked provisions total Rs 600 cr so far",__label__1
Indusind Bank Q3 Net Profit seen up 6.5% YoY to Rs. 996.9 cr: Prabhudas Lilladher,__label__1
Indusind Bank Q3 Net Profit seen up 2% YoY to Rs. 954.9 cr: ICICI Direct,__label__1
IndusInd Bank Q3: Brokerages say profit may take a hit on IL&FS exposure,__label__2
"In tough year for finance, Moneycontrol Wealth Creator Awards honours India's best",__label__2
IndusInd Bank calls off deal to acquire IL&FS Securities Services,__label__2
Accumulate IndusInd Bank; target of Rs 1743: Arihant Capital,__label__2
India Inc Q2FY19 review €“ predictable start with visible margin pressure,__label__2
Buy IndusInd Bank; target of Rs 1916: Nalanda Securities,__label__2
Buy IndusInd Bank; target of Rs 2075: JM Financial,__label__2
Buy IndusInd Bank; target of Rs 1900: ICICI Direct,__label__2
Accumulate IndusInd Bank; target of Rs 1800: Dolat Capital,__label__2
Buy IndusInd Bank; target of Rs 1914: Anand Rathi,__label__2
"What should investors do with IndusInd Bank post Q2 results? Buy, sell or hold",__label__2
Ideas For Profit |IndusInd Bank Q2 €“ steady show except for the shadow of IL&FS,__label__2
"IndusInd Bank Standalone September 2018 Net Interest Income (NII) at Rs 2,203.28 crore, up  20.99% Q-o-Q",__label__2
"IndusInd Bank Q2 profit rises 4.6% to Rs 920 cr; asset quality improves, loan growth at 32%",__label__2
"After recent drubbing, here€™s how you could trade your banking, NBFC stocks",__label__2
"Buy IndusInd Bank, target Rs 1740: Jayant Manglik",__label__2
"Buy IndusInd Bank with target Rs 2,248: AnandRathi",__label__1
"Buy IndusInd Bank, target Rs 2248: AnandRathi",__label__1
"RBI must allow microfinance firms to lend to small, mid-sized segments: MFIN President",__label__2
Buy IndusInd Bank; target of Rs 2120: JM Financial,__label__2
Buy IndusInd Bank; target of Rs 2080: Edelweiss,__label__2
Buy IndusInd Bank; target of Rs 2248: Anand Rathi,__label__2
Accumulate IndusInd Bank; target of Rs 2033: KR Choksey,__label__2
Buy IndusInd Bank; target of Rs 1971: HDFC Securities,__label__2
Buy IndusInd Bank; target of Rs 2075: Prabhudas Lilladher,__label__2
Buy IndusInd Bank; target of Rs 2250: Motilal Oswal,__label__2
"Analysts retain positive stance on IndusInd Bank, expect stock to return up to 21% post stable Q1",__label__2
IndusInd Bank €“ as steady as it gets,__label__2
"IndusInd Bank posts 23% rise in Q1FY19 net profit at Rs 1,035.7 crore",__label__2
IndusInd Bank to kick off bank results today; may post over 21% YoY rise in net profit,__label__2
IndusInd Bank to acquire IL&FS' brokerage business,__label__1
"IndusInd bank to maintain stable asset quality over FY19-20, stock may give 14% return: Anandrathi",__label__1
"Buy IndusInd Bank, target Rs 2248: Siddharth Sedani",__label__2
Buy IndusInd Bank; target of Rs 1966: HDFC Securities,__label__2
Buy IndusInd Bank; target of Rs 2050: ICICI Direct,__label__2
Accumulate IndusInd Bank; target of Rs 2033: KRChoksey,__label__2
"Buy IndusInd Bank, target Rs 2250: Yogesh Mehta",__label__2
Buy IndusInd Bank; target of Rs 2075: Prabhudas Lilladher,__label__2
Buy IndusInd Bank; target of Rs 2020: Edelweiss,__label__2
Buy Indusind Bank; target of Rs 2150: Motilal Oswal,__label__2
"IndusInd Bank Q4 result review: Brokerages give a thumbs up, see up to 20% upside",__label__2
IndusInd Bank €” no derailment but divergence points to higher scrutiny from RBI,__label__2
"IndusInd Bank's Q4 net profit rises 27% YoY, divergence in NPAs stood at Rs 1,350 cr",__label__2
"IndusInd Bank Q4 profit seen up 20%, provisions and exposure to gems, jewellery in focus",__label__2
Deutsche Bank ends talks over sale of India business: Sources,__label__1
IndusInd Bank gets RBI nod to acquire IL&FS arm,__label__1
IndusInd Bank customers will soon see transactions on WhatsApp,__label__1
IDFC may put its AMC biz on sale: Here's what makes it an attractive buy,__label__2
"Buy, Sell, Hold: 5 stocks are on analysts€™ radar on March 21, 2018",__label__2
"Sell PNB, IndusInd Bank, Hindalco Industries, Yes Bank; buy Jubilant Foodworks, Tata Elxsi: Ashwani Gujral",__label__1
IndusInd Bank and Ripple tie-up for cross border remittances,__label__2
"Buy Interglobe Aviation, PC Jeweller, Ahluwalia Contracts, IndusInd Bank: Ashwani Gujral",__label__2
"News highlights of the day: ArcelorMittal, Numetal bids for Essar Steel recommended for rejection",__label__1
IndusInd Bank exposure to Gitanjali Gems in 'small' 2-digits,__label__1
Buy IndusInd Bank; target of Rs 2060: Axis Direct,__label__1
"News highlights of the day: Bitcoin slumps to under $10,000 after regulatory fears grow",__label__1
Accumulate IndusInd Bank; target of Rs 1900: Dolat Capital,__label__1
Hold IndusInd Bank; target of Rs 1875: Arihant Capital,__label__2
"Buy Cera Sanitaryware, IndusInd Bank, Reliance Industries: Ashwani Gujral",__label__2
IndusInd Bank €“ Long-term strategy intact; stock fully priced,__label__2
Seeing good credit growth in vehicle finance: IndusInd Bank,__label__2
IndusInd Bank rises 1% post Q3 show; brokerages remain upbeat,__label__2
"News highlights of the day: Fingerprint, iris data in Aadhaar are safe, secure: Ravi Shankar Prasad",__label__2
Buy IndusInd Bank; target of Rs 2076: Motilal Oswal,__label__2
Buy IndusInd Bank; target of Rs 2020: Edelweiss,__label__2
Buy IndusInd Bank; target of Rs 1889: HDFC Securities,__label__2
Buy IndusInd Bank; target of Rs 2120: JM Financial,__label__2
"IndusInd Bank Q3 profit rises 25%, NII misses estimates; asset quality weakens a bit",__label__2
"IndusInd Bank may post more than 22% growth in Q3 profit, net interest income",__label__2
IndusInd Bank raises $500 mn from overseas lenders,__label__1
IndusInd Bank concludes USD 500mn Syndicated Term  Loan Facility from overseas investors,__label__1
"News highlights of the day: After Trump tweet, Pakistan says made 'unmatched sacrifices' in war on terror",__label__1
"Buy IndusInd Bank, JSW Steel, Sun Pharmaceutical Industries: Rahul Shah",__label__2
"Prefer IndusInd Bank, Yes Bank: Ashwani Gujral",__label__1
