Time,Dates,Sources,Headlines
12.20 pm , 31 Dec 2012 ,   Source: Moneycontrol.com,IndusInd Bank gains 1.5% on Motilal Oswal buy report
12.00 pm , 28 Dec 2012 ,   Source: Moneycontrol.com,IndusInd Bank a market performer: SMC Global
3.23 pm , 27 Dec 2012 ,   Source: CNBC-TV18,Hold IndusInd Bank: Angel Broking
7.58 pm , 24 Dec 2012 ,   Source: PTI,IndusInd bank promoter sells 46 lkh shares for Rs 196 crore
11.19 am , 19 Dec 2012 ,   Source: Moneycontrol.com,"IndusInd Bank Q3 results on Jan 09, 2013"
9.52 am , 19 Dec 2012 ,   Source: Moneycontrol.com,"L&T Finance, Bajaj Finance rally post Banking Bill cleared"
8.01 pm , 13 Dec 2012 ,   Source: PTI,Credo India Fund buys 19 lakh IndusInd Bank shares
2.01 pm , 13 Dec 2012 ,   Source: Moneycontrol.com,IndusInd Bank enhances its core banking system to Finacle 10.2 version
9.00 am , 13 Dec 2012 ,   Source: CNBC-TV18,Super Six short term picks for Dec 13
3.00 pm , 12 Dec 2012 ,   Source: CNBC-TV18,"IndusInd Bank may rally to Rs 445-450, says Harchekar"
3.53 pm , 11 Dec 2012 ,   Source: PTI,"IndusInd raises Rs 2,000 cr via QIP issue"
1.49 pm , 11 Dec 2012 ,   Source: Moneycontrol.com," Induslnd Bank raises Rs 2,000 crore"
1.45 pm , 11 Dec 2012 ,   Source: Moneycontrol.com,IndusInd Bank falls 2% after Rs 2K cr QIP issue
7.28 pm , 10 Dec 2012 ,   Source: PTI,Credo buys 28.6 lk shares in IndusInd Bank for Rs 119 cr
6.44 pm , 07 Dec 2012 ,   Source: PTI,Indusind Bank allots share under stock option scheme
3.46 pm , 05 Dec 2012 ,   Source: Moneycontrol.com,IndusInd Bank to allot equity shares to QIBs
9.08 am , 05 Dec 2012 ,   Source: Moneycontrol.com,6 intraday picks to make smart gains
12.57 pm , 04 Dec 2012 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 480: Nirmal Bang
6.12 pm , 30 Nov 2012 ,   Source: Moneycontrol.com,IndusInd Bank's QIB issue of Rs 2006 cr closes today
12.12 pm , 27 Nov 2012 ,   Source: Moneycontrol.com,IndusInd Bank QIP issue opens on Nov 26
10.36 am , 27 Nov 2012 ,   Source: Moneycontrol.com,IndusInd Bank plans to raise USD 350-360mn via QIP
10.16 pm , 26 Nov 2012 ,   Source: Reuters,IndusInd selling shares to raise up to $360m: Sources
3.07 pm , 23 Nov 2012 ,   Source: CNBC-TV18,"IndusInd Bank, Maruti can see smart upmove: Parikh"
1.25 pm , 23 Nov 2012 ,   Source: Moneycontrol.com,Buzzing Karnataka Bank: What lifts investors' mood
12.52 pm , 23 Nov 2012 ,   Source: CNBC-TV18,"Buy IndusInd Bank, Escorts, Exide: Joshi"
8.45 am , 23 Nov 2012 ,   Source: CNBC-TV18,"Bull's Eye: Hotel Leela, Rolta, Escorts; short Pantaloon"
6.53 pm , 19 Nov 2012 ,   Source: CNBC-TV18,"Vayalar positive on Jindal Steel, Hindalco, IndusInd Bank"
1.25 pm , 19 Nov 2012 ,   Source: CNBC-TV18,"Buy IndusInd Bank, SREI Infra, Infotech: Joshi"
10.36 am , 19 Nov 2012 ,   Source: CNBC-TV18,UBS India overweight on private banks
8.34 am , 19 Nov 2012 ,   Source: CNBC-TV18,"Bull's Eye: Infotech Enterprises, Ashok Leyland, SREI Infra"
6.25 pm , 16 Nov 2012 ,   Source: CNBC-TV18,Buy IndusInd Bank with a target of Rs 418: Parikh
