Time,Dates,Sources,Headlines
3.56 pm , 31 Dec 2015 ,   Source: CNBC-TV18,Like private banks; SBI top pick: R Sreesankar
10.45 am , 31 Dec 2015 ,   Source: CNBC-TV18,"IndusInd Bank looks strong, may test Rs 1000: Hemant Thukral"
9.47 am , 31 Dec 2015 ,   Source: CNBC-TV18,Buy IndusInd Bank; sell BPCL: Prakash Gaba
1.45 pm , 30 Dec 2015 ,   Source: CNBC-TV18,"Go long in IndusInd Bank, says Aditya Agarwal"
9.49 am , 30 Dec 2015 ,   Source: CNBC-TV18,Short Bank of India; buy IndusInd Bank: Sukhani
8.46 am , 28 Dec 2015 ,   Source: CNBC-TV18,Top chart picks for December 28
4.34 pm , 24 Dec 2015 ,   Source: CNBC-TV18,"Pick Kotak Mah Bank, IndusInd Bank: SP Tulsian"
10.01 am , 24 Dec 2015 ,   Source: CNBC-TV18,IndusInd Bank may touch Rs 970: Rahul Mohindar
3.13 pm , 23 Dec 2015 ,   Source: CNBC-TV18,Sell Bank of India; prefer IndusInd Bank: Pankaj Jain
10.40 am , 21 Dec 2015 ,   Source: CNBC-TV18,Bank of Baroda may slip to Rs 152-155: Rajat Bose
9.49 am , 18 Dec 2015 ,   Source: CNBC-TV18,"Buy IndusInd Bank, SBI may test Rs 265: Rahul Mohindar"
9.40 am , 18 Dec 2015 ,   Source: CNBC-TV18,"Sell Axis Bank, target Rs 425.50: Rajat Bose"
9.25 pm , 16 Dec 2015 ,   Source: PTI,Dilip Shanghvi to make open offer to buy 26% Suzlon stake
10.00 am , 15 Dec 2015 ,   Source: CNBC-TV18,"Despite gloom over NPAs, these banks could be good bargains"
1.20 pm , 09 Dec 2015 ,   Source: Moneycontrol.com,IndusInd Bank opens a new branch in Indore
11.18 am , 07 Dec 2015 ,   Source: CNBC-TV18,Prakash Gaba's stock picks that can fetch handsome returns
4.11 pm , 02 Dec 2015 ,   Source: CNBC-TV18,"Sell IDFC on rallies, says Pankaj Jain"
3.20 pm , 30 Nov 2015 ,   Source: CNBC-TV18,"IndusInd Bank, HDFC Bank, SKS Micro top bets: Rahul Arora"
2.09 pm , 30 Nov 2015 ,   Source: CNBC-TV18,"Buy IndusInd Bank on dips, says Sameet Chavan"
12.21 pm , 26 Nov 2015 ,   Source: CNBC-TV18,"IndusInd Bank good pick, target Rs 953-960: Thukral"
3.16 pm , 23 Nov 2015 ,   Source: CNBC-TV18,Buy IndusInd Bank; target Rs 978: Sameet Chavan
8.57 am , 23 Nov 2015 ,   Source: CNBC-TV18,Super Six stocks that can boost your portfolio on Nov 23
2.37 pm , 20 Nov 2015 ,   Source: CNBC-TV18,"Buy IndusInd Bank, Bata India: Manas Jaiswal"
1.48 pm , 13 Nov 2015 ,   Source: CNBC-TV18,"Buy YES Bank 740 Put, IndusInd Bank 800 Put: VK Sharma"
11.54 am , 13 Nov 2015 ,   Source: Moneycontrol.com,15 quality stocks for Samvat 2072: AB Money
11.04 am , 13 Nov 2015 ,   Source: CNBC-TV18,Eyeing for gains post tie-ups with payment banks: IndusInd
7.56 am , 09 Nov 2015 ,   Source: CNBC-TV18,"Bull's Eye: Sell Dr Reddy's, JSW Energy, Ceat, buy BoI"
3.19 pm , 06 Nov 2015 ,   Source: CNBC-TV18,"Buy Motherson Sumi Systems, IndusInd Bank: Hemen Kapadia"
2.39 pm , 05 Nov 2015 ,   Source: CNBC-TV18,"Buy Coal India; sell IndusInd Bank, JSW Steel: Sukhani"
2.42 pm , 04 Nov 2015 ,   Source: Moneycontrol.com,Diwali shopping list of 12 stocks by Sharekhan
8.12 pm , 27 Oct 2015 ,   Source: PTI,IFSC at GIFT City begins operations with Yes Bank launch
11.25 am , 23 Oct 2015 ,   Source: CNBC-TV18,"Axis Bank may test Rs 530-535, says Hemant Thukral"
12.12 pm , 21 Oct 2015 ,   Source: CNBC-TV18,"Exit Tata Steel on rally, like IndusInd Bank: Rakesh Bansal"
5.10 pm , 19 Oct 2015 ,   Source: Moneycontrol.com,AB Money 'Neurtal' on IndusInd Bank; target of Rs 1010
4.36 pm , 15 Oct 2015 ,   Source: CNBC-TV18,"Money laundering scam: ICICI, OBC, Axis Bank in ED's net"
1.07 pm , 14 Oct 2015 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 1060: Firstcall
4.30 pm , 13 Oct 2015 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 1060: Firstcall research
1.05 pm , 13 Oct 2015 ,   Source: Moneycontrol.com,Accumulate IndusInd Bank; target of Rs 1070: P Lilladher
12.27 pm , 13 Oct 2015 ,   Source: Moneycontrol.com,Buy Indusind Bank; target of Rs 1050: ICICIdirect
4.34 pm , 12 Oct 2015 ,   Source: Moneycontrol.com,Hold Indusind Bank; target of Rs 1020: Edelweiss
3.56 pm , 12 Oct 2015 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 1175: Reliance Securities
5.01 pm , 09 Oct 2015 ,   Source: CNBC-TV18,"Like pharma, consumer stocks: Gautam Sinha Roy"
3.47 pm , 09 Oct 2015 ,   Source: CNBC-TV18,Six in 60: Six stocks one needs to keep an eye on
3.00 pm , 09 Oct 2015 ,   Source: CNBC-TV18,"Buy NBCC; sell Maruti, IndusInd Bank: Rajat Bose"
2.14 pm , 09 Oct 2015 ,   Source: Moneycontrol.com,"IndusInd Bank Q2 beats estimates; profit, NII jump over 30%"
12.18 pm , 09 Oct 2015 ,   Source: CNBC-TV18,Positive on IndusInd Bank: Deven Choksey
11.15 am , 09 Oct 2015 ,   Source: CNBC-TV18,Positive on private sector banks: Nischal Maheshwari
2.31 pm , 08 Oct 2015 ,   Source: CNBC-TV18,"IndusInd Bank Q2 profit, NII growth may be over 26%: Poll"
1.52 pm , 07 Oct 2015 ,   Source: CNBC-TV18,"Keep SBI, ICICI Bank, HDFC Bank in portfolio: R Sreesankar"
7.47 am , 07 Oct 2015 ,   Source: PTI,"NCDEX, Kotak Mahindra Bk pact to provide commodities loans"
1.37 pm , 06 Oct 2015 ,   Source: CNBC-TV18,Buy IndusInd Bank 940 Put: Gaurav Bissa
2.22 pm , 05 Oct 2015 ,   Source: Moneycontrol.com,Indusind Bank inaugurates a new branch at Jamshedpur
11.24 am , 01 Oct 2015 ,   Source: CNBC-TV18,"SBI, HDFC Bank, ICICI Bank have upside potential: Sukhani"
10.41 am , 01 Oct 2015 ,   Source: Moneycontrol.com,"IndusInd Bank's Q2 results on Oct 09, 2015"
3.52 pm , 30 Sep 2015 ,   Source: CNBC-TV18,"Exit SBI, invest in IndusInd Bank: Vishal Malkan"
2.17 pm , 29 Sep 2015 ,   Source: Moneycontrol.com,Accumulate IndusInd Bank; target of Rs 1080: Emkay
4.26 pm , 24 Sep 2015 ,   Source: CNBC-TV18,"Lupin, Infosys, IndusInd Bank look interesting: MOST"
5.18 pm , 23 Sep 2015 ,   Source: CNBC-TV18,"Prefer HDFC Bank, Dalmia Bharat: Mehraboon Irani"
3.00 pm , 19 Sep 2015 ,   Source: Moneycontrol.com,Diwali shopping list: 7 largecaps may give high returns
10.53 am , 18 Sep 2015 ,   Source: CNBC-TV18,"Buy IndusInd Bank 920 Call, BoB 185 Call: VK Sharma"
4.19 pm , 10 Sep 2015 ,   Source: CNBC-TV18,"HDFC Bank, Infosys top picks; like L&T, IOC: R Sreeshankar"
