Time,Dates,Sources,Headlines
8.58 pm , 01 Nov 2019 ,   Source: PTI,IndusInd Bank finalises Sumant Kathpalia as new MD & CEO
9.18 pm , 31 Oct 2019 ,   Source: Moneycontrol.com,IndusInd Bank board finalises appointment of next MD & CEO
8.19 am , 14 Oct 2019 ,   Source: Moneycontrol.com,IndusInd Bank – At what price do potential negatives get priced in?
8.30 am , 11 Oct 2019 ,   Source: Moneycontrol.com,"Podcast | Stock picks of the day: See immediate support for Nifty at 11,100 levels"
7.27 pm , 10 Oct 2019 ,   Source: Moneycontrol.com,"Board to finalise successor in next meeting: Romesh Sobti, Indusind Bank"
9.53 am , 10 Oct 2019 ,   Source: Moneycontrol.com,IndusInd Bank may appoint Sumant Kathpalia as CEO Romesh Sobti's successor
2.32 pm , 23 Jul 2019 ,   Source: PTI,"IndusInd Bank plans to raise up to Rs 20,000 cr by issuing bonds on pvt placement basis"
12.28 pm , 20 Jul 2019 ,   Source: Moneycontrol.com,Bet on these four stocks for double-digit returns
10.35 am , 15 Jul 2019 ,   Source: Moneycontrol.com,IndusInd Bank: Strong possibility of a medium term rally in the stock
9.35 am , 12 Jul 2019 ,   Source: Moneycontrol.com,Double digit growth in Q1 NII on cards for IndusInd Bank; Bharat Financial merger may hit profit
9.50 pm , 19 Jun 2019 ,   Source: PTI,lnduslnd Bank-Bharat Financial merger to be effective from July 4
4.10 pm , 19 Jun 2019 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 1861: KR Choksey
6.14 pm , 14 Jun 2019 ,   Source: CNBC-TV18,"Positive on Cholamandalam Finance, M&M Finance and Shriram Transport Finance: Prabhudas Lilladher"
6.05 pm , 14 Jun 2019 ,   Source: CNBC-TV18,"IndusInd Bank, Bharat Financial boards likely to meet next week to finalise merger, says Romesh Sobti"
4.18 pm , 12 Jun 2019 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 1900: Motilal Oswal
3.39 pm , 06 Jun 2019 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 1964: HDFC Securities
10.00 pm , 29 May 2019 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 1860: ICICI Direct
3.47 pm , 26 May 2019 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 1832 Prabhudas Lilladher
10.03 am , 24 May 2019 ,   Source: Moneycontrol.com,Ideas for Profit | Add IndusInd Bank after soft Q4 on IL&FS recognition
8.33 pm , 22 May 2019 ,   Source: CNBC-TV18,RBI may not increase age limit for bank CEOs over 70 years: Report
3.48 pm , 22 May 2019 ,   Source: Moneycontrol.com,"IndusInd Bank Standalone March 2019 Net Interest Income (NII) at Rs 2,232.38 crore, up  11.2% Y-o-Y"
2.07 pm , 22 May 2019 ,   Source: Moneycontrol.com,IndusInd Bank Q4 PAT falls 62% to Rs 360 crore
10.33 am , 22 May 2019 ,   Source: Moneycontrol.com,IndusInd Bank to post its Q4 numbers today; here's is what brokerages expect
3.03 pm , 09 Apr 2019 ,   Source: Moneycontrol.com,Indusind Bank Q4 Net Profit may dip 44.8% YoY to Rs. 526.1 cr: Motilal Oswal
10.35 pm , 08 Apr 2019 ,   Source: PTI,"IndusInd Bank plans to raise Rs 2,700 crore via bonds"
11.40 am , 08 Apr 2019 ,   Source: Moneycontrol.com,Indusind Bank Q4 Net Profit may dip 37.1% YoY to Rs. 599.5 cr: Kotak
7.58 pm , 28 Mar 2019 ,   Source: PTI,Moody's keeps stable outlook on Indusind on maiden rating
8.13 am , 19 Feb 2019 ,   Source: Moneycontrol.com,"Top buy and sell ideas by Ashwani Gujral, Sudarshan Sukhani, Mitessh Thakkar for short term"
11.51 am , 28 Jan 2019 ,   Source: Moneycontrol.com,"Buy IndusInd Bank, says Mazhar Mohammad"
3.52 pm , 11 Jan 2019 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 1935: HDFC Securities
3.49 pm , 11 Jan 2019 ,   Source: Moneycontrol.com,Hold IndusInd Bank; target of Rs 1720: Arihant Capital
4.24 pm , 10 Jan 2019 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 1900: Motilal Oswal
7.44 pm , 09 Jan 2019 ,   Source: Moneycontrol.com,"IndusInd Bank Standalone December 2018 Net Interest Income (NII) at Rs 2,288.09 crore, up  20.76% Y-o-Y"
6.23 pm , 09 Jan 2019 ,   Source: Moneycontrol.com,IndusInd Bank Q3 FY19: Expect elevated provision and muted stock performance near term
3.21 pm , 09 Jan 2019 ,   Source: Moneycontrol.com,IndusInd Bank Q3FY19 Review – in line except for IL&FS exposure
2.34 pm , 09 Jan 2019 ,   Source: Moneycontrol.com,"IndusInd Bank Q3 profit rises 5% at Rs 985 cr, IL&FS-linked provisions total Rs 600 cr so far"
11.08 am , 09 Jan 2019 ,   Source: Moneycontrol.com,Indusind Bank Q3 Net Profit seen up 6.5% YoY to Rs. 996.9 cr: Prabhudas Lilladher
10.56 am , 09 Jan 2019 ,   Source: Moneycontrol.com,Indusind Bank Q3 Net Profit seen up 2% YoY to Rs. 954.9 cr: ICICI Direct
12.09 pm , 08 Jan 2019 ,   Source: Moneycontrol.com,IndusInd Bank Q3: Brokerages say profit may take a hit on IL&FS exposure
