Time,Dates,Sources,Headlines
8.40 pm , 22 Dec 2010 ,   Source: Reuters,RBI bans FII purchases in IndusInd Bank
3.35 pm , 16 Dec 2010 ,   Source: CNBC-TV18,IndusInd Bank has support at Rs 220: Mehta
3.22 pm , 10 Dec 2010 ,   Source: CNBC-TV18,Prefer IndusInd Bank for long term: Mehta
4.22 pm , 07 Dec 2010 ,   Source: CNBC-TV18,Prefer largecap banking stocks: Devang Mehta
6.38 pm , 01 Dec 2010 ,   Source: CNBC-TV18,Buy realty stocks with long term prospective: Nanavati
2.05 pm , 30 Nov 2010 ,   Source: CNBC-TV18,Buy IndusInd Bank with a target of Rs 308: Gujral
8.54 am , 29 Nov 2010 ,   Source: CNBC-TV18,Buy IndusInd Bank on dip: Anu Jain
9.10 am , 24 Nov 2010 ,   Source: CNBC-TV18,IndusInd Bank has target of Rs 308: Gujral
6.59 pm , 12 Nov 2010 ,   Source: CNBC-TV18,"Vora bullish on IndusInd Bank, Yes Bank"
1.37 pm , 11 Nov 2010 ,   Source: CNBC-TV18,IndusInd Bank has target of Rs 320-325: Thacker
9.27 am , 02 Nov 2010 ,   Source: CNBC-TV18,IndusInd Bank can touch Rs 305-310: Thacker
5.37 pm , 01 Nov 2010 ,   Source: CNBC-TV18,ING Vysya Bank has strong support at Rs 380: Gujral
1.36 pm , 19 Oct 2010 ,   Source: CNBC-TV18,Expect NIMs to trend upwards ahead: IndusInd Bank
10.43 am , 15 Oct 2010 ,   Source: CNBC-TV18,IDFC sees 20% return from Infy in next 6 months
12.59 pm , 13 Oct 2010 ,   Source: Moneycontrol.com,IndusInd Bank reports Rs 854.08 cr profit for quarter ended Sep 2010
3.34 pm , 11 Oct 2010 ,   Source: CNBC-TV18,IndusInd Bank can touch Rs 310-320: Jatinder Sharma
2.40 pm , 11 Oct 2010 ,   Source: Moneycontrol.com,IndusInd Bank Q2 net profit rises at Rs 133 cr
9.34 am , 06 Oct 2010 ,   Source: CNBC-TV18,Buy IndusInd Bank: Gujral
2.04 pm , 04 Oct 2010 ,   Source: CNBC-TV18,"Buy IndusInd Bank, says Tulsian"
4.37 pm , 23 Sep 2010 ,   Source: CNBC-TV18,IndusInd Bank has good support at Rs 238: Bhambwani
12.21 pm , 17 Sep 2010 ,   Source: CNBC-TV18,Buy IndusInd Bank on all declines: Gujral
1.11 pm , 16 Sep 2010 ,   Source: CNBC-TV18,Hold IndusInd Bank: Mitesh Thacker
10.19 am , 16 Sep 2010 ,   Source: Reuters,IndusInd Bank share sale raises USD 250 million
9.00 am , 16 Sep 2010 ,   Source: Moneycontrol.com,IndusInd Bank launches QIP to raise $ 215-250mn; stk up 5%
12.00 pm , 06 Sep 2010 ,   Source: Moneycontrol.com,Hold IndusInd Bank; target of Rs 234: Asit C. Mehta
4.52 pm , 03 Sep 2010 ,   Source: CNBC-TV18,Buy IndusInd Bank on dips: Gujral
12.27 pm , 27 Aug 2010 ,   Source: CNBC-TV18,IndusInd Bank can go upto Rs 253: Gujral
2.46 pm , 26 Aug 2010 ,   Source: CNBC-TV18,Hold IndusInd Bank around Rs 229-232: Jain
10.35 am , 26 Aug 2010 ,   Source: CNBC-TV18,Enter IndusInd Bank: Anu Jain
10.17 am , 30 Jul 2010 ,   Source: CNBC-TV18,Earnings Review: June quarter a mix bag for India Inc
9.58 am , 21 Jul 2010 ,   Source: CNBC-TV18,"Add IndusInd Bank, Yes Bank in portfolio: Choksey"
3.57 pm , 13 Jul 2010 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 255: Anand Rathi
4.37 pm , 12 Jul 2010 ,   Source: CNBC-TV18,"Irani positive HDFC Bank, Axis Bank"
10.29 pm , 09 Jul 2010 ,   Source: Reuters,IndusInd Bank to raise Rs 10 billion by Dec
4.18 pm , 09 Jul 2010 ,   Source: CNBC-TV18,IndusInd Bank's PE rerating may happen soon: Mehta
3.52 pm , 09 Jul 2010 ,   Source: CNBC-TV18,IndusInd Bank has target of Rs 250: Hathiramani
2.02 pm , 09 Jul 2010 ,   Source: Moneycontrol.com,IndusInd Bank Q1 net profit up 38% at Rs 119 cr
8.54 am , 09 Jul 2010 ,   Source: CNBC-TV18,Indusind Bank Q1 net profit seen up 24.85% at Rs 108 cr
9.08 am , 23 Jun 2010 ,   Source: CNBC-TV18,IndusInd Bank has target of Rs 225: Gujral
12.20 pm , 22 Jun 2010 ,   Source: CNBC-TV18,IndusInd Bank target at Rs 225: Gujral
4.18 pm , 11 Jun 2010 ,   Source: CNBC-TV18,IndusInd Bank can test Rs 220-225: Sharma
2.59 pm , 28 May 2010 ,   Source: CNBC-TV18,Buy IndusInd Bank: Irani
4.16 pm , 27 May 2010 ,   Source: CNBC-TV18,IndusInd Bank can test Rs 195-200: Bhambwani
9.29 am , 25 May 2010 ,   Source: CNBC-TV18,Buy IndusInd Bank on dips: Anu Jain
10.47 am , 21 May 2010 ,   Source: CNBC-TV18,IndusInd Bank has support at Rs 174: Gujral
6.51 pm , 20 May 2010 ,   Source: CNBC-TV18,IndusInd Bank can go upto Rs 215-220: Rahul Mohindar
9.30 am , 19 May 2010 ,   Source: CNBC-TV18,Buy IndusInd Bank: Gujral
8.43 am , 22 Apr 2010 ,   Source: CNBC-TV18,IndusInd Bank has target of Rs 210: Gujral
10.46 am , 21 Apr 2010 ,   Source: Moneycontrol.com,Pick largecap private banking stocks: Chakraborty
1.30 pm , 20 Apr 2010 ,   Source: CNBC-TV18,Buy IndusInd Bank: Gorakshakar
11.20 am , 20 Apr 2010 ,   Source: CNBC-TV18,Book profits in IndusInd Bank: Sukhani
3.20 pm , 19 Apr 2010 ,   Source: CNBC-TV18,Buy IndusInd Bank at Rs 170: Salil Sharma
12.12 pm , 17 Apr 2010 ,   Source: Reuters,IndusInd Bank aims at 25-30% loan growth in FY11: MD
11.36 am , 17 Apr 2010 ,   Source: CNBC-TV18,Hold IndusInd Bank: Irani
2.13 pm , 16 Apr 2010 ,   Source: CNBC-TV18,IndusInd Bank Q4 net profit up 94.06% at Rs 98 cr
11.39 am , 16 Apr 2010 ,   Source: CNBC-TV18,IndusInd Bank looks expensive: Mukadam
11.32 am , 16 Apr 2010 ,   Source: CNBC-TV18,"Hold IndusInd Bank, says Thacker"
6.48 pm , 15 Apr 2010 ,   Source: Moneycontrol.com,IndusInd Bank Q4 PAT seen up 90.22% to Rs 96.1 cr
3.13 pm , 01 Apr 2010 ,   Source: Moneycontrol.com,Hold IndusInd Bank; target of Rs 176: Arihant Capital
4.31 pm , 30 Mar 2010 ,   Source: CNBC-TV18,IndusInd Bank plans to open 120 branches in FY11
5.08 pm , 29 Mar 2010 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 202: Networth
1.20 pm , 29 Mar 2010 ,   Source: CNBC-TV18,"Buy IndusInd Bank, says Anu Jain"
2.09 pm , 11 Mar 2010 ,   Source: CNBC-TV18,IndusInd Bank has target of Rs 170: Gujral
11.12 am , 06 Mar 2010 ,   Source: Moneycontrol.com,Indusind Bank can touch Rs 180: Gujral
10.15 am , 04 Mar 2010 ,   Source: CNBC-TV18,IndusInd Bank can test Rs 240-250: Gujral
8.50 am , 03 Feb 2010 ,   Source: CNBC-TV18,IndusInd Bank has target of Rs 164: Thacker
9.01 am , 20 Jan 2010 ,   Source: CNBC-TV18,IndusInd Bank has target of Rs 160-165: Thacker
3.10 pm , 19 Jan 2010 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target Rs 175: Anand Rathi
3.37 pm , 15 Jan 2010 ,   Source: CNBC-TV18,"Buy IndusInd Bank, says Manas Jaiswal"
2.34 pm , 15 Jan 2010 ,   Source: Reuters,IndusInd Bank expects no dent in profit in Jan-Sept - MD
12.53 pm , 15 Jan 2010 ,   Source: Moneycontrol.com,IndusInd Bank Q3 net profit up at Rs 88.04 cr
11.49 am , 16 Dec 2009 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 160: IndiaInfoline
5.29 pm , 11 Dec 2009 ,   Source: Moneycontrol.com,IndusInd Bank trades in range of Rs 120-145: Thacker
10.23 am , 09 Dec 2009 ,   Source: CNBC-TV18,IndusInd Bank has target of Rs 155-160: Thacker
11.49 am , 04 Dec 2009 ,   Source: CNBC-TV18,Buy IndusInd Bank above Rs 140: Sukhani
9.53 am , 03 Dec 2009 ,   Source: CNBC-TV18,IndusInd Bank can test Rs 145-150: Mitesh Thacker
1.50 pm , 14 Oct 2009 ,   Source: CNBC-TV18,IndusInd Bank Q2 net profit up 130.9% at Rs 77.8 cr
