Date,Open Price,Close Price,Label
31-Dec-19,732.1,731.75,
30-Dec-19,736,732.8,__label__2
27-Dec-19,729.25,736.8,__label__1
26-Dec-19,734,729.25,__label__1
24-Dec-19,736.15,733.25,__label__2
23-Dec-19,732,735.85,__label__1
20-Dec-19,732.1,732,__label__1
19-Dec-19,732,731.2,__label__1
18-Dec-19,729.5,732.5,__label__1
17-Dec-19,717.55,729.3,__label__1
16-Dec-19,711.25,714,__label__1
13-Dec-19,706.9,711.25,__label__1
12-Dec-19,720.8,701.85,__label__2
11-Dec-19,715.5,720.8,__label__2
10-Dec-19,715.55,714.25,__label__1
09-Dec-19,716.8,716.9,__label__2
06-Dec-19,717.9,715.15,__label__2
05-Dec-19,707.1,714.65,__label__1
04-Dec-19,695,708.2,__label__1
03-Dec-19,695.8,698.35,__label__1
02-Dec-19,702.35,692.9,__label__2
29-Nov-19,703,695.95,__label__2
28-Nov-19,698.5,701.65,__label__2
27-Nov-19,695.7,696.05,__label__1
26-Nov-19,701.2,690.7,__label__2
25-Nov-19,694.4,698,__label__2
22-Nov-19,713,693.15,__label__2
21-Nov-19,714.05,713.75,__label__2
20-Nov-19,712.65,712.8,__label__1
19-Nov-19,710.9,712.8,__label__1
18-Nov-19,704.5,705.55,__label__1
15-Nov-19,707.3,703.95,__label__2
14-Nov-19,695,705.35,__label__1
13-Nov-19,695.5,691.25,__label__1
11-Nov-19,707,704.5,__label__2
08-Nov-19,722.5,708.45,__label__2
07-Nov-19,716,719.95,__label__2
06-Nov-19,697.6,712.3,__label__1
05-Nov-19,709,695.8,__label__1
04-Nov-19,684.4,709,__label__1
01-Nov-19,689.9,688,__label__1
31-Oct-19,669,685.5,__label__1
30-Oct-19,659,660.45,__label__1
29-Oct-19,654,650.6,__label__1
27-Oct-19,651,648.95,__label__2
25-Oct-19,644.3,637.55,__label__1
24-Oct-19,650.7,635.4,__label__2
23-Oct-19,637.3,650.75,__label__2
22-Oct-19,691,643.3,__label__2
18-Oct-19,766.65,767.75,__label__2
17-Oct-19,768.9,769.1,__label__2
16-Oct-19,768,771.45,__label__1
15-Oct-19,773.8,767.8,__label__2
14-Oct-19,789,785.65,__label__2
11-Oct-19,785.95,815.7,__label__2
10-Oct-19,783.5,782.9,__label__1
09-Oct-19,793.5,784,__label__2
07-Oct-19,795,789.55,__label__2
04-Oct-19,795,793.25,__label__2
03-Oct-19,793,785.5,__label__1
01-Oct-19,809.8,793.55,__label__2
30-Sep-19,782.35,805.3,__label__1
27-Sep-19,788,782.35,__label__1
26-Sep-19,792,782.05,__label__2
25-Sep-19,791,792.2,__label__2
24-Sep-19,767.7,794.05,__label__1
23-Sep-19,810,765.1,__label__2
20-Sep-19,822.35,805.1,__label__2
19-Sep-19,825,821,__label__2
18-Sep-19,831.05,829.85,__label__2
17-Sep-19,830,831.05,__label__2
16-Sep-19,831.55,827.45,__label__2
13-Sep-19,816,829.15,__label__1
12-Sep-19,818,816.35,__label__1
11-Sep-19,821.65,820.1,__label__2
09-Sep-19,838.05,829.2,__label__2
06-Sep-19,838,840.15,__label__2
05-Sep-19,827.1,834.2,__label__1
04-Sep-19,813.7,821.05,__label__1
03-Sep-19,815,814.3,__label__1
30-Aug-19,808,814.6,__label__1
29-Aug-19,798.9,806.85,__label__1
28-Aug-19,785.1,802.1,__label__1
27-Aug-19,791,785,__label__1
26-Aug-19,800,802.9,__label__2
23-Aug-19,798,801.9,__label__1
22-Aug-19,800.8,795.9,__label__1
21-Aug-19,792.8,799.55,__label__1
20-Aug-19,781.05,792.9,__label__1
19-Aug-19,777,777.8,__label__1
16-Aug-19,779,774.55,__label__2
14-Aug-19,774,774.9,__label__1
13-Aug-19,788.35,764.1,__label__2
09-Aug-19,791.5,790.15,__label__2
08-Aug-19,778,789.1,__label__1
07-Aug-19,779,776.15,__label__1
06-Aug-19,778,774.65,__label__2
05-Aug-19,773,776.75,__label__1
02-Aug-19,769,775.4,__label__1
01-Aug-19,790.8,769.05,__label__2
31-Jul-19,792,794,__label__2
30-Jul-19,792,792.8,__label__1
29-Jul-19,787.55,791.55,__label__1
26-Jul-19,793,787.3,__label__2
25-Jul-19,787,795.05,__label__1
24-Jul-19,789.5,786.05,__label__1
23-Jul-19,785.45,789.9,__label__1
22-Jul-19,786.9,785.15,__label__1
19-Jul-19,789.7,785.6,__label__2
18-Jul-19,792.4,793.15,__label__2
17-Jul-19,784.7,794.3,__label__1
16-Jul-19,776.8,784.95,__label__1
15-Jul-19,762,779.45,__label__1
12-Jul-19,723.3,727.1,__label__1
11-Jul-19,721,720.85,__label__1
10-Jul-19,710.15,716.9,__label__1
09-Jul-19,717.9,715.4,__label__2
08-Jul-19,717,717.45,__label__2
05-Jul-19,736,718.25,__label__2
04-Jul-19,734,733.9,__label__2
03-Jul-19,742,731.5,__label__2
02-Jul-19,734.4,739.9,__label__2
01-Jul-19,734.1,731.15,__label__1
28-Jun-19,733.9,731.95,__label__2
27-Jun-19,741,730.85,__label__2
26-Jun-19,744,739.65,__label__2
25-Jun-19,742.5,748.05,__label__2
24-Jun-19,752,745.6,__label__2
21-Jun-19,754,750.7,__label__2
20-Jun-19,735,754.55,__label__1
19-Jun-19,751,751.85,__label__1
18-Jun-19,740,750.65,__label__1
17-Jun-19,741.15,740.4,__label__1
14-Jun-19,744.2,740.4,__label__2
13-Jun-19,741.5,742.7,__label__2
12-Jun-19,754.15,753.95,__label__2
11-Jun-19,754,754.85,__label__2
10-Jun-19,738,753.6,__label__1
07-Jun-19,737.7,739.35,__label__1
06-Jun-19,734.7,737.95,__label__1
04-Jun-19,741.95,734.7,__label__2
03-Jun-19,734,744.65,__label__1
31-May-19,735,736.85,__label__1
30-May-19,727.8,733.3,__label__1
29-May-19,726.5,727.35,__label__1
28-May-19,710,726.65,__label__1
27-May-19,708.8,709.1,__label__1
24-May-19,702.35,709.45,__label__1
23-May-19,717.7,701.25,__label__2
22-May-19,711.1,709.2,__label__2
21-May-19,723.5,709.2,__label__2
20-May-19,725.8,722.4,__label__2
17-May-19,733.3,723.8,__label__2
16-May-19,716.75,734.2,__label__1
15-May-19,716.65,716.5,__label__1
14-May-19,719.5,713.85,__label__2
13-May-19,718,720.05,__label__2
10-May-19,723,716.05,__label__2
09-May-19,721.7,721.05,__label__2
08-May-19,724,718.1,__label__2
07-May-19,720.05,723.55,__label__2
06-May-19,718.5,717.85,__label__1
03-May-19,723.75,723.75,__label__2
02-May-19,748.6,729.85,__label__2
30-Apr-19,739,749.95,__label__2
26-Apr-19,731,737.1,__label__1
25-Apr-19,736.4,728.75,__label__1
24-Apr-19,727.5,736.4,__label__1
23-Apr-19,724,727.85,__label__1
22-Apr-19,716.4,720.6,__label__1
18-Apr-19,724.85,716.4,__label__2
16-Apr-19,728.3,723.85,__label__2
15-Apr-19,725,726.65,__label__2
12-Apr-19,746,747.85,__label__2
11-Apr-19,753,743.15,__label__2
10-Apr-19,763,754.15,__label__2
09-Apr-19,770,759.85,__label__2
08-Apr-19,762.3,767.15,__label__2
05-Apr-19,750,756.25,__label__1
04-Apr-19,751.95,748.25,__label__1
03-Apr-19,759,754.05,__label__2
02-Apr-19,757.5,757.1,__label__2
01-Apr-19,742.9,755.65,__label__1
29-Mar-19,742,742.3,__label__1
28-Mar-19,730,738.5,__label__1
27-Mar-19,728,729.05,__label__1
26-Mar-19,736,726.75,__label__2
25-Mar-19,741,735.8,__label__2
22-Mar-19,743.35,742.15,__label__2
20-Mar-19,726.2,738.5,__label__1
19-Mar-19,713,721.5,__label__1
18-Mar-19,723.45,709.75,__label__2
15-Mar-19,712.85,718.85,__label__2
14-Mar-19,714,708.35,__label__1
13-Mar-19,710,709.15,__label__2
12-Mar-19,709.9,706.9,__label__2
11-Mar-19,713,711.65,__label__2
08-Mar-19,723.25,712.55,__label__2
07-Mar-19,735,723.25,__label__2
06-Mar-19,735,732.2,__label__2
05-Mar-19,742,732.6,__label__2
01-Mar-19,737.8,741.15,__label__2
28-Feb-19,735.15,733.95,__label__1
27-Feb-19,745,734.7,__label__2
26-Feb-19,748.15,741.7,__label__2
25-Feb-19,735,754.9,__label__1
22-Feb-19,733.9,733.35,__label__1
21-Feb-19,739,733.35,__label__2
20-Feb-19,730,740.05,__label__1
19-Feb-19,738.9,725.15,__label__1
18-Feb-19,741,740.1,__label__2
15-Feb-19,741.25,741.75,__label__2
14-Feb-19,753,739.8,__label__2
13-Feb-19,750.4,754.95,__label__2
12-Feb-19,763,750.4,__label__2
11-Feb-19,760,761.6,__label__2
08-Feb-19,764,759.85,__label__2
07-Feb-19,761.1,763.35,__label__2
06-Feb-19,754.25,762.65,__label__1
05-Feb-19,751,754.25,__label__1
04-Feb-19,755,755.65,__label__2
01-Feb-19,753.8,756.55,__label__1
31-Jan-19,728,749.6,__label__1
30-Jan-19,727.35,724.85,__label__1
29-Jan-19,728.2,727.35,__label__2
28-Jan-19,732.9,728.2,__label__2
25-Jan-19,728.7,730.2,__label__2
24-Jan-19,729.5,732.8,__label__1
23-Jan-19,743.25,731.45,__label__2
22-Jan-19,740.65,744.35,__label__2
21-Jan-19,733,742.75,__label__1
18-Jan-19,731.95,731,__label__1
17-Jan-19,736.45,733.4,__label__2
16-Jan-19,729,736.55,__label__1
