Headlines,Labels
infosys bpo recognise at six sigma global summit,1
infosys have target of rs 2200-2220,0
buy infosys; target of rs 1970: p-sec,1
"buy infosys, bpcl, acc, sell l&t: rahul mohindar",1
budget need to focus on sop for job creation: infosys,1
how should you trade infosys post lacklustre q4 earnings?,1
"fy17 year of transition for it; bullish infosys, tech mah: kotak",1
hold infosys; target of rs 1180: icici direct,1
infosys innovation fund md yusuf bashir quit,1
live blog: sikka say to focus on learn infy's culture,1
"hsbc downgrade tcs, hcl tech to 'neutral'",1
buy it stock on dip: mohoni,0
"infosys standalone june 2019 net sales at rs 19,131.00 crore, up 12.17% y-o-y",0
infosys to host analyst meet,1
book profit in reliance say sukhani,1
analysts raise tcs target price after strong q2,1
"remain invest in infosys, say sameet chavan",0
do infosys get it wrong with its 3.0 strategy?,0
infosys surprise in q3: be this a turn point?,0
next rally in market can support by tech stock,0
how will infosys fare today ?,1
"buy hpcl; sell jsw energy, infosys: ashwani gujral",1
"book profit in infosys, say shardul kulkarni",0
see infosys fy15 $ revenue growth at 12-13%: idfc sec,1
"prefer icici bank, sun pharma: kunal bothra",0
buy wipro at around rs 440-430: bhamre,1
infosys q4 profit below expectation; up 2% at rs 1818cr,1
buy infosys; target of rs 1200: motilal oswal,0
"buy infosys, say gaurav bissa",1
advance tax by it firm increase by 110 % to rs 507 cr,1
short infosys around rs 2820: aditya agarwal,1
what to expect from infosys q1 result,1
capgemini lay off 500 employees in india over slowdown in business: report,0
infosys' ex-us head to join snicker maker mar as chief digital officer,0
infosys plan hike bill rat on rise re,1
"infosys announce result for the qtr end dec 31,2006",0
infosys technologies to outperform: clsa,0
infosys: outcome of board meet - change in company secretary,1
"below rs 1900, avoid infosys",1
stay invest in tcs,0
infosys tech have support at rs 2600: sukhani,0
unexpected nos and guidance from infy: rajiv mehta,1
infosys may touch rs 3500: idfc securities,0
short infosys closer to rs 2800: amit gupta,0
buy infosys at current level with 2-3 months view,0
buy infosys; target of rs 4444: dolat capital,0
"infosys have 15% upside, say shah",0
"sell maruti suzuki, say simi bhaumik",0
"infosys q2: worst behind co; q3 outperfomance likely, say dipan mehta",0
tcs have target of rs 1200,1
"buy infosys, recommend gepl capital",1
"buy infosys, marico; sell pfc: ashwani gujral",0
over 60% of cos yet to adhere to one woman director norm,0
infosys can touch rs 3200-3300 by march 2006: baliga,0
"hcl tech top pick, prefer tcs over infosys: ashwin mehta",0
"sajiv dhawan positive on infosys, tcs",0
revenue guidance at 34.5-35% for fy08: infy,1
will infosys surprise d-street on friday? here۪s how to trade the stock,1
reliance good buy around rs 1700-1750: gujral,1
infosys ceo say seek to expand in south korea,0
infosys' dec qtr pat see at rs 1491 cr: angel,0
hcl technologies can touch rs 800: joshi,0
"buy axis bank, sbi, infosys: sukhani",1
infosys win global award for excellence in biomedical engineer,1
stay invest in infosys: sukhani,1
infosys surprise with better-than-expected q3; guidance up,0
"what a buyback will do to infosys' financials, stock price",1
stay away from it space: dipan mehta,1
"buy infosys, sun pharma, zee entertainment: rahul mohindar",1
infy deadline for axon expires: road ahead for deal,1
infosys press conference video,0
"buy hero motocorp, infosys; sell bharat forge: sudarshan sukhani",0
technology sector look positive: gaba,0
"exit infosys, say shardul kulkarni",1
"buy infosys 2150 calls, sell 2 no of 2200 calls: trivedi",0
"buy union bank, kitex garments: ashwani gujral",0
infosys enter into partnership with texas department of family & protective service,1
infosys' topline & bottomline to grow by 7-8%,0
"sugar, fertilizer more convince than it space: mathew",1
f&o strategies for the day,1
buy infosys; target of rs 4050: way2wealth,0
"buy ab nuvo, arvind, infosys, titan; short upl: sukhani",1
"stay with infosys, advise sudarshan sukhani",1
"exclusive-infosys co-chair venkatesan open up on targets, founder-ceo rift and investor concern",1
hire by top 5 cos down 36%,0
"infosys eye acquisitions, unveil three-pronged strategy to accelerate biz growth",1
"infosys bpo to recruit 8,000 more this year",0
"bull's eye: buy godrej ind, irb infra, infosys, talwalkars",0
prefer midcap it stocks: dipan mehta,1
revise $ rev guidance only due to currency moves: infosys,1
"buy infosys 1240 call, say amit gupta",1
"no comeback plans, have right to question as shareholders: pai",0
"q2 good quarter, price stable with upward bias: nilekani",1
"prefer tcs, infosys, hcl tech on dips: parag thakkar",1
hold infosys at current level,0
buy infosys; target of rs 3550: sharekhan,0
my background doesn't matter at infosys: kv kamath,0
"buy hdfc bank, short infosys, idfc: amit harchekar",0
infosys to give outsource service to dutch insurance co,0
equirus sec peg infosys target at rs 3100/sh,1
nandan nilekani invest in telecom startup mubble,0
infosys q2 pat see up 1.8% at rs 2937.5 cr: icicidirect,0
"exit infosys, may slip below rs 800: sandeep wagle",0
infosys say outsource deal pipeline improve,0
clients ask for 20-30% cost takeout; expect this to play out over 3-5 year period: infosys coo pravin rao,1
"infosys retain margin guidance, see challenge time",0
infosys a safe bet: vk sharma,0
trade infosys with positive bias: hemant thukral,1
"invest in infosys, target rs 1306: mayuresh joshi",0
tech stock valuations very attractive,1
"infosys, hcl, tcs top pick in it sector: seth",0
"face job cuts, it need capitalism in mind, socialism in heart: narayana murthy",0
underweight on software sector; bullish on private sector banks: alfaccurate advisors,1
hold infosys; target of rs 3320: krchoksey,1
infy q3 pat see at rs 1572 cr: krchoksey,0
"large deal be back in vogue, say infosys ceo",0
infosys may lower fy14 dollar revenue outlook to 5-9%: iifl,0
"buy infosys 3400 put, advise manoj murlidharan",0
"hold infosys, advise prakash diwan",0
"infosys have resistance at rs 1,925: e mathew",1
will the indian tech boys put up a good show this season?,0
sriram positive on it space,0
infosys: creepy or convenient? digitally savvy australians will to share personal data for relevant offer,0
"expect 5-7% upside on wipro; prefer infosys, tech mah & wipro in it sector: edelweiss",0
pn vijay`s view on it space,1
"buy infosys, advise sudarshan sukhani",1
mohandas pai appoint non-exec chairman of mul: source,1
don't worry about technology sector: dutt,1
"buy lupin, beml; avoid it stocks: sudarshan sukhani",1
accumulate infosys on every decline: homavazir,1
infosys bpo win 2012 optimas award for manage change,1
"infosys q4: pat up 13%, company lower growth guidance for fy20",1
"infosys q4 profit up on other income, lower tax expense",1
tcs a steady performer: mavani,1
buy infosys on declines: d mehta,0
infosys to expand its us operations with a new delivery center in wisconsin,1
satyam can inch upto rs 550 in medium term,1
last quarter hedge at $330 m: infosys,1
buy infosys; target of rs 3400: motilal oswal,1
infosys q2 pat see flat at rs 2293cr: prabhudas lilladher,1
volumes to drive oct-dec quarter growth in it: anand rathi,1
talent hunt: it firm under pressure to hike freshers' pay,1
"sbi become 6th most valuable company, beat infosys, hdfc",1
see severe cut in '09 it budgets: tpi,0
