Dates,Headlines
05 Dec 2019,"Top buy and sell ideas by Ashwani Gujral, Prakash Gaba, Mitesh Thakkar for short term"
28 Nov 2019,"'Fibonacci retracement suggests Nifty may touch 12,250 before bears make an entry'"
28 Nov 2019,Time for Infosys founders to move on - once and for all
21 Nov 2019,Infosys troubles: Mohandas Pai says co should stop resorting to rhetoric
21 Nov 2019,Kiran Mazumdar Shaw settles alleged insider trading case with Sebi in Infosys matter
20 Nov 2019,"Perhaps SEBI needs to be more muscular, says Chairman Ajay Tyagi"
18 Nov 2019,Hired over 500 American workers in Indiana since March 2018: Infosys
11 Nov 2019,Exclusive | Infosys looking to beef up whistleblower probe; insider trading not suspected
07 Nov 2019,Part of CSR funding should be used for research: Kris Gopalakrishnan
06 Nov 2019,Capgemini lays off 500 employees in India over slowdown in business: Report
06 Nov 2019,Infosys climbs 4% after mgmt commentary on whistleblower complaints; key takeaways from concall
05 Nov 2019,"Infosys lays off thousands of mid, senior-level employees: Report"
04 Nov 2019,No prima facie evidence to corroborate whistleblowers' allegations: Infosys
02 Nov 2019,Mutual funds wrap: Infosys whistleblower complaint dents October returns of IT-related schemes
25 Oct 2019,"Infosys announces stock incentives for over 6,000 mid-level employees"
23 Oct 2019,SEBI starts probe against Infosys over whistleblower charges
22 Oct 2019,"Infosys shares nosedive nearly 17%; m-cap drops by Rs 53,451 cr on whistleblower complaint"
22 Oct 2019,Infosys-whistleblower saga: IT firm will have to rely on SEC
22 Oct 2019,Whistleblower impact: US firm preparing class action suit against Infosys
22 Oct 2019,"Infosys investors upset, but give company benefit of doubt"
22 Oct 2019,"Infosys €“ Opening Pandora€™s box, avoid the stock"
21 Oct 2019,US listed shares of Infosys plunge 16% after whistleblower complaints
16 Oct 2019,Brokerages raise target price in these 3 stocks post Q2 results
14 Oct 2019,"Q2 results analysis: More pain in store for IT firms in 2020, say experts"
14 Oct 2019,"Infosys Q2: Stellar execution, remains a buy"
11 Oct 2019,Infosys on a hiring spree as it looks to address attrition woes
11 Oct 2019,"TCS Q2: Macro headwinds come to the fore, wait for downside to play out"
