text,label
"Top buy and sell ideas by Ashwani Gujral, Prakash Gaba, Mitesh Thakkar for short term",__label__1
"'Fibonacci retracement suggests Nifty may touch 12,250 before bears make an entry'",__label__2
Time for Infosys founders to move on - once and for all,__label__2
Infosys troubles: Mohandas Pai says co should stop resorting to rhetoric,__label__2
Kiran Mazumdar Shaw settles alleged insider trading case with Sebi in Infosys matter,__label__2
"Perhaps SEBI needs to be more muscular, says Chairman Ajay Tyagi",__label__1
Hired over 500 American workers in Indiana since March 2018: Infosys,__label__1
Exclusive | Infosys looking to beef up whistleblower probe; insider trading not suspected,__label__2
Part of CSR funding should be used for research: Kris Gopalakrishnan,__label__2
Capgemini lays off 500 employees in India over slowdown in business: Report,__label__1
Infosys climbs 4% after mgmt commentary on whistleblower complaints; key takeaways from concall,__label__1
"Infosys lays off thousands of mid, senior-level employees: Report",__label__1
No prima facie evidence to corroborate whistleblowers' allegations: Infosys,__label__1
"Infosys announces stock incentives for over 6,000 mid-level employees",__label__1
SEBI starts probe against Infosys over whistleblower charges,__label__2
"Infosys shares nosedive nearly 17%; m-cap drops by Rs 53,451 cr on whistleblower complaint",__label__2
Infosys-whistleblower saga: IT firm will have to rely on SEC,__label__2
Whistleblower impact: US firm preparing class action suit against Infosys,__label__2
"Infosys investors upset, but give company benefit of doubt",__label__2
"Infosys €“ Opening Pandora€™s box, avoid the stock",__label__2
Brokerages raise target price in these 3 stocks post Q2 results,__label__1
"Q2 results analysis: More pain in store for IT firms in 2020, say experts",__label__2
"Infosys Q2: Stellar execution, remains a buy",__label__2
Infosys on a hiring spree as it looks to address attrition woes,__label__2
"TCS Q2: Macro headwinds come to the fore, wait for downside to play out",__label__2
"Strong support for Nifty at 11,000; HCL Tech, HDFC on analysts€™ radar",__label__2
"SAP, Infosys tie-up for enterprise business",__label__2
India can become world leader in artificial intelligence: Vishal Sikka,__label__1
"Infosys, TCS, HDFC among 17 Indian firms in Forbes best 'regarded' cos list",__label__1
"Infosys closes Rs 8,260 crore buyback offer, takes back 11.05 crore shares",__label__1
"Infosys board considers closure of Rs 8,260 crore buyback offer",__label__1
Infosys expands strategic partnership with Google Cloud,__label__1
Podcast | Stock picks of the day: Nifty may trade in a 430 points range,__label__1
Infosys sets up cyber defence centre in Bucharest,__label__1
Infosys' board looks to stem high attrition: Report,__label__1
IBM study says average yearly cost of data breach in Indian companies close to Rs 13 crore,__label__1
Q1 results analysis: Digital is the only way forward for IT firms,__label__2
Hold Infosys; target of Rs 845: ICICI Direct,__label__1
"Infosys, TCS, 14 other Indian firms see climate change risks in 5 yrs",__label__1
Accumulate Infosys; target of Rs 782: Prabhudas Lilladher,__label__1
Buy Infosys; target of Rs 840: Sharekhan,__label__1
Buy Infosys; target of Rs 840: Motilal Oswal,__label__1
"Infosys: Great start to the year, a strong buy",__label__1
High attrition continues to haunt Infosys,__label__1
"Infosys net profit down 6.8% QoQ, albeit beats Q1 estimates - here are the top 10 takeaways",__label__1
"Infosys Consolidated June 2019 Net Sales at Rs 21,803.00 crore, up 13.98% Y-o-Y",__label__1
"Infosys Standalone June 2019 Net Sales at Rs 19,131.00 crore, up 12.17% Y-o-Y",__label__1
"Infosys Q1 profit falls 6.8%, raises FY20 constant currency revenue guidance to 8.5-10%",__label__1
Infosys to announce earnings on July 12; here are 5 key things to note,__label__1
"Infosys Q1 PAT may dip 11% QoQ to Rs. 3,630.6 cr: Kotak",__label__2
Shareholders raise concerns over incentives to top Infy management,__label__2
"Panaya, Skava still a thorn in Infosys€™ side",__label__2
Infosys to announce Q1 results on July 12,__label__2
Infosys sets up experience design & innovation studio in London,__label__1
Infosys completes formation of strategic partnership with ABN AMRO in the Netherlands,__label__1
Infosys completes acquisition of 75% stake in ABN AMRO Bank subsidiary Stater,__label__1
Sell Infosys; target of Rs 700: Dolat Capital,__label__2
Rs 24.67 crore - Infosys CEO Salil Parekh's salary for FY19,__label__2
Infosys to allocate 50 mn shares to incentivise employees,__label__1
How HCL Tech balances its organic and inorganic strategy will determine its growth,__label__1
Moneycontrol Special on hiring trends - Part 2 | Rise in overseas hiring may be a blessing in disguise for IT companies,__label__1
Exclusive | AdiGro Aviation to bid for Jet Airways; wants to partner Etihad to revive airline,__label__2
Buy Infosys; target of Rs 805: ICICI Direct,__label__2
Hold Infosys; target of Rs 761: KR Choksey,__label__2
Hold Infosys; target of Rs 735: Nalanda Securities,__label__2
Accumulate Infosys; target of Rs 849: Arihant Capital,__label__2
Infosys to roll out incentive scheme for staff with digital skills,__label__2
Buy Infosys; target of Rs 840: Sharekhan,__label__2
Accumulate Infosys; target of Rs 782: Prabhudas Lilladher,__label__2
Sell Infosys; target of Rs 700: Dolat Capital,__label__2
Ideas for Profit | Infosys or TCS €” Where should you invest your money?,__label__2
"Investments on digital, compensation, localisation will continue to weigh on FY20 margin, says Infosys CEO",__label__2
Infosys likely to see knee-jerk reaction on Monday; 10 key takeaways from Q4 results,__label__2
"Infosys Consolidated March 2019 Net Sales at Rs 21,539.00 crore, up 19.11% Y-o-Y",__label__2
"Infosys Standalone March 2019 Net Sales at Rs 18,935.00 crore, up 18.46% Y-o-Y",__label__2
"Infosys Q4: PAT up 13%, company lowers growth guidance for FY20",__label__2
Infosys Q4 preview: Brokerages expect dollar revenue growth of 2-2.5%,__label__2
"CLSA expects Infosys to post 2% CC revenue growth, secure deals worth $2bn in Q4",__label__2
"Infosys Q4 PAT seen up 16.4% QoQ to Rs. 4,199.7 cr: Prabhudas Lilladher",__label__1
"Need greater synergy between Indian companies and startups, says Mohandas and Siddarth Pai",__label__1
"Infosys Q4 PAT may dip 1.6% QoQ to Rs. 3,863.7 cr: Kotak",__label__1
Accumulate Infosys; target of Rs 804: Prabhudas Lilladher,__label__1
What Infosys is doing to keep pace with the digital revolution,__label__1
Infosys to acquire 75% stake in ABN AMRO Bank subsi for 127.5 mn euros,__label__1
Infosys to invest $10 mn in California-based The House Fund II,__label__2
"Top buy and sell ideas by Sudarshan Sukhani, Mitessh Thakkar, Prakash Gaba for short term",__label__1
Infosys shareholders approve reappointment of Kiran Mazumdar-Shaw as independent director; 7.7% dissent votes,__label__2
"US Court dismisses visa fraud lawsuit against Infosys, Apple",__label__2
Infosys launches new offerings to help enterprises tap into 5G technology,__label__1
IT sector to see strong earnings growth in 2019; Infosys and HCL Tech top bets: CLSA,__label__1
"Infosys settles case with Sebi, pays Rs 34 lakh towards settlement",__label__2
Narayana Murthy: 4 steps India needs to take to become $10 trillion economy,__label__1
"Buy Infosys, target Rs 784: Rajesh Palviya",__label__2
HCL Tech's results positive but acquisition an area of concern: Edelweiss,__label__1
Transcript| Infosys Q3 FY19 Earnings Conference Call,__label__1
"Technical View | Top buy and sell ideas by Ashwani Gujral, Sudarshan Sukhani, Mitessh Thakkar for short term",__label__1
Buy Infosys; target of Rs 780: ICICI Direct,__label__1
Buy Infosys; target of Rs 840: Dolat Capital,__label__1
Accumulate Infosys; target of Rs 800: Arihant Capital,__label__1
Buy Infosys; target of Rs 840: Sharekhan,__label__1
Buy Infosys; target of Rs 810: Prabhudas Lilladher,__label__1
Buy Infosys; target of Rs 800: Motilal Oswal,__label__1
Buy Infosys; target of Rs 800: HDFC Securities,__label__1
"Ideas for Profit | Infosys: Payout limits downside, buy as the stock closes valuation gap with leader",__label__1
"Infosys Q3 review: Should you buy, sell or hold the stock?",__label__1
"Infosys Consolidated December 2018 Net Sales at Rs 21,400.00 crore, Up 20.27% Y-o-Y.",__label__1
"Infosys Standalone December 2018 Net Sales at Rs 18,819.00 crore, up 20.4% Y-o-Y",__label__1
Infosys Q3 profit falls 12%; FY19 CC revenue growth forecast raised to 8.5-9%; buyback approved,__label__1
"Infosys Q3 PAT seen up 3.5% QoQ to Rs. 4,252.9 cr: ICICI Direct",__label__1
