Time,Dates,Sources,Headlines
10.39 am , 31 Dec 2015 ,   Source: CNBC-TV18,"Short Infosys, says Shubham Agarwal"
10.39 am , 30 Dec 2015 ,   Source: CNBC-TV18,"Chennai rain, seasonality to hurt IT cos in Q3:Offshore Insights"
8.49 am , 29 Dec 2015 ,   Source: PTI,Infosys sets up 6.6 MW solar plant in Telangana campus
1.28 pm , 26 Dec 2015 ,   Source: PTI,Startups get $8.4 bn funding in 2015; Nearly 1k deals inked
9.50 am , 23 Dec 2015 ,   Source: CNBC-TV18,"Prefer TCS, Infosys: Sudarshan Sukhani"
1.30 pm , 22 Dec 2015 ,   Source: CNBC-TV18,Infosys may move to Rs 1150: Shubham Agarwal
11.31 am , 22 Dec 2015 ,   Source: CNBC-TV18,Infosys may slip to Rs 1073: Rajat Bose
9.22 am , 22 Dec 2015 ,   Source: CNBC-TV18,"Buy Britannia, Idea, ONGC: Prakash Gaba"
10.40 am , 21 Dec 2015 ,   Source: CNBC-TV18,"Sell HDFC, Infosys: Rajat Bose"
10.20 am , 21 Dec 2015 ,   Source: PTI,Tata Motors only Indian firm on top-50 global R&D list
10.09 am , 18 Dec 2015 ,   Source: CNBC-TV18,Expect Infosys to slip to Rs 1073: Rajat Bose
9.56 am , 17 Dec 2015 ,   Source: CNBC-TV18,"Like Infosys; buy ICICI Bank, Lupin, TCS: Prakash Gaba"
9.43 am , 17 Dec 2015 ,   Source: CNBC-TV18,"Buy Infosys, advises Sudarshan Sukhani"
2.46 pm , 16 Dec 2015 ,   Source: CNBC-TV18,"Majesco may test Rs 800, says Harit Shah"
12.16 pm , 16 Dec 2015 ,   Source: CNBC-TV18,TVS Srichakra may test Rs 3240 in 9 months: Mayuresh Joshi
11.56 am , 15 Dec 2015 ,   Source: CNBC-TV18,"Infosys good bet, target Rs 1110: Rajat Bose"
9.20 am , 15 Dec 2015 ,   Source: CNBC-TV18,"Sell Dish TV; buy LIC Housing, TV18 Broadcast: Prakash Gaba"
5.21 pm , 14 Dec 2015 ,   Source: Moneycontrol.com,"Infosys Q3 results on January 14, 2016"
10.07 am , 14 Dec 2015 ,   Source: CNBC-TV18,"Prefer Infosys, Hexaware Technologies: Ajay Bodke"
12.43 pm , 10 Dec 2015 ,   Source: PTI,Infosys invests $4mn in Israeli startup CloudEndure
10.26 am , 10 Dec 2015 ,   Source: CNBC-TV18,Tata Consultancy Services will outperform: Sukhani
3.40 pm , 09 Dec 2015 ,   Source: PTI,'Startup valuations to settle once eco sense takes over'
1.56 pm , 08 Dec 2015 ,   Source: PTI,"Norms soon for crowdfunding, MF sale through ecomm:UK Sinha"
11.04 am , 08 Dec 2015 ,   Source: CNBC-TV18,Stock picks by Simi Bhaumik that can yield handsome returns
7.06 pm , 07 Dec 2015 ,   Source: PTI,Infosys to create 250 new technology jobs in Ireland   
10.17 am , 07 Dec 2015 ,   Source: CNBC-TV18,Sell Tata Consultancy Services: Sudarshan Sukhani
12.43 pm , 04 Dec 2015 ,   Source: CNBC-TV18,"Buy Infosys 1060 Call, advises Krish Subramanyam"
12.39 pm , 04 Dec 2015 ,   Source: CNBC-TV18,"Buy Lupin 1850 Put, sell 1750 Put: Krish Subramanyam"
9.10 am , 04 Dec 2015 ,   Source: CNBC-TV18,"Short Infosys, target Rs 1020: Rahul Mohindar "
4.04 pm , 03 Dec 2015 ,   Source: CNBC-TV18,"Sell Infosys on bounce, says Hemen Kapadia"
4.04 pm , 30 Nov 2015 ,   Source: CNBC-TV18,Infosys may outperform: Sudarshan Sukhani
3.26 pm , 27 Nov 2015 ,   Source: CNBC-TV18,"Buy Infosys, L&T: Hemen Kapadia"
9.27 am , 24 Nov 2015 ,   Source: CNBC-TV18,"Sell Infosys on any rally, says Rajat Bose"
11.23 am , 23 Nov 2015 ,   Source: CNBC-TV18,"Buy Infosys, says Sudarshan Sukhani"
11.41 am , 21 Nov 2015 ,   Source: CNBC-TV18,"Below Rs 800, HCL Technologies good bet: Jai Bala"
11.40 am , 21 Nov 2015 ,   Source: CNBC-TV18,"Underweight on pharma, IT space: Sanjay Dutt"
5.26 pm , 20 Nov 2015 ,   Source: CNBC-TV18,"Sell Infosys, says Rajat Bose"
11.18 am , 20 Nov 2015 ,   Source: CNBC-TV18,Infosys may go to Rs 1070-1080: Rahul Mohindar
10.33 am , 20 Nov 2015 ,   Source: PTI,Infosys completes acquisition of Noah Consulting
5.06 pm , 19 Nov 2015 ,   Source: CNBC-TV18,Dipan Mehta negative on largecap IT stocks
2.44 pm , 19 Nov 2015 ,   Source: CNBC-TV18,No plans for changing bullish view on India: Anand Mahindra
12.05 pm , 19 Nov 2015 ,   Source: CNBC-TV18,"Buy Infosys, says Ajay Bodke"
11.48 am , 19 Nov 2015 ,   Source: CNBC-TV18,"Positive on Infosys, Tech Mah may test Rs 680: IDFC Sec"
10.58 am , 19 Nov 2015 ,   Source: CNBC-TV18,Global ops will boost biz growth in FY16: Tech Mahindra
8.55 am , 19 Nov 2015 ,   Source: CNBC-TV18,Super Six trading stocks for short term gain
4.58 pm , 18 Nov 2015 ,   Source: CNBC-TV18,Buy Infosys for long term: Sudip Bandopadhyay
1.26 pm , 18 Nov 2015 ,   Source: CNBC-TV18,Top buzzing midcap stocks to trade on November 18
5.17 pm , 17 Nov 2015 ,   Source: CNBC-TV18,"Look at Infosys, says Gautam Sinha Roy"
4.59 pm , 17 Nov 2015 ,   Source: CNBC-TV18,"Expect more pain in TCS, Infosys: Kunal Bothra"
12.32 pm , 17 Nov 2015 ,   Source: CNBC-TV18,"Sell Infosys on rallies, says Rajat Bose"
8.39 am , 17 Nov 2015 ,   Source: CNBC-TV18,"Infosys warns of weak Q3 margins, maintains FY16 guidance"
4.41 pm , 16 Nov 2015 ,   Source: CNBC-TV18,"Prefer TCS, Infosys: Mayuresh Joshi"
4.05 pm , 16 Nov 2015 ,   Source: CNBC-TV18,"Short TCS, HCL Tech, Tech Mahindra: Sukhani"
11.32 am , 16 Nov 2015 ,   Source: CNBC-TV18,"Below Rs 1075, go short in Infosys: Hemant Thukral"
4.56 pm , 09 Nov 2015 ,   Source: CNBC-TV18,"Hold Mindtree, advises Mayuresh Joshi"
11.07 am , 09 Nov 2015 ,   Source: CNBC-TV18,"Buy HCL Tech, Infosys, TCS, Tech Mahindra: Sukhani"
3.32 pm , 06 Nov 2015 ,   Source: CNBC-TV18,"Buy Infosys, TCS, Tech Mahindra: Sharmila Joshi"
4.33 pm , 05 Nov 2015 ,   Source: CNBC-TV18,Top Diwali stock picks by R Sreeshankar
6.53 pm , 04 Nov 2015 ,   Source: CNBC-TV18,"Cognizant Q3 nos good; Infosys, HCL top picks: Elara"
12.15 pm , 04 Nov 2015 ,   Source: CNBC-TV18,"Prefer Infosys, TCS: Mayuresh Joshi"
9.52 am , 04 Nov 2015 ,   Source: CNBC-TV18,"Buy Tech Mahindra, says Sudarshan Sukhani"
4.39 pm , 03 Nov 2015 ,   Source: CNBC-TV18,"Like Infosys, bullish on NTPC, Power Grid: Parag Thakkar"
7.52 am , 27 Oct 2015 ,   Source: PTI,Indian IT cos to benefit from H-1B filing fee drop:Law firm
12.28 pm , 26 Oct 2015 ,   Source: CNBC-TV18,"Like TCS, Infosys, Tata Motors, Sun Pharma: R Venkatraman"
9.26 am , 26 Oct 2015 ,   Source: CNBC-TV18,"Buy Infosys, advises Sudarshan Sukhani"
12.07 pm , 24 Oct 2015 ,   Source: CNBC-TV18,"Infosys may move to Rs 1300-1350, says Jai Bala"
4.08 pm , 21 Oct 2015 ,   Source: CNBC-TV18,"Enter Infosys for long term, says Sudip Bandopadhyay"
12.28 pm , 21 Oct 2015 ,   Source: CNBC-TV18,"Buy Infosys, advises Sudarshan Sukhani"
9.00 am , 21 Oct 2015 ,   Source: CNBC-TV18,"After robust Q2, Zensar confident of upping margins further"
4.48 pm , 20 Oct 2015 ,   Source: CNBC-TV18,Infosys may test Rs 1050 in next couple of weeks: LKP Sec
3.37 pm , 20 Oct 2015 ,   Source: PTI,"Infosys, Huawei to jointly launch smart stadium solutions"
