Time,Dates,Sources,Headlines
12.12 pm , 03 Dec 2015 ,   Source: Moneycontrol.com,Buy Torrent Pharmaceuticals; target of Rs 1650: Firstcall
11.42 am , 03 Dec 2015 ,   Source: Moneycontrol.com,"Credit Suisse raises target, EPS on Torrent Pharma"
4.24 pm , 02 Dec 2015 ,   Source: CNBC-TV18,Buy Persistent Systems: Sudip Bandopadhyay
1.26 pm , 18 Nov 2015 ,   Source: CNBC-TV18,Top buzzing midcap stocks to trade on November 18
1.47 pm , 16 Nov 2015 ,   Source: CNBC-TV18,"Prefer Aurobindo Pharma, Mindtree, SKS Micro: Dipan Mehta"
7.26 pm , 11 Nov 2015 ,   Source: CNBC-TV18,"Samvat 2072: SP Tulsian sees 100% return in Samkrg Piston, target Rs 300"
6.48 pm , 11 Nov 2015 ,   Source: CNBC-TV18,Samvat 2072: Top Diwali portfolio picks by Dipan Mehta
7.09 pm , 05 Nov 2015 ,   Source: PTI,Torrent Pharma commences production from new plant in Guj
4.13 pm , 05 Nov 2015 ,   Source: Moneycontrol.com,Torrent Pharma's new plant at Dahej commences operations
1.36 pm , 30 Oct 2015 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals: Outcome of board meeting
7.56 am , 30 Oct 2015 ,   Source: CNBC-TV18,"Bull's Eye: Buy Tata Motors DVR, Divis Lab, NMDC, Wonderla"
5.02 pm , 29 Oct 2015 ,   Source: CNBC-TV18,"Invest in Alembic Pharma, says Dipan Mehta"
4.00 pm , 29 Oct 2015 ,   Source: Moneycontrol.com,Torrent Pharma Q2 profit jumps 3-fold to Rs 568cr on US biz
10.10 am , 29 Oct 2015 ,   Source: CNBC-TV18,Torrent Pharma Q2 profit seen up 153% on Abilify boost
8.07 pm , 26 Oct 2015 ,   Source: PTI,"Elder Pharma faces tough time, but says will clear all dues"
12.28 pm , 26 Oct 2015 ,   Source: CNBC-TV18,"Like TCS, Infosys, Tata Motors, Sun Pharma: R Venkatraman"
1.37 pm , 21 Oct 2015 ,   Source: CNBC-TV18,Top buzzing midcap stocks to trade on October 21
3.42 pm , 15 Oct 2015 ,   Source: CNBC-TV18,"Expect upside in Torrent Pharma, says Hemen Kapadia"
4.36 pm , 13 Oct 2015 ,   Source: CNBC-TV18,"Dr Reddy's Labs top pick, says Mehraboon Irani"
9.57 pm , 12 Oct 2015 ,   Source: PTI,"Facing tough cash flow, committed to repay investors: Elder"
3.06 pm , 08 Oct 2015 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals: Outcome of board meeting
4.37 pm , 06 Oct 2015 ,   Source: CNBC-TV18,"Hold Torrent Pharma, may test Rs 1,800: Nooresh Merani"
2.47 pm , 30 Sep 2015 ,   Source: Moneycontrol.com,"Torrent Pharmaceuticals' Q2 results on October 29, 2015"
1.25 pm , 24 Sep 2015 ,   Source: CNBC-TV18,"Positive on Sun Pharma, Strides Arcolab: Deepak Shenoy"
3.04 pm , 18 Sep 2015 ,   Source: Moneycontrol.com,Emkay's research report on Torrent Pharma
3.47 pm , 16 Sep 2015 ,   Source: CNBC-TV18,Torrent Pharma good bet: Vishal Malkan
7.38 pm , 14 Sep 2015 ,   Source: Moneycontrol.com,HOLD Torrent Pharmaceuticals; target of Rs 1570: Sharekhan
5.00 pm , 14 Sep 2015 ,   Source: CNBC-TV18,"Prefer MindTree, Cadila, LIC Housing: Dipan Mehta"
12.06 pm , 14 Sep 2015 ,   Source: CNBC-TV18,See downside in L&T; HCL Tech top pick: Ambit Capital
1.05 pm , 10 Sep 2015 ,   Source: CNBC-TV18,Top buzzing midcap stocks to trade on September 10
11.44 am , 10 Sep 2015 ,   Source: CNBC-TV18,"Alembic, Marico qualify as today’s A-list stocks"
4.31 pm , 01 Sep 2015 ,   Source: CNBC-TV18,"Look at L&T, Torrent Pharma: Kunal Bothra"
12.29 pm , 01 Sep 2015 ,   Source: CNBC-TV18,"Divis Lab, Torrent Pharma good buys: Daljeet Singh Kohli "
9.40 am , 24 Aug 2015 ,   Source: CNBC-TV18,"Buy Torrent Pharma on dips, advises Sudarshan Sukhani"
4.17 pm , 20 Aug 2015 ,   Source: CNBC-TV18,"Like Divis Laboratories, Torrent Pharma: Anmol Ganjoo"
4.52 pm , 13 Aug 2015 ,   Source: CNBC-TV18,"Positive on pharma, like Aurobindo Pharma: Dipan Mehta"
11.50 am , 05 Aug 2015 ,   Source: CNBC-TV18,"Why India Nivesh is bullish on Torrent Pharma, BoB"
4.23 pm , 29 Jul 2015 ,   Source: CNBC-TV18,Prefer midcap pharma space: Hemindra Hazari
10.26 pm , 27 Jul 2015 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals appoints Renu Challu as independent director
9.48 pm , 27 Jul 2015 ,   Source: PTI,Torrent Pharma Q1 net profit rises 75% to Rs 449 crore
3.59 pm , 27 Jul 2015 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals: Outcome of AGM
1.08 pm , 27 Jul 2015 ,   Source: CNBC-TV18,"Overweight on pharma, private sector banks: Dipan Mehta"
1.33 pm , 21 Jul 2015 ,   Source: CNBC-TV18,"Buy Pennar Ind, Torrent Pharma: Daljeet Singh Kohli"
12.01 pm , 21 Jul 2015 ,   Source: CNBC-TV18,See better Q2 for Infy; buy HDFC Bank: India Nivesh Sec 
1.30 pm , 18 Jul 2015 ,   Source: PTI,Torrent Pharma completes Zyg Pharma acquisition
4.44 pm , 15 Jul 2015 ,   Source: CNBC-TV18,Phani Sekhar positive on largecap pharma space
3.33 pm , 07 Jul 2015 ,   Source: Moneycontrol.com,"Find out what`s in, what`s out for July 2015: ICICIdirect"
3.58 pm , 03 Jul 2015 ,   Source: Moneycontrol.com,"Torrent Pharmaceuticals: AGM on July 27, 2015"
3.23 pm , 27 Jun 2015 ,   Source: Moneycontrol.com,Portfolio churner: 10 stocks to buy/sell as Greece haunts
12.53 pm , 14 Jun 2015 ,   Source: PTI,Elder Pharma eyes Rs 100cr from global sales of Shelcal
9.34 pm , 28 May 2015 ,   Source: PTI,FIPB defers Kotak Bank's proposal to hike FDI limit
6.47 pm , 20 May 2015 ,   Source: Moneycontrol.com,Buy Torrent Pharmaceuticals; target of Rs 1450: ICICIdirect
11.57 am , 16 May 2015 ,   Source: PTI,Torrent Pharma Q4 net profit falls 47% to Rs 130 cr
9.31 pm , 15 May 2015 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals: Outcome of board meeting
9.03 am , 06 May 2015 ,   Source: PTI,Torrent Pharma to acquire Zyg Pharma for an undisclosed sum
11.43 am , 16 Apr 2015 ,   Source: CNBC-TV18,See 10-15% upside in midcap pharma space: Vineet Bhatnagar
11.18 am , 15 Apr 2015 ,   Source: CNBC-TV18,"Buy Glenmark, Colgate Palmolive: Sudarshan Sukhani"
8.47 am , 06 Apr 2015 ,   Source: CNBC-TV18,Here are top 10 stocks to focus on April 6
1.13 pm , 25 Mar 2015 ,   Source: Moneycontrol.com,Buy Torrent Pharma; target of Rs 1500: Sharekhan
10.38 pm , 20 Mar 2015 ,   Source: PTI,FTC passes final order in USD 4 billion Sun-Ranbaxy deal
6.34 pm , 18 Mar 2015 ,   Source: CNBC-TV18,"Hold Cadila, Torrent Pharma, Infosys, TCS: Rajesh Kothari"
8.00 am , 18 Mar 2015 ,   Source: Moneycontrol.com,Fancy a large cap 'gladiator' stock in your kitty?
2.25 pm , 11 Mar 2015 ,   Source: CNBC-TV18,"Prefer Dr Reddy's, Lupin, Cipla, Ipca Labs: Anmol Ganjoo"
6.27 pm , 05 Feb 2015 ,   Source: Moneycontrol.com,Buy Torrent Pharma; target of Rs 1385: Kotak Securities
2.23 pm , 31 Jan 2015 ,   Source: CNBC-TV18,Sun-Ranbaxy's $4bn merger deal gets USFTC's conditional nod
