Dates,Headlines
03 Dec 2019,"Hot Stocks: Stay bullish on Nifty with stop-loss at 11,883 for target of 12,300"
11 Nov 2019,"Top buy and sell ideas by Ashwani Gujral, Prakash Gaba, Sudarshan Sukhani for short term"
23 Oct 2019,"Kotak Mahindra Bank: Asset quality takes away sheen, buy on weakness"
16 Oct 2019,"Podcast | Hot Stocks: Another round of short coverings could take Nifty towards 11,550"
23 Jul 2019,Kotak Mahindra Bank: Ideally placed to negotiate a difficult environment; buy on dips
12 Jul 2019,"Kotak Mahindra Bank Q1 Net Profit seen up 35.6% YoY to Rs. 1,390 cr: Sharekhan"
03 Jun 2019,CII pitches for reducing cost of equity
05 May 2019,"Below 11,650, Nifty may drift towards 11,600-11,550; 4 stocks could give 4-8% upside"
03 May 2019,Hold Kotak Mahindra Bank; target of Rs 1500: ICICI Direct
02 May 2019,Buy Kotak Mahindra Bank; target of Rs 1554: Nalanda Securities
02 May 2019,Hold Kotak Mahindra Bank; target of Rs 1385: Prabhudas Lilladher
02 May 2019,Buy Kotak Mahindra Bank; target of Rs 1481: HDFC Securities
02 May 2019,Accumulate Kotak Mahindra Bank; target of Rs 1550: Dolat Capital
02 May 2019,"Kotak Mahindra Bank Q4 profit jumps 25% YoY; should you buy, sell or hold?"
02 May 2019,Ideas for Profit | Kotak Mahindra Bank: Look to own this stock on any correction
30 Apr 2019,"Uday Kotak warns of more liquidity squeeze, muddying waters for financial sector again"
30 Apr 2019,"Kotak Mahindra Consolidated March 2019 Net Interest Income (NII) at Rs 4,001.02 crore, up  18.07% Y-o-Y"
30 Apr 2019,"Kotak Mahindra Standalone March 2019 Net Interest Income (NII) at Rs 3,047.87 crore, up  18.15% Y-o-Y"
30 Apr 2019,"Kotak Mahindra Bank Q4 profit jumps 25% YoY to Rs 1,408 cr"
30 Apr 2019,"Kotak Bank Q4 preview: Net profit, NII expected to grow in double digits"
30 Apr 2019,"Top buy and sell ideas by Sudarshan Sukhani, Mitessh Thakkar for short term"
25 Apr 2019,"Kotak Mahindra Investments exits Matrix, sells 19.77% stake for Rs 10 crore"
24 Apr 2019,"As RBI and Kotak Bank spar over promoter stake rule, experts feel spirit of law at stake"
17 Apr 2019,Kotak Bank drags Ballarpur group firm to NCLT now
12 Apr 2019,"RBI rate cuts to boost demand, focus should be on 7% GDP growth: Uday Kotak"
09 Apr 2019,"Kotak Mahindra Bank Q4 Net Profit seen up 23.5% YoY to Rs. 1,388 cr: Motilal Oswal"
