text,label
"Hot Stocks: Stay bullish on Nifty with stop-loss at 11,883 for target of 12,300",__label__2
"Top buy and sell ideas by Ashwani Gujral, Prakash Gaba, Sudarshan Sukhani for short term",__label__1
"Kotak Mahindra Bank: Asset quality takes away sheen, buy on weakness",__label__2
"Podcast | Hot Stocks: Another round of short coverings could take Nifty towards 11,550",__label__2
Kotak Mahindra Bank: Ideally placed to negotiate a difficult environment; buy on dips,__label__2
"Kotak Mahindra Bank Q1 Net Profit seen up 35.6% YoY to Rs. 1,390 cr: Sharekhan",__label__1
CII pitches for reducing cost of equity,__label__2
Hold Kotak Mahindra Bank; target of Rs 1500: ICICI Direct,__label__2
Buy Kotak Mahindra Bank; target of Rs 1554: Nalanda Securities,__label__2
Hold Kotak Mahindra Bank; target of Rs 1385: Prabhudas Lilladher,__label__2
Buy Kotak Mahindra Bank; target of Rs 1481: HDFC Securities,__label__2
Accumulate Kotak Mahindra Bank; target of Rs 1550: Dolat Capital,__label__2
"Kotak Mahindra Bank Q4 profit jumps 25% YoY; should you buy, sell or hold?",__label__2
Ideas for Profit | Kotak Mahindra Bank: Look to own this stock on any correction,__label__2
"Uday Kotak warns of more liquidity squeeze, muddying waters for financial sector again",__label__2
"Kotak Mahindra Consolidated March 2019 Net Interest Income (NII) at Rs 4,001.02 crore, up  18.07% Y-o-Y",__label__2
"Kotak Mahindra Standalone March 2019 Net Interest Income (NII) at Rs 3,047.87 crore, up  18.15% Y-o-Y",__label__2
"Kotak Mahindra Bank Q4 profit jumps 25% YoY to Rs 1,408 cr",__label__2
"Kotak Bank Q4 preview: Net profit, NII expected to grow in double digits",__label__2
"Top buy and sell ideas by Sudarshan Sukhani, Mitessh Thakkar for short term",__label__2
"Kotak Mahindra Investments exits Matrix, sells 19.77% stake for Rs 10 crore",__label__2
"As RBI and Kotak Bank spar over promoter stake rule, experts feel spirit of law at stake",__label__1
"RBI rate cuts to boost demand, focus should be on 7% GDP growth: Uday Kotak",__label__1
"Kotak Mahindra Bank Q4 Net Profit seen up 23.5% YoY to Rs. 1,388 cr: Motilal Oswal",__label__1
Lakshmi Vilas Bank approves merger with Indiabulls Housing Finance,__label__2
Kotak Mahindra group sets up $400 mn fund with DivyaSree to build office properties,__label__2
Kotak Bank lowers lending rate by a marginal 5 bps,__label__1
ING Group sells entire 3% stake in Kotak Mahindra Bank,__label__1
Opinion | When the bubble bursts,__label__1
Uday Kotak believes it is time for consolidation in NBFC space,__label__1
"Top buy and sell ideas by Ashwani Gujral, Sudarshan Sukhani, Mitessh Thakkar for short term",__label__2
"Podcast | Stock picks of the day: 'Nifty likely to hover in 10,600-11,000 range'",__label__2
Hold Kotak Mahindra Bank; target of Rs 1291: Prabhudas Lilladher,__label__2
Accumulate Kotak Mahindra Bank; target of Rs 1420 : Dolat Capital,__label__2
Transcript| Kotak Mahindra Bank Q3 FY19 Earnings Conference Call,__label__2
Buy Kotak Mahindra Bank; target of Rs 1400: HDFC Securities,__label__1
