Dates,Headlines
23 Nov 2019,This week in auto: Car discounts on BS-IV stocks; Rajiv Bajaj hits back at Tata Motors design head
19 Nov 2019,M&M€™s electric SUV launches face year-long delay; eXUV300 launch pushed to FY22
15 Nov 2019,Mahindra-controlled company keeps everyone guessing on Jawa bookings
04 Nov 2019,Mahindra recalls a batch of XUV300 units to fix faulty suspension part
25 Oct 2019,Mahindra to fully acquire France-based Peugeot Motocycles
15 Oct 2019,"Mahindra not chasing hybrids, to focus on electric vehicle tech"
14 Oct 2019,M&M to rollout BS-VI trucks in February; expect price hike up to Rs 2 lakh
10 Oct 2019,"M&M, Ford JV could spin out 10 products; current Aspire won't be electrified"
09 Oct 2019,M&M launches special edition of utility vehicle Bolero
03 Oct 2019,"M&M-Ford deal to lower costs by 40%, boost sourcing from common suppliers"
01 Oct 2019,"Mahindra, Ford shake hands to form new company; Ford takes $900mn hit"
01 Oct 2019,Car sales slump: Sky-high discounts fail to entice buyers
28 Sep 2019,This week in Auto: Auto companies roll out discounts; and why Ford's M&M tie-up may be for the best
26 Sep 2019,M&M expects hike in demand in Bihar during festive season
25 Sep 2019,Hyundai Kona all sold out in India for 2019 despite Rs 24 lakh price tag
23 Sep 2019,"Corporate tax rate cut: FM's decision has taken care of our marketing budget for the quarter, says Rajiv Bajaj"
20 Sep 2019,'Looks like Diwali has come early': Auto sector hails corporate tax rate cut
20 Sep 2019,"India Inc hails Nirmala Sitharaman's tax cut, here is why"
18 Sep 2019,M&M incorporates MBPL as wholly-owned subsidiary
13 Sep 2019,Mahindra to observe no production days at plants for up to 17 days this quarter
01 Sep 2019,"Mahindra & Mahindra's August auto sales drop 25% to 36,085 units"
30 Aug 2019,"Mahindra begins Peugeot e-scooter exports from India, lays off one-fifth of workforce"
19 Aug 2019,Mahindra to invest €˜hundreds of millions€™ in US plant
09 Aug 2019,"Mahindra eyeing $6.3 billion US Postal truck-supply contract, signs LoI for plant in Michigan"
08 Aug 2019,Mahindra confirms launch plans of electric two-wheelers in India
07 Aug 2019,"Car makers won€™t hold back on job cuts for long if demand slowdown persists: Pawan Goenka, MD, Mahindra"
07 Aug 2019, M&M to launch 6 electric vehicles by 2021
03 Aug 2019,This week in Auto: Demand puts models on waiting despite down industry; EV-makers cut prices
02 Aug 2019,Mahindra cuts e-Verito price by up to Rs 80k
18 Jul 2019,Electric three-wheelers sell more than conventional ones first time in India
10 Jul 2019,"Why Mahindra is looking forward to BS 6 rollout, which is making most carmakers jittery"
05 Jul 2019,"Budget 2019: Temporary cut in GST will reverse downcycle in auto demand, says M&M€™s Pawan Goenka"
01 Jul 2019,"Mahindra sales fall 6% to 42,547 units in June"
29 Jun 2019,This week in Auto: Demand for GST cut exposes rift in industry; Tata Motors needs transformation says Chairman
28 Jun 2019,M&M invests Rs 60 cr in digital marketing infra in last 3 yrs
28 Jun 2019,"Automakers may readily take back unsold BS-IV stock after April 1, 2020 deadline"
24 Jun 2019,"M&M's Pawan Goenka: For India, electric vehicles are the future not hybrids"
19 Jun 2019,"M&M to hike price of its range of personal vehicles by up to Rs 36,000 from July 1"
14 Jun 2019,Mahindra picks up over 11% stake in Swiss firm for CHF 4.3 mn
14 Jun 2019,Piaggio to invest up to Rs 300 crore; electric three-wheeler launch later this year
13 Jun 2019,"Honda says BS-VI will be a game changer for MoTown, remove discount culture"
11 Jun 2019,Zoomcar in early talks to merge with rival Drivezy
04 Jun 2019,Auto body raises concerns about BS-VI fuel availability
04 Jun 2019,Cost-happy Mahindra not to sell BS-VI engines to rivals
03 Jun 2019,Why Mahindra won't give up on its love for diesel despite BS-VI
03 Jun 2019,M&M to launch BS-VI compliant vehicles soon
03 Jun 2019,M&M: In-line Q4 numbers; attractive valuation makes it a long-term buy
30 May 2019,"CLSA downgrades Mahindra's on weak Q4 show, other brokerages cut target"
29 May 2019,"M&M Standalone March 2019 Net Sales at Rs 14,035.16 crore, up 5.47% Y-o-Y"
25 May 2019,This week in Auto: Hyundai Venue debuts in India; Car launches become Friday movie releases of the week
10 May 2019,Mahindra launches entry level variant of XUV500 at Rs 12.22 lakh
03 May 2019,Demonetisation has crippled cash market for used cars
03 May 2019,"M&M launches facelift of compact SUV TUV300, priced at Rs 8.38 lakh"
25 Apr 2019,Mahindra & Mahindra to deploy 50 electric vehicles on Uber platform
20 Apr 2019,"This week in Auto: Hyundai unveils new SUV, Bajaj launches Qute"
13 Apr 2019,This week in Auto: PV sales slowest in 4 years; Can Ford give up India ops?
10 Apr 2019,Mahindra & Mahindra Q4 PAT may dip 22.1% YoY to Rs. 787.4 cr: Prabhudas Lilladher
01 Apr 2019,"M&M sales up 1% in March at 62,952 units"
30 Mar 2019,Weekly wrap: Bajaj Auto rejigs top deck; JSW Energy mysteriously exits electric vehicle business
28 Mar 2019,"Mahindra to increase price of vehicles by up to Rs 73,000 from April"
22 Mar 2019,Ideas for Profit | M&M Financial Services: Risk reward reasonable; accumulate
20 Mar 2019,Here's why the shift to BS-VI entails more than what meets the eye
18 Mar 2019,"MG Motors electric SUV eZS to be priced below Rs 25 lakh, launch in December quarter"
16 Mar 2019,This week in Auto: Fiat nearly out of market; Mahindra-owned SsangYong powers ahead despite losses
14 Mar 2019,"Mahindra XUV300 bookings cross 13,000 mark"
11 Mar 2019,"Exclusive: SsangYong Motor, M&M's Korean unit, to boost product launches with around $1 billion war chest"
06 Mar 2019,"Purely electric vehicle platform in long term, EV based on Ford platform on anvil: M&M"
01 Mar 2019,Revised FAME scheme puts EV segment in fast lane: M&M
27 Feb 2019,Peugeot to bring electric cars in its India debut in 2021
27 Feb 2019,Peugeot to bring electric cars in its India debut in 2021
25 Feb 2019,"Mahindra Glyd-es into Mumbai's app-based taxi business; to rival Uber, Ola"
25 Feb 2019,Mahindra launches e-mobility service in Mumbai
25 Feb 2019,Mahindra launches e-mobility service in Mumbai
23 Feb 2019,This week in Auto: Two-wheeler companies struggle with high inventory; electric three-wheelers make a beeline
14 Feb 2019,"Mahindra's XUV300 debuts at Rs 7.9 lakh, priced at a premium to Maruti Brezza"
12 Feb 2019,Buy Mahindra and Mahindra; target of Rs 878: Prabhudas Lilladher
12 Feb 2019,Clash of titans: Royal Enfield dares challenger Jawa to 'try harder'
11 Feb 2019,"Exclusive | Not looking for any GST rate reduction on two-wheelers: Pawan Goenka, Mahindra"
11 Feb 2019,"Ideas for Profit | Leadership position, attractive valuation make M&M a long-term buy"
11 Feb 2019,"M&M Standalone December 2018 Net Sales at Rs 13,070.36 crore, up 12.89% Y-o-Y"
11 Feb 2019,What should investors do with M&M stock post Q3 results?
08 Feb 2019,First Cut | Decent showing by M&M in Q3 FY19; accumulate for the long-term
08 Feb 2019,"M&M, MVML post 60% jump in net Q3 profit at Rs 1,476 crore; tractor EBIT up 6%"
06 Feb 2019,EXCLUSIVE: Bajaj Auto€™s electric vehicle brand Urbanite to debut in 6-9 months
04 Feb 2019,"Mahindra in talks to sell 20,000 electric vehicles; Uber EV pilot to kick off this month"
01 Feb 2019,Kisan scheme more a sentiment booster than a demand driver for tractors: M&M€™s Pawan Goenka
01 Feb 2019,"Budget 2019: PM Kisan Samman Nidhi to boost tractor, two-wheeler demand"
01 Feb 2019,"M&M January sales up 7% at 55,722 vehicles"
29 Jan 2019,Mahindra in dilemma over timing of switchover to BS-VI trucks
29 Jan 2019,Mahindra launches Furio truck range starting at Rs 17.45 lakh
23 Jan 2019,"Technical View | Top buy and sell ideas by Ashwani Gujral, Sudarshan Sukhani, Mitessh Thakkar for short term"
14 Jan 2019,Buy M&M with target Rs 775-790: Aditya Agarwal
14 Jan 2019,"Buy Mahindra & Mahindra, says Mazhar Mohammad"
12 Jan 2019,"Is Nifty heading for a breakout with a potential target of 11,349?"
09 Jan 2019,"Mahindra & Mahindra Q3 PAT seen up 3% YoY to Rs. 1,045.5 cr: Motilal Oswal"
07 Jan 2019,US court to continue investigation in Mahindra-Fiat case 
01 Jan 2019,"M&M tractor sales down 6% at 17,404 units in December"
01 Jan 2019,"M&M December sales up 1% at 39,755 units"
31 Dec 2018,"Weaker oil prices, reforms, stable govt are key drivers for Indian markets in 2019"
22 Dec 2018,"This week in Auto: Mahindra promises to launch XUV300 in Feb, Hybrids divide industry down to the middle"
20 Dec 2018,"Better farm techniques needed, not driverless tractors: John Deere"
19 Dec 2018,Mahindra to launch new compact SUV XUV300 in February
18 Dec 2018,"Tata Motors to hike truck, bus prices by 1-1.5% next month"
18 Dec 2018,Mahindra inks pact to increase its equity in associate firm Sampo to 49.04%
12 Dec 2018,Global VP Patrick Carre says Shell Lubricants well positioned to move to BS-VI
03 Dec 2018,"Mahindra tractor sales rise 13% to 25,949 units in November"
01 Dec 2018,"This week in Auto: Hyundai, Toyota appoint new heads; Mahindra gambles with premium SUV again"
28 Nov 2018,Roxor SUV IPR case: It€™s advantage Mahindra over Fiat Chrysler
27 Nov 2018,Car makers line up price hikes despite a slowing market
27 Nov 2018,Mahindra engines will soon become the heart of the Ford Ecosport
20 Nov 2018,Buy Mahindra and Mahindra; target of Rs 1016: Motilal Oswal
20 Nov 2018,Buy Mahindra and Mahindra; target of Rs 1016: Motilal Oswal
20 Nov 2018,Buy Mahindra and Mahindra; target of Rs 950: LKP Research
20 Nov 2018,Buy Mahindra and Mahindra; target of Rs 984: Prabhudas Lilladher
19 Nov 2018,"M&M CFO pins blame on Marazzo launch, commodity costs for dip in Q2 auto margins"
17 Nov 2018,"This week in Auto: Jawa, Interceptor 650 launched; large car makers invest in electric two-wheeler start-ups"
16 Nov 2018,"M&M to hike Marazzo price by up to Rs 40,000 from January"
16 Nov 2018,EV flag bearer Mahindra not keen on entering electric two-wheeler market in India
15 Nov 2018,"SUVs, high-performance cars to light up Mahindra€™s electric portfolio in 2 years"
15 Nov 2018,Ideas for Profit | Attractive valuation makes M&M a long term buy
15 Nov 2018,"M&M down 2% post Q2 performance; Credit Suisse, Nomura cut targets"
15 Nov 2018,Auto manufacturers may recoup lost pricing power in 2019 pre-buying burst
14 Nov 2018,"M&M Standalone September 2018 Net Sales at Rs 12,988.57 crore, up 6.62% Y-o-Y"
14 Nov 2018,"M&M Q2 net profit up 26% YoY at Rs 1,778.75 crore; tractor revenues grow 1.8%"
14 Nov 2018,M&M Q2 preview: Lower tractor volumes could weigh on performance
06 Nov 2018,"Ford Motor goes local in India, aims for bigger slice of competitive market"
02 Nov 2018,"Mahindra trucks getting more traction among large fleet owners, says CEO Vinod Sahay"
