text,label
M&M€™s electric SUV launches face year-long delay; eXUV300 launch pushed to FY22,__label__1
Mahindra-controlled company keeps everyone guessing on Jawa bookings,__label__2
Mahindra to fully acquire France-based Peugeot Motocycles,__label__2
"Mahindra not chasing hybrids, to focus on electric vehicle tech",__label__2
M&M to rollout BS-VI trucks in February; expect price hike up to Rs 2 lakh,__label__2
"M&M, Ford JV could spin out 10 products; current Aspire won't be electrified",__label__2
M&M launches special edition of utility vehicle Bolero,__label__2
"M&M-Ford deal to lower costs by 40%, boost sourcing from common suppliers",__label__2
"Mahindra, Ford shake hands to form new company; Ford takes $900mn hit",__label__2
Car sales slump: Sky-high discounts fail to entice buyers,__label__2
M&M expects hike in demand in Bihar during festive season,__label__2
Hyundai Kona all sold out in India for 2019 despite Rs 24 lakh price tag,__label__2
"Corporate tax rate cut: FM's decision has taken care of our marketing budget for the quarter, says Rajiv Bajaj",__label__2
'Looks like Diwali has come early': Auto sector hails corporate tax rate cut,__label__2
"India Inc hails Nirmala Sitharaman's tax cut, here is why",__label__2
M&M incorporates MBPL as wholly-owned subsidiary,__label__2
Mahindra to observe no production days at plants for up to 17 days this quarter,__label__2
"Mahindra begins Peugeot e-scooter exports from India, lays off one-fifth of workforce",__label__2
Mahindra to invest €˜hundreds of millions€™ in US plant,__label__2
"Mahindra eyeing $6.3 billion US Postal truck-supply contract, signs LoI for plant in Michigan",__label__2
Mahindra confirms launch plans of electric two-wheelers in India,__label__2
"Car makers won€™t hold back on job cuts for long if demand slowdown persists: Pawan Goenka, MD, Mahindra",__label__2
 M&M to launch 6 electric vehicles by 2021,__label__2
Mahindra cuts e-Verito price by up to Rs 80k,__label__1
Electric three-wheelers sell more than conventional ones first time in India,__label__1
"Why Mahindra is looking forward to BS 6 rollout, which is making most carmakers jittery",__label__1
"Budget 2019: Temporary cut in GST will reverse downcycle in auto demand, says M&M€™s Pawan Goenka",__label__2
"Mahindra sales fall 6% to 42,547 units in June",__label__2
M&M invests Rs 60 cr in digital marketing infra in last 3 yrs,__label__2
"Automakers may readily take back unsold BS-IV stock after April 1, 2020 deadline",__label__2
"M&M's Pawan Goenka: For India, electric vehicles are the future not hybrids",__label__2
"M&M to hike price of its range of personal vehicles by up to Rs 36,000 from July 1",__label__2
Mahindra picks up over 11% stake in Swiss firm for CHF 4.3 mn,__label__2
Piaggio to invest up to Rs 300 crore; electric three-wheeler launch later this year,__label__2
"Honda says BS-VI will be a game changer for MoTown, remove discount culture",__label__2
Zoomcar in early talks to merge with rival Drivezy,__label__2
Auto body raises concerns about BS-VI fuel availability,__label__2
Cost-happy Mahindra not to sell BS-VI engines to rivals,__label__2
Why Mahindra won't give up on its love for diesel despite BS-VI,__label__2
M&M to launch BS-VI compliant vehicles soon,__label__2
M&M: In-line Q4 numbers; attractive valuation makes it a long-term buy,__label__2
"CLSA downgrades Mahindra's on weak Q4 show, other brokerages cut target",__label__1
"M&M Standalone March 2019 Net Sales at Rs 14,035.16 crore, up 5.47% Y-o-Y",__label__1
Mahindra launches entry level variant of XUV500 at Rs 12.22 lakh,__label__2
Demonetisation has crippled cash market for used cars,__label__2
"M&M launches facelift of compact SUV TUV300, priced at Rs 8.38 lakh",__label__2
Mahindra & Mahindra to deploy 50 electric vehicles on Uber platform,__label__2
Mahindra & Mahindra Q4 PAT may dip 22.1% YoY to Rs. 787.4 cr: Prabhudas Lilladher,__label__2
"M&M sales up 1% in March at 62,952 units",__label__2
"Mahindra to increase price of vehicles by up to Rs 73,000 from April",__label__1
Ideas for Profit | M&M Financial Services: Risk reward reasonable; accumulate,__label__2
Here's why the shift to BS-VI entails more than what meets the eye,__label__2
"MG Motors electric SUV eZS to be priced below Rs 25 lakh, launch in December quarter",__label__2
"Mahindra XUV300 bookings cross 13,000 mark",__label__2
"Exclusive: SsangYong Motor, M&M's Korean unit, to boost product launches with around $1 billion war chest",__label__1
"Purely electric vehicle platform in long term, EV based on Ford platform on anvil: M&M",__label__2
Revised FAME scheme puts EV segment in fast lane: M&M,__label__2
Peugeot to bring electric cars in its India debut in 2021,__label__2
Peugeot to bring electric cars in its India debut in 2021,__label__2
"Mahindra Glyd-es into Mumbai's app-based taxi business; to rival Uber, Ola",__label__2
Mahindra launches e-mobility service in Mumbai,__label__2
Mahindra launches e-mobility service in Mumbai,__label__2
"Mahindra's XUV300 debuts at Rs 7.9 lakh, priced at a premium to Maruti Brezza",__label__1
Buy Mahindra and Mahindra; target of Rs 878: Prabhudas Lilladher,__label__2
Clash of titans: Royal Enfield dares challenger Jawa to 'try harder',__label__2
"Exclusive | Not looking for any GST rate reduction on two-wheelers: Pawan Goenka, Mahindra",__label__1
"Ideas for Profit | Leadership position, attractive valuation make M&M a long-term buy",__label__1
"M&M Standalone December 2018 Net Sales at Rs 13,070.36 crore, up 12.89% Y-o-Y",__label__1
What should investors do with M&M stock post Q3 results?,__label__1
First Cut | Decent showing by M&M in Q3 FY19; accumulate for the long-term,__label__2
"M&M, MVML post 60% jump in net Q3 profit at Rs 1,476 crore; tractor EBIT up 6%",__label__2
EXCLUSIVE: Bajaj Auto€™s electric vehicle brand Urbanite to debut in 6-9 months,__label__2
"Mahindra in talks to sell 20,000 electric vehicles; Uber EV pilot to kick off this month",__label__1
Kisan scheme more a sentiment booster than a demand driver for tractors: M&M€™s Pawan Goenka,__label__2
"Budget 2019: PM Kisan Samman Nidhi to boost tractor, two-wheeler demand",__label__2
"M&M January sales up 7% at 55,722 vehicles",__label__2
Mahindra in dilemma over timing of switchover to BS-VI trucks,__label__2
Mahindra launches Furio truck range starting at Rs 17.45 lakh,__label__2
"Technical View | Top buy and sell ideas by Ashwani Gujral, Sudarshan Sukhani, Mitessh Thakkar for short term",__label__2
Buy M&M with target Rs 775-790: Aditya Agarwal,__label__1
"Buy Mahindra & Mahindra, says Mazhar Mohammad",__label__1
"Mahindra & Mahindra Q3 PAT seen up 3% YoY to Rs. 1,045.5 cr: Motilal Oswal",__label__2
US court to continue investigation in Mahindra-Fiat case ,__label__2
"M&M tractor sales down 6% at 17,404 units in December",__label__2
"M&M December sales up 1% at 39,755 units",__label__2
"Weaker oil prices, reforms, stable govt are key drivers for Indian markets in 2019",__label__2
"Better farm techniques needed, not driverless tractors: John Deere",__label__2
Mahindra to launch new compact SUV XUV300 in February,__label__2
"Tata Motors to hike truck, bus prices by 1-1.5% next month",__label__1
Mahindra inks pact to increase its equity in associate firm Sampo to 49.04%,__label__1
Global VP Patrick Carre says Shell Lubricants well positioned to move to BS-VI,__label__2
"Mahindra tractor sales rise 13% to 25,949 units in November",__label__2
Roxor SUV IPR case: It€™s advantage Mahindra over Fiat Chrysler,__label__2
Car makers line up price hikes despite a slowing market,__label__1
Mahindra engines will soon become the heart of the Ford Ecosport,__label__1
Buy Mahindra and Mahindra; target of Rs 1016: Motilal Oswal,__label__2
Buy Mahindra and Mahindra; target of Rs 1016: Motilal Oswal,__label__2
Buy Mahindra and Mahindra; target of Rs 950: LKP Research,__label__2
Buy Mahindra and Mahindra; target of Rs 984: Prabhudas Lilladher,__label__2
"M&M CFO pins blame on Marazzo launch, commodity costs for dip in Q2 auto margins",__label__2
"M&M to hike Marazzo price by up to Rs 40,000 from January",__label__2
EV flag bearer Mahindra not keen on entering electric two-wheeler market in India,__label__2
"SUVs, high-performance cars to light up Mahindra€™s electric portfolio in 2 years",__label__1
Ideas for Profit | Attractive valuation makes M&M a long term buy,__label__1
"M&M down 2% post Q2 performance; Credit Suisse, Nomura cut targets",__label__1
Auto manufacturers may recoup lost pricing power in 2019 pre-buying burst,__label__1
"M&M Standalone September 2018 Net Sales at Rs 12,988.57 crore, up 6.62% Y-o-Y",__label__2
"M&M Q2 net profit up 26% YoY at Rs 1,778.75 crore; tractor revenues grow 1.8%",__label__2
M&M Q2 preview: Lower tractor volumes could weigh on performance,__label__2
"Ford Motor goes local in India, aims for bigger slice of competitive market",__label__2
"Mahindra trucks getting more traction among large fleet owners, says CEO Vinod Sahay",__label__2
"Mahindra Marazzo bookings cross 10,000 mark",__label__1
Mahindra to supply BS-VI petrol engine to Ford,__label__2
"Mahindra & Mahindra Q2 PAT seen up 4.9% YoY to Rs. 1,397.1 cr: Prabhudas Lilladher",__label__2
Mahindra Agri signs JV with Sumitomo Corp for crop care,__label__2
"M&M enters vehicle leasing business via tie-up with Orix, ALD Automotive",__label__2
"Mahindra and Mahindra Q2 PAT may dip 1.5% YoY to Rs. 1,389.9 cr: Motilal Oswal",__label__2
M&M€™s Korean arm SsanYong to fund investments from own kitty,__label__2
"Soon Uber customers, drivers won't see each other's mobile number",__label__2
Fiat boss Kevin Flynn hopes to navigate India's rough terrain with Jeep,__label__1
"Car sales slow down in September on high fuel costs, product price increase",__label__2
M&M September sales up 2% on year as demand for CVs rises,__label__2
"M&M draws up plans for an electric hatchback to counter Maruti, Toyota: report",__label__1
Buy Mahindra and Mahindra; target of Rs 1075: Sharekhan,__label__1
Mahindra & Mahindra to go carbon neutral by 2040,__label__2
US to probe India's Mahindra over Fiat Chrysler Jeep complaint,__label__2
Buy or sell: Top stock trading ideas by market experts which are good short term bets,__label__2
Mahindra Roxor launch: US Trade Commission launches investigation for alleged violations,__label__2
Buy Mahindra and Mahindra Financial; target of Rs 650: JM Financial,__label__2
Electric vehicle segment to stabilise in India over next 5 years : M&M,__label__2
Automobile industry wants stable policy from Government,__label__2
Buy Mahindra and Mahindra; target of Rs 1156: Prabhudas Lilladher,__label__2
"Electric Nano secures Rs 1.24 lakh in govt subsidy, TVS' three-wheeler also on list",__label__2
"M&M may partner Ford for greater global reach, expertise",__label__2
"Mahindra Marazzo to debut today, will take on Maruti Ertiga",__label__2
Fiat wants US court to reject Mahindra€™s counter claim on copyright infringement,__label__2
Mitsubishi to roll out Jeep Compass competitor in 2020,__label__2
Buy Mahindra & Mahindra: Equity99,__label__2
"Mahindra to halt new models launches after March 2019, will wait for BS-VI norms to kick in",__label__2
"Coffee Can Investing | To understand a company better, speak to line managers, not promoters, says SageOne€™s Vartak",__label__2
"M&M: Strong Q1 performance, value investors should accumulate",__label__2
Mahindra & Mahindra Q1 preview: Net profit expected to see double-digit growth,__label__2
Fiat's claims of copying Jeep design lack merit: Mahindra,__label__2
"Fiat blocks Mahindra's second coming in the US, says Indian co copying its model",__label__2
Mahindra & Mahindra July auto sales rise 13%; tractor growth at 13% but exports fall 4%,__label__2
"Mahindra may not upgrade some models to BS-VI, says Pawan Goenka",__label__2
"New MUV from Mahindra is called Marazzo, to be launched this quarter",__label__2
"Mahindra to join peers, hike vehicle prices by up to Rs 30,000 in August",__label__2
"Mahindra to join peers, hike vehicle prices by up to Rs 30,000 in August",__label__2
"BMW launches bikes G310 R at Rs 2.99 lakh, G310 GS at Rs 3.49 lakh",__label__2
"Mahindra & Mahindra Q1 PAT seen up 33.3% YoY to Rs. 1,136.8 cr: Kotak",__label__1
"In a first at Mahindra, MD's pay package surpasses that of Chairman's",__label__2
Podcast | Stock Picks of the Day: 3 stocks that could return 6-13%,__label__1
Mahindra tractor sales up 22% in June,__label__2
Buy Mahindra and Mahindra; target of Rs 960: JM Financial,__label__2
Buy Mahindra and Mahindra; target of Rs 1041: Prabhudas Lilladher,__label__2
Buy Mahindra and Mahindra; target of Rs 1040: Edelweiss,__label__2
"Govt officials refuse to use Mahindra, Tata Motors e-vehicles citing poor performance",__label__2
Mahindra targets 50% share in domestic tractor market with Trakstar brand,__label__2
Buy Mahindra and Mahindra; target of Rs 1053: Motilal Oswal,__label__2
Here€™s why Anand Mahindra repeatedly rejects stakeholders' plea to hive off tractor business,__label__1
Mahindra to spruce up truck and bus presence with an eye on the top spot,__label__2
Buy Mahindra & Mahindra; target of Rs 1037: Edelweiss,__label__2
Podcast | Digging deeper - The Business of Family: Mahindras,__label__2
"M&M automotive segment sales rise 12%, tractor sector 14% in May",__label__2
M&M to invest Rs 500 cr in Chakan plant to expand EV portfolio,__label__2
Big brokerages bet on these 10 wealth creating ideas for 20-50% return in a year,__label__2
"M&M: Stock yet to factor in rural recovery, product innovation",__label__2
Tractor industry to grow 8-10% in FY'19: Mahindra,__label__2
Mahindra launches two new tractors under Nuvo brand starting at Rs 9.99 lakh,__label__2
"Buy Mahindra & Mahindra, target Rs 910: Mustafa Nadeem",__label__2
"Buy Mahindra & Mahindra, target Rs 910: Ashish Chaturmohta",__label__1
"Buy Mahindra & Mahindra, target Rs 1005: SMC Global Securities",__label__2
M&M rolls out new XUV variant as competition bites,__label__2
Mahindra & Mahindra joins Rs 1-trillion m-cap club,__label__2
Mahindra launches new luxury EV brand Automobili Pininfarina,__label__2
Mahindra Bolero crosses 10 lakh cumulative sales milestone,__label__1
"Despite year-end discounts motown March sales disappoint; Maruti, Tata Motors buck the trend",__label__2
"News highlights of the day: Dow Jones drops 500 points on Trump's tweet on Amazon, rising trade war fears",__label__2
"Mahindra tractor sales up 46.23% in March at 28,277 units",__label__2
Mahindra & Mahindra sales up 10% in March,__label__2
"M&M March auto sector sells up 10% at 62,077 vehicles",__label__2
