Headlines,Labels
"exit m&m, gail india: sukhani",1
super six short term pick for june 17,0
"buy maruti suzuki, m&m on decline: sukhani",1
"hold m&m, say dharmesh kant",0
m&m: outcome of board meet,1
sell m&m; buy bhel 165 put: chandan taparia,0
buy m&m;target of rs 1250: emkay,1
despite cash ban use car market top 3.6 million sales in 2016,1
m&m see final ssangyong deal by december,1
"despite monsoon blues, m&m hop to grow in double digits",1
news highlight of the day: rbi to inject additional liquidity of rs 1 lakh crore in march,0
buy m&m; target rs 1412: kotak securities,1
"m&m, ssangyong jointly develop 3 engines for global mkt",1
m&m q1 standalone pat may rise 20% to rs 870 cr,1
"motown's dec sales in slow lane, rural india face worst hit",1
"sell m&m, siemens: sacchitanand uttekar",1
"mahindra tractor sales up 22% at 16,516 units in august",1
m&m to sell 34 lakh share in mahindra holiday via ofs,1
6 stock ideas to liven up your trade,1
mehta positive on mahindra & mahindra,1
mahindra go the construction vehicle business way,1
m&m q2 revenues up 38% at rs 7307 cr,1
m&m to undertake cost reductions to maintain margins,1
mahindra & mahindra: resignation of director,0
"m&m: ssangyong launch its first compact global suv tivoli, in korea",1
buy m&m; target of rs 1382: kotak securities,1
sudarshan sukhani upbeat on m&m,0
experts say auto cos can clock double-digit growth in fy10,0
enter m&m at around rs 980: amit gupta,0
mahindra group submit segment wise summation,1
buy mahindra and mahindra on dips: thacker,1
mahindra engines will soon become the heart of the ford ecosport,0
m&m margins quite healthy; expect better vols ahead: expert,0
compact uv launch key for m&m growth in cy15: quant,0
mahindra and mahindra may test rs 1130-1145: kunal bothra,1
hold mahindra & mahindra; target of rs 1382: arihant capital,1
m&m q1: analysts expect big sequential margin improvement,0
passenger vehicle segment will see double-digit growth for fy18: m&m,1
mahindra and mahindra have support at rs 1000: gujral,1
diwan`s view on ashok leyland,1
m&m unveil new maxximo plus mini-truck,0
accumulate m&m; target of rs 1473: p lilladher,0
buy mahindra and mahindra: motilal oswal,1
accumulate m&m; target of rs 748: plilladher,1
"m&m get shareholders' nod to raise rs 5,000 crore",1
buy mahindra & mahindra at lower levels: baliga,1
"buy tata chemicals, m&m: sudarshan sukhani",1
malkani neutral on auto space,1
not give up on two-wheeler business yet: anand mahindra,1
"tax diesel vehicles, why only suvs: m&m",0
manishi raychaudhuri overweight on auto sector,0
pv sales to grow 8% in india; global outlook negative: moody's,1
mahindra and mahindra sell 40591 vehicles in august 2016,1
m&m: update on maintenance work at its plant,1
super 6 trade stock for short term gain,1
book profit in mahindra and mahindra: parag thakkar,1
india carmakers post steady sales growth in feb,1
"mahindra & mahindra's q2 result on oct 31, 2014",1
significant unrealised potential in uk-india trade: tata,1
mahindra plan 6 new tractor launch in 3 years,1
mahindra launch the new bolero with mhawk d70 engine,0
super 6 stock that can give handsome return on april 26,1
m&m q4 pat see down 1% at rs 600cr,1
expect 16% growth over next few years: lumax auto,0
m&m expect to repeat q1 performance in q2,1
"here's how to trade m&m, bajaj auto, ranbaxy today",0
"buy icici bank 230 put, say krish subramanyam",1
titagarh wagons see govt order of future infantry cvs in a week,1
inflation key to next 25-50 bps rate cut in 4-6 mths: m&m,1
"short ashok leyland, tvs motor, m&m on rally: sukhani",1
buy m&m with target rs 775-790: aditya agarwal,0
mahindra launch downsize diesel engine to overcome ban,1
"despite rate hike looming, mah & mah dismiss any slowdown",1
"m&m acquire 35% in finnish co, enter combine harvester biz",1
"m&m, ashok leyland look weak: anu jain",1
super six stock you can bet on jan 28,1
m&m can test rs 745-750: thukral,0
"sell mahindra and mahindra, advise sahil kapoor",0
europe demand pickup to aid mahindra forging's fy12 growth,0
"purely electric vehicle platform in long term, ev base on ford platform on anvil: m&m",1
"feb sales: maruti fall 0.9%; tata motor up 6%, hero grow 13.6%",0
wait till earn before invest into psbs: sp tulsian,1
"buy gail india; sell icici bank, m&m: sudarshan sukhani",1
hold mahindra and mahindra; target of rs 740: emkay,1
be india's all-electric dream finally get off to a start?,0
how do first quarter earn look? 'good but not great',0
why m&m's acquisition of turkish tractor firm sit well with its overall strategy,1
6 trade bet that can fetch you handsome return,1
what to expect from m&m q1 earn,1
m&m plan to make verito the new ambassador,0
"buy mahindra and mahindra, say manas jaiswal",1
"m&m may partner ford for greater global reach, expertise",1
m&m q2 pat see up 2 time at rs 434 cr,0
m&m q1 beat street; net up 8% on strong sales growth,0
prudential management's hold in mahindra up to 11.4 %,1
"despite drop price after gst, car manufacturers yet to see buyers",0
export only silver line amid auto gloom: siam,0
auto expo 2016 kick off tomorrow with media preview,0
m&m incorporate mbpl as wholly-owned subsidiary,1
"sell m&m, unite breweries, bharti airtel: sudarshan sukhani",1
"stay invest in m&m, say sp tulsian",0
buy m&m on declines: amit gupta,1
keep mahindra and mahindra in buy list: prayesh jain,1
see further downside in sterlite ind: bhamre,0
super six trade ideas for the day,1
"buy, sell, hold: 6 stock you can focus as week kickstarts",1
expect march to see all-time high in sales: m&m,1
m&m to sell stake in its subsidiary swaraj automotive,0
"honda ready to take the fight to royal enfield, undecided on challenger yet",1
global pe firm eye bt stake in tech mahindra,1
drought spark fear for tractor sales,0
"electric nano secure rs 1.24 lakh in govt subsidy, tvs' three-wheeler also on list",1
"m&m good medium term bet, say ts harihar",0
"m&m q4 profit may be hit by weak tractor volumes, margin",1
"demo shave off rs 8,000 cr; recovery quicker than thought: m&m",1
mahindra sever tie with blacklist swiss defence firm,0
m&m january vehicle sales up 22% yoy: goenka,1
mahindra bet big on agriculture sector,0
buy m&m at rs 285-305: n pillai,1
buy m&m; target of rs 815: angel broking,0
mahindra agri business foray into dairy business with saboro,1
mahindra share fall after aston martin bid report,1
"buy mahindra & mahindra, sell tech mahindra: mitessh thakkar",1
mahindra cut e-verito price by up to rs 80k,0
stock you can bet on january 30,1
mah and mah have target of rs 1000-1050: thacker,1
"maruti suzuki, eicher motor top picks: dipan mehta",1
m&m launch at variant of scorpio price up to rs 14.33l,1
m&m take u-turn: sell stake in engines engineer,1
mahindra & mahindra q2 pat see up 9.5% to rs 950.2 cr: centrum,0
siam criticise cci for impose penalty on car company,1
mahindra & mahindra: update on rat by care,0
buy mahindra and mahindra: gujral,1
"m&m, bajaj auto pass on excise hike; see no dip in demand",1
"17 years on, maruti still command 50% share of indian car market",1
mahindra maintain margin at 9%,0
tulsian positive on escort,0
"m&m enter vehicle lease business via tie-up with orix, ald automotive",1
sell mahindra & mahindra below rs 1228: rajat bose,0
"m&m post q4 profit at rs 897 cr, tractor margin up 180 bps",1
"m&m usa to set up tractor assembly, distribution centre",1
look at mahindra & mahindra: sachin shah,1
houseviews: brokerages call on four stocks!,0
buy maruti suzuki at lower levels: diwan,0
"baliga cautious on hero honda motors, m&m: baliga",1
"demand uptick, change in demographics aid auto growth: citi",1
"buy mahindra & mahindra, reliance communications likely to head to rs 28: mitessh thakkar",1
"subros target revenues of rs 1,200cr in fy11",1
mahindra to start ssangyong price talk this week,1
"heavy rain lash mumbai, water log in part of the city",1
here's what altamount cap be bet on post q2 earn,1
mahindra unveil electric sport car halo,1
irani positive on auto sector,1
"buy m&m, maruti, exide: rajat bose",1
expect 18-20% upside in mah and mah: h jani,1
m&m sell 22% stake in jv mahindra sanyo for rs 146.32 cr,0
rajen shah positive on mahindra and mahindra,1
m&m q1 pat see up at rs 347 cr,0
sell mahindra and mahindra: aditya birla money,0
accumulate mahindra and mahindra: angel broking,1
"mahindra launch new xylo; price raise up to rs 15,000",0
"go long in m&m, say vishal kshatriya",1
cv makers ride on recovery road; pin hop on new govt,1
mahindra and mahindra can test rs 1200: gujral,1
buy m&m rs 800 call: vk sharma,1
hopeful of good monsoon: pawan goenka,1
mahindra & mahindra september sales down 10%,1
super six buy or sell call for nov 24,1
mahindra to decide on ssangyong bid on july 28,0
sales optimism hinge on next monsoon season: m&m,1
mahindra launch compact car verito vibe at rs 5.63 lakh,0
car sales slump: sky-high discount fail to entice buyers,1
buy bharat forge on dip for long term: parag thakkar,1
see strong traction in mah satyam: anand mahindra,1
mahindra foray into construction equipment space,1
taxi segment to corner about 17% of cars sales by fy20: icra,1
"m&m jan total vehicles sales down at 17,611 units",0
"prefer m&m, say prakash gaba",0
"m&m, ford enter into alliance; eye joint product development",1
mahindra's auto sector sell 42104 units in domestic market during may 2013,0
mah and mah can test rs 625-630: deshmukh,1
mahindra to acquire netherlands's ofd hold for 5 mn euro,1
buy mahindra and mahindra: amit gupta,1
mahindra enter digital marketplace for intra-city logistics with smartshift,1
maruti suzuki india may move upto rs 1040: gupta,0
buy m&m; target of rs 840: iifl,1
"go long in mahindra & mahindra 1,260 put, say gaurav bissa",1
"3% suv tax hit sales, see revival in diwali, dussehra: m&m",1
"sell maruti, mahindra & mahindra: sudarshan sukhani",1
"sell m&m, bhel: gepl capital",1
"prefer maruti suzuki, m&m, say ajay srivastava",1
"buy mahindra & mahindra, say sanjay vaid",0
expect cost of land acquisition to go up by 50%: m&m,1
"maruti suzuki, m&m should be in portfolio: sanjay dutt",1
sell m&m; target of rs 955: indiainfoline,0
"maruti suzuki, tata motor top buys: parag thakkar",1
mahindra eye 3-fold increase in cv market share in 5 years,1
m&m continue to do well: vikas pershad,1
mahindra launch five tractor model under yuvo range,1
6 trade stock for short term gain,0
objective be to be an end-to-end player in agriculture: m&m,1
"low auto demand worry analysts, but feel situation may improve",1
"buy blue chip auto stocks, say pn vijay",0
book profit in hero honda motors: irani,0
mahindra & mahindra bet big on scooters,1
"will focus on african, south american markets: m&m",0
m&m q2 net may fall 13.4% at rs 847cr: motilal oswal,1
tractor industry to grow 8-10% in fy'19: mahindra,1
buy mahindra and mahindra; target of rs 794: angel broking,1
m&m target 20% revenue growth from gensets,1
"go long in m&m, say sudarshan sukhani",1
hold m&m: devang mehta,1
hero motocorp can test rs 2000: anu jain,1
cost of do business in india very high and corporate tax be pinching: m&m md,1
go long in mahindra and mahindra: ashish chaturmohta,0
6 stock ideas to liven up your trade,1
sell mahindra and mahindra: sudarshan sukhani,1
m&m lose market share in uvs amid rise competition,1
high oct sales figure be not an aberration: m&m,0
m&m support at rs 600: gujral,0
"sanju verma pick sail; underweight on bharti, suzlon",0
accumulate mahindra & mahindra; tgt of rs 734: p lilladher,1
ashok leyland can go up to rs 60-60.5: anu jain,0
"renault, mahindra in race for s.korea ssangyong motor",1
buy mahindra and mahindra on dips: sudarshan sukhani,1
"sell sun tv, aurobindo pharma; buy m&m: sudarshan sukhani",0
m&m q1 pat see up 3.5% at rs 582cr yoy,0
m&m acquire turkish farm equipment co hisarlar for rs 127 crore,0
"m&m, coal india, icici bank core portfolio buys: ventura",1
m&m see fy14 tractor sales growth at 12-14%,1
"bullish on m&m, target rs 435-455: simi bhaumik",1
m&m to acquire 51% stake in peugeot motorcycle,1
mahindra and mahindra have target of rs 1100: prayesh jain,1
mahindra tractors achieve impressive growth of 38% in april 2013,0
"like tata motors, bajaj auto, mahindra & mahindra: trivedi",1
"bet on mahindra and mahindra, say rajen shah",1
"prefer tata motor dvr, m&m: sharmila joshi",1
mahindra and mahindra: update on subsidiary company,0
buy m&m around rs 680: pn vijay,0
mahindra see 5% production loss/mth on supply woes,1
mahindra's auto sector sell 39255 units during nov 2013,0
tech mahindra scout for mid-sized cos,1
budget news: vehicle price to rise as excise duty hike,0
"here's how dec fare for maruti, hyundai, m&m, ford & gm",1
m&m to launch more products in h2: anand mahindra,1
february emerge as high-speed track for auto company,1
see tractor industry grow by 5-6% next year: m&m,0
"m&m best bet in 4-wheelers pack, say irani",1
ssanyong showcases concept of premium crossover,1
"buy tata motors, maruti suzuki, m&m on dips: sukhani",1
m&m survey market for korando launch in india,1
"buy ashok leyland, l&t, hul, kotak mahindra bank: prakash gaba",1
super six: stock you can bet on jan 24,1
mahindra logistics may launch ipo later this month: report,1
mahindra january volume up 32%; tractor sales jump 18%,1
"m&m's tech, product development spend at rs 1,938 cr in fy16",1
market share in uv segment to increase gradually: m&m,1
mahindra foray into brand edible oil segment with nupro,1
mahindra's auto sector sell 36363 vehicles during december 2016,1
m&m to hike price upto rs 8000,1
mahindra & mahindra to cut output as suv demand slow,1
"buy bata, kotak bank, m&m, nlc india, acc: mitessh thakkar",1
buy m&m; target of rs 1019: angel broking,1
"prefer tvs motor, apollo tyres, m&m: sudarshan sukhani",0
m&m launch digital platforms to support customers,1
"output loss of 6,000 vehicles owe to nashik strike: m&m",1
buy or sell: top stock trade ideas by market experts which be good short term bet,1
renault may snap tie with m&m but won't exit india,0
"buy m&m, target rs 782: pinc research",1
buy mahindra & mahindra; target rs 665: iifl,0
mahindra halt plan to sell pickup truck in u.s,0
"buy voltas, igl; sell mahindra & mahindra: sudarshan sukhani",1
"sukhani bullish on mahindra and mahindra, ashok leyland",1
"hdfc bank a better bet, say anu jain",0
here be top 10 stock to focus on december 15,0
"ford suv to be launch on mahindra platform by 2021, say md pawan goenka",1
motilal oswal neutral on mahindra and mahindra,0
work at m&m's igatpuri plant may resume today: union,0
m&m nashik plant workers end strike after co strike deal,0
"prefer m&m, maruti suzuki: sp tulsian",1
fy11 margins be best in class: mahindra and mahindra,1
mahindra tractor sales decline 31% in march,0
m&m may remain in rs 900-1000 range: amit kasat,0
ssangyong see better financial performance in next 2 yrs,1
mahindra and mahindra can test rs 1200: tulsian,1
"auto sales: m&m, ford, honda, hero beat back year-end blue",1
m&m may report q2 profit rs 946 cr on revenue of rs 9292 cr,1
"buy m&m, tata motor on any dip: doshi",0
budget booster: stock/sector pick to power your portfolio,0
mahindra & mahindra beat street; q4 net up 2% to rs 889cr,0
"gst impact: maruti could cost you more, while a merc might be cheaper",1
mahindra to take a call on new tractor capacity in fy19,1
"clsa downgrade mahindra's on weak q4 show, other brokerages cut target",0
hindalco industries may slip below rs 100: sukhani,1
"buy mahindra & mahindra, say mazhar mohammad",0
"maruti, toyota, m&m sales drop in april; hyundai, honda up",0
mahindra tractors sell 13733 units in august 2014,1
"pick m&m, buy india cement 100 call: chandan taparia",1
"avoid ashok leyland, tvs motors: sp tulsian",1
go long in mahindra & mahindra: sudarshan sukhani,0
buy mahindra & mahindra; target rs 898: pinc research,1
stay away from mahindra & mahindra: sukhani,0
"godrej ind may test rs 368-370, m&m rs 1390: hemant thukral",1
mahindra drive in with new generation scorpio,1
mahindra tractor sales up 22% in june,1
m&m can touch rs 960: jitendra panda,1
