Headlines,Labels
"stay with sbi, say sudarshan sukhani",1
super six: top chart pick for december 1,1
"stay away from capital goods, metal space: sukhani",0
govt to infuse rs 6000cr in sbi via pref issue: chaudhuri,1
"jpmorgan, credit suisse upgrade sbi",1
bank recall will have serious impact on ub group: hp ranina,1
sbi to revise interest rat of bulk & retail term deposit,1
sbi can touch rs 3000-3100: manghnani,1
"sbi ask 70,000 employees to return money pay for overtime during demonetisation: report",0
state bank of india may test rs 160-165: ashwani gujral,1
result corner: angel broking review sbi post q3 number,1
short uco bank at current level: gupta,1
"pace of npa formation will hinge on economic recovery, say sbi chief",1
exit sbi at around rs 310-312: kunal bothra,1
top priority remain resolution of stress assets: incoming sbi chief,1
india may delay implementation of basel iii norms: sbi report,1
"avoid bank stocks, say sukhani",0
finmin set up panel to iron out insurance broking issue,1
idbi ask kingfisher to repay rs 900cr loan,0
"buy sbi, target of rs 1550: karvy",0
buy sbi; target of rs 374: icicidirect,1
buy bank stock on dip: kulkarni,1
sbi may slip to rs 917-625: m thakkar,1
npci all set to file for patent on upi technology,1
"what's in, what's out on dolat capital's prefer buy list",0
sharekhan advise 20 midcaps for 40% return,1
"home loan rat may not drop further but will stay low, say bankers",1
merger of big bank may not wipe out weakness in banks: bank union,1
buy state bank of india; target of rs 340: icici direct,0
"buy hindalco; bullish on coal india, ril, sbi: sanjiv bhasin",1
"idbi slash home loan, deposit rat",1
"exit hdil, advise sudarshan sukhani",1
"buy sbi jan 1600 put around rs 72, say vk sharma",0
"bala`s view on icici bank, state bank of india",0
"underweight on psu banks, prefer private banks: dipan mehta",1
sbi open two new branch in south africa,1
"buy sbi, tata steel, maruti, pidilite, voltas: gujral",1
"prefer sbi, advise atul badkar",0
"buy sbi, dr reddy's labs; sell sesa sterlite: rajat bose",1
sbi may go to rs 3300: vishal malkan,1
"buy syndicate bank, bullish on sbi: manas jaiswal",1
"sell sbi, andhra bank, pnb: ca rudramurthy",1
sale of bad loan slow down as arc bargain with bank over price,1
look at psu banks: dilip bhat,1
sbi cut retail deposit rat by 25 bps,1
sbi have support at rs 2640-2650: mohindar,1
state bank of india's fix book closure for dividend,1
"buy sbi, kotak mahindra bank, bharat electronics: ashwani gujral",1
new lend rate rule unlikely to impact margins: sbi,1
"buy sbi, aurobindo pharma: kunal bothra",0
sbi may continue its uptrend: homavazir,1
reduce sbi; target of rs 1940: emkay,0
don't levy penalty on inoperative bank accounts: indusind,0
sbi may slip to rs 1600: jai bala,0
"wipro report 10% decline in q2 net profit, name arundhati bhattacharya as independent director",1
state bank of india can move up 5-6%: karvy stock broking,1
sbi have target of rs 2050: rahul mohindar,1
buy sbi between rs 2475-2450: baliga,1
"buy l&t, sbi; lic house may test rs 475: yogesh mehta",0
kfa crisis: bank to take final call on bailout today,1
bank stock may see more downside: anantakrishnan,1
"ashok leyland may test rs 113, sbi rs 210: prakash gaba",1
sbi apr-june qtr net may fall 4% at rs 3112 cr: p lilladher,0
"short sbi, icici bank, axis bank: baliga",1
"buy sbi, punjab national bank: sukhani",0
"sbi, pnb, ubi cut base lend rate by up to 90 basis point",1
hsbc seek earn boost from wealth management,0
"buy sbi 275 call, sell 290 call: chandan taparia",0
"short state bank of india, target rs 254: siddarth bhamre",0
"exit jp associates; pick icici bank, sbi: sudarshan sukhani",1
this be how npasource.com can ease loan recoveries,0
haven't change liquidity position post rbi moves: sbi,0
check out: darashaw's stock pick and wealth creators,1
"hold tata elxsi, stock may test rs 1800: rajat bose",1
"buy allahabad bank, advise sudarshan sukhani",1
"sfio seek action against bhushan steel's lenders, include sbi, pnb, lic",0
checkout how these top 10 stock be fair today,1
"short sbi, say siddharth bhamre",1
sbi to raise rs 9576cr of equity via qip,1
sbi: outcome of general meet,0
"ola up cng drive, to infuse rs 200 cr for cab in delhi-ncr",1
sbi gain ahead of sept qtr result,0
"below rs 980-990, sbi look weak: gujral",1
sell sbi 1800 puts: amit trivedi,1
"nomura prefer sbi over icici, axis bank; see 38% potential upside",1
sbi balance sheet clean up impressive but challenge lie ahead,1
"buy sbi 1650 call, sell 1800 call: krish subramanyam",0
"sbi, hdfc bank, icici bank best bets: sukhani",1
sbi have support at rs 2200-2250: vishal malkan,0
"bank of baroda a safe bet, say pn vijay",1
list possible as air india look to restructure ownership,1
kotak mahindra bank can test rs 745-750: mohindar,1
buy sbi with stop loss rs 1937: chatterjee,1
little to cheer for indian mid-cap cos in damp june quarter,1
india economic survey 2017: 'growth forecast indicate u-shaped recovery on the cards',0
sbi put up for sale two npa account to recover dues of rs 309cr,1
sbi launch rs 200 cr fund to invest in fintech startups,0
"rbi revise bank kyc guidelines, advise new set of norms",1
"kkr, temasek likely to pick-up stake in sbi life: source",1
"see 4-5% upside in sbi, hdfc bank, icici: shardul kulkarni",0
not possible for all big bank to take over smaller banks: uco bank,0
"sbi q2 pat see up 16%; nii, loan growth likely to be tepid",0
here's why these sbi subsidiaries be ripe for the pick,1
karur vysya bank a top pick: darashaw,1
"go long in sbi 190 put, say gaurav bissa",1
thomas cook report q3 net loss of rs 13.53 cr,1
buy state bank of india; target of rs 348: hdfc securities,1
"short sbi; target rs 240, say rahul shah",1
"see upside in sbi, icici bank, axis bank: rahul singh",1
"buy sbi at around rs 280-290, say nooresh merani",1
"sbi chief frown on call drops, say bad for fin inclusion",0
tulsian see no issue with kfa loan recovery process,1
buy sbi; target of rs 3100: sharekhan,1
targetting road construction of more than 10000kms this yr: nhai,1
sbi: rbi approve appointment of 14 statutory central auditors,0
"sell state bank of india, advise rahul mohindar",0
buy sbi: rajesh jain,1
"sell canara bank, punjab national bank; buy ashok leyland: ashwani gujral",0
sbi a best bet in bank space: malik,0
sell bank stocks: sudarshan sukhani,1
lenders to dhfl arrive at 3-level resolution plan: report,1
sbi get shareholders nod for raise rs 15k cr from market,1
bank stock may slip: bala,0
"sukhani upbeat on icici bank, sbi",0
invest in sbi on dips: gorakshakar,1
aircel get sbi-led lenders' nod to restructure debt,0
expect credit growth to pick up towards sept-oct end: sbi,1
telangana against merger of state bank of hyderabad with sbi,0
"moody's downgrade sbi, stock tank 4%",0
mehta equities negative on state bank of india,0
state bank of travancore cut base rate by 20 bps to 9.95%,1
"sbi q1 profit rise 10% to rs 3692 cr, nii disappoint",1
"sanjay sinha positive on banks, advise to accumulate",1
sbi's credit card business aim to raise $1.1 billion via ipo: source,0
kapadia`s view on bank stock,0
"stay invest in sbi, say vijay chopra",1
sbi have target of rs 3250-3300: thacker,1
buy state bank of india; target of rs 335: icici direct,1
prefer private sector bank over psu banks: bp singh,1
bad loan worth rs 42k cr offer for sale this year: arcil,0
"see big decline in obc, sell psu banks: sudarshan sukhani",1
bankers demand crr cut or interest on it from rbi,1
"short sbi, target rs 220: amit harchekar",1
"buy state bank of india, icici bank, ipca labs: rajat bose",0
expect strong sell in psu bank space: kulkarni,1
"prefer sbi, bank of baroda: anish damania",1
sbi say no quick solution to kingfisher woes,0
sbi revise interest rate for tenors 5 years and above to 8.5%,0
3g auction ends: bharti cry foul,0
hdfc group say yet to consider merger plan,0
accumulate state bank of india: nooresh merani,0
"hold banking, pharmaceuticals, fmcg stocks: seth",0
buy bank stock on decline: gupta,0
"sbi can head lower, target rs 210: rajat bose",1
postal dept have overtake sbi on digital connectivity: prasad,1
"like sbi, bank of baroda: r sreesankar",1
nationalise pvt bank not do fin inclusion agenda: bjp mp,1
"go long in sbi, bharti airtel: mf global",1
buy psu bank on dips: ambareesh baliga,1
"merger to reduce duplication, to be complete by march 2017: sbi",1
sbi elect thomas mathew as director,0
stay away from bank space: jigar shah,0
"sell state bank of india, buy unite spirits: mitessh thakkar",1
prefer private sector bank for long term: amit khurana,0
sbi okay capital infusion of rs 3004cr by govt via preferential issue of share,1
"look at sadbhav engineering, sbi, shriram trans: ajay bodke",0
"l&t finance, bajaj finance rally post bank bill clear",1
buy state bank of india: sudarshan sukhani,1
bull's eye: 12 buy ideas for the day,1
"sbi rs 2,000 cr tier ii bond subscribe two time",1
book profit in private sector banks: sudarshan sukhani,1
ideas for profit: end to asset quality woes in sight; sbi a long term buy,1
sbi have resistance at rs 2109: gautam vora,1
"iifl disappoint with union bank, oriental bank q2 result",0
"sbi, kotak mahindra bank top pick in bank space: shah",1
"vedanta raise rs 2,000 crore from sbi through ncds",0
buy sbi around rs 2000-2050: sukhani,1
"sbi, state bank of indore merger get in-principle nod:srcs",1
bank of india cut base rate by 25 bps to 9.70%,0
sbi pick bank for dollar bond sale: source,1
"buy sbi, say sudarshan sukhani",1
sub-9% marginal cost of lend rate be doable soon: sbi chief,1
buy state bank of india on dips: gaurang shah,0
rbi reject bankers' plea for rate cut in pre-policy meet,1
"farm loan waiver negative for psu banks, agri stress likely to increase: nomura",1
bank will continue to go up: gujral,1
"state bank of india, hdfc slash home loan rat",1
state bank of india board declare 415% dividend,0
exit sbi at around rs 2475: sp tulsian,1
sbi can touch rs 2700: pandey,0
buy state bank of india; target of rs 390: icici direct,1
"hold sbi, may move to rs 335-340: kunal saraogi",1
"accumulate financial, auto, pharma, it stocks: phani sekhar",0
"thukral positive on sbi, bank of baroda",1
kingfisher house auction fail again; no bidder turn up,1
short sbi around rs 2050-2100: siddharth bhamre,0
"prefer sbi, pnb, bank of baroda: baliga",0
siddharth bhamre remain long on icici bank,0
frontline bank good bet with 6-month view: mohindar,1
enter pfc around rs 180: sp tulsian,1
sbi credit growth may be 16-19% this fiscal: chaudhuri,1
interest rat need to be reduced: sbi,1
exporter: india's unofficial brand ambassador,1
"buy state bank of india, advise rahul shah",0
sudarshan sukhani upbeat on psu bank,1
sbi may slip further: abhijit paul,0
"hold divis laboratories, sbi: emkay",0
axis bank may slip to rs 787 levels: manghnani,0
prefer psu bank for long term: nilesh shah,1
"kec international good bet, say mehraboon irani",0
sbi can move to rs 2265-2320: anu jain,0
"sell canara bank; buy cesc, cairn india: sudarshan sukhani",1
"hold state bank of india, say sharmila joshi",1
tulsian tells: why pressure on telecom margins will continue,1
here be top 10 stock to focus on january 15,1
"l&t look attractive, invest in sbi, ril: neeraj dewan",1
go long in sbi at around rs 250-255: sacchitanand uttekar,1
buy sbi; target of rs 350: krchoksey,0
cni infoxchange tie up with sbi,0
"hdfc cut interest rat by 10 bps, stay competitive",0
power loan stress in banking: why nomura be not very worry,0
sbi sign mou with escort for tractor finance,1
"prefer sbi, icici bank: sudarshan sukhani",1
"buy, sell, hold: how to invest in 7 key stock post q2 nos?",1
"sbi continue to perform, say vaibhav agrawal",0
icici bank have target of rs 1465: darashaw,1
government finalise contour for issuance of electoral bond,1
"il&fs crisis: normalcy to return to system in couple of weeks, say sbi chief rajnish kumar",0
rbi suspend external borrow in chinese yuan,0
sbi can test rs 2510: gujral,0
psu bank recapitalisation: golden share an option for govt,1
sbi have support at rs 2000: lkp,1
investors snap up sbi's overseas bond sale of $1.25bn,1
"rbi do its bite to ease interest rates, what about banks?",1
"sbi q3 profit fall 62% on high provisions, slippages rs 20692cr",1
sbi q2 net profit see at rs 1974cr: krchoksey,1
"hold sbi, say ashu madan",1
top buzz midcap stock to trade on august 18,1
"buy tata motors, hindalco, sbi, ultratech, dr reddy's: iifl",0
"buy hindalco, axis bank, upl; sbi may hit rs 230: ashwani gujral",1
"asset quality still a concern; like icici, axis, sbi: kotak",0
sbi revise interest rat of retail term deposit w. e. f sept 7,0
"pick sbi, icici bank, hdfc bank: sudarshan sukhani",1
sbi become top merchant acquire bank in country,1
state bank of india q4 net fall 19%; provision drag,0
state bank of india cessation of director,1
"if political situation remain stable, nifty could hit 13,000 by fy20-end: kotak securities",1
sbi to introduce new cheque standard from jan 1,0
"sbi can head towards rs 2250, say siddharth bhamre",1
sbi remain top pick in bank space: sanju verma,0
sbi's nim to improve in july-sept: op bhatt,0
buy sbi at lower levels: pritesh mehta,1
podcast | stock pick of the day: nifty likely to consolidate till may 23; small & midcaps eye,1
"sbi, bob top pick in psu bank space: kunal shah",0
sajiv dhawan view on bank stock,1
consolidation in psu bank a long draw process: rai,1
hold sbi for long term: sukhani,0
"bhim download 3 mn times, top app in india: kant",1
"buy, sell, hold: how to trade 5 auto & bank stocks?",1
q2 results: what to expect from bank,1
"after collapse of jet airways and il&fs, psbs set aside rs 50,000 crore provision",1
"buy sbi for long term, say sukhani",1
"buy jbf industries, icici bank, tata motor dvr: ashwani gujral",0
sbi fix book closure for dividend,0
"buy state bank of india, idbi bank: sudarshan sukhani",1
"4 bank to deal with kingfisher recovery, to find law firm",1
"sell state bank of india, voltas; buy hindalco: sandeep wagle",1
here be some stock ideas from sp tulsian,0
nepal sbi bank launch payment gateway,1
arundhati bhattacharya appoint as chairman of sbi,1
be the market convince by sbi q3 nos? the road ahead...,0
here be top 10 stock to keep an eye on january 5,1
"stay invest in sbi, say phani sekhar",0
"ahead of sc hearing, numetal rake up arcelormittal's eligibility over allege default by firm own by lakshmi mittal's brothers",0
"govt to infuse rs 12,200 cr in banks; will sell 10% in eil",1
"focus on npa management, new sbi chief kumar create an md position",1
look at state bank of india: dipan mehta,1
you can now use cheque book of sbi's former associate bank till december 31,1
"book profit in sbi, icici bank: bhambwani",1
exist home-loan customers may switch to lower rates:sbi,1
