text,label
SBI Q3 PAT seen up at Rs 2364.2 cr: Religare,__label__2
RBI announces Indo-Nepal Remittance Scheme,__label__2
SBI Q3 PAT seen up at Rs 2041.9 cr: IIFL,__label__1
"DLF repays loans of about Rs 1,000 cr",__label__1
"Buy SBI, target of Rs 1550: Karvy",__label__1
SBI hopes to cover one lakh villages next fiscal ,__label__1
SBI Capital Mkts receives 'Bank of the Year' award,__label__2
"Buy SBI, target of Rs 1605: Motilal Oswal",__label__2
"Buy SBI at Rs 1,074: Sharekhan",__label__2
SBI wins 2 IBA Award ,__label__2
"Buy SBI, target of Rs 1447: Prabhudas Lilladher",__label__2
IL&FS arm opening office in London,__label__2
SBI likely to outperform: D Mehta,__label__1
"IL&FS Financial Services opens office in London, U.K",__label__2
O P Bhatt receives 'Best Executive 2008' award by Asiamoney,__label__2
Satish Joshi appointed as MD of SBICAP Securities,__label__2
PSBs may restructure loans given to auto component makers ,__label__2
SBI has support at Rs 980-1000: Gujral,__label__1
Will SBI's 8% lending rate trigger loan growth?,__label__1
"Buy State Bank of India, target of Rs 1516: Sharekhan",__label__1
"Hold SBI, says Mukadam",__label__2
"Below Rs 1020, expect 10-15% dip in SBI: M Thakkar",__label__2
Public sector banks on recruitment spree ,__label__2
SBI may slip to Rs 917-625: M Thakkar,__label__2
"SBI, ICICI Bank look weak: Mohindar",__label__2
"Stay with SBI, says VK Sharma",__label__2
SBI has support at Rs 870: Gujral,__label__2
"Below Rs 980-990, SBI looks weak: Gujral",__label__2
SBI will continue to underperform: Sukhani,__label__2
SBI draws pvt bank customers with home loan at 8% interest ,__label__2
"Hold SBI, says Mohoni",__label__2
SBI asks associate banks to pay royalty for logo use ,__label__2
3i Infotech to expand reach in domestic market ,__label__2
SBI Q4 PAT seen up at Rs 1993.9 cr: Religare,__label__1
SBI an underperformer: Karvy Stock Broking,__label__2
Stake sale in UTI AMC might take time: SBI,__label__2
"SBI, ICICI Bank look cheap: V Kapoor",__label__2
"Enter in SBI, PNB on decline: Baliga",__label__2
ATM transaction volumes rise post waiver of charges ,__label__2
"Reduce State Bank of India, target of Rs 1200: Emkay",__label__2
"Hold SBI, target of Rs 1,350: KRChoksey",__label__2
"Add State Bank of India, target of Rs 1394: IIFL",__label__2
"Hold SBI, says P Sekhar",__label__2
"Hold SBI, target of Rs 1407: Sharekhan",__label__1
SBI an underperformer: Karvy,__label__1
State Bank of India revises deposit rates by up to 50 bps,__label__2
"Buy SBI, target of Rs 1468: Motilal Oswal",__label__2
"Buy SBI, ICICI Bank on decline: Choksey",__label__1
Buy SBI at Rs 1400-1500: Choksey,__label__1
Axis Bank pact with Motilal Oswal for online trading,__label__1
SBI launches product for army personnel,__label__2
"Buy SBI, target of Rs 1950: Networth Stock Broking",__label__2
Public sector banks encourage home loan balance transfers,__label__2
Don't buy SBI: Amit Dalal,__label__1
Buy State Bank of India: Motilal Oswal,__label__2
"Add State Bank of India, target of Rs 1777: IIFL",__label__1
"Above Rs1720, SBI can go upto Rs1770-1775: Mohindar",__label__2
SBI to offer dealers loans at a discount,__label__2
"Buy SBI, ICICI Bank, Reliance Inds: Deven Choksey",__label__1
Hold SBI: Indiabulls Securities,__label__1
SBI Q1 net profit seen at Rs 1899 cr: Motilal Oswal,__label__2
SBI Q1 PAT seen at Rs 1780.4 cr: IIFL,__label__1
"Buy SBI, says Amit Dalal",__label__2
Customers now drive to public sector banks,__label__2
See credit growth for FY10 at 25%: OP Bhatt,__label__2
"SBI Q1 net profit seen up 23.11% to Rs 2,020 cr",__label__1
SBI Q1 net up 42%; restructures Rs 11000 cr loans,__label__2
