Headlines,Labels
avoid financial service space: ambit capital,1
macquarie cut target price on tata motors; stock recover after 1% fall,0
geneva motor show 2017: tata motor unveil sport car racemo,0
buy tata motor on decline: deven choksey,1
jaguar chief's salary nosedive after jlr report record losses,1
"brokerage views: buy tata motors, axis bank, nmdc",1
fy16 will be first of a four-year auto upcycle: axis cap,1
tata group eye $350 billion market cap by 2025,1
"bull's eye: buy arvind, itnl; short uco bank, tata motor",0
"bull's eye: pick tata motors, yes bank; short ranbaxy",1
uflex may go upto rs 275-280: gujral,1
enter tata motor at around rs 1100: thacker,1
"tata motors: update on monthly production, domestic sales and export data",0
tata motor confident of meet bs-vi norms by 2020,1
buy tata motors; target of rs 515:prabhudas lilladher,1
buy hindalco on dips: paul,0
"india car sales slowest in 2 yrs, more speed bump see",0
"pn vijay view on dlf, tata motor",1
tata motor may move to rs 550: sharmila joshi,1
make your stand clear over singur land: sc to tata motor,0
buy tata motors; target of rs 355: angel broking,0
"short tata motors, say sudarshan sukhani",0
honda to hike car price by up to 3% from january,1
tata motor launch signa range of commercial vehicles,1
super six stock you can bet on jan 03,1
bearish on hero honda: gupta,1
tata motor plan nexa-like dealerships for premium push,1
tata motors' jlr declare best uk employer: survey,0
"here's how you should play tata motors, maruti now",1
"prefer tata motors, ashok leyland contra bet: mehraboon irani",1
tata group strengthen presence in myanmar,1
tata motor can move down to rs 174: anu jain,1
honda's 'amaze' to eat into maruti's mkt share: overdrive,1
"sell tata motors, l&t on every rally: sudarshan sukhani",1
jaguar land rover sale volume up 65%: tata motor,1
no plan to set up manufacture unit in india yet: jlr,1
"tata motor group global wholesale at 81,457 in august 2013",0
"bullish on tata motors, expect wholesale volume growth of 6-8% in fy19: akash jain",1
tata motor fundamental look good: sajiv dhawan,1
tata motor can go upto rs 880-900: mohindar,0
"maruti, tvs, tata motor slip as april sales stay sluggish",0
"lumax gain on rs 100-cr capex plan for expand units, ops",1
stay invest in tata motors: shahina mukadam,1
"buy hero motocorp, tata motor may head lower: prakash diwan",1
"buy, sell, hold: 13 stock analysts recommend to watch out",1
raymond's auto component arm buy trinity india,0
"bull's eye: buy tata motors, maruti; short punj lloyd",0
"tata motor may test rs 370-380, say deven choksey",0
"buy lic housing, tata motor on correction: sandeep wagle",0
tata motor q3 net loss see at rs 293.1 cr: iifl,0
"ashok leyland bet big on defence, aim for 3 time growth in revenues over 5 yrs",1
"tata motor top pick, may test rs 510: ajay bodke",1
"positive on tata motors, target of rs 216: rbs",0
"go long in tata motors, target rs 547: amit harchekar",0
tata motor sign up akshay kumar as brand ambassador for cvs,1
chandrasekaran face uphill task as tata sons boss. be he ready?,1
"tata motors' august sales at 49,611",0
tata motor mar qtr pat see up at rs 1920cr: angel broking,0
rbs sell tata motor dvr share worth rs 96 cr,1
"tata motor q4 profit tank 56%, jlr net slip 32.7%",0
