Dates,Headlines
28 Nov 2019,"Slowdown forces aggressive cost cuts at Tata Motors, co may offer VRS to 1,600 employees"
27 Nov 2019,Tata Motors rolls out first Altroz from Pune ahead of Jan launch
27 Nov 2019,"Top buy and sell ideas by Ashwani Gujral, Sudarshan Sukhani, Mitesh Thakkar for short term"
26 Nov 2019,Tata Motors christens upcoming flagship SUV as Gravitas
26 Nov 2019,"NSE, BSE to exclude F&O contracts on Tata Motors, 3 others"
26 Nov 2019,"It could take 5 years for CVs to rescale the peak, says Tata Motors' Girish Wagh"
22 Nov 2019,"Tata Motors shareholders approve raising up to Rs 6,494.35 cr"
22 Nov 2019,Tata Motors makes a 'paradigm shift' for its dealers to beat slowdown
20 Nov 2019,"Tata Motors raises Rs 2,154 cr from overseas markets"
15 Nov 2019,Tata Motors raises Rs 500 crore
13 Nov 2019,Tata Motors to raise up to $300 mn by issuing bonds this month
12 Nov 2019,"Tata Motors to reduce standalone capex by 10% to Rs 4,500 crore"
12 Nov 2019,"JLR sales down by 6%, fall to 41,866 units in October"
06 Nov 2019,Festival cheer for auto sector in Oct; can it be a wealth creator?
05 Nov 2019,Tata Motors writes off Rs 230 crore in Q2 on cars no longer profitable
02 Nov 2019,"This week in Auto: Impact of Fiat-Peugeot merger in India, India۪s best-sellers perform poorly at safety ratings"
01 Nov 2019,"Tata Motors total sales down 34% at 41,354 units in October"
29 Oct 2019,"Tata Sons stake in Tata Motors to rise to 43.73% post Rs 6,500 cr preferential issue"
29 Oct 2019,Tata Motors PV market share slips to its lowest despite product & network expansion
25 Oct 2019,"Tata Sons steps in to help Tata Motors with Rs 6,500 crore boost"
24 Oct 2019,Audi to launch one new model every quarter to arrest sales decline
21 Oct 2019,Hyundai Kona beats rivals to become govt officials' EV choice : Report
18 Oct 2019,"Brexit deal inked, Tata companies can heave a sigh of relief"
16 Oct 2019,India offers unprecedented opportunities: Tata Motors' Guenter Butschek
06 Oct 2019,"Auto industry facing structural issues, affordability a challenge: Toyota Kirloskar"
04 Oct 2019,Tata Motors bags orders for 300 electric buses from Ahmedabad Janmarg
03 Oct 2019,Tata Motors to drive in Nexon EV in March quarter; to be priced between Rs 15-17 lakh
01 Oct 2019,"Tata Motors sales down 48% in September at 36,376 units"
01 Oct 2019,Car sales slump: Sky-high discounts fail to entice buyers
27 Sep 2019,"Tata Motors dealer offers free Honda scooter with Nexon, Tiago!"
24 Sep 2019,Intense lobbying by Japanese companies forces Tata Motors to change stand on hybrids
21 Sep 2019,This week in Auto: Vehicle scrapping policy in final leg; Should the government not interfere in technology development?
20 Sep 2019,Tata Motors looks to grow footprint in Africa
19 Sep 2019,"Tata Motors electric vehicle to debut in Jan-Mar quarter, minimum range of all EVs to be 250kms"
19 Sep 2019,TaMo expects positive outcome from GST Council meeting Friday
05 Sep 2019,Indian auto industry growth story about to collapse: Tata Motors' Guenter Butschek
02 Sep 2019,Tata Motors domestic passenger vehicle sales dip 58% in August
