text,label
"Slowdown forces aggressive cost cuts at Tata Motors, co may offer VRS to 1,600 employees",__label__1
Tata Motors rolls out first Altroz from Pune ahead of Jan launch,__label__2
"Top buy and sell ideas by Ashwani Gujral, Sudarshan Sukhani, Mitesh Thakkar for short term",__label__2
Tata Motors christens upcoming flagship SUV as Gravitas,__label__2
"NSE, BSE to exclude F&O contracts on Tata Motors, 3 others",__label__2
"It could take 5 years for CVs to rescale the peak, says Tata Motors' Girish Wagh",__label__2
"Tata Motors shareholders approve raising up to Rs 6,494.35 cr",__label__2
Tata Motors makes a 'paradigm shift' for its dealers to beat slowdown,__label__2
"Tata Motors raises Rs 2,154 cr from overseas markets",__label__1
Tata Motors raises Rs 500 crore,__label__2
Tata Motors to raise up to $300 mn by issuing bonds this month,__label__1
Festival cheer for auto sector in Oct; can it be a wealth creator?,__label__1
Tata Motors writes off Rs 230 crore in Q2 on cars no longer profitable,__label__2
"Tata Motors total sales down 34% at 41,354 units in October",__label__1
"Tata Sons steps in to help Tata Motors with Rs 6,500 crore boost",__label__1
Audi to launch one new model every quarter to arrest sales decline,__label__2
"Brexit deal inked, Tata companies can heave a sigh of relief",__label__1
India offers unprecedented opportunities: Tata Motors' Guenter Butschek,__label__2
Tata Motors bags orders for 300 electric buses from Ahmedabad Janmarg,__label__2
Tata Motors to drive in Nexon EV in March quarter; to be priced between Rs 15-17 lakh,__label__1
"Tata Motors sales down 48% in September at 36,376 units",__label__2
Car sales slump: Sky-high discounts fail to entice buyers,__label__2
"Tata Motors dealer offers free Honda scooter with Nexon, Tiago!",__label__1
Intense lobbying by Japanese companies forces Tata Motors to change stand on hybrids,__label__2
Tata Motors looks to grow footprint in Africa,__label__2
"Tata Motors electric vehicle to debut in Jan-Mar quarter, minimum range of all EVs to be 250kms",__label__2
TaMo expects positive outcome from GST Council meeting Friday,__label__2
Indian auto industry growth story about to collapse: Tata Motors' Guenter Butschek,__label__2
Tata Motors puts $1.5 bn foreign debt raising plan on hold,__label__2
"Tata Motors group wholesales drop 14% in July to 78,600 units",__label__2
Shock laga! Govt rejects 3 of every 5 electric bus proposals by state govts,__label__2
Tata Motors sales dip 34% in July,__label__1
"Tata Motors, Tata Power join hands to install 300 charging stations in 5 cities this fiscal",__label__1
Luxury wars: BMW inches closer to Mercedes-Benz as race to the top heats up,__label__1
"Tata Motors to launch four new electric vehicles; electric Nexon, Altroz in the pipeline",__label__2
Tata chairman N Chandrasekaran says in talks with partners for JLR,__label__2
"Tata Motors to send stocks directly to dealers, to close distribution company TDCL",__label__2
"Tata Motors cuts JLR capex, retains annual consolidated EBIT guidance despite Q1 fall",__label__2
Will set up driver training institutes in each constituency: Nitin Gadkari,__label__1
DTC extends annual maintenance contract with Tata Motors for 1k CNG buses,__label__1
"JLR June sales drop 9.6% at 47,060 units",__label__2
"Hyundai to launch hydrogen car Nexo with 1,000-km drive range in India in 2021",__label__1
Tata JLR unveils major electric car investment plans for UK,__label__1
Rajiv Bajaj's salary rises 14% to Rs 32.31 crore in FY19,__label__2
Jaguar chief's salary nosedives after JLR reports record losses,__label__2
"With one sale in 6 months, will Tata Motors stop producing the Nano?",__label__1
No Nano production since January; only 1 unit sold in last 6 months,__label__1
Tata Motors needs to transform itself to be relevant in future mobility: N Chandrasekaran,__label__1
Moody's downgrades Tata Motors with negative outlook on JLR worries,__label__1
Hold Tata Motors; target of Rs 185: ICICI Direct,__label__1
Accumulate Tata Motors; target of Rs 192: Prabhudas Lilladher,__label__2
Tata Motors global sales dip 23% in May,__label__2
Summer of discontent: No let-up in sales gloom for automakers,__label__1
"Exclusive: Crash norms to wipe out mini vans from India; Tata Motors, Mahindra to be hit",__label__2
Tata Motors launches compact truck Intra priced at Rs 5.35 lakh,__label__2
"As Maruti Suzuki shuts its diesel shop, Tata Motors, Hyundai look to grab market share",__label__2
FAME-II subsidy: Tata Motors hopes private electric vehicle buyers get incentives,__label__1
Tata Motors to phase out multi-seater people carriers,__label__1
Ideas for Profit | No reason to buy Tata Motors after weak Q4 result shows challenges persist,__label__1
"Tata Motors Consolidated March 2019 Net Sales at Rs 86,422.02 crore, down 5.32% Y-o-Y",__label__2
"Tata Motors Q4 profit falls 49% to Rs 1,108 crore",__label__2
"Tata Motors Standalone March 2019 Net Sales at Rs 18,561.41 crore, down 6.16% Y-o-Y",__label__2
"Tata Motors Q4 preview: Revenue, profit likely to take a hit on decline in sales",__label__2
"Tata Motors, J&K Bank tie up for retail financing of CVs",__label__2
"MG unveils Hector SUV, bookings and launch in June",__label__2
Tata Motors global wholesale down 22% in April,__label__2
Peugeot signals openness to deals after JLR report,__label__1
Tata Motors says no truth in speculation of Jaguar Land Rover sale,__label__1
Tata Motors to drive in performance compact truck Intra,__label__2
Tata Motors JLR tests earn-as-you-drive smart cars,__label__1
April sales: Tough times continue for automobile companies,__label__1
"Tata Motors sales dip 20% to 42,577 units in April",__label__1
Jaguar to move Land Rover Defender production to Slovakia,__label__2
"Time to go on a ride: Tata Motors, TVS Motor among auto stocks with over 20% upside",__label__2
Tata Motors global sales dip 5% in March,__label__2
"Auto sector Q4 preview: Profit expected to decline sharply, trend may continue till H2",__label__2
Will fulfill order for supply of 255 electric buses by July: Tata Motors,__label__2
"Top buy and sell ideas by Ashwani Gujral, Mitessh Thakkar, Prakash Gaba for short term",__label__2
"No threat of govt blacklisting over delay in delivery of electric buses, says Tata Motors",__label__2
"No production of Tata Nano for 3rd month in row, no sales in March",__label__2
Auto monthly sales review: Challenging times continue,__label__2
JLR to drive in multiple electrified vehicles in India starting this year,__label__2
"Tata Motors sales dip 1% to 68,709 units in March",__label__2
Good guidance from JLR revs up Tata Motors,__label__2
"S&P downgrades Tata Motors, JLR credit rating",__label__1
"Top buy and sell ideas by Ashwani Gujral, Mitessh Thakkar, Prakash Gaba for short term",__label__1
"Carmakers grapple with unsold inventory, hike prices",__label__1
Jaguar Land Rover wins case against Jiangling Motors in China,__label__2
"Rising competition, slowing growth make the ride bumpy for Eicher Motors",__label__2
"No India vehicles among 44,000 cars recalled by JLR in UK",__label__2
"Tata Motors bags Gujarat State Roadways' order for 1,045 buses",__label__2
JLR global sales decline 4.1% in February,__label__2
Rush to meet BS VI deadline forces carmakers to forge alliances with rivals,__label__2
"Tata Motors, M&M in a fix over government€™s shifting policy stance on hybrids",__label__2
"Tata Motors domestic sales fall 3% to 57,221 units in February",__label__2
FAME II: MoTown welcomes govt€™s package to boost electric vehicles,__label__2
FAME II scheme to see faster adoption of EVs: Tata Motors,__label__2
Hold Tata Motors; target of Rs 159: Arihant Capital,__label__2
Tata Motors to launch premium hatchback Altroz in mid-2019,__label__2
"Two years on, N Chandrasekaran has plenty of unfinished business at Tata Sons",__label__2
Steering Tata Motors to dominance: Tata Sons chief Chandrasekaran has his task cut out,__label__2
Hold Tata Motors; target of Rs 145: ICICI Direct,__label__2
Tata Motors explore partnerships for electric mobility biz,__label__2
Daimler India€™s truck company records profit for first time; to launch 52 vehicles in 2019,__label__1
Tata Motors Tiago crosses 2 lakh cumulative sales milestone,__label__1
Tata Motors global sales down 12% in January,__label__2
No-deal Brexit will inflict more pain on Tata Motors: SBICap Securities,__label__1
Ideas for Profit | Tata Motors hits multiple speed breakers in Q3 FY19; avoid,__label__1
Tata Motors revises margin guidance downwards to 3-6% from 4-7%; stock sinks 16%,__label__1
"No deal Brexit will force 3-weeks JLR plant shutdown in April, profitability to be hit: Tata Motors",__label__2
JLR global sales dip 11% in January,__label__2
"Tata Motors Consolidated December 2018 Net Sales at Rs 77,000.89 crore, up 3.84% Y-o-Y",__label__2
"Tata Motors Standalone December 2018 Net Sales at Rs 16,207.67 crore, up 0.66% Y-o-Y",__label__2
First Cut | Tata Motors posts a disappointing set of Q3 FY19 earnings; avoid,__label__2
"Tata Motors Q3 cons net loss at Rs 26,961 cr on weak sales in China",__label__2
Tata Nano production comes to a grinding halt in January,__label__2
Budget 2019: Government reduces subsidy for electric vehicles by 25% to Rs 195 cr,__label__1
January monthly sales: Tough times continue for MoTown,__label__1
"Tata Motors car sales drop 11%, CV sales down 6% in January",__label__2
Tata Motors to supply Tigor EVs to Capgemini,__label__2
Tata Motors dials BSNL to smart-en up its cars,__label__2
"Nissan, Tata Motors expect near-flat industry growth in FY19",__label__2
Exclusive | Tata Motors may launch its first fully electric vehicle in 2020,__label__2
"Tata Harrier launched at Rs 12.69 lakh, SUV to be available in 4 variants",__label__2
Buy Tata Motors; target of Rs 246: Motilal Oswal,__label__1
Tata Motors group global sales dip 14% in December,__label__2
"Tata's JLR to shed 4,500 jobs worldwide amid slumping sales in China, Brexit concerns",__label__2
Daimler€™s BharatBenz beats industry CV growth in 2018,__label__2
"Mercedes, Audi's growth sputters, BMW and Jaguar Land Rover shine in 2018 in India",__label__2
Tata Motors Q3 PAT may dip 65.6% YoY to Rs. 413.4 cr: Motilal Oswal,__label__2
"JLR sales up 16.23% at 4,596 units in India in 2018",__label__2
Axle load norms behind dip in demand for new heavy trucks,__label__2
"Ideas for Profit | Subdued sentiments, macro weigh on auto sales in December 2018",__label__2
Tata Motors or Mahindra - Guess who is leading the electric vehicles market?,__label__2
"Tata Motors emerges as the biggest supplier of electric buses, keen to chase more orders",__label__2
Tata Motors ties up with Zoomcar to deploy Tigor EVs in Pune,__label__1
Tata Motors appoints Ravindra Kumar G P as HR head,__label__2
100-Word Take | A perfect storm for Tata Motors,__label__2
"Tata Motors to hike truck, bus prices by 1-1.5% next month",__label__2
Tata Motors-owned JLR likely to cut jobs in 2019,__label__2
Tata Motors Limited Q2 FY2019 Earnings Conference Call,__label__1
"Tata Motors to hike PV prices across models by up to Rs 40,000 from January 1",__label__2
Tata Motors group global sales dip 7% in November,__label__1
"Tata Nexon gets 5-star rating in NCAP crash test, Mahindra Marazzo gets 4 stars",__label__1
Tata Nano sales grow for third straight month,__label__1
Harrier will position us as a premium brand: Tata Motors MD Guenter Butschek,__label__1
Volkswagen to stop development of combustion engines by 2026: What it means for Indian buyers,__label__1
"Exclusive: Incentivising hybrids is like taking three steps backwards, says Tata Motors MD",__label__1
"S&P downgrades Tata Motors, JLR credit ratings",__label__2
Tata Motors plans large-scale overhaul of its sales network,__label__2
Nov auto sales: Adverse macros weigh; outlook muted,__label__2
JLR launches special edition XJ50 priced at Rs 1.11 cr,__label__2
JLR to lay off staff temporarily at UK plant to adjust vehicle production,__label__1
Tata Motors JLR gets UK funding for low-carbon tech,__label__2
"Apex consumer court asks Tata Motors, its dealer to pay compensation",__label__2
Hyundai may temporarily halt bookings for Santro as waiting period crosses 3 months,__label__2
Tata Motors' Corp Comm head being probed for sexual harassment sacked,__label__2
Tata Motors group global sales up 5.62% in October,__label__1
"JLR October sales down 4.6% at 44,282 units in October",__label__1
S&P places Tata Motors' long-term rating on 'CreditWatch' with negative implications,__label__2
"Automobile October 2018 numbers: Adverse macros weigh, but festivity brings cheer in select pockets",__label__2
Tata Motors October sales increase 18% on double digit growth across major segments,__label__2
"Tata Motors: Domestic business shines, JLR hits a speed breaker",__label__2
"'This is a crisis for JLR', says Tata Motors CFO PB Balaji",__label__2
"Tata Motors Standalone September 2018 Net Sales at Rs 17,758.69 crore, up 32.53% Q-o-Q",__label__2
"A first since acquisition, Tata Motors reduces JLR capex to cut costs",__label__2
"Tata Motors Standalone September 2018 Net Sales at Rs 17,758.69 crore, up 32.53% Q-o-Q",__label__2
"Tata Motors posts Q2 loss of Rs 1,048 cr on dismal JLR sales, standalone profit at Rs 109 cr",__label__2
Tata Motors likely to report a loss in Q2 on weak JLR performance,__label__2
Tata Motors starts production of upcoming SUV Harrier,__label__2
"Ashok Leyland, Tata Motors see demand rising for fully-built vehicles as focus on safer transport grows",__label__2
"Tata Motors launches performance variants of Tiago, Tigor with Jayem Auto",__label__2
Jaguar Land Rover opens new plant in Slovakia,__label__1
"Festive sale! Not just online, it's raining deals, discounts at offline stores as well",__label__2
"HSBC downgrades Tata Motors to hold, cuts target price amid JLR concerns",__label__2
"#MeToo movement hits Tata Motors, corporate communications chief sent on leave",__label__2
Buy Tata Motors; target of Rs 335: Motilal Oswal,__label__2
Hold Tata Motors; target of Rs 200: ICICI Direct,__label__2
Tata Motors drives in new Tigor at Rs 5.20 lakh,__label__2
Tata Motors' JLR plans two-week shutdown of UK plant,__label__1
M&M€™s Korean arm SsanYong to fund investments from own kitty,__label__1
Jaguar Land Rover global sales decline 12.3% in September,__label__2
Tata Motors launches new premium variant of SUV Hexa,__label__2
Tata Motors launches new premium variant of SUV Hexa,__label__2
September 2018 auto sales hit speed bump on cocktail of adverse factors,__label__2
Tata Motors sales grow 20% YoY in September,__label__2
"Flagging JLR sales dent Tata Motors m-cap; Mahindra, Bajaj Auto, Eicher zoom past",__label__2
"Sell Tata Motors, target Rs 240: Dinesh Rohira",__label__2
Tata Motors' JLR cuts production schedule at UK plant,__label__1
Tata Motors to upgrade showrooms from January to prepare for Harrier arrival,__label__2
Tata Motors launches Tiago NRG at Rs 5.53 lakh,__label__2
Tata Motors' JLR chief issues 'no-deal' Brexit warning,__label__2
Buy Tata Motors; target of Rs 353: Motilal Oswal,__label__2
Tata Motors global sales up 14% in August,__label__1
"PM Modi wants to drive investments in electric vehicle manufacturing, supporting infra",__label__1
"Buy Tata Motors around Rs 270, says Aditya Agarwal",__label__1
August auto sales hit by delayed festive season and Kerala floods,__label__2
Prince Charles gets bespoke Tata Motors' electric Jaguar,__label__2
Tata Motors to showcase 5 new public transport vehicles at Bengaluru bus exhibition,__label__2
NCLAT declines stay on Tata Sons' conversion to private co; says Mistry can't be forced to sell stake,__label__2
Jaguar Land Rover approves launch of electric E-type,__label__2
"Buy Tata Motors, target Rs 310: Abhishek Mondal",__label__2
Tata Motors launches compact SUV Nexon in Sri Lanka,__label__2
Maruti aims to double sales of LCV Super Carry this fiscal,__label__2
Truck makers race against time to comply with new axle load norms,__label__2
"Jaguar Land Rover July sales down 21.6% at 36,144 units",__label__1
"Exclusive | Bus segment has seen a revival, says Suresh Chettiar of Volvo Buses",__label__2
Buy Tata Motors; target of Rs 352: Prabhudas Lilladher,__label__2
Tata Nexon gets 4-star rating from Global NCAP,__label__2
Tata Motors plans to roll out 10-12 new PVs in next 5 years,__label__2
"Riding past Nano, production at Tata Motors' Sanand plant reaches its peak",__label__2
Tata Motors to reduce component suppliers for passenger vehicles,__label__2
Jaguar Land Rover needs to cut costs: N Chandrasekaran at Tata Motors' AGM,__label__2
"Tata Motors ups capex for truck and bus business, bags more orders for electric buses",__label__1
"Tata Motors ups capex for truck and bus business, bags more orders for electric buses",__label__1
"Truck makers confused over govt€™s diktat on new axle norms, consumers likely to postpone purchases",__label__1
