Date,Open,Close,Labels
03-01-2005,166.149994,164.550003,
04-01-2005,165,164.100006,__label__2
05-01-2005,164.949997,159.050003,__label__2
06-01-2005,157,157.25,__label__1
07-01-2005,158,157.699997,__label__2
10-01-2005,159.800003,158.25,__label__2
11-01-2005,158,154.100006,__label__1
12-01-2005,155.5,147.850006,__label__2
13-01-2005,149,154.850006,__label__2
14-01-2005,152.25,149.949997,__label__1
17-01-2005,150,148.449997,__label__2
18-01-2005,150,153.5,__label__2
19-01-2005,155,154.550003,__label__2
20-01-2005,154.550003,153.5,__label__1
24-01-2005,154.100006,150.5,__label__2
25-01-2005,150.25,154.25,__label__1
27-01-2005,155.699997,157.350006,__label__2
28-01-2005,159,159.600006,__label__2
31-01-2005,160.699997,157.800003,__label__2
01-02-2005,158,164.149994,__label__2
02-02-2005,164.850006,159.949997,__label__2
03-02-2005,161.100006,161.449997,__label__2
04-02-2005,162,165.25,__label__2
07-02-2005,166.899994,162.800003,__label__2
08-02-2005,163.899994,163.149994,__label__2
09-02-2005,164,167.350006,__label__2
10-02-2005,169,169.949997,__label__2
11-02-2005,172,169.949997,__label__2
14-02-2005,172,168.050003,__label__2
15-02-2005,169.100006,165.5,__label__2
16-02-2005,165.899994,166.949997,__label__2
17-02-2005,167.5,163.649994,__label__2
18-02-2005,164.899994,164.699997,__label__2
21-02-2005,165,161,__label__2
22-02-2005,161,160.949997,__label__1
23-02-2005,161,160.25,__label__2
24-02-2005,161,159.149994,__label__2
25-02-2005,160.100006,158.449997,__label__2
28-02-2005,160.5,156.649994,__label__2
01-03-2005,158.800003,158.149994,__label__2
02-03-2005,160,160.5,__label__2
03-03-2005,161.399994,166.300003,__label__2
04-03-2005,166.5,162.350006,__label__2
07-03-2005,162,161.850006,__label__1
08-03-2005,162.350006,160.399994,__label__2
09-03-2005,162,157.300003,__label__2
10-03-2005,158,157.5,__label__2
11-03-2005,158,155.5,__label__2
14-03-2005,155.5,155.600006,__label__1
15-03-2005,155,153.050003,__label__1
16-03-2005,154,153.300003,__label__2
17-03-2005,154.949997,152.600006,__label__2
18-03-2005,153,152.199997,__label__2
21-03-2005,154.399994,151.149994,__label__2
22-03-2005,152,150.649994,__label__2
23-03-2005,151,149,__label__2
24-03-2005,149,146.899994,__label__1
28-03-2005,150,142.649994,__label__2
29-03-2005,144.399994,142.399994,__label__2
30-03-2005,142,146.699997,__label__1
31-03-2005,147.899994,151.550003,__label__2
01-04-2005,154,151.75,__label__2
04-04-2005,154,150.550003,__label__2
05-04-2005,151,153.899994,__label__2
06-04-2005,154.800003,155.899994,__label__2
07-04-2005,157,155.75,__label__2
08-04-2005,158,155,__label__2
11-04-2005,155,153.050003,__label__1
12-04-2005,153.899994,153.899994,__label__2
13-04-2005,154.5,153.550003,__label__2
15-04-2005,154.100006,150.050003,__label__2
18-04-2005,151.399994,149.649994,__label__2
19-04-2005,149,149.949997,__label__1
20-04-2005,149.100006,148,__label__1
21-04-2005,150,150.75,__label__2
22-04-2005,152.5,154.5,__label__2
25-04-2005,155.25,152.149994,__label__2
26-04-2005,154,152.899994,__label__2
27-04-2005,152.5,152.75,__label__1
28-04-2005,150,153.649994,__label__1
29-04-2005,153.199997,152.050003,__label__1
02-05-2005,151,152.199997,__label__1
03-05-2005,153,157.899994,__label__2
04-05-2005,159.399994,157.5,__label__2
05-05-2005,158.649994,157.75,__label__2
06-05-2005,158.949997,158.600006,__label__2
09-05-2005,159.050003,161.5,__label__2
10-05-2005,161,159.300003,__label__1
11-05-2005,158.75,158.550003,__label__1
12-05-2005,159.800003,158.649994,__label__2
13-05-2005,160.850006,158.050003,__label__2
16-05-2005,156.649994,163.649994,__label__1
17-05-2005,165,163.100006,__label__2
18-05-2005,163,161.600006,__label__1
19-05-2005,163.399994,164.050003,__label__2
20-05-2005,164.300003,162.699997,__label__2
23-05-2005,164.800003,163,__label__2
24-05-2005,165.850006,164,__label__2
25-05-2005,164.800003,165.600006,__label__2
26-05-2005,166.949997,177.550003,__label__2
27-05-2005,178.050003,175.149994,__label__2
30-05-2005,177,182.350006,__label__2
31-05-2005,184.25,178.350006,__label__2
01-06-2005,179.850006,181.949997,__label__2
02-06-2005,186,181.75,__label__2
03-06-2005,182,182.25,__label__2
06-06-2005,183,179.949997,__label__2
07-06-2005,182.850006,181.550003,__label__2
08-06-2005,183,179.449997,__label__2
09-06-2005,180.899994,180.550003,__label__2
10-06-2005,182.25,182.199997,__label__2
13-06-2005,183,179.050003,__label__2
14-06-2005,180.5,177.600006,__label__2
15-06-2005,178.649994,177.100006,__label__2
16-06-2005,179,172.949997,__label__2
17-06-2005,172.100006,171,__label__1
20-06-2005,173.399994,170.100006,__label__2
21-06-2005,171,172.350006,__label__2
22-06-2005,173.899994,169.649994,__label__2
23-06-2005,170.899994,171.850006,__label__2
24-06-2005,172.399994,174.050003,__label__2
27-06-2005,174,172.449997,__label__1
28-06-2005,173.050003,173.649994,__label__2
29-06-2005,169,169.699997,__label__1
30-06-2005,171.300003,165.149994,__label__2
01-07-2005,165.5,169.75,__label__2
04-07-2005,173.899994,172,__label__2
05-07-2005,173.699997,170.399994,__label__2
06-07-2005,171.5,171.199997,__label__2
07-07-2005,172,170.300003,__label__2
08-07-2005,173.800003,171.75,__label__2
11-07-2005,175,172.850006,__label__2
12-07-2005,174,173.850006,__label__2
13-07-2005,175,180.449997,__label__2
14-07-2005,184,187.25,__label__2
15-07-2005,189,184.850006,__label__2
18-07-2005,188,189.899994,__label__2
19-07-2005,190.899994,186.550003,__label__2
20-07-2005,189,196.649994,__label__2
21-07-2005,199.949997,191.149994,__label__2
22-07-2005,192,191.949997,__label__2
25-07-2005,191.649994,187.949997,__label__1
26-07-2005,191.300003,186.25,__label__2
27-07-2005,187.949997,186.25,__label__2
28-07-2005,null,null,#VALUE!
29-07-2005,186.5,180.699997,#VALUE!
01-08-2005,182.699997,185.449997,__label__2
02-08-2005,186,185.25,__label__2
03-08-2005,186.399994,186.399994,__label__2
04-08-2005,187.899994,189.050003,__label__2
05-08-2005,192,190.5,__label__2
08-08-2005,193,185.199997,__label__2
09-08-2005,185.800003,183.699997,__label__2
10-08-2005,185.949997,186.300003,__label__2
11-08-2005,188,187.149994,__label__2
12-08-2005,188,188.149994,__label__2
16-08-2005,190,190.399994,__label__2
17-08-2005,191,192.050003,__label__2
18-08-2005,193.449997,187.699997,__label__2
19-08-2005,189.899994,187.050003,__label__2
22-08-2005,188,186,__label__2
23-08-2005,187.5,183.949997,__label__2
24-08-2005,184,184.100006,__label__2
25-08-2005,185,185.300003,__label__2
26-08-2005,184.949997,184.850006,__label__1
29-08-2005,185,182.649994,__label__2
30-08-2005,182.75,185.5,__label__2
31-08-2005,183.5,188.100006,__label__1
01-09-2005,189.350006,189.399994,__label__2
02-09-2005,190.800003,187.800003,__label__2
05-09-2005,187,187.800003,__label__1
06-09-2005,189,195.149994,__label__2
08-09-2005,197.300003,196.149994,__label__2
09-09-2005,197.399994,194.199997,__label__2
12-09-2005,196,199.949997,__label__2
13-09-2005,200.399994,199.449997,__label__2
14-09-2005,199,195.850006,__label__1
15-09-2005,196,208.800003,__label__2
16-09-2005,210.100006,205.5,__label__2
19-09-2005,209,205.800003,__label__2
20-09-2005,206,201.75,__label__2
21-09-2005,200,196.550003,__label__1
22-09-2005,196,185.399994,__label__1
23-09-2005,186.199997,186.800003,__label__2
26-09-2005,189.699997,194.100006,__label__2
27-09-2005,195.800003,194.449997,__label__2
28-09-2005,194.449997,195.550003,__label__1
29-09-2005,195.75,192.300003,__label__2
30-09-2005,195,191.75,__label__2
03-10-2005,193.899994,201.050003,__label__2
04-10-2005,204.399994,201.649994,__label__2
05-10-2005,203,200.149994,__label__2
06-10-2005,201.5,196.899994,__label__2
07-10-2005,198.399994,195.050003,__label__2
