Headlines,Labels
sell indusind bank for target of rs 215: lkp,1
federal bank not to jump into save rate hike war,1
"buy mcleod russel, upl; sell hdil: ashwani gujral",0
indusind bank jun qtr pat see up at rs 170.4cr: plilladher,1
"manish shah bearish on axis bank, icici bank",1
"indusind bank's asset quality strong, but concern remain: clsa",0
buy indusind bank; target of rs 1143: kr choksey,1
buy indusind bank; target of rs 714: icicidirect,1
here be a few stock ideas from ajay bodke,1
indusind pick bank for $250-$300m share sale: source,1
"buy tata motors, indusind bank: manas jaiswal",0
"buy yes bank, indusind bank, petronet lng: ashwani gujral",1
indusind bank fall 2% after rs 2k cr qip issue,1
buy indusind bank; target of rs 1500: kr choksey,1
"exit dhanlaxmi bank, say sharmila joshi",1
"buy reliance industries, indusind bank, obc: ashwani gujral",1
"indusind bank q4 beat forecast, net up 29% on other income",1
"buy indusind bank, hdfc, ajanta pharma: ashwani gujral",1
positive on private sector banks: nischal maheshwari,1
"buy indusind bank, target rs 2248: siddharth sedani",0
buy indusind bank; target of rs 570: motilal oswal,1
"buy manappuram fin, repco home; sell indusind bank: gujral",0
"buy stride shasun, indiabulls housing, siemens: ashwani gujral",1
"indusind bank standalone june 2019 net interest income (nii) at rs 2,843.99 crore, up 34% y-o-y",1
indusind bank open ifsc bank unit at gift city,1
prefer yes bank & axis bank over indusind: sp tulsian,1
indusind bank have resistance at rs 92-95: bose,1
"hold yes bank, see level of rs 1500-1600: vijay chopra",1
"exit rana sugars, prefer private sector banks: gaurang shah",1
"sell dabur, apollo tyres; buy concor, aptech, future consumer: mitessh thakkar",1
indusind report a picture-perfect result even as buzz build around bharat financial buy,1
"bull's eye: infotech enterprises, ashok leyland, srei infra",0
indusind bank limit,1
"buy vedanta, upl, indusind bank: sandeep wagle",1
super six: top chart pick for august 20,1
"buy kesoram industries, niit technologies: ashwani gujral",1
6 trade stock for short term gain,0
"buy hdfc bank, indusind bank: sahil kapoor",1
"sell idfc on rallies, say pankaj jain",1
"buy indusind bank, advise sudarshan sukhani",1
indusind bank have target of rs 250: hathiramani,1
buy indusind bank 570 call: vk sharma,1
accumulate indusind bank; target of rs 402: dolat capital,1
indusind bank up 1% on firm q2; what be analysts saying?,1
buy indusind bank; target of rs 255: anand rathi,1
"buy indusind bank 1180 call, sell 1220 call: krish subramanyam",1
indusind: q4 forecast and why it be idbi cap's top pvt bank pick,1
"what should investors do with indusind bank post q2 results? buy, sell or hold",1
"buy, sell, hold: 9 stock and 7 sectors be on the radar of analysts€™ today",1
indusind bank report rs 854.08 cr profit for quarter end sep 2010,1
buy indusind bank on dip: anu jain,1
"icici bank, axis bank may see more downside: sukhani",0
"cautious banks; no cheer see on interest rates, npas: jp morgan",1
"indusind bank's agm on july 26, 2017",1
"buy motherson sumi systems, indusind bank: hemen kapadia",0
indusind bank receive rbi approval to set up ifsc bank unit,1
ashok leyland sell indusind bank share worth rs 75 cr,0
"indusind bank standalone september 2018 net interest income (nii) at rs 2,203.28 crore, up 20.99% q-o-q",1
buy indusind bank; target of rs 1060: firstcall,1
indusind bank q2 net profit up 45% at rs 193 cr,0
"buy indusind bank, mindtree, ultratech cement: yogesh mehta",0
"hold indusind bank, say gaurang shah",1
"buy indusind bank, expect move towards rs 1000: icicidirect",1
india inc's first quarter post gst: here's a sector-wise review of early result,1
"indusind bank open branch at cbd belapur, navi mumbai",1
hold indusind bank; target of rs 1020: edelweiss,1
indusind bank: outcome of board meet,1
"bull's eye: short jet airways, abg ship; buy titan, nmdc",0
"buy petronet lng, amara raja: ashwani gujral",1
buy indusind bank with a target of rs 418: parikh,1
"indusind bank's board meet on october 12, 2017",1
"buy dlf, tata motors, dabur, aurobindo pharma: ashwani gujral",1
"buy indusind bank, bharat financial inclusion: mitessh thakkar",1
"closely watch nbfc space, positive on bank: ajay bodke",0
"indusind bank q2 beat estimates; profit, nii jump over 30%",1
buy indusind bank; target of rs 325: p lilladher,1
buy indusind bank; target of rs 1920: edelweiss,1
"buy hdil, lic house finance, indusind bank: hemant thukral",1
indusind bank gain 1.5% on motilal oswal buy report,1
"bullish on yes bank, indusind bank, hdfc bank: hemant thukral",1
dilip shanghvi to make open offer to buy 26% suzlon stake,1
book profit in indusind bank: sandeep wagle,1
indusind bank have support at rs 67: gujral,1
"buy indusind bank, reliance industries: sudarshan sukhani",1
indusind bank may come down to rs 400-405: sp tulsian,1
"buy yes bank, indusind bank on dips, gail may hit rs 425: gujral",1
super six buy/sell call for december 31,1
indusind bank acquire royal bank of scotland's diamond & jewellery finance biz,0
limit upside in indusind bank: p sekhar,1
"sell bharti airtel, indusind bank; buy heritage food: gujral",1
indusind bank may buy rbs' indian operations,0
indusind bank may touch rs 660-670: kunal bothra,0
buy indusind bank; target rs 535: gautam trivedi,1
indusind bank q2 net profit see up 58.64% to rs 53.4 cr,1
induslnd bank open three new branch in vadodara,1
"buy gail india, tvs motor may hit rs 335: prakash gaba",1
"prefer kotak mahindra bank, indusind bank, hdfc bank: irani",0
ideas for profit |indusind bank q2 €“ steady show except for the shadow of il&fs,1
here be sanjiv bhasin's top trade ideas,0
"indusind bank q1 review: brokerages highlight steady results, see slight risk to asset quality",1
"accumulate indusind bank, say mayuresh joshi",1
don't buy indusind bank: sukhani,0
indusind bank q2 pat may rise 30.6% at rs 431.4 cr: most,0
"buy indusind bank, say thunuguntla",1
"buy infosys; sell jet airways, indusind bank: ashwani gujral",1
here's what you can expect from indusind bank's q2 earn,1
move towards marginal cost of funding: indusind bk,1
buy indusind bank 380 call: vk sharma,0
indusind bank q2 net likely to rise 10% at rs 300.5cr: most,1
"buy indusind; asset quality, nims good: religare cap",1
buy bank stock on dips: parag thakkar,1
hold indusind bank; target of rs 750: sushil finance,1
"bull's eye: buy indiabulls real, iti, exide, tata comm",1
"buy coal india; sell indusind bank, jsw steel: sukhani",1
rbi ban fii purchase in indusind bank,1
"go long in indusind bank, may test rs 1020: uttekar",1
indusind bank to allot equity share to qibs,1
see 30% upside in indusind bank: siddharth teli,1
"buy indusind bank, hdfc bank; see better q4 numbers: ajay bodke",1
bharat fin not eye a bank licence now: ph ravikumar,0
buy indusind bank; target of rs 1952: prabhudas lilladher,1
indusind bank have target of rs 308: gujral,1
indusind bank q2 net profit rise at rs 133 cr,1
a move above 10k require for breakout; 5 stock which can give nearly 10% return,1
indusind bank q1 profit see up 24% at rs 654 cr: poll,1
sell indusind bank at around rs 1800: vijay chopra,1
best buys: which stock be brokerages back after brexit,0
here be a few investment ideas from prakash diwan,1
short indusind bank: hemant thukral,1
earn review: june quarter a mix bag for india inc,1
hold indusind bank; target rs 417: firstcall research,0
"buy indusind bank, m&m finance: mitessh thakkar",1
"indusind bank may rally to rs 445-450, say harchekar",1
diwali shop list of 12 stock by sharekhan,1
"indusind bank meet forecast, q1 net rise 26% to rs 421 cr",1
indusind bank q2 net may grow 25% at rs 312cr: p lilladher,1
accumulate indusind bank; target of rs 2033: kr choksey,1
sell suzlon energy: sukhani,1
indusind bank's director ajay hinduja resign,1
"go long in indusind bank, say aditya agarwal",1
prefer indusind bank for long term: parag thakkar,0
prefer largecap bank stocks: devang mehta,0
buy indusind bank; target of rs 625: icicidirect.com,1
indusind bank plan to raise usd 350-360mn via qip,1
"bull's eye: buy voltas, amara raja; short lic house",1
indusind bank may appoint sumant kathpalia as ceo romesh sobti's successor,1
buy indusind bank; target of rs 280: iifl,1
"buy indusind bank, m&m financial, itc; sell hcl tech: gujral",1
demonetisation to impact nbfcs for next 3-4 months: macquarie,1
buy indusind bank; target of rs 1175: reliance securities,1
