Dates,Headlines
01 Nov 2019,IndusInd Bank finalises Sumant Kathpalia as new MD & CEO
31 Oct 2019,IndusInd Bank board finalises appointment of next MD & CEO
14 Oct 2019,IndusInd Bank €“ At what price do potential negatives get priced in?
11 Oct 2019,"Podcast | Stock picks of the day: See immediate support for Nifty at 11,100 levels"
10 Oct 2019,"Board to finalise successor in next meeting: Romesh Sobti, Indusind Bank"
10 Oct 2019,IndusInd Bank may appoint Sumant Kathpalia as CEO Romesh Sobti's successor
23 Jul 2019,"IndusInd Bank plans to raise up to Rs 20,000 cr by issuing bonds on pvt placement basis"
20 Jul 2019,Bet on these four stocks for double-digit returns
15 Jul 2019,Accumulate IndusInd Bank; target of Rs 1800: Dolat Capital
15 Jul 2019,Buy IndusInd Bank; target of Rs 1800: Prabhudas Lilladher
15 Jul 2019,Buy IndusInd Bank; target of Rs 1830: Motilal Oswal
15 Jul 2019,IndusInd Bank: Strong possibility of a medium term rally in the stock
12 Jul 2019,"IndusInd Bank Standalone June 2019 Net Interest Income (NII) at Rs 2,843.99 crore, up  34% Y-o-Y"
12 Jul 2019,"IndusInd Bank Q1 profit jumps 38% post Bharat Financial merger, asset quality stumbles"
12 Jul 2019,Double digit growth in Q1 NII on cards for IndusInd Bank; Bharat Financial merger may hit profit
11 Jul 2019,Indusind Bank Q1 Net Profit may dip 8% YoY to Rs. 949.8 cr: Kotak
19 Jun 2019,lnduslnd Bank-Bharat Financial merger to be effective from July 4
19 Jun 2019,Buy IndusInd Bank; target of Rs 1861: KR Choksey
14 Jun 2019,"Positive on Cholamandalam Finance, M&M Finance and Shriram Transport Finance: Prabhudas Lilladher"
14 Jun 2019,"IndusInd Bank, Bharat Financial boards likely to meet next week to finalise merger, says Romesh Sobti"
16 Nov 2018,"In tough year for finance, Moneycontrol Wealth Creator Awards honours India's best"
13 Nov 2018,IndusInd Bank calls off deal to acquire IL&FS Securities Services
24 Oct 2018,Accumulate IndusInd Bank; target of Rs 1743: Arihant Capital
22 Oct 2018,India Inc Q2FY19 review €“ predictable start with visible margin pressure
18 Oct 2018,Buy IndusInd Bank; target of Rs 1954: HDFC Securities
18 Oct 2018,Buy IndusInd Bank; target of Rs 2100: Motilal Oswal
18 Oct 2018,Buy IndusInd Bank; target of Rs 2097: KR Choksey
18 Oct 2018,Buy Indusind Bank; target of Rs 2270: LKP Research
18 Oct 2018,Buy IndusInd Bank; target of Rs 2000: Prabhudas Lilladher
17 Oct 2018,Buy IndusInd Bank; target of Rs 1916: Nalanda Securities
17 Oct 2018,Buy IndusInd Bank; target of Rs 2075: JM Financial
17 Oct 2018,Buy IndusInd Bank; target of Rs 1900: ICICI Direct
17 Oct 2018,Accumulate IndusInd Bank; target of Rs 1800: Dolat Capital
17 Oct 2018,Buy IndusInd Bank; target of Rs 1914: Anand Rathi
16 Oct 2018,"What should investors do with IndusInd Bank post Q2 results? Buy, sell or hold"
15 Oct 2018,Ideas For Profit |IndusInd Bank Q2 €“ steady show except for the shadow of IL&FS
15 Oct 2018,"IndusInd Bank Standalone September 2018 Net Interest Income (NII) at Rs 2,203.28 crore, up  20.99% Q-o-Q"
15 Oct 2018,"IndusInd Bank Q2 profit rises 4.6% to Rs 920 cr; asset quality improves, loan growth at 32%"
14 Oct 2018,"IndusInd Bank Q2 preview: PAT may grow 23%, but analysts watch out for IL&FS impact"
12 Oct 2018,"After recent drubbing, here€™s how you could trade your banking, NBFC stocks"
09 Oct 2018,"Buy IndusInd Bank, target Rs 1740: Jayant Manglik"
10 Sep 2018,"Buy IndusInd Bank with target Rs 2,248: AnandRathi"
13 Aug 2018,"Buy IndusInd Bank, target Rs 2248: AnandRathi"
11 Aug 2018,IndusInd Bank board approves appointment of 2 additional directors
24 Jul 2018,"RBI must allow microfinance firms to lend to small, mid-sized segments: MFIN President"
13 Jul 2018,Buy IndusInd Bank; target of Rs 2120: JM Financial
13 Jul 2018,Buy IndusInd Bank; target of Rs 2080: Edelweiss
13 Jul 2018,Buy IndusInd Bank; target of Rs 2248: Anand Rathi
13 Jul 2018,Accumulate IndusInd Bank; target of Rs 2033: KR Choksey
13 Jul 2018,Buy IndusInd Bank; target of Rs 1971: HDFC Securities
11 Jul 2018,Buy IndusInd Bank; target of Rs 2075: Prabhudas Lilladher
11 Jul 2018,Buy IndusInd Bank; target of Rs 2250: Motilal Oswal
11 Jul 2018,"Analysts retain positive stance on IndusInd Bank, expect stock to return up to 21% post stable Q1"
11 Jul 2018,IndusInd Bank €“ as steady as it gets
10 Jul 2018,"IndusInd Bank posts 23% rise in Q1FY19 net profit at Rs 1,035.7 crore"
10 Jul 2018,IndusInd Bank to kick off bank results today; may post over 21% YoY rise in net profit
26 Jun 2018,IndusInd Bank to acquire IL&FS' brokerage business
18 Jun 2018,"IndusInd bank to maintain stable asset quality over FY19-20, stock may give 14% return: Anandrathi"
07 Jun 2018,"Buy IndusInd Bank, target Rs 2248: Siddharth Sedani"
23 Apr 2018,Buy IndusInd Bank; target of Rs 1966: HDFC Securities
18 Dec 2017,"Buy IndusInd Bank, JSW Steel, Sun Pharmaceutical Industries: Rahul Shah"
11 Dec 2017,"Prefer IndusInd Bank, Yes Bank: Ashwani Gujral"
24 Nov 2017,"Buy IndusInd Bank, M&M Finance: Mitessh Thakkar"
20 Nov 2017,"News highlights of the day: Shia Waqf Board calls for temple in Ayodhya, mosque in Lucknow"
03 Nov 2017,"Buy Indusind Bank, Nalco, Kolte-Patil Developers: Ashwani Gujral"
02 Nov 2017,Buy IndusInd Bank; target of Rs 1920: Axis Direct
30 Oct 2017,"Will move out of villages where there is no recovery, says Bharat Financial"
18 Oct 2017,India Inc's first quarter post GST: Here's a sector-wise review of early results
18 Oct 2017,Buy IndusInd Bank; target of Rs 1952: Prabhudas Lilladher
18 Oct 2017,Buy IndusInd Bank; target of Rs 1920: ICICI Direct
18 Oct 2017,Buy IndusInd Bank; target of Rs 2120: JM Financial
16 Oct 2017,Buy IndusInd Bank; target of Rs 1920: ICICI Direct
16 Oct 2017,Accumulate IndusInd Bank; target of Rs 1889: KR Choksey
16 Oct 2017,Buy IndusInd Bank; target of Rs 1650: JM Financial
16 Oct 2017,"Analysts remain positive on IndusInd Bank, expect up to 14% return post Bharat Financial merger"
16 Oct 2017,IndusInd-Bharat Financial deal: Here's how experts are looking at it
16 Oct 2017,Merger will enable us to give higher ticket size loans: Bharat Financial
14 Oct 2017,"IndusInd, Bharat Fin merger: Premium paid for cost reduction, synergies and rural reach"
14 Oct 2017,IndusInd Bank: Outcome of board meeting
14 Oct 2017,IndusInd Bank announces merger with Bharat Financial
14 Oct 2017,Banking sector wrap: Banks kickstart results season amid insolvency struggles
13 Oct 2017,Buy IndusInd Bank; target of Rs 1920: Edelweiss
12 Oct 2017,IndusInd reports a picture-perfect result even as buzz builds around Bharat Financial buy
12 Oct 2017,Book profits in IndusInd Bank: Sandeep Wagle
12 Oct 2017,Sell IndusInd Bank at around Rs 1800: Vijay Chopra
12 Oct 2017,IndusInd Bank Q1 net up 25% at Rs 880.1 crore; net NPAs rise to Rs 537 cr
12 Oct 2017,IndusInd Bank: Outcome of board meeting
12 Oct 2017,FIFA Under 17 World Cup: India knocked-out after losing 4-0 to Ghana
11 Oct 2017,"IndusInd Bank Q2 profit, net interest income may increase over 25%"
11 Oct 2017,Banks set to report grim September quarter financial results
09 Oct 2017,"Buy IndusInd Bank, PVR; Trident may test Rs 135: Ashwani Gujral"
03 Oct 2017,"IndusInd Bank's board meeting on October 12, 2017"
27 Sep 2017,"Sell IndusInd Bank, SBI; buy Tech Mahindra: Ashwani Gujral"
25 Sep 2017,"Hold IndusInd Bank, says Gaurang Shah"
25 Sep 2017,Stay invested in IndusInd Bank: Prakash Gaba
21 Sep 2017,"Buy IndusInd Bank, HDFC, Ajanta Pharma: Ashwani Gujral"
18 Sep 2017,"Buy IndusInd Bank, Raymond, CESC; hold Yes Bank: Ashwani Gujral"
16 Sep 2017,"This week in banking: IndusInd-Bharat Fin merger on cards, Bandhan Bank announces IPO plans"
15 Sep 2017,IndusInd Bank secures $200 mn loan from ADB for microlending
14 Sep 2017,Buy IndusInd Bank; target of Rs 1650: JM Financial
13 Sep 2017,"Buy HDFC Bank, IndusInd Bank, Chambal Fertilisers: Ashwani Gujral"
11 Sep 2017,Bharat Financial deal - IndusInd Bank unlikely to overpay
11 Sep 2017,"Buy IndusInd Bank, Muthoot Finance, M&M Financial Services: Ashwani Gujral"
11 Sep 2017,IndusInd Bank Limited
11 Sep 2017,"IndusInd Bank, Bharat Financial enter agreement to evaluate strategic share swap deal"
11 Sep 2017,IndusInd Bank enters into agreement with Bharat Financial Inclusion
08 Sep 2017,A move above 10K required for breakout; 5 stocks which can give nearly 10% return
07 Sep 2017,"Buy IndusInd Bank, National Aluminium Company: Sandeep Wagle"
07 Sep 2017,"Expect Indusind & Bharat Financial to rally post deal, if it happens: Investec Capital"
01 Sep 2017,"Buy IndusInd Bank, Escorts, Motherson Sumi: Ashwani Gujral"
31 Aug 2017,IndusInd Bank inaugurates new branch in Faridkot
23 Aug 2017,"Buy IndusInd Bank, Bharat Financial Inclusion: Mitessh Thakkar"
23 Aug 2017,"Buy IndusInd Bank, HDFC Bank, Bharat Financial Inclusion: Ashwani Gujral"
23 Aug 2017,"Sell Dabur, Apollo Tyres; buy CONCOR, Aptech, Future Consumer: Mitessh Thakkar"
20 Jul 2017,Buy IndusInd Bank; target of Rs 1720: Axis Direct
15 Jul 2017,"This week in banking: RBI Guv talks on demonetisation, 2 pvt banks post results; insolvency hiccups continue"
12 Jul 2017,Buy IndusInd Bank; target of Rs 1734: Edelweiss
12 Jul 2017,Buy IndusInd Bank; target of Rs 1663: HDFC Securities
12 Jul 2017,Accumulate IndusInd Bank; target of Rs 1681: KR Choksey
12 Jul 2017,"IndusInd Bank Q1 review: Brokerages highlight steady results, see slight risks to asset quality"
12 Jul 2017,"Valuation key in Bharat Financial deal; CV space to do well in Q3, Q4: IndusInd Bank"
11 Jul 2017,IndusInd Bank: Outcome of board meeting
11 Jul 2017,"IndusInd Bank Q1 profit beats estimates, up 26% but asset quality deteriorates further"
11 Jul 2017,Will update on target price for IndusInd Bank post quarter: Edelweiss Sec
10 Jul 2017,"Banks' Q1 earnings to be hit by higher NPA provisions, low credit growth: Analysts"
04 Jul 2017,"Buy, Sell, Hold: 9 stocks and 7 sectors are on the radar of analysts€™ today"
03 Jul 2017,"IndusInd Bank's AGM on July 26, 2017"
20 Jun 2017,Don't anticipate any impact of farm loan waiver on Punjab's book: Bharat Financial
16 Jun 2017,"Buy IndusInd Bank, Bajaj Finance, Britannia; stay with DHFL: Ashwani Gujral"
14 Jun 2017,"IndusInd Banks's 23rd AGM will be held on July 26, 2017"
09 Jun 2017,IndusInd Bank to raise $225 mn to support enterprises in India
07 Jun 2017,"Will not look to stretch loan growth at 25%, says IndusInd Bank"
06 Jun 2017,"Buy IndusInd Bank, sell Oil India: Sandeep Wagle"
06 Jun 2017,"Buy IndusInd Bank, Petronet LNG; sell M&M Financial Services: Ashwani Gujral"
02 Jun 2017,"IndusInd Bank can climb to Rs 1540, Muthoot Finance Rs 435: Prakash Gaba"
25 May 2017,"Buy IndusInd Bank, Jindal Steel & Power: Mitessh Thakkar"
25 May 2017,"Buy IndusInd Bank, Jindal Steel & Power: Mitessh Thakkar"
25 May 2017,"Buy IndusInd Bank, L&T, Jain Irrigation Systems: Ashwani Gujral"
25 May 2017,"Buy IndusInd Bank, sell Hindalco Industries below Rs 186: Mitessh Thakkar"
22 May 2017,"Short IndusInd Bank, BPCL; buy Bharat Forge: Rahul Shah"
30 Dec 2016,"Like BEL, NBCC, Strides Shasun; bullish on Bharat Fin: Mehta"
30 Dec 2016,"Buy Century Textiles, Hindustan Unilever, IndusInd Bank: Gujral"
29 Dec 2016,"Buy IndusInd Bank, Mindtree, UltraTech Cement: Yogesh Mehta"
29 Dec 2016,"Buy EIL, Mindtree, Bata India, IndusInd Bank: Ashwani Gujral"
27 Dec 2016,"Prefer IndusInd Bank, Yes Bank: Sharmila Joshi"
27 Dec 2016,"Bull's Eye: Buy IndusInd Bank, Exide, BEML; sell IRB Infra"
23 Dec 2016,"Sell IndusInd Bank, DCB Bank, Cipla: Mitesh Thacker"
14 Dec 2016,"Buy Hexaware Technologies, sell IndusInd Bank: Mitesh Thacker"
12 Dec 2016,"Sell IndusInd Bank, Bata India; buy Aban Offshore: Gujral"
12 Dec 2016,"Closely watching NBFC space, positive on bank: Ajay Bodke"
09 Dec 2016,"Buy SBI, HDFC Bank, IndusInd Bank, BoB, ICICI Bank: Irani"
09 Dec 2016,"Buy Reliance Industries, IndusInd Bank, OBC: Ashwani Gujral"
08 Dec 2016,"Buy IndusInd Bank, Mahindra & Mahindra, Uflex: Ashwani Gujral"
02 Dec 2016,"Sell Arvind, Asian Paints: Mitesh Thacker"
01 Dec 2016,"IndusInd Bank to raise Rs 1,500 crore via bonds"
30 Nov 2016,"Buy ICICI Bank, Tata Motors: Yogesh Mehta"
22 Nov 2016,"Analysts positive on NBFCs, retail private banks after RBI move"
21 Nov 2016,"Sell IndusInd Bank, Ambuja Cements, Hindalco: Ashwani Gujral"
19 Nov 2016,Check out: How demonetisation impacts various sectors
18 Nov 2016,"HDFC Bank can slip to Rs 1200, Power Grid may hit Rs 204: Gupta"
15 Nov 2016,"Buy Infosys; sell Jet Airways, IndusInd Bank: Ashwani Gujral"
15 Nov 2016,Demonetisation to impact NBFCs for next 3-4 months: Macquarie
15 Nov 2016,"Sell Tata Motors; buy HDFC Bk, Power Grid: Mitesh Thacker"
09 Nov 2016,"Sell IndusInd Bank, Godrej Consumer: Mitesh Thacker"
08 Nov 2016,"Sell Bharti Airtel, IndusInd Bank; buy Heritage Food: Gujral"
04 Nov 2016,"Buy IndusInd Bank 1160 Put, sell 1280 Call: Krish Subramanyam"
02 Nov 2016,Go long in IndusInd Bank; short Biocon: Rahul Shah
28 Oct 2016,"Sell DLF, IndusInd Bank, Infosys; buy IIFL, Vijaya Bank: Thacker"
20 Oct 2016,"Hold Yes Bank, see levels of Rs 1500-1600: Vijay Chopra"
19 Oct 2016,Buy IndusInd Bank; target of Rs 1400: Axis Direct
18 Oct 2016,"Prefer ICICI Bank, SBI; positive on Satin Credit Care: IIFL"
17 Oct 2016,Buy IndusInd Bank; target of Rs 1500: KR Choksey
17 Oct 2016,Hold IndusInd Bank; target of Rs 1292: Arihant Capital
17 Oct 2016,"Banks past NPA crisis, normalisation 3-4 qtrs away: Exide Life"
17 Oct 2016,"Short Ceat, NCC, Hindalco, IndusInd Bank: Ashwani Gujral"
14 Oct 2016,Buy IndusInd Bank; target of Rs 1400: Motilal Oswal
14 Oct 2016,Buy IndusInd Bank; target of Rs 1350: ICICI Direct
14 Oct 2016,"Sell Sun TV, IndusInd Bank: Rajat Bose"
14 Oct 2016,Here are Deven Choksey's top trading ideas
13 Oct 2016,"IT sector beaten down, no great expectation from TCS: Expert"
