text,label
IndusInd Bank finalises Sumant Kathpalia as new MD & CEO,__label__2
IndusInd Bank board finalises appointment of next MD & CEO,__label__1
IndusInd Bank €“ At what price do potential negatives get priced in?,__label__2
"Podcast | Stock picks of the day: See immediate support for Nifty at 11,100 levels",__label__2
"Board to finalise successor in next meeting: Romesh Sobti, Indusind Bank",__label__2
IndusInd Bank may appoint Sumant Kathpalia as CEO Romesh Sobti's successor,__label__2
"IndusInd Bank plans to raise up to Rs 20,000 cr by issuing bonds on pvt placement basis",__label__1
Accumulate IndusInd Bank; target of Rs 1800: Dolat Capital,__label__2
Buy IndusInd Bank; target of Rs 1800: Prabhudas Lilladher,__label__2
Buy IndusInd Bank; target of Rs 1830: Motilal Oswal,__label__2
IndusInd Bank: Strong possibility of a medium term rally in the stock,__label__2
"IndusInd Bank Standalone June 2019 Net Interest Income (NII) at Rs 2,843.99 crore, up  34% Y-o-Y",__label__2
"IndusInd Bank Q1 profit jumps 38% post Bharat Financial merger, asset quality stumbles",__label__2
Double digit growth in Q1 NII on cards for IndusInd Bank; Bharat Financial merger may hit profit,__label__2
Indusind Bank Q1 Net Profit may dip 8% YoY to Rs. 949.8 cr: Kotak,__label__2
lnduslnd Bank-Bharat Financial merger to be effective from July 4,__label__2
Buy IndusInd Bank; target of Rs 1861: KR Choksey,__label__2
"Positive on Cholamandalam Finance, M&M Finance and Shriram Transport Finance: Prabhudas Lilladher",__label__1
"IndusInd Bank, Bharat Financial boards likely to meet next week to finalise merger, says Romesh Sobti",__label__1
"In tough year for finance, Moneycontrol Wealth Creator Awards honours India's best",__label__1
IndusInd Bank calls off deal to acquire IL&FS Securities Services,__label__1
Accumulate IndusInd Bank; target of Rs 1743: Arihant Capital,__label__2
India Inc Q2FY19 review €“ predictable start with visible margin pressure,__label__2
Buy IndusInd Bank; target of Rs 1916: Nalanda Securities,__label__1
Buy IndusInd Bank; target of Rs 2075: JM Financial,__label__1
