Headlines,Labels
"buy indusind bank on dips, advise ambareesh baliga",1
"indusind bank's q2 result on october 14, 2013",1
"despite gloom over npas, these bank could be good bargain",1
hold torrent pharma; target of rs 1560: religare,1
"buy torrent pharma, target of rs 260: sharekhan",1
move towards marginal cost of funding: indusind bk,1
buy indusind bank; target rs 978: sameet chavan,1
"buy motherson sumi systems, indusind bank: hemen kapadia",1
look for acquisitions in europe: torrent pharma,1
"torrent pharma be best top pick, say pal",0
accumulate indusind bank; target of rs 690: plilladher,1
indusind bank expand presence across punjab,0
torrent pharmaceuticals report rs 481.79 crore turnover for quarter end sep 2010,1
"bull's eye: buy glenmark, hpcl, sintex, indusind bank",0
torrent pharma in talk to buy unichem's domestic business: source,1
"buy blue star, sun pharma, lic house finance: ashwani gujral",1
"torrent to acquire unichem's domestic brand business for rs 3,600 crore",1
"here's why tulsian be upbeat on cement cos, torrent pharma",0
torrent pharma q2 profit decline 1.4% to rs 204 crore on price pressure in us business,1
"buy indusind bank, advise lancelot d'chuna",1
super six short term pick for dec 13,1
why psbs may bridge valuation gap with private bank,1
indusind bank's qib issue of rs 2006 cr close today,0
m&a in 2017: best in a decade,1
"buy indusind; asset quality, nims good: religare cap",0
"pick indusind bank, expect move to rs 1070: icicidirect",0
torrent pharma have target of rs 538: daga,1
"buy torrent pharma, target of rs 200: karvy",0
accumulate torrent pharma; target of rs 581: sushil finance,1
"go long in indusind bank, say aditya agarwal",1
"torrent pharma consolidate march 2019 net sales at rs 1,856.00 crore, up 7.78% y-o-y",0
torrent pharma q3 net zoom 3-fold to rs 483 crore,1
torrent pharma q2 net profit up at rs 25.6cr,1
"indusind bank may rally to rs 445-450, say harchekar",1
induslnd bank open three new branch in vadodara,1
dilip shanghvi to make open offer to buy 26% suzlon stake,1
"buy indusind bank, target rs 930: sahil kapoor",1
torrent pharma q3 pat see up 7.1% to rs 220 cr: hdfc securities,1
"exit tata steel on rally, like indusind bank: rakesh bansal",1
indusind bank q2 pat may rise 30.6% at rs 431.4 cr: most,0
credo india fund buy 19 lakh indusind bank share,1
"indusind bank good pick, target rs 953-960: thukral",1
torrent pharmaceuticals: outcome of agm,1
buy torrent pharmaceuticals; target of rs 1625: edelweiss,1
hold torrent pharma; target of rs 1560: religare,0
"torrent recall 20,952 cartons of hypertension drug in us",0
"hold kotak mahindra bank, indusind bank: rahul mohindar",1
hold indusind bank; target of rs 1020: edelweiss,1
"torrent pharma seek enable nod to raise rs 10,500 cr",1
super six trade stock for short term gain,1
"indusind bank q3 result on jan 13, 2015",1
"like pharma, consumer stocks: gautam sinha roy",1
short bank of india; buy indusind bank: sukhani,1
"torrent pharmaceuticals' agm on july 27, 2016",1
"buy tata power, rec, indusind bank: sudarshan sukhani",1
eye for gain post tie-ups with payment banks: indusind,1
"prefer yes bank, bank of baroda: mayuresh joshi",1
"hold indusind bank, say vishal malkan",1
"go long in torrent pharma, marico, syndicate bank: chaturmohta",0
"buy hdfc bank, hdfc, kotak bank: mehraboon irani",1
accumulate indusind bank; target of rs 1070: p lilladher,1
"yes bank, indusind to post good q2 results: edelweiss",0
torrent pharma get green nod for rs 300 cr project,1
"sell torrent pharma, tata steel, syndicate bank: sandeep wagle",1
prefer asian paint for long term: sudarshan sukhani,0
"torrent pharma q1 net may fall 23%, rev see down; us biz key",1
"accumulate indusind bank, say mayuresh joshi",0
here€™s why deutsche bank be upbeat on pharmaceutical sector,0
torrent pharma dec '10 sales at rs 459.56 crore,1
buy torrent pharma: emkay global financial service,1
"buy indusind bank, federal bank on dips: parag thakkar",1
"torrent pharma consolidate december 2018 net sales at rs 2,051.00 crore, up 38.86% y-o-y",1
torrent pharma: outcome of board meet,1
buy torrent pharma; target of rs 1730: hdfc securities,1
torrent pharmaceuticals q1 net down 35.62% at rs 188 cr,1
sharekhan handpicks 15 stock for investment,1
check out: super six stock for december 12,1
"buy bhel, igl; sell amara raja, torrent pharma: sukhani",0
top buzz stock to trade on march 18,1
torrent pharma q2 net dip 59% to rs 207 cr,0
indusind bank may touch rs 660-670: kunal bothra,0
"indusind bank's q3 result on jan 10, 2014",1
torrent shareholders clear hike in borrow limit to rs 15k crore,0
"keep sbi, icici bank, hdfc bank in portfolio: r sreesankar",1
hold torrent pharmaceuticals; target of rs 1333: edelweiss,1
hold torrent pharma; target of rs 1560: religare,0
"buy indusind bank, motherson sumi, delta corp: jajoo",0
super six: top chart pick for august 20,0
torrent pharma look attractive at current level,0
"bpcl may test rs 1030, torrent pharma rs 1480: manoj murlidharan",1
"indusind bank's q2 result on oct 09, 2015",1
"bull's eye: buy voltas, amara raja; short lic house",1
"buy century textiles, m&m, indusind bank: sudarshan sukhani",1
"expect better q2, cv loan demand to pick up in q4: indusind",0
torrent pharma get establishment nod from usfda,1
buy torrent pharma; target of rs 1475: icici direct,1
torrent pharma market performer: karvy,1
"sell torrent pharma, icici bank; buy hpcl: sandeep wagle",1
torrent pharma post q4 net loss of rs 152 cr,1
buy torrent pharma; target of rs 1450: hdfc securities,1
"torrent pharma raise rs 1,000 cr via ncds",1
indusind bank promoter sell 46 lkh share for rs 196 crore,1
"prefer aurobindo, ajanta pharma, torrent pharma: gujral",0
torrent pharma q3 net profit at rs 6.20cr,1
torrent pharma q3 profit see up 40% on abilify generic sales,0
"buy bajaj finance, arvind, hpcl, torrent pharma: ashwani gujral",1
"bull's eye: buy tata coffee, amara raja, india cements; sell jet",1
torrent pharma q4 net at rs 357 cr,0
"hdfc bank, icici bank, sbi top picks: r sreesankar",1
torrent pharma q4 revenue down at rs 320 cr,1
"buy kotak mahindra bank, nmdc: mitessh thakkar",1
usfda make 'certain' observations for torrent pharma's indrad plant,0
hold torrent pharmaceuticals; target of rs 1200: icici direct,1
"short indusind bank, can move lower to rs 800-820: most",1
pharma stock can give 20-25% return in 1-year: ajay parmar,1
indusind bank may slip to rs 426: sp tulsian,1
"buy torrent pharma, tata consultancy services; sell zee entertainment: ashwani gujral",0
buy torrent pharma with target of rs 546: firstcall,0
"induslnd bank raise rs 2,000 crore",1
buy indusind bank at target of rs 714: icici direct,0
"sell rec, idea cellular; buy torrent pharma: sandeep wagle",1
accumulate indusind bank; target of rs 481: emkay,1
torrent pharma net profit jump over 4-fold to rs 246 cr in december quarter,1
indusind bank q2 profit may jump 25% to rs 412 cr: poll,0
"buy torrent pharma, divis lab, lic housing, adani ports: sukhani",1
"torrent pharma consolidate jun-2018 sales at rs 1,872.00 crore",1
indusind bank announce q2 results; pat up at rs 330.23cr,1
"sell torrent pharma, voltas; buy bank of baroda: ashwani gujral",1
accumulate indusind bank; target of rs 1080: emkay,0
"prefer yes bank, indusind bank, say kunal bothra",1
"go long in hindustan zinc, exide, torrent pharma: chaturmohta",1
hdfc bank top pick: siddharth teli,1
"buy moil, nmdc: sudip bandopadhyay",1
torrent pharma q3 pat see at rs 48.1 cr: sharekhan,0
be torrent a serious contender for merck?,1
hold torrent pharma; target of rs 663: emkay,0
"buy indusind bank on dips, say sameet chavan",0
"buy torrent pharmaceuticals, target rs 2,050: ashish chaturmohta",0
torrent pharmaceuticals q1 pat may dip 8.4% yoy to rs. 172.2 cr: kotak,1
torrent jun qtr pat see up 8.3% at rs 53 cr: sharekhan,1
"torrent pharma standalone march 2019 net sales at rs 1,357.00 crore, up 1.72% y-o-y",0
"sell arvind, indusind bank; buy indraprastha gas: sukhani",1
buy indusind bank; target of rs 714: icicidirect,1
"buy indusind bank 920 call, bob 185 call: vk sharma",0
estimate growth rate of 22-25% for fy08: torrent pharma,1
"short indusind bank, advise kunal bothra",1
"buy unite spirits; sell torrent pharma, l&t: ashwani gujral",1
"buy cadila healthcare, acc, torrent pharma, bpcl: sandeep wagle",1
"short indusind bank, advise shardul kulkarni",0
"bull's eye: buy pnb, torrent pharma, gmdc; sell idbi bank",1
torrent pharma q4 con net profit up at rs 94 cr,1
torrent pharma complete acquisition of brand formulation biz of unichem lab,1
"torrent pharma q1 profit drop 13% to rs 162 cr on higher amortisation, finance cost",1
"buy jain irrigation, midcap pharma, rel cap, rel infra: gujral",1
torrent pharma q3 net profit at rs 50.7 cr,1
"checkout: sp tulsian's view on dish tv, alembic pharma, sugar",0
indusind bank may touch rs 970: rahul mohindar,1
"buy marico, upl, torrent pharma: sudarshan sukhani",1
"bull's eye: buy just dial, canara bank, biocon, pfc, rel capital",1
indusind bank open new branch in mira road in thane district,0
torrent pharma q3 net see up 190.87% at rs 15.3cr,1
torrent pharma q1 pat see down 1.7% to rs 350.9 cr: edelweiss,1
6 trade bet for short term gain,1
indusind bank inaugurate a new branch at jamshedpur,1
'yes bank post strong q2 nos; accumulate on stock',1
"buy torrent pharma, jsw energy: mitessh thakkar",1
torrent pharma declare dividend at rs 6 per share,0
"buy upl, tata chemicals; sell torrent pharma: ashwani gujral",0
dr reddyï¿½s & torrent pharma sign agreement,1
"buy sun pharma, cairn, tata steel, bob, torrent pharma: gujral",1
book some profit in indusind bank: phani sekhar,1
buy torrent pharmaceuticals; target of rs 1460: edelweiss,1
"sell indusind bank, target rs 770: shubham agarwal",1
"buy jk tyre, indusind bank: kunal bothra",1
like private banks; sbi top pick: r sreesankar,1
"torrent pharmaceuticals' q3 result on feb 03, 2017",0
"torrent pharma in talk to raise rs 1,500 crore for sanofi generics business bid: report",0
indusind bank re-appoints romesh sobti as md & ceo,1
"axis bank may test rs 530-535, say hemant thukral",1
"go long in torrent pharma, advise gaurav bissa",0
indusind bank may touch rs 445-450: kunal bothra,1
torrent pharmaceuticals q4 pat may dip 37.3% yoy to rs. 129.3 cr: edelweiss,0
"buy indusind bank, advise sudarshan sukhani",1
accumulate indusind bank; target of rs 625: plilladher,1
"sell indusind bank, reliance infra, andhra bank: tulsian",1
will continue to pursue inorganic growth in india & us: torrent pharma,1
sell torrent pharma; target of rs 633: karvy stock broking,0
"indusind bank q2 beat estimates; profit, nii jump over 30%",1
buy indusind bank; target of rs 715: krchoksey,1
indusind bank's director ajay hinduja resign,0
buy indusind bank; target rs 620: kunal saraogi,1
"pick kotak mah bank, indusind bank: sp tulsian",1
buy torrent pharmaceuticals: edelweiss,0
"indusind bank's q2 result on october 15, 2013",0
see lower level in indusind bank: sudarshan sukhani,0
pharma body come up with new guidelines on data integrity,0
"buy hdfc bank, indusind bank: sahil kapoor",1
"sell axis bank, target rs 425.50: rajat bose",1
torrent pharma's dahej plant receive eir from usfda,1
sushil finance neutral on torrent pharma,1
buy indusind bank; target of rs 1060: firstcall research,1
buyout fund eye significant stake in wockhardt's domestic formulations business,1
"sell torrent pharma, igl, bank of baroda: sudarshan sukhani",1
"buy bpcl, adani port, kotak mahindra bank: gujral",1
6 stock that you can bet for today,1
torrent pharma have target of rs 480: hemang jani,1
"buy torrent pharma, target rs 283: kotak pcr",1
torrent pharma may touch rs 680 levels: bothra,1
buy torrent pharma for long term: avinash gorakshakar,1
"sbi, hdfc bank, icici bank have upside potential: sukhani",1
buy indusind bank; target rs 460: icicidirect.com,1
broker recommend buy on torrent pharma,0
top chart pick for december 28,0
"cadila, torrent, drl to get govt notice for over-pricing",1
torrent pharma recall 14 lot of blood pressure drug from us,1
"buy ceat, torrent pharma; sell bpcl: ashwani gujral",1
"indusind bank, hdfc bank, sks micro top bets: rahul arora",0
"buy bob, tata steel; sell hul: ashwani gujral",0
