Dates,Headlines
24 Nov 2019,USFDA red flags Torrent Pharma's US-based plant for manufacturing violations
09 Oct 2019,Torrent Pharma gets warning letter from USFDA for Gujarat facility
25 Jul 2019,"After 17-fold returns in 10 years, can Torrent Pharma continue its marathon run?"
23 Jul 2019,Torrent Pharma net profit up 33% to Rs 216 cr in June quarter
04 Jul 2019,Buyout funds eye significant stake in Wockhardt's domestic formulations business
29 May 2019,Buy Torrent Pharmaceuticals; target of Rs 1940: ICICI Direct
21 May 2019,"Torrent Pharma Consolidated March 2019 Net Sales at Rs 1,856.00 crore, up 7.78% Y-o-Y"
21 May 2019,"Torrent Pharma Standalone March 2019 Net Sales at Rs 1,357.00 crore, up 1.72% Y-o-Y"
20 May 2019,Torrent Pharma posts Q4 net loss of Rs 152 cr
26 Apr 2019,USFDA makes 'certain' observations for Torrent Pharma's Indrad plant
26 Feb 2019,"Podcast | Stock picks of the day: Accumulate long positions on Nifty with stop loss below 10,700"
30 Jan 2019,Torrent Pharma net profit jumps over 4-fold to Rs 246 cr in December quarter
30 Jan 2019,"Torrent Pharma Consolidated December 2018 Net Sales at Rs 2,051.00 crore, up 38.86% Y-o-Y"
30 Jan 2019,"Torrent Pharma Standalone December 2018 Net Sales at Rs 1,481.00 crore, up 42.27% Y-o-Y"
23 Jan 2019,Torrent recalls 16 lots of hypertensive drug from US due to impure API
17 Jan 2019,"Buy Torrent Pharmaceuticals, target Rs 2050: Ashish Chaturmohta"
11 Jan 2019,Torrent Pharma Q3 PAT seen up 183.6% YoY to Rs. 164.5 cr: ICICI Direct
08 Jan 2019,"Buy Torrent Pharmaceuticals, target RS 2,050: Ashish Chaturmohta"
04 Jan 2019,"Credit Suisse expects strong Q3 quarter for Aurobindo, Torrent Pharma, Cadila"
10 Dec 2018,"India pharma market slows due to lower offtake of anti-infective, respiratory drugs"
13 Nov 2018,Buy Torrent Pharmaceuticals; target of Rs 1850: ICICI Direct
03 Nov 2018,"Torrent Pharma Q2 profit dips 12%, but revenue jumps 34% on strong US, India biz"
17 Oct 2018,Torrent Pharma Q2 PAT may dip 5.4% YoY to Rs. 190 cr: HDFC Securities
16 Oct 2018,Torrent Pharma Q2 PAT may dip 18.4% YoY to Rs. 166.5 cr: Sharekhan
12 Oct 2018,Torrent Pharma Q2 PAT may dip 13.2% YoY to Rs. 177 cr: ICICI Direct
03 Oct 2018,Torrent Pharma says charges of duping C&F agents baseless
21 Aug 2018,Torrent Pharma recalls 14 lots of blood pressure drug from US
03 Aug 2018,"Torrent Pharma consolidated Jun-2018 sales at Rs 1,872.00 crore"
02 Aug 2018,"Torrent Pharma Q1 profit drops 13% to Rs 162 cr on higher amortisation, finance costs"
18 Jul 2018,Torrent Pharmaceuticals Q1 PAT may dip 8.4% YoY to Rs. 172.2 cr: Kotak
13 Jul 2018,Hold Torrent Pharmaceuticals; target of Rs 1333: Edelweiss
25 Jun 2018,"Buy Torrent Pharma, target Rs 1540: Rajesh Palviya"
15 Jun 2018,Lavender Investments buys Torrent Pharma stake worth Rs 133 cr
13 Jun 2018,Buy Torrent Pharma; target of Rs 1584: HDFC Securities
12 Jun 2018,Hold Torrent Pharmaceuticals; target of Rs 1333: Edelweiss
11 Jun 2018,Buy Torrent Pharmaceuticals; target of Rs 1485: Khambatta Securities
04 Jun 2018,Buy Torrent Pharma between Rs 1430-1400: Rajesh Palviya
20 Apr 2018,Torrent Pharma Q4 PAT seen up 1.3% YoY to Rs. 210 cr: HDFC Securities
