text,label
Torrent Pharma gets warning letter from USFDA for Gujarat facility,__label__1
"After 17-fold returns in 10 years, can Torrent Pharma continue its marathon run?",__label__1
Torrent Pharma net profit up 33% to Rs 216 cr in June quarter,__label__1
Buyout funds eye significant stake in Wockhardt's domestic formulations business,__label__2
Buy Torrent Pharmaceuticals; target of Rs 1940: ICICI Direct,__label__2
"Torrent Pharma Consolidated March 2019 Net Sales at Rs 1,856.00 crore, up 7.78% Y-o-Y",__label__1
"Torrent Pharma Standalone March 2019 Net Sales at Rs 1,357.00 crore, up 1.72% Y-o-Y",__label__1
Torrent Pharma posts Q4 net loss of Rs 152 cr,__label__2
USFDA makes 'certain' observations for Torrent Pharma's Indrad plant,__label__1
"Podcast | Stock picks of the day: Accumulate long positions on Nifty with stop loss below 10,700",__label__1
Torrent Pharma net profit jumps over 4-fold to Rs 246 cr in December quarter,__label__2
"Torrent Pharma Consolidated December 2018 Net Sales at Rs 2,051.00 crore, up 38.86% Y-o-Y",__label__2
"Torrent Pharma Standalone December 2018 Net Sales at Rs 1,481.00 crore, up 42.27% Y-o-Y",__label__2
Torrent recalls 16 lots of hypertensive drug from US due to impure API,__label__2
"Buy Torrent Pharmaceuticals, target Rs 2050: Ashish Chaturmohta",__label__1
Torrent Pharma Q3 PAT seen up 183.6% YoY to Rs. 164.5 cr: ICICI Direct,__label__2
"Buy Torrent Pharmaceuticals, target RS 2,050: Ashish Chaturmohta",__label__1
"Credit Suisse expects strong Q3 quarter for Aurobindo, Torrent Pharma, Cadila",__label__2
"India pharma market slows due to lower offtake of anti-infective, respiratory drugs",__label__1
Buy Torrent Pharmaceuticals; target of Rs 1850: ICICI Direct,__label__1
Torrent Pharma Q2 PAT may dip 5.4% YoY to Rs. 190 cr: HDFC Securities,__label__2
Torrent Pharma Q2 PAT may dip 18.4% YoY to Rs. 166.5 cr: Sharekhan,__label__2
Torrent Pharma Q2 PAT may dip 13.2% YoY to Rs. 177 cr: ICICI Direct,__label__2
Torrent Pharma says charges of duping C&F agents baseless,__label__1
Torrent Pharma recalls 14 lots of blood pressure drug from US,__label__2
"Torrent Pharma consolidated Jun-2018 sales at Rs 1,872.00 crore",__label__2
"Torrent Pharma Q1 profit drops 13% to Rs 162 cr on higher amortisation, finance costs",__label__2
Torrent Pharmaceuticals Q1 PAT may dip 8.4% YoY to Rs. 172.2 cr: Kotak,__label__2
Hold Torrent Pharmaceuticals; target of Rs 1333: Edelweiss,__label__2
"Buy Torrent Pharma, target Rs 1540: Rajesh Palviya",__label__1
Lavender Investments buys Torrent Pharma stake worth Rs 133 cr,__label__2
Buy Torrent Pharma; target of Rs 1584: HDFC Securities,__label__2
Hold Torrent Pharmaceuticals; target of Rs 1333: Edelweiss,__label__1
Buy Torrent Pharmaceuticals; target of Rs 1485: Khambatta Securities,__label__2
Buy Torrent Pharma between Rs 1430-1400: Rajesh Palviya,__label__1
Torrent Pharma Q4 PAT seen up 1.3% YoY to Rs. 210 cr: HDFC Securities,__label__2
Torrent Pharmaceuticals Q4 PAT may dip 37.3% YoY to Rs. 129.3 cr: Edelweiss,__label__1
Remain focused on companies with exposure to Indian markets: IIFL,__label__1
News Highlights: Facebook bans far-right group; all-woman crew of Indian Navy begins return journey,__label__1
"Torrent Pharma in talks to raise Rs 1,500 crore for Sanofi generics business bid: Report",__label__1
"News Highlights: SC says passive euthanasia permissible, Karti sent to CBI custody for 3 more days",__label__2
"Buy Blue Star, Sun Pharma, LIC Housing Finance: Ashwani Gujral",__label__2
Torrent shareholders clear hike in borrowing limit to Rs 15k crore,__label__1
"Torrent Pharmaceuticals board meeting on February 08, 2018",__label__2
"Torrent Pharma board okays hiking borrowing limit to Rs 15,000 cr",__label__2
"Torrent Pharma raises Rs 1,000 cr via NCDs",__label__2
Torrent completes acquisition of Unichem's branded business,__label__2
Torrent Pharma completes acquisition of branded formulation biz of Unichem Lab,__label__2
Buy Torrent Pharmaceuticals; target of Rs 1390: Edelweiss,__label__2
Will continue to pursue inorganic growth in India & US: Torrent Pharma,__label__2
Torrent Pharma gets green nod for Rs 300 cr project,__label__2
Unichem-Torrent deal positive for both companies: Surajit Pal,__label__2
Torrent sharpens focus on Indian market with Unichem€™s brands €“ time to lock in?,__label__2
News as-it-happened: Union ministers to highlight govt's fight against black money,__label__2
M&A in 2017: Best in a decade,__label__2
Torrent Pharma Q2 net dips 1.44% to Rs 204 cr,__label__2
Torrent Pharma Q2 profit declines 1.4% to Rs 204 crore on pricing pressures in US business,__label__2
"Torrent to acquire Unichem's domestic branded business for Rs 3,600 crore",__label__2
Torrent Pharma in talks to buy Unichem's domestic business: Sources,__label__2
"Buy Torrent Pharma, Just Dial: Sandeep Wagle",__label__1
Torrent Pharmaceuticals Q2 PAT seen up 13.9% YoY to Rs. 235.7 cr: Kotak,__label__2
"Buy Torrent Pharma, Tata Consultancy Services; sell Zee Entertainment: Ashwani Gujral",__label__1
Buy Torrent Pharma; target of Rs 1450: Reliance Securities,__label__2
"Sell Torrent Pharma, Just Dial, OBC; buy JM Financial, Thomas Cook: Ashwani Gujral",__label__2
Buy Torrent Pharma; target of Rs 1450: HDFC Securities,__label__2
Buy Torrent Pharmaceuticals; target of Rs 1460: Edelweiss,__label__2
Torrent Pharmaceuticals Q1 net down 35.62% at Rs 188 cr,__label__2
Buy Torrent Pharmaceuticals; target of Rs 1570: Edelweiss,__label__2
Hold Torrent Pharmaceuticals; target of Rs 1200: ICICI Direct,__label__2
"Sell Torrent Pharma, IGL, Bank of Baroda: Sudarshan Sukhani",__label__2
USFDA issues 4 observations for Torrent Pharma's Indrad plant,__label__2
Torrent Pharma Q4 PAT may dip 8.3% to Rs 209.9 cr: ICICI Securities,__label__1
Torrent Pharma to acquire clutch of generic brands from Novartis,__label__1
"Buy Torrent Pharma, JSW Energy: Mitessh Thakkar",__label__2
