Time,Dates,Sources,Headlines
3.05 pm , 08 Dec 2006,@,Torrent Pharma looks attractive at current levels
4.55 pm , 29 Nov 2006,@,Dr Reddy�s & Torrent Pharma sign agreement 
10.40 am , 30 Oct 2006,@,Torrent Pharma Q2 net profit up at Rs 25.6cr
3.23 pm , 06 Sep 2006,@,Looking for acquisitions in Europe: Torrent Pharma
10.20 am , 24 Jul 2006,@,Torrent Pharma Q1 net profit at Rs 31.4cr
11.19 am , 24 May 2006,@,Torrent Pharma Q4 net loss at Rs 1.69cr
9.09 am , 22 Feb 2006,@,Marketing rights for Novartis cancer drug cancelled
12.29 pm , 27 Jan 2006,@,Torrent Pharma Q3 net profit at Rs 6.20cr
5.39 pm , 24 Jan 2006,@,Torrent Pharma Q3 net seen up 190.87% at Rs 15.3cr
3.46 pm , 27 Oct 2005,@,Torrent Pharma Q2 net profit up at Rs 22.6cr
8.45 am , 26 Oct 2005,@,Torrent Pharma Q2 net seen down 3.95% at Rs 20.4cr
3.07 pm , 06 Oct 2005,@,"Torrent Pharma is best top pick, says Pal"
3.27 pm , 23 Aug 2005,@,Brokers recommend buy on Torrent Pharma
11.55 am , 08 Aug 2005,@,Novo Nordisk inks agreement with Torrent
5.51 pm , 04 Aug 2005,@,Torrent Pharma will do well in couple of yrs
11.00 am , 29 Jun 2005,@,Book part profit in Torrent Pharrma now
5.23 pm , 27 Jun 2005,@,Torrent acquires Heumann Pharma
