,Predicted Values,,,,Acutal Values,,,
Date,Open,High,Low,Close,Open,High,Low,Close
07/08/19,263.647,266.32083,260.71774,263.42105,258.850006,259.450012,253.050003,253.75
08/08/19,262.20712,264.84756,259.2858,261.98715,254.25,258.700012,252.949997,257.75
09/08/19,258.35703,260.99905,255.51617,258.18823,259,259,253.600006,254.25
13/08/19,258.57578,261.1523,255.6828,258.3717,254.399994,254.399994,244.199997,246.100006
14/08/19,257.689,260.23956,254.79146,257.47742,245.600006,253.550003,244.199997,248.850006
16/08/19,250.92346,253.53232,248.19783,250.82509,248.850006,253.399994,247.399994,252.899994
19/08/19,250.29501,252.83551,247.52922,250.16954,253.300003,257.450012,251,251.600006
20/08/19,253.11877,255.56946,250.22601,252.90172,252,252.149994,245.550003,246.550003
21/08/19,254.47711,256.90707,251.53145,254.21739,248.699997,248.699997,240.850006,241.600006
22/08/19,250.09705,252.59831,247.27864,249.91978,242,246,238.949997,240.100006
23/08/19,246.10187,248.62903,243.37506,245.98631,239.449997,241.149994,234.699997,236
26/08/19,244.28151,246.77988,241.56728,244.17128,244,244,234.949997,242.550003
27/08/19,240.69579,243.19315,238.04832,240.62607,244.5,246.350006,242.699997,245.550003
28/08/19,242.29816,244.71248,239.55632,242.15889,247,247.550003,243.100006,245.800003
29/08/19,246.25815,248.59941,243.37828,246.01747,244.5,245.449997,240.350006,241.399994
30/08/19,246.99675,249.35484,244.10252,246.74263,241.699997,247.050003,239.149994,245.550003
03/09/19,244.34865,246.76736,241.54002,244.15454,244.850006,244.850006,240.649994,241.5
04/09/19,245.45752,247.85547,242.60725,245.23694,242,244.5,241.25,243.149994
05/09/19,244.8286,247.24023,241.9968,244.6207,242.300003,246.850006,242.149994,244.350006
06/09/19,245.08319,247.4901,242.24063,244.8698,245.800003,245.800003,243.300003,243.949997
09/09/19,246.22945,248.62303,243.35306,245.9944,244.25,246.550003,243.25,245.5
11/09/19,246.45676,248.859,243.58032,246.22353,245.5,245.550003,243,243.649994
12/09/19,247.0287,249.43362,244.14215,246.79086,244.949997,244.949997,240.050003,240.800003
13/09/19,246.42633,248.85274,243.56801,246.20695,242,242.350006,238.600006,239.949997
16/09/19,244.3483,246.80681,241.55711,244.17249,240.699997,241.050003,238.300003,239.350006
17/09/19,242.9178,245.37964,240.16226,242.7632,239.899994,240.050003,236.850006,237.149994
18/09/19,242.17813,244.62555,239.43166,242.02602,238,242.300003,234.100006,239.600006
19/09/19,240.58627,243.03197,237.87308,240.45328,240.399994,240.399994,236.149994,236.75
20/09/19,240.36386,242.78482,237.64003,240.21823,237,248.399994,234.399994,238.149994
23/09/19,239.54013,241.95274,236.82722,239.39638,249.100006,260.299988,249.100006,254.699997
24/09/19,240.50131,242.88454,237.74886,240.3223,255.399994,258,253.899994,256
25/09/19,252.48996,254.72578,249.39423,252.06161,255.800003,256.200012,242.75,248.800003
26/09/19,256.03104,258.33823,252.90714,255.5678,247.850006,251.300003,246,250.350006
27/09/19,250.30399,252.79109,247.41888,249.9985,250.600006,258.100006,250.100006,252.899994
30/09/19,250.54846,253.04552,247.67068,250.2513,255.399994,260.75,249.5,259.700012
01/10/19,254.60277,257.0504,251.61607,254.23163,259.700012,262.450012,254.949997,255.899994
03/10/19,257.27377,259.7203,254.23705,256.8699,257,262.100006,256.200012,261.600006
04/10/19,257.5671,260.05032,254.55383,257.18457,263.100006,264,255.100006,257.25
07/10/19,260.10544,262.58,257.03836,259.6967,257.5,258.200012,250.800003,251.649994
09/10/19,259.26663,261.78186,256.24957,258.90018,251.3,252.2,246.3,247.1
