Date,Actual Open,Actual High,Actual Low,Actual Close,Predicted Open,Predicted High,Predicted Low,Predicted Close
16-04-2020,343.100006,360.450012,343,356.700012,370.60956,381.1774,360.80267,370.71152
17-04-2020,370.75,370.75,355.549988,363.200012,362.89542,373.97745,352.00095,362.77612
20-04-2020,367,367.450012,354,355.850006,367.53384,377.616,358.09332,367.73285
21-04-2020,349.049988,349.049988,323.5,332.049988,363.77454,373.10516,354.64133,363.99966
22-04-2020,327,345.75,320.600006,340.200012,357.41272,365.9798,348.62234,357.6457
23-04-2020,338,349.649994,331.549988,347.5,339.71622,348.8007,329.53796,339.64175
24-04-2020,342,344.75,332,334.299988,340.32587,350.19275,329.513,340.08545
27-04-2020,337.549988,343.350006,328.149994,330.299988,343.90088,353.853,334.19302,343.99115
28-04-2020,334.450012,338,328.5,335.950012,338.8949,348.63943,330.02612,339.31567
29-04-2020,337,351.799988,336.25,348,334.0101,343.65475,325.6117,334.5545
30-04-2020,355.649994,368,355,366.649994,335.03983,344.23676,327.5261,335.671
04-05-2020,350.049988,362.399994,341.100006,357.049988,344.4109,353.9237,335.7479,344.68094
05-05-2020,363.75,381.799988,361.450012,368.149994,357.41772,367.18433,348.74234,357.5537
06-05-2020,371.5,393,358.25,387.149994,361.08203,371.06854,352.69305,361.158
07-05-2020,387.5,403.450012,385.100006,400.649994,367.84497,379.38065,357.64346,367.36652
08-05-2020,405,407.899994,380.700012,386.700012,379.8732,390.87872,371.5301,379.85233
11-05-2020,388.5,402,384.350006,390.100006,395.86273,407.26358,385.95386,395.23178
12-05-2020,388.899994,395.200012,380.200012,393.049988,387.09012,398.0934,377.60928,386.69623
13-05-2020,415,418.899994,404.25,413.049988,389.4586,399.48337,380.4894,389.09244
14-05-2020,401.5,407.5,396,400.450012,390.34888,399.01376,382.2236,389.96854
15-05-2020,402.75,403.950012,373.200012,381.299988,395.82523,404.13483,386.5497,394.8814
18-05-2020,382.100006,383.5,367.25,377.200012,395.82184,403.60794,386.77917,394.77084
19-05-2020,384,391,371.200012,382.899994,378.29907,388.37335,365.78488,376.42236
20-05-2020,382.899994,413.700012,379.700012,405.049988,371.07635,381.39612,360.0599,369.8862
21-05-2020,400.149994,412.200012,397.799988,408.299988,372.77933,382.62714,363.33463,372.08014
22-05-2020,404,430.350006,398.700012,426.350006,391.78476,402.2261,381.5552,390.62906
26-05-2020,427,435.200012,421.649994,429.149994,401.6319,411.6238,392.85867,400.82178
27-05-2020,426.5,434.950012,415,432.5,418.65808,429.09128,409.1856,417.40976
28-05-2020,429.5,444,423.850006,440.399994,424.15915,433.90533,415.65695,423.1733
29-05-2020,,,,,427.6242,437.3199,418.82663,426.34656
