,0,1,2,3,4
0,1537.7924,1548.7849,1514.0267,1524.4316,179983.45
1,1542.4913,1553.4941,1518.404,1528.8832,181070.6
2,1531.069,1541.461,1507.1063,1517.9702,167905.22
3,1562.3384,1574.0654,1537.6149,1547.8375,195900.12
4,1548.0352,1558.5542,1523.7307,1534.545,168781.48
5,1581.3828,1593.229,1556.322,1566.412,196445.73
6,1578.0325,1588.9482,1553.2129,1563.6847,174702.89
7,1584.3246,1595.3125,1559.2998,1569.7173,176036.17
8,1597.3605,1608.6644,1572.0052,1582.2554,182712.6
9,1597.5142,1608.5188,1572.085,1582.5348,176950.39
10,1590.8478,1601.4651,1565.4867,1576.1838,168784.06
11,1612.7594,1624.2666,1586.9226,1597.122,187052.73
12,1608.7339,1619.564,1583.099,1593.6008,171191.5
13,1618.3345,1629.4114,1592.5115,1602.821,175423.22
14,1610.2766,1620.7783,1584.6569,1595.2458,161932.22
15,1599.515,1609.7391,1574.0303,1584.824,155767.86
16,1602.0931,1612.7319,1576.4589,1587.1161,164798.6
17,1614.992,1626.0762,1589.2098,1599.5732,172565.89
18,1618.8944,1629.8503,1593.1245,1603.5045,169005.23
19,1623.3834,1634.3076,1597.5679,1607.905,167662.2
20,1630.2147,1641.2603,1604.2448,1614.4901,170282.67
21,1631.8782,1642.777,1605.8713,1616.1769,167046.17
22,1604.7976,1614.6685,1579.2115,1590.1862,146135.72
23,1572.619,1582.026,1547.3683,1558.8635,139046.61
24,1558.9193,1568.7328,1533.7825,1545.2977,149014.64
25,1559.7678,1570.0945,1534.7698,1546.0455,158117.44
26,1561.9376,1572.4283,1537.1669,1548.2532,159061.08
27,1581.1255,1592.2311,1556.2524,1566.8044,169189.61
28,1564.1049,1574.1595,1539.7896,1550.737,145052.86
29,1572.6044,1583.2272,1548.0736,1558.6812,157081.23
30,1539.4469,1548.9271,1515.5076,1526.7905,134031.55
31,1561.1294,1572.0541,1536.6492,1547.2452,165060.19
32,1569.0209,1579.9122,1544.6038,1555.1089,162559.1
33,1576.2451,1587.1266,1551.7825,1562.1888,161673.95
34,1659.7231,1674.1927,1633.1757,1641.6714,243354.28
35,1761.0105,1778.0907,1732.3584,1739.0786,305454.94
36,1748.782,1761.5928,1720.735,1729.5964,217446.36
37,1768.0432,1780.944,1739.0242,1747.7798,225145.97
38,1783.3853,1796.1365,1753.6718,1762.5398,225494.28
39,1776.0122,1787.7423,1746.1527,1755.7472,205544.31
40,1776.607,1788.2646,1746.4551,1756.21,204874.16
