Date,Open,High,Low,Close,Volume
2009-01-02,90.75,90.75,88.550003,90.300003,19140
2009-01-05,91.099998,91.5,90.294998,91.5,30900
2009-01-06,91.800003,91.800003,90.349998,91.305,16300
2009-01-07,91.800003,91.800003,87,89.099998,71670
2009-01-09,89.800003,89.800003,87.849998,88.5,20190
2009-01-12,87.699997,88.800003,87.699997,88.800003,12330
2009-01-13,88.400002,91.400002,88.400002,91.029999,25990
2009-01-14,91.794998,92.495003,91,91.695,25290
2009-01-15,91.800003,94,88.510002,93,27080
2009-01-16,94,94.5,91,91.470001,25740
2009-01-19,91.644997,93,91,92.684998,16520
2009-01-20,94.5,94.5,91.559998,93,5790
2009-01-21,92.290001,94,92.019997,92.5,8010
2009-01-22,92.050003,92.889999,89.5,90.385002,21190
2009-01-23,89.900002,93.5,89,92.260002,452380
2009-01-27,90.199997,90.300003,79.510002,80.550003,508210
2009-01-28,80.519997,81.449997,76.480003,78.035004,143960
2009-01-29,76.010002,77.379997,70,74.964996,4431710
2009-01-30,74.400002,80.5,72.125,78.504997,1378680
2009-02-02,78.985001,78.995003,77,77.75,55110
2009-02-03,79.5,79.5,76.300003,76.849998,59700
2009-02-04,76.800003,77.940002,75.699997,77.800003,48290
2009-02-05,77.309998,78.699997,76.599998,78.400002,16840
2009-02-06,79.5,80.099998,77.5,79.135002,23070
2009-02-09,79.5,79.900002,78.525002,79.400002,17560
2009-02-10,79,84.489998,77.699997,82.82,57350
2009-02-11,81,81.400002,79.599998,80.275002,23720
2009-02-12,80.599998,81.349998,79.735001,80.199997,16350
2009-02-13,81.800003,83.400002,80.800003,83.205002,77200
2009-02-16,82.014999,83.010002,80.099998,80.5,30810
2009-02-17,80.504997,80.900002,78.300003,79.714996,40420
2009-02-18,79.599998,81.294998,78.599998,79.5,16660
2009-02-19,80,81,79.199997,80.050003,15450
2009-02-20,79.300003,80,79,79.699997,609520
2009-02-24,78.699997,79.900002,78.699997,79.050003,6900
2009-02-25,79.5,79.695,78.699997,78.769997,76760
2009-02-26,83.5,83.5,77.709999,78.529999,12410
2009-02-27,77.800003,78.900002,77.504997,78.5,31750
2009-03-02,78.099998,78.5,77.400002,77.514999,17740
2009-03-03,77.5,77.504997,73.5,74.154999,33180
2009-03-04,74,74.5,73.099998,74,12700
2009-03-05,74.400002,74.440002,71.620003,72.470001,23160
2009-03-06,76.5,76.5,69.300003,73.5,13360
2009-03-09,73.550003,74,71.5,71.855003,11270
2009-03-12,72.099998,72.599998,70.199997,70.199997,20320
2009-03-13,68.089996,72.800003,68.089996,72.095001,21580
2009-03-16,72.25,72.989998,72,72.610001,110460
2009-03-17,73.800003,74.400002,72.5,74.400002,16550
2009-03-18,73.5,76.199997,73.5,75.900002,20680
2009-03-19,76,76,73.900002,74.985001,3890
2009-03-20,74.004997,75.480003,73.5,74.610001,7870
2009-03-23,73.349998,75.480003,73.324997,75.029999,6050
2009-03-24,74.75,77,74.75,75.809998,187570
2009-03-25,69.235001,79,69.235001,76.339996,61390
2009-03-26,76.974998,77.489998,74.599998,77.489998,260220
2009-03-27,77.004997,79.5,76,76,45140
2009-03-30,76.199997,80.699997,76.199997,79.230003,42160
2009-03-31,79.199997,80.199997,76,78.5,52600
2009-04-01,80.900002,80.900002,78,78.105003,19880
2009-04-02,78.355003,80.099998,78.324997,79.739998,28810
2009-04-06,81,81.5,77.510002,78.385002,52490
2009-04-08,78.5,78.5,77,78,35710
2009-04-09,79.699997,80,78.5,78.5,9410
2009-04-13,80.394997,82.599998,79.489998,81.639999,23260
2009-04-15,82.440002,88.099998,79.209999,87.199997,105820
2009-04-16,88,91.495003,86.300003,90.5,77980
2009-04-17,91,92,90.5,91.43,22720
2009-04-20,92,95,89.800003,92.599998,470080
2009-04-21,91.995003,92,87.599998,87.599998,26270
2009-04-22,89.07,90.5,88.5,88.739998,110590
2009-04-23,88.199997,90,87.415001,88.504997,812390
2009-04-24,89.5,90,88,88.599998,15200
2009-04-27,90,92.599998,86,87.855003,211050
2009-04-28,88.305,89.5,87.199997,87.605003,360470
2009-04-29,87,89.489998,86.105003,88.705002,23900
2009-04-30,88.705002,88.705002,88.705002,88.705002,0
2009-05-04,88.699997,89.5,87.300003,88.415001,47420
2009-05-05,89.099998,90,87.800003,89.349998,203830
2009-05-06,88.650002,89.900002,88.620003,89.099998,17550
2009-05-07,86.300003,90.199997,86.300003,90,23560
2009-05-08,90.779999,90.980003,89.800003,90.510002,51960
2009-05-11,90.800003,92.199997,90.029999,91.404999,41800
2009-05-12,91,91.790001,88.5,89.839996,32420
2009-05-13,90.089996,95.199997,90.089996,94.974998,141500
2009-05-14,93,96,91.599998,95.224998,71770
2009-05-15,94,96.449997,94,95.510002,406380
2009-05-18,95.510002,95.510002,95.510002,95.510002,100
2009-05-19,99.900002,101.5,95.5,100.18,1619120
2009-05-20,101.300003,103,99.5,101.959999,41500
2009-05-21,104.650002,112.5,102.504997,109.775002,47530
2009-05-22,109.400002,109.5,105,106.555,25370
2009-05-25,96,119,91.5,104.440002,240020
2009-05-26,106.480003,107.5,102,105.525002,332450
