Date,Actual Open,Actual High,Actual Low,Actual Close,Predicted Open,Predicted High,Predicted Low,Predicted Close
06-01-2020,1260,1261.800049,1236,1240.949951,1273.8911,1288.6064,1262.636,1273.891
07-01-2020,1258.900024,1271.449951,1252.25,1260.599976,1273.8611,1288.5692,1262.6031,1273.8699
08-01-2020,1246.949951,1262.150024,1240.050049,1257.300049,1272.5289,1287.2295,1261.3032,1272.5525
09-01-2020,1265,1275.800049,1263.099976,1271.400024,1270.4805,1285.1686,1259.3071,1270.5223
10-01-2020,1284.099976,1286.900024,1275.099976,1282.699951,1267.8286,1282.501,1256.7178,1267.8923
13-01-2020,1282.699951,1296.5,1276,1286,1265.7678,1280.4211,1254.6971,1265.8484
14-01-2020,1289,1292.550049,1277.5,1289.5,1265.4341,1280.0703,1254.3531,1265.5176
15-01-2020,1286.400024,1287.949951,1274.099976,1284.25,1266.7654,1281.3906,1255.6316,1266.8363
16-01-2020,1282.050049,1291,1279.349976,1287.650024,1269.1533,1283.7747,1257.9479,1269.201
17-01-2020,1281.75,1284.900024,1271.900024,1278.150024,1271.7308,1286.3542,1260.4608,1271.7512
20-01-2020,1304.849976,1304.849976,1252.5,1254.900024,1273.8461,1288.4755,1262.5347,1273.8429
21-01-2020,1250,1250,1238.400024,1244.349976,1275.3156,1289.9525,1263.9858,1275.295
22-01-2020,1248.050049,1255,1234.400024,1240.849976,1276.029,1290.6753,1264.7001,1275.9972
23-01-2020,1240,1246.849976,1231,1244.849976,1274.1609,1288.8179,1262.8962,1274.1383
24-01-2020,1246,1254,1239.099976,1244.550049,1270.0311,1284.6919,1258.8815,1270.0377
27-01-2020,1235,1235,1211.75,1213.199951,1264.5315,1279.1871,1253.5155,1264.5818
28-01-2020,1218.800049,1227.800049,1213.25,1223.199951,1259.1666,1273.8088,1248.2598,1259.262
29-01-2020,1225.300049,1242,1222.25,1235.849976,1253.8195,1268.444,1243.003,1253.9578
30-01-2020,1238.949951,1238.949951,1217.199951,1226.050049,1248.3688,1262.9714,1237.6356,1248.5483
31-01-2020,1231.449951,1237.800049,1220.25,1226.300049,1243.9136,1258.4918,1233.2314,1244.1259
03-02-2020,1197,1197.949951,1177.699951,1192.800049,1240.686,1255.2405,1230.0201,1240.9199
04-02-2020,1198,1234,1198,1229.800049,1238.446,1252.9792,1227.776,1238.6925
05-02-2020,1234.900024,1248,1227.300049,1244.650024,1234.8846,1249.3965,1224.2548,1235.1488
06-02-2020,1244.650024,1248.699951,1237.199951,1239.800049,1231.5366,1246.023,1220.9479,1231.8179
07-02-2020,1246,1247,1231.599976,1242.199951,1230.3822,1244.8472,1219.777,1230.6672
10-02-2020,1242.949951,1242.949951,1226.050049,1240.300049,1231.2827,1245.7363,1220.613,1231.5563
11-02-2020,1243.300049,1255,1238.050049,1240.599976,1233.1469,1247.598,1222.4021,1233.4011
12-02-2020,1245.199951,1252.900024,1244.050049,1249,1235.0908,1249.5453,1224.2869,1235.3252
13-02-2020,1259.900024,1259.900024,1233.599976,1241.400024,1237.0955,1251.5557,1226.246,1237.3115
14-02-2020,1243.199951,1248.400024,1215,1219.349976,1239.0618,1253.529,1228.1777,1239.2621
17-02-2020,1225,1233,1214.449951,1217.150024,1240.9517,1255.4263,1230.0417,1241.1387
18-02-2020,1216.900024,1218.5,1203.5,1213.25,1241.8066,1256.2871,1230.9008,1241.9866
