Date,Open,High,Low,Close,Volume
02/01/09,102,103.199997,100.32,101.565002,10468520
05/01/09,103,104.949997,102.805,104.410004,10059080
06/01/09,104.415001,111.300003,103.400002,110.040001,18289930
07/01/09,111.5,112.525002,99.599998,100.925003,37782380
09/01/09,100,105.699997,97.5,101.75,21413570
12/01/09,101.199997,102.199997,99,100.370003,18056570
13/01/09,100,101.199997,97.510002,98.885002,12528110
14/01/09,104.470001,104.470001,96.690002,97.754997,28325170
15/01/09,96,96,90.705002,92.480003,29247490
16/01/09,93.800003,94.455002,92.220001,93.754997,7808800
19/01/09,94.900002,95.449997,93.150002,94.110001,10148450
20/01/09,92.5,92.5,90.199997,91.245003,8011110
21/01/09,90.68,90.68,88,88.945,19760400
22/01/09,90,91.699997,88.199997,90.050003,16299600
23/01/09,89.260002,91.129997,86.510002,87.245003,15929700
27/01/09,89.699997,90.394997,88,88.945,12274930
28/01/09,89.800003,91.580002,89.535004,91.175003,13174590
29/01/09,92.489998,93.754997,91,92.345001,23436980
30/01/09,89.239998,93.5,89.239998,92.559998,7484510
02/02/09,92,92.050003,87.699997,88.870003,13079720
03/02/09,89.535004,90.980003,89,89.82,11480200
04/02/09,91,92.254997,88.214996,88.584999,37993560
05/02/09,89.495003,89.970001,88.010002,88.425003,10773010
06/02/09,89.300003,90.480003,88.639999,89.839996,11709830
09/02/09,90.800003,92.199997,90.300003,91.945,10290560
10/02/09,92.525002,95.815002,92.135002,94.699997,8321990
11/02/09,92.699997,94.294998,90.699997,93.449997,9321390
12/02/09,93.519997,94.099998,92.455002,93.385002,7140320
13/02/09,94,95.389999,93.699997,94.415001,7607900
16/02/09,94,94,90.800003,91.394997,13997680
17/02/09,90.699997,91.440002,87.025002,88.029999,17182670
18/02/09,87.5,88.800003,86.495003,87.639999,7830490
19/02/09,88.400002,89.220001,87.434998,88.455002,8960790
20/02/09,87.599998,87.889999,85.360001,86.650002,9997450
24/02/09,85.300003,86,83.5,85.449997,7685210
25/02/09,86.489998,87.135002,86.019997,86.43,10926310
26/02/09,86.629997,88.285004,84.099998,87.480003,32437620
27/02/09,87.099998,89.790001,84.300003,88.949997,13551940
02/03/09,87.309998,87.695,83.75,84.57,18569110
03/03/09,83.695,84.32,82,83.150002,16714920
04/03/09,83.099998,85,83,83.900002,17119990
05/03/09,84.970001,85.449997,79.114998,80.139999,24224790
06/03/09,80,82.794998,77.400002,80.18,23708540
09/03/09,79.900002,81.470001,78.224998,79.875,17589460
12/03/09,81.5,83.400002,79.114998,79.864998,28705440
13/03/09,81.5,83.68,81.224998,83.425003,45726300
16/03/09,84,85.260002,82.665001,84.485001,27255110
17/03/09,84.400002,85.900002,80.910004,82.815002,20923510
18/03/09,83.989998,86,83.220001,84.300003,18910410
19/03/09,84.870003,86.300003,81.900002,83.239998,24426110
20/03/09,82.985001,84.169998,81.099998,83.93,20286070
23/03/09,85.385002,89.980003,84.199997,88.5,20449730
24/03/09,91.625,97.400002,91,94.169998,37700540
25/03/09,94.790001,97.690002,93.699997,97.214996,17909000
26/03/09,98.800003,100.5,97.514999,99.339996,23156420
27/03/09,98.099998,101.300003,98.089996,100.144997,22880780
30/03/09,98,98,94.07,94.550003,13254840
31/03/09,95.199997,98.790001,90.440002,97.339996,37202700
01/04/09,98.5,100.5,95.160004,100,12946820
02/04/09,101.099998,105.190002,101.099998,103.654999,17795660
06/04/09,105.5,107.5,104.025002,106.415001,13472880
08/04/09,106.5,106.5,99.230003,104.675003,26514260
09/04/09,106.379997,108,103.209999,104.440002,14886190
13/04/09,104,111.495003,104,109.834999,17111010
15/04/09,105.485001,110.470001,104.25,108.275002,31337760
16/04/09,109.879997,110.775002,105.724998,106.610001,19520750
17/04/09,108.400002,109.800003,105.654999,107.190002,23521060
20/04/09,107,110,104.824997,106.709999,11465890
21/04/09,104,110,103.480003,108.709999,15048050
22/04/09,109,110.235001,106.5,108.934998,12091220
23/04/09,109.5,110,106.550003,109.25,14411550
24/04/09,110,112.290001,107.699997,111.025002,18655130
27/04/09,110,113.995003,109,111.540001,14392790
28/04/09,111.824997,112.699997,106.300003,107.184998,14800880
29/04/09,108.599998,111,107.199997,110.035004,21428150
30/04/09,221,221,221,221,0
04/05/09,115.004997,120.699997,112.025002,119.940002,22633070
05/05/09,120.68,120.995003,116.5,119.324997,15231940
06/05/09,119.010002,119.900002,116.099998,117.195,12143090
07/05/09,118,118.800003,116.665001,117.635002,7728840
08/05/09,116,117.5,111.455002,114.404999,22569330
11/05/09,118.769997,118.769997,113.800003,114.699997,16918360
12/05/09,114.400002,120.394997,113.925003,119.529999,17304420
13/05/09,119.5,119.879997,114.699997,116.43,23759760
