Date,Actual Open,Actual High,Actual Low,Actual Close,Predicted Open,Predicted High,Predicted Low,Predicted Close
23-08-2019,2619.800049,2670,2614,2640.25,2716.8801,2745.9758,2681.8018,2712.8572
26-08-2019,2677,2698,2554.949951,2589.600098,2660.216,2688.2544,2624.9675,2655.7605
27-08-2019,2637,2637,2582.649902,2610.649902,2653.7905,2681.9202,2618.5085,2649.4775
28-08-2019,2607,2626.399902,2555.449951,2569.649902,2620.595,2648.4226,2585.3225,2616.303
29-08-2019,2570,2577,2537.199951,2548.350098,2617.709,2645.78,2582.5415,2613.66
30-08-2019,2585,2585,2520,2571.850098,2593.276,2621.1907,2558.226,2589.2993
03-09-2019,2575,2617,2550,2557.949951,2566.7231,2594.513,2531.8206,2562.8633
04-09-2019,2562,2587.550049,2531,2566.25,2577.6675,2605.8904,2542.9507,2574.1072
05-09-2019,2570,2612,2568.5,2603.800049,2589.3428,2617.813,2554.7778,2585.9138
06-09-2019,2613,2668,2592,2659.449951,2581.452,2609.7896,2546.9758,2577.9841
09-09-2019,2638,2697.399902,2619.399902,2690.050049,2616.9893,2645.8342,2582.5815,2613.6814
11-09-2019,2690.050049,2770,2687.850098,2760.600098,2665.6099,2694.9087,2631.1895,2662.2983
12-09-2019,2749,2765.350098,2718.649902,2737.300049,2695.0127,2724.3142,2660.466,2691.4631
13-09-2019,2765,2784,2718,2776.550049,2763.0166,2792.817,2728.274,2759.3154
16-09-2019,2775,2793.699951,2724.100098,2739.550049,2759.6167,2788.7812,2724.5442,2755.4058
17-09-2019,2739.050049,2758.25,2556,2570.050049,2780.599,2809.7395,2745.2341,2776.1882
18-09-2019,2585,2618.550049,2517.899902,2575.949951,2765.9895,2794.6726,2730.3374,2761.315
19-09-2019,2572,2592.949951,2515,2532.449951,2630.3916,2657.2185,2594.491,2625.237
20-09-2019,2532.449951,3015.600098,2532.449951,2866.5,2578.896,2605.8105,2543.0881,2574.2336
23-09-2019,2871,3021.149902,2803,2824.149902,2551.1704,2578.4475,2515.6406,2547.0466
24-09-2019,2849.149902,2849.149902,2723,2755.800049,2818.1897,2849.4526,2783.1277,2815.184
25-09-2019,2753.899902,2753.899902,2649.5,2704.600098,2860.4097,2890.9622,2825.2102,2856.441
26-09-2019,2694,2773.850098,2690.149902,2760.25,2787.44,2816.1553,2751.8933,2782.55
27-09-2019,2759,2778.449951,2708,2727.649902,2732.6592,2760.568,2696.8594,2727.5505
30-09-2019,2745,2758.899902,2669.949951,2700.850098,2762.8423,2791.398,2726.966,2758.0405
01-10-2019,2706.550049,2751.149902,2640,2689.550049,2741.8708,2770.1204,2705.9111,2736.996
03-10-2019,2703,2735.600098,2655,2665.5,2715.678,2743.698,2679.7192,2710.8347
04-10-2019,2671,2713.199951,2659.899902,2668.850098,2705.4463,2733.554,2669.569,2700.772
