,Predicted Values,,,,Actual Values,,,
Date,Open,High,Low,Close,Open,High,Low,Close
07/08/19,213.21274,216.24054,210.41658,213.40526,206,209.399994,203.100006,208.350006
08/08/19,211.46585,214.47739,208.67175,211.63902,205,212.699997,205,212.350006
09/08/19,213.0001,216.0218,210.11423,213.07106,210,214.75,210,212.25
13/08/19,216.02298,219.07452,213.02534,215.98523,215,215,204.100006,205.25
14/08/19,218.51118,221.59415,215.44559,218.41556,204.899994,208.5,204.050003,205.100006
16/08/19,214.80113,217.87654,211.86989,214.83798,206.300003,210.649994,199.050003,207.899994
19/08/19,211.85432,214.90695,209.02289,211.97113,209,211.399994,208.050003,209.5
20/08/19,212.56291,215.60654,209.69891,212.63033,209.600006,209.600006,204,206.350006
21/08/19,215.7453,218.80342,212.76588,215.6986,205,205.550003,201.300003,202.149994
22/08/19,212.84361,215.89162,209.94507,212.88116,202.350006,202.5,198.350006,199.550003
23/08/19,208.83957,211.85979,206.05426,208.97745,200,203.550003,193,202.449997
26/08/19,205.74269,208.73148,203.0319,205.93214,210,210,197.699997,206.600006
27/08/19,205.61537,208.59206,202.87862,205.75986,205.100006,214,205.100006,213.350006
28/08/19,210.60394,213.61174,207.69353,210.57549,213.350006,215.25,209.100006,210.550003
29/08/19,216.37291,219.43257,213.29713,216.20131,210.850006,214.699997,209.300003,212.949997
30/08/19,217.9722,221.06369,214.88348,217.81311,219.899994,222.149994,214.399994,216.600006
03/09/19,218.96349,222.07086,215.88394,218.82942,216,216,210.649994,212.850006
04/09/19,224.28307,227.41856,221.07388,224.0392,215.050003,215.800003,210.699997,214.649994
05/09/19,219.97621,223.09218,216.92822,219.90843,216.899994,219.649994,214.75,215.149994
06/09/19,220.1297,223.23093,217.08812,220.06862,215.199997,217.899994,212.649994,216.850006
09/09/19,221.94727,225.04552,218.85315,221.84001,219,219,213.699997,215.149994
11/09/19,222.05577,225.15015,218.96384,221.96082,216.5,218.800003,213.699997,214.600006
12/09/19,222.25513,225.34735,219.16357,222.1682,216.050003,217.5,213.649994,214.300003
13/09/19,221.7943,224.88187,218.72319,221.73213,214,218.850006,212.100006,218.050003
16/09/19,221.37444,224.45718,218.3204,221.33003,217,220.300003,216.149994,219.5
17/09/19,222.94559,226.03502,219.84578,222.8583,218.800003,221.550003,209,210.600006
18/09/19,225.20142,228.3063,222.04045,225.06248,212,217.149994,208.600006,213.550003
19/09/19,220.70183,223.78845,217.68828,220.71127,214.550003,214.550003,208.550003,210.050003
20/09/19,219.82468,222.89867,216.83165,219.84447,211.25,220.199997,201.5,217.399994
23/09/19,217.55853,220.61398,214.62135,217.62253,219.699997,224.100006,214.899994,216.399994
24/09/19,220.47714,223.54411,217.42886,220.42723,219,219,209.5,210.949997
25/09/19,224.42758,227.52448,221.25227,224.26465,210.5,210.5,201.100006,201.800003
26/09/19,220.0377,223.12474,217.0059,220.02542,202.899994,217,197.300003,213.149994
27/09/19,211.62244,214.6562,208.85057,211.84338,212.5,219,211,217.100006
30/09/19,217.43456,220.47963,214.43259,217.41154,217,218,212,213.5
01/10/19,222.4072,225.48976,219.21925,222.21907,214,216.649994,210.149994,213.75
03/10/19,221.23808,224.33405,218.0819,221.10571,212.100006,214,208,210.100006
04/10/19,220.87051,223.97183,217.73027,220.7635,210.199997,211.5,207.100006,207.75
07/10/19,217.8455,220.92926,214.80171,217.8315,208.300003,208.850006,205,205.550003
09/10/19,215.24867,218.30736,212.28133,215.29526,205.45,208.4,203,206.9
