Date,Open,High,Low,Close,Volume
08/10/09,83.489998,84.57,82.809998,83.855003,641660
09/10/09,84.900002,85.269997,83.25,83.675003,390610
12/10/09,84.239998,85.300003,83.305,83.875,433620
14/10/09,84.199997,85.089996,83.010002,83.449997,310390
15/10/09,84,87.889999,83.605003,86.565002,1267750
16/10/09,87.5,88.769997,86.004997,86.57,1158280
20/10/09,88.400002,89.400002,87.800003,88.544998,1789640
21/10/09,89,89,87.550003,88.220001,214320
22/10/09,87.800003,88.400002,85.209999,86.805,498930
23/10/09,88.010002,95.230003,88.010002,93.404999,3778680
26/10/09,92.610001,94.230003,90.510002,91.940002,645870
27/10/09,91,91.699997,88.809998,89.004997,394350
28/10/09,88,91.080002,86.504997,88.754997,338000
29/10/09,87.5,88.620003,85.5,88.095001,209470
30/10/09,89.300003,93.690002,89.300003,90.559998,756940
03/11/09,90,90.849998,85.099998,85.754997,188940
04/11/09,87.739998,90.870003,84.5,89.699997,364540
05/11/09,89.5,92.315002,88.300003,90.065002,455300
06/11/09,91.889999,92.885002,90.5,90.824997,658690
09/11/09,90.510002,92.839996,90.099998,92.360001,322770
10/11/09,93,94.5,92.5,93,416940
11/11/09,93.110001,96.5,92.5,95.764999,709490
12/11/09,96.099998,97,91.514999,92.160004,614000
13/11/09,91.800003,93.355003,90.800003,92.199997,364990
16/11/09,92.989998,96.589996,92.699997,95.879997,619950
17/11/09,97.230003,100,97.019997,99.18,1570540
18/11/09,99.300003,101.400002,98.014999,99.650002,728880
19/11/09,99.599998,101.974998,99.199997,100.114998,558550
20/11/09,100.199997,100.474998,98.400002,98.919998,1109050
23/11/09,99.800003,109.445,99.800003,108.050003,2440290
24/11/09,108,112.699997,107.625,111.309998,1748160
25/11/09,111.300003,113.400002,110,112.394997,801480
26/11/09,112.099998,120,112.099998,116.699997,2228050
27/11/09,114,114.099998,108.300003,111.495003,1160120
30/11/09,113.800003,121.300003,112.599998,120.235001,1656640
01/12/09,121.504997,124.089996,117.550003,118.035004,1754720
02/12/09,119.400002,120.940002,114.900002,115.334999,1805320
03/12/09,115.900002,124.974998,115.900002,123.595001,2679410
04/12/09,124.099998,124.5,120.900002,122.364998,1550340
07/12/09,122.5,123.375,117.110001,117.995003,1433230
08/12/09,117,121.019997,117,120.080002,980430
09/12/09,117.68,119.5,116.324997,117.260002,722620
10/12/09,117.099998,119.5,116.809998,118.800003,448740
11/12/09,119.514999,120.894997,117.5,118.699997,571730
14/12/09,118,119.5,115.5,118.644997,416720
15/12/09,118.900002,120.379997,116.830002,117.5,346330
16/12/09,117.599998,118.5,115.330002,117.25,306280
17/12/09,118.199997,120.699997,117.699997,118.764999,591430
18/12/09,118.400002,119.800003,116.300003,116.800003,309210
21/12/09,117.5,117.989998,110.699997,112.894997,1291150
22/12/09,113.5,115.800003,112.5,113.144997,338610
23/12/09,113.800003,116.989998,113.224998,116.32,422180
