Based On Fundamental Analysis  ,Cluster ,Based On Stock Movement  ,Cluster  
Hindalco Inds,0,APOLO TYRES,0
JK Tyre & Indust,0,JK TYRE,0
Coal India,1,MANAPURRAM FINANCE,0
Lupin,1,MRF,0
NMDC,1,HINDALCO,1
Axis Bank,2,HIND OIL EXPLORER,1
Bajaj Fin,2,HIN ZINC,1
Hind.Oil Explor,2,ICICI BANK,1
ICICI Bank,2,JSW STEEL,1
JSW Steel,2,L & T,1
Kotak Mah. Bank,2,NTPC,1
M & M Fin. Serv,2,RELIANCE,1
Mahindra,2,SBI,1
Manappuram Fin,2,TATA STEEL,1
Muthoot Finance,2,HCL TECH,2
SBI,2,TCS,2
Apollo Tyres,3,TECH MAHINDRA,2
Asian Oilfield,3,WIPRO,2
MRF,3,AMBUJA CEMENT,3
S A I L,3,ASIAN PAINTS,3
Aurobindo Pharma,4,AXIS BANK,3
Bajaj Auto,4,BAJAJ AUTO,3
Balkrishna Inds,4,BAJAJ FINSERV,3
Britannia Inds,4,BAJAJ FINANCE ,3
Cadila Health,4,BRITANNIA,3
Eicher Motors,4,COLGATE PALO,3
Goodyear India,4,EICHER,3
HCL Technologies,4,GILLETTE,3
Maruti Suzuki,4,GRASIM,3
TCS,4,hdfc,3
Bajaj Finserv,5,Hero,3
I O C L,5,HINDUSTAN UNILIVER,3
Tata Steel,5,KOTAK MAHINDRA,3
TVS Motor Co,5,Mahindra,3
UltraTech Cem,5,MARUTI,3
Ambuja Cem,6,NESTLE,3
Bajaj Holdings,6,SHREE CEMENT,3
Cipla,6,TITAN ,3
Colgate-Palm,6,TVS MOTORS,3
Gillette India,6,ULTRA TECH CEMENT,3
Hind. Unilever,6,ONGC,4
Hind.Zinc,6,BPCL,4
Infosys,6,IOC,4
ONGC,6,ITC,4
P & G Hygiene,6,AURO PHARMA,5
Piramal Enterp,6,CIPLA,5
Sun Pharma.Inds,6,LUPIN,5
Wipro,6,SUN PHARMA,5
