,Predicted Values,,,,Actual Values,,,
Date,Open,High,Low,Close,Open,High,Low,Close
07/08/19,1335.5472,1348.3738,1320.6417,1331.4309,1380,1389.599976,1354,1360.199951
08/08/19,1364.2037,1377.2068,1349.5635,1360.1342,1366.050049,1372,1340.349976,1360.300049
09/08/19,1352.356,1365.3485,1337.6357,1348.3087,1371.050049,1391.949951,1361.25,1364.699951
13/08/19,1350.5221,1363.5154,1335.799,1346.4873,1367,1370,1307.599976,1313.75
14/08/19,1359.4075,1372.4741,1344.7444,1355.3861,1315.449951,1340.75,1315.449951,1334.050049
16/08/19,1317.0415,1329.8016,1302.1321,1313.0062,1339,1340.300049,1320.300049,1334.849976
19/08/19,1327.4125,1340.1195,1312.7157,1323.4021,1340.199951,1360.599976,1340,1352.199951
20/08/19,1322.0417,1334.6857,1307.4296,1318.0715,1351.099976,1355.25,1334.199951,1342.599976
21/08/19,1338.8516,1351.6266,1324.4218,1334.9337,1344,1344,1303.050049,1310.300049
22/08/19,1331.4575,1344.2478,1316.981,1327.5634,1312.300049,1327.699951,1283.300049,1294.099976
23/08/19,1308.1844,1320.8108,1293.5833,1304.2874,1292.699951,1297,1274.099976,1287
26/08/19,1292.9504,1305.3833,1278.3616,1289.0565,1307,1343,1277.300049,1333.75
27/08/19,1279.4667,1291.7097,1264.9591,1275.5978,1343,1379.949951,1342.949951,1357.599976
28/08/19,1309.7169,1322.1257,1295.549,1305.9204,1360.550049,1369,1337,1344.75
29/08/19,1339.2566,1352.0085,1325.2511,1335.5212,1340,1354.800049,1333,1342.849976
30/08/19,1334.1742,1347.0615,1319.9843,1330.4347,1343.449951,1357,1302.300049,1328.099976
03/09/19,1335.368,1348.3271,1321.0446,1331.5931,1332,1332,1290,1294.050049
04/09/19,1321.0748,1333.9315,1306.5696,1317.25,1299.699951,1314,1292.75,1309.949951
05/09/19,1296.214,1308.8114,1281.5691,1292.3473,1315,1337.400024,1309,1320.449951
06/09/19,1301.4786,1313.9833,1286.9897,1297.6201,1324.550049,1334,1320.550049,1328.400024
09/09/19,1309.8785,1322.4115,1295.5447,1306.0605,1328.150024,1361.75,1323.900024,1357.349976
11/09/19,1315.9442,1328.558,1301.6875,1312.165,1361.099976,1383.699951,1356.800049,1363
12/09/19,1337.0901,1349.9242,1322.9303,1333.3385,1369.800049,1379,1355.5,1362.5
13/09/19,1351.264,1364.3159,1337.0616,1347.5087,1364.75,1367.25,1344.699951,1363.449951
16/09/19,1353.2747,1366.4338,1338.9142,1349.4813,1360,1360,1339,1342.650024
17/09/19,1351.6387,1364.814,1337.1251,1347.7927,1345,1345,1310.5,1314
18/09/19,1338.7272,1351.7802,1324.0568,1334.8295,1316.050049,1328.400024,1313.699951,1318.400024
19/09/19,1315.1382,1327.927,1300.3505,1311.2025,1324.449951,1327.949951,1298,1300.599976
20/09/19,1313.9805,1326.6257,1299.3213,1310.0516,1309.699951,1416.599976,1289.099976,1412.849976
23/09/19,1296.8373,1309.2853,1282.2266,1292.936,1433,1554.050049,1433,1527.650024
24/09/19,1366.1559,1379.0933,1352.0653,1362.3408,1530.5,1532,1476.5,1481.300049
25/09/19,1468.9934,1483.0758,1455.1942,1465.2015,1480.099976,1481,1447,1450.050049
26/09/19,1464.1049,1478.5906,1449.6329,1460.186,1453.050049,1494.949951,1453.050049,1490.199951
27/09/19,1454.6975,1469.26,1439.6523,1450.6068,1486.75,1491.449951,1462.300049,1473.150024
30/09/19,1477.3085,1492.0367,1462.0518,1473.0576,1475,1483.900024,1448.300049,1476.599976
01/10/19,1465.963,1480.5779,1450.3695,1461.5819,1480,1495.949951,1439.650024,1463.099976
03/10/19,1466.2692,1480.7954,1450.5619,1461.8021,1446,1475.900024,1423.25,1458.349976
04/10/19,1455.9573,1470.3068,1440.1614,1451.4418,1465,1473.849976,1420.5,1424.150024
07/10/19,1446.324,1460.488,1430.5317,1441.7936,1422.900024,1428.5,1382,1397.349976
09/10/19,1425.9349,1439.8242,1410.1477,1421.414,"1,401.00","1,433.40","1,399.10","1,426.25"
