,Predicted Values,,,,Actual Values,,,
Date,Open,High,Low,Close,Open,High,Low,Close
07/08/19,131.1839,132.61932,129.73328,131.35068,131.600006,131.75,128.5,130.5
08/08/19,130.42862,131.86615,129.0095,130.59932,130.699997,132.100006,127.900002,130.949997
09/08/19,129.56557,131.01137,128.18512,129.74661,131.25,132.449997,129.699997,130.550003
13/08/19,129.68219,131.15251,128.328,129.84944,130.949997,133.550003,125.699997,128.300003
14/08/19,130.08034,131.58258,128.74571,130.22841,129,129.800003,125.75,126.75
16/08/19,128.49977,130.01216,127.19187,128.67201,126.400002,129.100006,126.400002,128.149994
19/08/19,126.69238,128.20798,125.3955,126.88142,128.399994,128.5,126.099998,126.25
20/08/19,127.00871,128.54845,125.69665,127.15623,127,127,124.449997,125.050003
21/08/19,126.204704,127.746895,124.903534,126.350945,125.099998,125.349998,119.699997,121.150002
22/08/19,125.035774,126.556694,123.76648,125.20448,121.900002,121.900002,116.25,116.849998
23/08/19,121.81801,123.29422,120.59618,122.05757,116,123.400002,115.75,122.300003
26/08/19,118.00046,119.42817,116.81854,118.3117,124.699997,125,119.699997,123.650002
27/08/19,119.58795,121.04074,118.39373,119.82459,123.25,126.449997,123.25,125.699997
28/08/19,121.811,123.30974,120.62205,121.97851,125.5,125.949997,120.5,121.150002
29/08/19,124.62854,126.19424,123.425674,124.713486,121,124.25,119.550003,123.400002
30/08/19,122.69419,124.26212,121.519264,122.82358,123.900002,125.650002,119.650002,121.199997
03/09/19,122.50467,124.057304,121.34671,122.64241,121.199997,121.199997,116.599998,117.150002
04/09/19,121.57351,123.10445,120.43916,121.74065,117.849998,119.400002,115.550003,119.050003
05/09/19,118.318146,119.80891,117.21439,118.56098,119.099998,129.800003,119.099998,125.199997
06/09/19,117.515,119.00824,116.39181,117.74264,127,128.399994,124.5,127.849998
09/09/19,123.03662,124.64382,121.799065,123.05788,125,129.850006,125,129.5
11/09/19,126.48975,128.2137,125.137314,126.35082,130,130.850006,125.099998,125.699997
12/09/19,128.86438,130.60693,127.47854,128.65903,126.449997,128.350006,125.449997,125.849998
13/09/19,127.497246,129.17276,126.1517,127.360435,126.800003,129.300003,125.349998,128.800003
16/09/19,126.78757,128.38455,125.47778,126.70948,131.399994,132.899994,128.600006,130.600006
17/09/19,127.7165,129.29604,126.38631,127.62597,131,131.949997,129.100006,129.699997
18/09/19,130.19933,131.81505,128.80527,130.03575,130,130.050003,126,127
19/09/19,130.38483,131.9974,128.98193,130.22983,127,127.5,123.699997,124.400002
20/09/19,128.05115,129.60928,126.68412,127.980255,125,134.949997,121.650002,133.600006
23/09/19,125.388016,126.87886,124.06057,125.40358,136.899994,140.649994,134.800003,136.25
24/09/19,129.79814,131.35121,128.38246,129.67392,137,139.75,132.949997,133.449997
25/09/19,136.45027,138.13101,134.90636,136.12807,132.699997,133.649994,130.800003,131.449997
26/09/19,135.64369,137.34424,134.08804,135.34552,135,138,131.199997,136.899994
27/09/19,132.72594,134.3559,131.21013,132.52872,137.449997,137.449997,130.5,131.449997
30/09/19,135.18672,136.78731,133.66002,134.96126,131.449997,132.850006,128.5,131.899994
01/10/19,132.83258,134.39519,131.33127,132.68584,132.649994,133.350006,126.849998,128.25
03/10/19,131.54533,133.08188,130.04044,131.42938,127.900002,129.75,125.300003,128.300003
04/10/19,129.38977,130.8784,127.91981,129.33992,130.25,132.699997,127.349998,129.600006
07/10/19,128.10751,129.5517,126.68299,128.10956,130,130,125.550003,126.449997
08/10/19,129.32785,130.78712,127.90573,129.30272,126.45,127.15,123.95,125.85
