Date,Actual Open,Actual High,Actual Low,Actual Close,Predicted Open,Predicted High,Predicted Low,Predicted Close
16-04-2020,241.399994,259.5,240,254.399994,234.84319,237.99858,229.4148,233.89565
17-04-2020,268.5,268.5,250,254,238.50734,241.84425,233.00148,237.59645
20-04-2020,260,260.5,251.5,256.450012,245.77834,249.56235,240.07858,244.95312
21-04-2020,255.949997,255.949997,246.25,249.399994,248.45346,252.29634,242.72849,247.63939
22-04-2020,248,251.100006,243,249.899994,251.17012,255.01854,245.33774,250.32869
23-04-2020,253,265,252.550003,263.450012,250.44598,254.14885,244.43398,249.50989
24-04-2020,263.399994,273,255.350006,270.049988,249.45082,253.03638,243.21645,248.41013
27-04-2020,274.950012,282.850006,274,278.25,251.73958,255.25235,245.436,250.62434
28-04-2020,285.399994,296.600006,282.200012,285.100006,256.3334,259.9837,249.96019,255.19849
29-04-2020,287,289.25,282.5,285.049988,262.71338,266.43256,256.4202,261.52606
30-04-2020,290,290,281,282.700012,271.3181,275.24133,265.0047,270.1058
04-05-2020,279.5,288.700012,272.200012,281.100006,275.90964,279.7743,269.55896,274.63232
05-05-2020,287.399994,288,276.350006,278.25,278.19244,281.99802,271.72525,276.87128
06-05-2020,281,295,281,290.549988,278.59067,282.36026,271.89996,277.2085
07-05-2020,293,299,285,286.049988,276.4444,280.04172,269.6749,275.03442
08-05-2020,289,291.399994,284,288.850006,280.42447,284.2609,273.48227,279.0519
11-05-2020,289,293.5,288,288.700012,280.9933,284.819,274.01654,279.60553
12-05-2020,289.75,292,279.799988,285,281.71063,285.49728,274.68497,280.29764
13-05-2020,298.5,306,291.350006,299.75,281.61078,285.2355,274.6295,280.15356
14-05-2020,298.649994,298.649994,290.75,292.700012,280.21622,283.69217,273.23203,278.7378
15-05-2020,295.899994,300.799988,288.299988,293.200012,284.43008,288.04523,277.49408,283.01367
18-05-2020,294,294,274.100006,276.350006,284.8929,288.40692,278.05286,283.49814
19-05-2020,281,286.700012,278.25,280.350006,285.6168,289.1256,278.80298,284.23566
20-05-2020,281.549988,290.700012,281.25,288.850006,281.10748,284.52875,274.1937,279.70822
21-05-2020,290,290.200012,282.5,283.399994,278.42395,281.77454,271.4643,276.9935
22-05-2020,284,298.850006,282.5,295,278.27283,281.57922,271.362,276.82043
26-05-2020,296.149994,301.899994,296.149994,299.5,277.17657,280.4115,270.3801,275.7221
27-05-2020,300.399994,311.649994,299.350006,310,280.59714,283.97546,273.8699,279.17795
28-05-2020,311.950012,316.200012,301.350006,304.100006,284.44046,287.85544,277.9049,283.06894
29-05-2020,,,,,290.7954,294.35626,284.37216,289.4937
