Date,Actual Open,Actual High,Actual Low,Actual Close,Predicted Open,Predicted High,Predicted Low,Predicted Close
06-01-2020,1905,1906.099976,1856.949951,1886.199951,1822.7836,1848.4138,1792.8083,1803.3253
07-01-2020,1885.5,1910,1865.900024,1872.75,1827.7816,1853.5911,1797.8973,1808.3446
08-01-2020,1865,1887.550049,1853.599976,1866.349976,1834.1366,1860.1075,1804.3041,1814.6941
09-01-2020,1872,1896.300049,1866.099976,1878.800049,1839.5638,1865.6333,1809.7286,1820.0923
10-01-2020,1901.199951,1912,1880,1899.050049,1842.0253,1868.1035,1812.1332,1822.5151
13-01-2020,1907,1908.5,1888,1899.400024,1842.5255,1868.5801,1812.5724,1822.9858
14-01-2020,1900,1908,1881.300049,1885.300049,1844.0548,1870.1324,1814.0851,1824.4973
15-01-2020,1885.099976,1902.300049,1870.25,1898.199951,1846.9219,1873.0525,1816.9546,1827.3395
16-01-2020,1906,1967.949951,1903,1924.400024,1849.5436,1875.7092,1819.564,1829.9211
17-01-2020,1936.400024,2028,1928.699951,2006.349976,1851.4976,1877.6831,1821.4979,1831.8304
20-01-2020,2006.349976,2073.649902,1985.550049,2027.699951,1858.3344,1884.669,1828.3962,1838.6388
21-01-2020,2025,2056.850098,1992,2020.150024,1876.7428,1903.463,1846.9828,1857.0266
22-01-2020,2030,2044.949951,1992.099976,2000.949951,1904.0862,1931.2721,1874.4886,1884.3047
23-01-2020,2003.949951,2035.550049,2001,2020.5,1931.0664,1958.5656,1901.463,1911.1508
24-01-2020,2029,2062,2025,2036.949951,1951.6816,1979.2789,1921.8926,1931.5928
27-01-2020,2036.949951,2055.949951,2005.5,2027.150024,1964.0698,1991.5956,1933.9786,1943.8044
28-01-2020,2000,2000,1900.599976,1916.400024,1972.7793,2000.237,1942.4297,1952.3705
29-01-2020,1907,1956.300049,1907,1937.5,1978.5693,2005.9634,1948.0017,1958.0342
30-01-2020,1948,1955.949951,1922.5,1936.300049,1983.0482,2010.3654,1952.296,1962.4337
31-01-2020,1949,1952.150024,1921,1931.099976,1972.9365,1999.7682,1941.7079,1952.2164
03-02-2020,1906.900024,1917.599976,1887.800049,1906.099976,1955.6057,1981.843,1923.9238,1934.8473
04-02-2020,1916.099976,1936.5,1912,1928.75,1933.4945,1959.078,1901.4244,1912.7341
05-02-2020,1940.349976,2026.900024,1928.800049,2001.25,1910.2637,1935.2373,1877.9362,1889.521
06-02-2020,1980,2028.800049,1976.900024,2001.400024,1892.5127,1917.0966,1860.1482,1871.8011
07-02-2020,2001,2040,1995.599976,2020.800049,1889.4209,1914.037,1857.3074,1868.7368
10-02-2020,2024,2028.599976,1987,2009.199951,1902.1018,1927.0964,1870.3944,1881.3915
11-02-2020,2014.050049,2054.949951,2004.050049,2013.75,1922.2656,1947.7284,1890.9127,1901.4512
12-02-2020,2015,2023.5,2000,2010.400024,1941.8352,1967.7019,1910.7008,1920.872
13-02-2020,2003,2089.899902,1980,2080.199951,1959.4061,1985.6483,1928.4233,1938.3109
14-02-2020,2093.149902,2120,2064,2112.5,1970.8892,1997.3873,1939.943,1949.6873
17-02-2020,2115,2155,2102.25,2143.350098,1981.2571,2008.0511,1950.3899,1960.0142
18-02-2020,2143,2158,2113.399902,2131.899902,1994.9849,2022.1765,1964.2919,1973.7441
19-02-2020,2141.899902,2287.25,2135.100098,2242.149902,2012.0748,2039.7036,1981.5901,1990.8241
20-02-2020,2240,2259,2230.050049,2238.949951,2029.0096,2057.009,1998.6736,2007.698
24-02-2020,2238.949951,2239.399902,2162.800049,2170.949951,2055.0264,2083.6086,2025.0496,2033.6744
25-02-2020,2172,2229.850098,2165,2208.949951,2084.0916,2113.2495,2054.461,2062.6492
26-02-2020,2219.699951,2284,2201.600098,2251.100098,2105.8025,2135.2966,2076.2668,2084.1907
27-02-2020,2256.800049,2265,2140,2168.949951,2118.5847,2148.2397,2088.968,2096.7903
28-02-2020,2163,2218.399902,2123.199951,2150.300049,2128.6797,2158.5188,2099.0383,2106.758
02-03-2020,2162,2183.199951,2110.25,2127.25,2132.0205,2161.885,2102.226,2109.9602
03-03-2020,2127.25,2156.850098,2090.5,2145.75,2126.8323,2156.5151,2096.72,2104.6213
04-03-2020,2155.75,2204.399902,2135.75,2183.149902,2111.8003,2141.0652,2081.2073,2089.423
05-03-2020,2173.149902,2245,2168,2213.949951,2092.0674,2120.8398,2061.025,2069.557
06-03-2020,2195,2227.75,2160.050049,2196.100098,2077.9143,2106.3691,2046.6902,2055.3315
09-03-2020,2196.100098,2197.5,2020.099976,2099.649902,2074.6826,2103.0522,2043.538,2052.0366
11-03-2020,2099.649902,2161.350098,2051,2138.899902,2079.2202,2107.6013,2048.2249,2056.4558
12-03-2020,2095,2120,1956.800049,1987.900024,2079.4263,2107.6177,2048.339,2056.4597
13-03-2020,1810,2140.850098,1790,1978.5,2073.648,2101.5317,2042.3325,2050.4875
16-03-2020,1949.699951,2024,1868.349976,1960.150024,2055.5896,2082.9092,2023.8215,2032.2544
17-03-2020,1955,2026.550049,1931.550049,1986,2026.1764,2052.765,1993.8842,2002.7668
18-03-2020,1979,1999.900024,1803.050049,1815.25,1990.2902,2016.1141,1957.5746,1966.9391
19-03-2020,1780,1832.400024,1583.25,1772.099976,1956.0481,1981.2499,1923.152,1932.8623
20-03-2020,1815,1936.449951,1786,1893.900024,1922.1641,1946.742,1889.1857,1899.1666
23-03-2020,1707,1833.699951,1707,1796.150024,1878.9752,1902.664,1845.8319,1856.1686
24-03-2020,1830.949951,1920,1734.599976,1818.349976,1841.1371,1864.1926,1808.133,1818.6326
25-03-2020,1777.099976,1823.75,1711.5,1779.25,1808.2635,1830.8462,1775.535,1786.0988
26-03-2020,1769.949951,1849.599976,1761.199951,1815.349976,1785.7405,1808.1399,1753.4441,1763.9259
27-03-2020,1828.949951,1895,1791,1860.150024,1771.1752,1793.5615,1739.3306,1749.6799
30-03-2020,1820,1993.150024,1812.699951,1960.099976,1765.1924,1787.7551,1733.8042,1743.9862
31-03-2020,1979.699951,2008,1952,1971.800049,1770.1246,1793.098,1739.1973,1749.1693
01-04-2020,1978,1983.150024,1932,1959,1789.7616,1813.4515,1759.3116,1769.0042
03-04-2020,1979,2113,1950,2077,1823.575,1848.212,1793.5756,1802.9291
07-04-2020,2159.75,2388.550049,2112.300049,2354.350098,1860.7574,1886.2738,1831.0396,1840.1292
08-04-2020,2380,2644.899902,2360,2537.350098,1906.1055,1932.6304,1876.7031,1885.4832
09-04-2020,2699,2699,2425,2550.350098,1974.0479,2002.0479,1945.3201,1953.4553
13-04-2020,2551,2584,2336,2375.300049,2082.528,2112.7322,2055.3313,2062.0425
15-04-2020,2376,2468.949951,2250.149902,2296.449951,2201.7698,2234.022,2176.4165,2181.4153
16-04-2020,2313.649902,2354.25,2242.600098,2334.850098,2288.3413,2321.7432,2263.978,2268.0215
17-04-2020,2380,2403.899902,2225,2246.800049,2324.881,2358.489,2300.0776,2304.4211
20-04-2020,2266,2395.699951,2256.600098,2331.25,2321.6018,2354.8425,2295.4404,2300.967
21-04-2020,2268.949951,2460,2260,2350.550049,2295.737,2328.3218,2267.9998,2275.0127
22-04-2020,2368.100098,2455,2355,2444.25,2262.2505,2294.0764,2233.1343,2241.4905
23-04-2020,2479.850098,2549,2403,2422.649902,2237.293,2268.5417,2207.365,2216.514
24-04-2020,2430,2488,2361.649902,2430.5,2229.7358,2260.7046,2199.5952,2208.8374
27-04-2020,2475,2524.899902,2422.550049,2509.100098,2242,2272.997,2212.1682,2220.83
28-04-2020,2539,2575,2460,2480.649902,2261.77,2292.823,2232.2874,2240.1445
29-04-2020,2490,2534.949951,2396.600098,2420.350098,2287.4841,2318.764,2258.5054,2265.3984
30-04-2020,2460.100098,2472,2320.449951,2345.399902,2312.4558,2344.0244,2283.9526,2289.9485
04-05-2020,2340,2425,2322,2375.850098,2325.1418,2356.8186,2296.6812,2302.2048
05-05-2020,2406.600098,2440,2352.699951,2365.850098,2321.5198,2353.073,2292.6287,2298.1743
06-05-2020,2360,2397.899902,2296.449951,2320.699951,2306.8643,2338.1956,2277.3796,2283.222
07-05-2020,2338,2430,2331.649902,2354.600098,2285.4224,2316.4417,2255.3123,2261.5566
08-05-2020,2390,2450,2346.199951,2438.600098,2259.2327,2289.814,2228.4817,2235.1472
11-05-2020,2455,2509.399902,2442.949951,2495.899902,2237.729,2267.983,2206.6438,2213.472
12-05-2020,2518,2525,2398.550049,2445.300049,2228.5957,2258.7815,2197.6162,2204.2036
13-05-2020,2490,2501,2358,2404.149902,2238.7385,2269.2412,2208.4004,2214.2444
14-05-2020,2398.75,2448.949951,2374.199951,2408.5,2257.6926,2288.5637,2228.045,2233.0293
15-05-2020,2430,2470,2416,2461.449951,2273.9983,2305.0964,2244.7666,2249.1108
18-05-2020,2470,2529.649902,2466,2497.25,2280.9304,2312.077,2251.7454,2255.8198
19-05-2020,2510,2532.699951,2468,2499.050049,2285.728,2317.0127,2256.6292,2260.5332
20-05-2020,2500,2594.100098,2489.800049,2569.550049,2294.07,2325.6528,2265.256,2268.9287
21-05-2020,2582,2633.350098,2560,2618.75,2302.2888,2334.148,2273.717,2277.2102
22-05-2020,2614.949951,2630,2589.300049,2601,2315.3093,2347.575,2287.1648,2290.3462
26-05-2020,2620,2631,2555.050049,2581.550049,2335.1592,2367.9846,2307.6804,2310.3545
27-05-2020,2598.949951,2614,2372.300049,2402.550049,2357.3628,2390.7705,2330.575,2332.6995
28-05-2020,2412.899902,2422.5,2331.050049,2357.949951,2377.3342,2411.2656,2351.1086,2352.7915
29-05-2020,,,,,2387.0217,2421.196,2360.893,2362.5564
