Date,Open,High,Low,Close,Volume
02/01/09,76,79,71,75.224998,50796
05/01/09,76,76.5,73.150002,74.275002,18488
06/01/09,75.699997,75.900002,71.050003,71.974998,18392
07/01/09,71.675003,73.375,65.074997,67.974998,26602
09/01/09,67.5,67.5,64.050003,65.449997,16390
12/01/09,64.550003,66,64.5,64.650002,8102
13/01/09,64.525002,66.5,63.650002,64.5,9118
14/01/09,64,68.5,64,67.699997,11492
15/01/09,60.5,67.5,60.5,65.875,6428
16/01/09,66.875,78.5,66.875,69.375,52906
19/01/09,69.5,74,69.5,70.574997,15488
20/01/09,71,71.75,69.050003,69.525002,16558
21/01/09,68.175003,69.900002,66.050003,67.449997,9348
22/01/09,67.574997,67.625,65.025002,65.550003,12440
23/01/09,64.775002,65.5,63.525002,64.449997,13878
27/01/09,67.5,67.5,64,65.324997,8772
28/01/09,65.75,67.5,64.125,66.400002,25188
29/01/09,67.949997,68.75,66,66.025002,17302
30/01/09,64.400002,66.5,64.150002,66.300003,6814
02/02/09,66.349998,67.5,64,64.824997,8650
03/02/09,65.949997,65.949997,63,64.199997,13840
04/02/09,64.324997,65,63.474998,63.924999,5906
05/02/09,62,64.375,62,63.575001,2836
06/02/09,66,66,62.525002,63.200001,8436
09/02/09,63.5,65.5,62.5,64.724998,5660
10/02/09,69.5,69.5,64.25,65.275002,15898
11/02/09,65,65.474998,64.550003,64.800003,4856
12/02/09,65.25,65.949997,65,65.125,6538
13/02/09,64.125,67.75,64.125,67.525002,16652
16/02/09,69.449997,69.449997,64.349998,66.724998,14302
17/02/09,64.150002,66.324997,64.150002,65.050003,10110
18/02/09,65,70,64.150002,64.75,6210
19/02/09,66.25,66.25,64.275002,64.625,3980
20/02/09,68.900002,68.900002,63,63.549999,6756
24/02/09,63.5,64.5,62,63.25,21460
25/02/09,63.75,65.75,63.75,65.5,8306
26/02/09,66.5,66.5,64.25,65.875,9892
27/02/09,66.400002,66.675003,63.25,66.125,12122
02/03/09,69,69,63.25,63.575001,4562
03/03/09,63.25,64,62,62.075001,6070
04/03/09,62.5,66,62.150002,65.025002,13422
05/03/09,64.775002,67.800003,64,67.400002,28958
06/03/09,67.75,70.5,62.5,65.050003,40754
09/03/09,65.75,65.949997,63.674999,64.400002,13498
12/03/09,64.300003,67,62.075001,63.575001,28782
13/03/09,64.5,64.949997,62.825001,63.724998,6078
16/03/09,64.025002,64.824997,63.575001,64.25,5860
17/03/09,65,65,62.799999,63.325001,10916
18/03/09,64.75,66,63.5,63.674999,15534
19/03/09,64.25,65.474998,64.25,65.074997,12768
20/03/09,65,65.025002,64,64.349998,2334
23/03/09,64.974998,67.474998,64.349998,64.724998,11708
24/03/09,65.900002,65.900002,64.5,64.974998,12876
25/03/09,65,66,64.050003,64.449997,7312
26/03/09,64.550003,66.699997,64.224998,65.925003,23168
27/03/09,66.75,67.949997,65.5,67.125,17394
30/03/09,67,68.5,63.299999,63.599998,70832
31/03/09,64.949997,69.25,63.5,67,62980
01/04/09,67.775002,68.224998,65.75,67.199997,10714
02/04/09,68.875,68.900002,67.050003,67.525002,23270
06/04/09,68.5,71,67.574997,69.875,32334
08/04/09,67.5,70.5,67.5,69.925003,14954
09/04/09,72,72.199997,69.625,71.550003,50738
13/04/09,73.375,75.125,72,72.724998,26738
15/04/09,74,75.974998,70.599998,74.050003,50346
16/04/09,74.974998,78,73.650002,74.275002,56560
17/04/09,75.925003,76.5,74.25,74.474998,29106
20/04/09,75,75.5,74,74.099998,16108
21/04/09,74.5,81.449997,73.599998,77.949997,77752
22/04/09,79.025002,80.525002,75.025002,75.650002,22888
23/04/09,74.775002,76.875,74.074997,74.699997,10706
24/04/09,75,75.875,74,75.050003,12174
27/04/09,74.550003,76.375,73.525002,74.199997,10230
28/04/09,72.525002,78.400002,71.074997,72.724998,85868
29/04/09,74.875,74.875,72.5,73,7080
30/04/09,73.375,73.375,73.375,73.375,0
04/05/09,74.5,75,73.75,74.375,15576
05/05/09,74.949997,75.949997,74.025002,75,14606
06/05/09,75.5,78.25,74,74.324997,53118
07/05/09,76.425003,86,75.074997,78.925003,416282
08/05/09,80,80.199997,75.625,76.400002,63516
11/05/09,76.400002,78.5,75,75.574997,36940
12/05/09,75,76.5,74.5,76.099998,15084
13/05/09,76.150002,76.875,74.5,75.074997,15636
14/05/09,74.5,75.5,73.025002,74.925003,15338
15/05/09,76.925003,80,74,74.75,95010
18/05/09,89,89,89,74.75,0
19/05/09,77.5,82,76.5,77.099998,76798
20/05/09,73.550003,82.550003,69,80.099998,78768
21/05/09,82.5,89.099998,80.550003,86.050003,157388
22/05/09,88.949997,89.025002,83.574997,87.224998,70784
25/05/09,89.5,96.5,87.525002,94.800003,222608
26/05/09,94.800003,98.900002,87.400002,87.974998,85914
27/05/09,89.5,92,87.050003,87.75,50934
28/05/09,88.5,88.75,85.75,86.574997,25790
29/05/09,87.449997,91.800003,85.400002,89.25,193564
01/06/09,90.974998,92.449997,88.324997,88.824997,68326
02/06/09,90,90.949997,87,89.300003,30580
03/06/09,90.699997,92.5,89,91.074997,78486
04/06/09,74,91.400002,74,89.75,60840
05/06/09,90.5,95.900002,89.300003,92.025002,164486
08/06/09,92,92,87,87.724998,66698
09/06/09,87.724998,89.400002,85,88.300003,55034
10/06/09,89.949997,91,87.5,88.275002,39266
11/06/09,97.449997,97.449997,86.5,88.474998,86710
12/06/09,90.5,92.324997,88,89.5,140624
15/06/09,90.099998,90.099998,87.5,87.650002,23328
16/06/09,89,90.5,86.050003,89.25,25034
17/06/09,91.175003,91.199997,85.5,87.099998,28512
