Date,Predicted Values,Actual Values
17/07/19,1150.9763,1147.60498
18/07/19,1153.6697,1151.140015
19/07/19,1154.8967,1139.25
22/07/19,1155.4313,1146.900024
23/07/19,1154.5172,1144
24/07/19,1153.54,1141.699951
25/07/19,1152.1628,1265.550049
26/07/19,1151.1461,1247.369995
29/07/19,1158.6516,1234.869995
30/07/19,1175.2949,1234
31/07/19,1193.8619,1234.109985
01/08/19,1208.3005,1206.900024
02/08/19,1215.6959,1175.23999
05/08/19,1215.8975,1179.959961
06/08/19,1209.0062,1178.444946
07/08/19,1198.1749,1205.01001
08/08/19,1186.7769,1203.880005
09/08/19,1180.0176,1184.959961
12/08/19,1180.3098,1204.780029
13/08/19,1184.1528,1182.300049
14/08/19,1187.797,1175.839966
15/08/19,1190.1959,1182.719971
16/08/19,1190.1805,1206.98999
19/08/19,1189.7466,1196.060059
20/08/19,1190.7565,1199
21/08/19,1193.5586,1198.011963
22/08/19,1196.9404,1194.079956
23/08/19,1199.866,1169.469971
26/08/19,1200.6975,1182.400024
27/08/19,1197.3738,1176.420044
28/08/19,1193.3285,1196.060059
29/08/19,1188.9097,1198.5
30/08/19,1186.5695,1186.890015
03/09/19,1188.2501,1183.47998
04/09/19,1190.9054,1213.040039
05/09/19,1192.6676,1212.015015
06/09/19,1194.4504,1220
09/09/19,1197.9095,1210
10/09/19,1202.1077,1222.599976
,,
,,
