Date,Predicted Open,Actual Open
11/07/19,354.36,358.5
12/07/19,359.75,363
15/07/19,359.16,364.100006
16/07/19,361.74,358.5
17/07/19,363.04,364.049988
18/07/19,358.30,371.950012
19/07/19,362.86,365.100006
22/07/19,370.33,356
23/07/19,364.13,351.200012
24/07/19,356.01,341.850006
25/07/19,352.42,341.700012
26/07/19,344.72,340.799988
29/07/19,343.38,343.950012
30/07/19,342.67,344.399994
31/07/19,344.66,325.100006
01/08/19,345.07,330.799988
02/08/19,329.55,315.549988
05/08/19,331.69,298.450012
06/08/19,321.42,298.799988
07/08/19,305.39,302.399994
08/08/19,302.64,290
09/08/19,305.83,296.299988
13/08/19,296.60,290.899994
14/08/19,298.03,285.049988
16/08/19,295.51,287.950012
19/08/19,289.84,292
20/08/19,290.52,287.299988
21/08/19,294.16,285.5
22/08/19,291.20,278.299988
23/08/19,288.55,267.100006
26/08/19,283.06,288
27/08/19,273.60,284
28/08/19,286.05,286.649994
29/08/19,287.69,283.200012
30/08/19,287.98,275.950012
03/09/19,285.93,272
04/09/19,280.29,269.700012
05/09/19,275.97,275
06/09/19,273.51,275.049988
09/09/19,276.66,273.950012
11/09/19,277.73,278.5
